# x energy force
0.0000000000000000e+00 3.9220446895035082e+01 -5.0338637770187677e+02
1.5707963267948967e-03 3.8435897924733062e+01 -4.9553239606790345e+02
3.1415926535897933e-03 3.7663685959932408e+01 -4.8767841443393013e+02
4.7123889803846897e-03 3.6903811000633112e+01 -4.7982443279995562e+02
6.2831853071795866e-03 3.6156273046835182e+01 -4.7197045116598059e+02
7.8539816339744835e-03 3.5421072098538609e+01 -4.6411646953200608e+02
9.4247779607693795e-03 3.4698208155743401e+01 -4.5626248789803219e+02
1.0995574287564277e-02 3.3987681218449545e+01 -4.4840850626405717e+02
1.2566370614359173e-02 3.3289491286657068e+01 -4.4055452463008265e+02
1.4137166941154069e-02 3.2603638360365942e+01 -4.3270054299610820e+02
1.5707963267948967e-02 3.1930122439576181e+01 -4.2484656136213368e+02
1.7278759594743863e-02 3.1268943524287771e+01 -4.1699257972816031e+02
1.8849555921538759e-02 3.0620101614500733e+01 -4.0913859809418472e+02
2.0420352248333655e-02 2.9983596710215050e+01 -4.0128461646020963e+02
2.1991148575128554e-02 2.9359428811430735e+01 -3.9343063482623569e+02
2.3561944901923450e-02 2.8747597918147779e+01 -3.8557665319226180e+02
2.5132741228718346e-02 2.8148104030366184e+01 -3.7772267155828735e+02
2.6703537555513242e-02 2.7560947148085955e+01 -3.6986868992431226e+02
2.8274333882308138e-02 2.6986127271307083e+01 -3.6201470829033781e+02
2.9845130209103038e-02 2.6423644400029577e+01 -3.5416072665636329e+02
3.1415926535897934e-02 2.5873498534253432e+01 -3.4630674502238941e+02
3.2986722862692830e-02 2.5335689673978649e+01 -3.3845276338841433e+02
3.4557519189487726e-02 2.4810217819205228e+01 -3.3059878175443987e+02
3.6128315516282622e-02 2.4297082969933165e+01 -3.2274480012046541e+02
3.7699111843077518e-02 2.3796285126162466e+01 -3.1489081848649090e+02
3.9269908169872414e-02 2.3307824287893126e+01 -3.0703683685251758e+02
4.0840704496667310e-02 2.2831700455125151e+01 -2.9918285521854193e+02
4.2411500823462213e-02 2.2367913627858535e+01 -2.9132887358456685e+02
4.3982297150257109e-02 2.1916463806093283e+01 -2.8347489195059296e+02
4.5553093477052005e-02 2.1477350989829393e+01 -2.7562091031661902e+02
4.7123889803846901e-02 2.1050575179066861e+01 -2.6776692868264456e+02
4.8694686130641797e-02 2.0636136373805698e+01 -2.5991294704866954e+02
5.0265482457436693e-02 2.0234034574045889e+01 -2.5205896541469502e+02
5.1836278784231589e-02 1.9844269779787446e+01 -2.4420498378072057e+02
5.3407075111026485e-02 1.9466841991030364e+01 -2.3635100214674665e+02
5.4977871437821381e-02 1.9101751207774644e+01 -2.2849702051277160e+02
5.6548667764616277e-02 1.8748997430020285e+01 -2.2064303887879711e+02
5.8119464091411173e-02 1.8408580657767288e+01 -2.1278905724482263e+02
5.9690260418206076e-02 1.8080500891015653e+01 -2.0493507561084812e+02
6.1261056745000972e-02 1.7764758129765376e+01 -1.9708109397687420e+02
6.2831853071795868e-02 1.7461352374016464e+01 -1.8922711234289915e+02
6.4402649398590764e-02 1.7170283623768917e+01 -1.8137313070892469e+02
6.5973445725385660e-02 1.6891551879022728e+01 -1.7351914907495021e+02
6.7544242052180556e-02 1.6625157139777901e+01 -1.6566516744097629e+02
6.9115038378975452e-02 1.6371099406034432e+01 -1.5781118580700181e+02
7.0685834705770348e-02 1.6129378677792328e+01 -1.4995720417302675e+02
7.2256631032565244e-02 1.5899994955051588e+01 -1.4210322253905170e+02
7.3827427359360140e-02 1.5682948237812209e+01 -1.3424924090507781e+02
7.5398223686155036e-02 1.5478238526074188e+01 -1.2639525927110446e+02
7.6969020012949932e-02 1.5285865819837531e+01 -1.1854127763712884e+02
7.8539816339744828e-02 1.5105830119102235e+01 -1.1068729600315436e+02
8.0110612666539724e-02 1.4938131423868301e+01 -1.0283331436917989e+02
8.1681408993334620e-02 1.4782769734135730e+01 -9.4979332735205404e+01
8.3252205320129516e-02 1.4639745049904519e+01 -8.7125351101231473e+01
8.4823001646924426e-02 1.4509057371174670e+01 -7.9271369467256363e+01
8.6393797973719322e-02 1.4390706697946184e+01 -7.1417387833281893e+01
8.7964594300514218e-02 1.4284693030219058e+01 -6.3563406199307977e+01
8.9535390627309114e-02 1.4191016367993296e+01 -5.5709424565333499e+01
9.1106186954104010e-02 1.4109676711268895e+01 -4.7855442931358454e+01
9.2676983280898906e-02 1.4040674060045855e+01 -4.0001461297383969e+01
9.4247779607693802e-02 1.3984008414324176e+01 -3.2147479663408930e+01
9.5818575934488698e-02 1.3939679774103860e+01 -2.4293498029435010e+01
9.7389372261283594e-02 1.3907688139384904e+01 -1.6439516395461663e+01
9.8960168588078490e-02 1.3888033510167309e+01 -8.5855347614860520e+00
1.0053096491487339e-01 1.3880011077099011e+01 -3.3863777018784740e+00
1.0210176124166828e-01 1.3874691767443760e+01 -3.3863777018790389e+00
1.0367255756846318e-01 1.3869372457788510e+01 -3.3863777018784740e+00
1.0524335389525807e-01 1.3864053148133259e+01 -3.3863777018784740e+00
1.0681415022205297e-01 1.3858733838478008e+01 -3.3863777018784740e+00
1.0838494654884787e-01 1.3853414528822757e+01 -3.3863777018784740e+00
1.0995574287564276e-01 1.3848095219167506e+01 -3.3863777018790389e+00
1.1152653920243766e-01 1.3842775909512255e+01 -3.3863777018790389e+00
1.1309733552923255e-01 1.3837456599857004e+01 -3.3863777018779087e+00
1.1466813185602745e-01 1.3832137290201754e+01 -3.3863777018784740e+00
1.1623892818282235e-01 1.3826817980546503e+01 -3.3863777018795895e+00
1.1780972450961726e-01 1.3821498670891250e+01 -3.3863777018784584e+00
1.1938052083641215e-01 1.3816179361235999e+01 -3.3863777018784740e+00
1.2095131716320705e-01 1.3810860051580748e+01 -3.3863777018784740e+00
1.2252211349000194e-01 1.3805540741925498e+01 -3.3863777018784740e+00
1.2409290981679684e-01 1.3800221432270247e+01 -3.3863777018790389e+00
1.2566370614359174e-01 1.3794902122614996e+01 -3.3863777018784882e+00
1.2723450247038662e-01 1.3789582812959745e+01 -3.3863777018784740e+00
1.2880529879718153e-01 1.3784263503304494e+01 -3.3863777018784740e+00
1.3037609512397641e-01 1.3778944193649243e+01 -3.3863777018790384e+00
1.3194689145077132e-01 1.3773624883993993e+01 -3.3863777018784740e+00
1.3351768777756620e-01 1.3768305574338742e+01 -3.3863777018784740e+00
1.3508848410436111e-01 1.3762986264683491e+01 -3.3863777018784438e+00
1.3665928043115602e-01 1.3757666955028240e+01 -3.3863777018784740e+00
1.3823007675795090e-01 1.3752347645372989e+01 -3.3863777018796042e+00
1.3980087308474581e-01 1.3747028335717737e+01 -3.3863777018784740e+00
1.4137166941154070e-01 1.3741709026062486e+01 -3.3863777018784740e+00
