# x energy force
0.0000000000000000e+00 3.4393963547792943e+01 -5.0142991170147195e+02
1.5707963267948967e-03 3.3612487787097862e+01 -4.9357593006749863e+02
3.1415926535897933e-03 3.2843349031904140e+01 -4.8572194843352474e+02
4.7123889803846897e-03 3.2086547282211782e+01 -4.7786796679954966e+02
6.2831853071795866e-03 3.1342082538020783e+01 -4.7001398516557464e+02
7.8539816339744835e-03 3.0609954799331152e+01 -4.6216000353160013e+02
9.4247779607693795e-03 2.9890164066142876e+01 -4.5430602189762624e+02
1.0995574287564277e-02 2.9182710338455962e+01 -4.4645204026365235e+02
1.2566370614359173e-02 2.8487593616270413e+01 -4.3859805862967727e+02
1.4137166941154069e-02 2.7804813899586225e+01 -4.3074407699570224e+02
1.5707963267948967e-02 2.7134371188403399e+01 -4.2289009536172773e+02
1.7278759594743863e-02 2.6476265482721928e+01 -4.1503611372775379e+02
1.8849555921538759e-02 2.5830496782541829e+01 -4.0718213209377990e+02
2.0420352248333655e-02 2.5197065087863081e+01 -3.9932815045980482e+02
2.1991148575128554e-02 2.4575970398685705e+01 -3.9147416882582974e+02
2.3561944901923450e-02 2.3967212715009683e+01 -3.8362018719185585e+02
2.5132741228718346e-02 2.3370792036835027e+01 -3.7576620555788139e+02
2.6703537555513242e-02 2.2786708364161733e+01 -3.6791222392390688e+02
2.8274333882308138e-02 2.2214961696989803e+01 -3.6005824228993242e+02
2.9845130209103038e-02 2.1655552035319232e+01 -3.5220426065595734e+02
3.1415926535897934e-02 2.1108479379150022e+01 -3.4435027902198345e+02
3.2986722862692830e-02 2.0573743728482174e+01 -3.3649629738800894e+02
3.4557519189487726e-02 2.0051345083315688e+01 -3.2864231575403392e+02
3.6128315516282622e-02 1.9541283443650563e+01 -3.2078833412006003e+02
3.7699111843077518e-02 1.9043558809486804e+01 -3.1293435248608552e+02
3.9269908169872414e-02 1.8558171180824402e+01 -3.0508037085211049e+02
4.0840704496667310e-02 1.8085120557663359e+01 -2.9722638921813655e+02
4.2411500823462213e-02 1.7624406940003681e+01 -2.8937240758416203e+02
4.3982297150257109e-02 1.7176030327845368e+01 -2.8151842595018758e+02
4.5553093477052005e-02 1.6739990721188413e+01 -2.7366444431621306e+02
4.7123889803846901e-02 1.6316288120032819e+01 -2.6581046268223804e+02
4.8694686130641797e-02 1.5904922524378589e+01 -2.5795648104826415e+02
5.0265482457436693e-02 1.5505893934225721e+01 -2.5010249941428961e+02
5.1836278784231589e-02 1.5119202349574213e+01 -2.4224851778031515e+02
5.3407075111026485e-02 1.4744847770424066e+01 -2.3439453614634067e+02
5.4977871437821381e-02 1.4382830196775283e+01 -2.2654055451236562e+02
5.6548667764616277e-02 1.4033149628627861e+01 -2.1868657287839170e+02
5.8119464091411173e-02 1.3695806065981801e+01 -2.1083259124441722e+02
5.9690260418206076e-02 1.3370799508837099e+01 -2.0297860961044270e+02
6.1261056745000972e-02 1.3058129957193762e+01 -1.9512462797646822e+02
6.2831853071795868e-02 1.2757797411051786e+01 -1.8727064634249317e+02
6.4402649398590764e-02 1.2469801870411173e+01 -1.7941666470851928e+02
6.5973445725385660e-02 1.2194143335271921e+01 -1.7156268307454479e+02
6.7544242052180556e-02 1.1930821805634030e+01 -1.6370870144057031e+02
6.9115038378975452e-02 1.1679837281497502e+01 -1.5585471980659582e+02
7.0685834705770348e-02 1.1441189762862336e+01 -1.4800073817262077e+02
7.2256631032565244e-02 1.1214879249728531e+01 -1.4014675653864686e+02
7.3827427359360140e-02 1.1000905742096087e+01 -1.3229277490467240e+02
7.5398223686155036e-02 1.0799269239965005e+01 -1.2443879327069793e+02
7.6969020012949932e-02 1.0609969743335286e+01 -1.1658481163672344e+02
7.8539816339744828e-02 1.0433007252206927e+01 -1.0873083000274839e+02
8.0110612666539724e-02 1.0268381766579932e+01 -1.0087684836877449e+02
8.1681408993334620e-02 1.0116093286454294e+01 -9.3022866734800004e+01
8.3252205320129516e-02 9.9761418118300202e+00 -8.5168885100825506e+01
8.4823001646924426e-02 9.8485273427071061e+00 -7.7314903466850964e+01
8.6393797973719322e-02 9.7332498790855571e+00 -6.9460921832875925e+01
8.7964594300514218e-02 9.6303094209653679e+00 -6.1606940198902002e+01
8.9535390627309114e-02 9.5397059683465422e+00 -5.3752958564927525e+01
9.1106186954104010e-02 9.4614395212290781e+00 -4.5898976930953047e+01
9.2676983280898906e-02 9.3955100796129756e+00 -3.8044995296978563e+01
9.4247779607693802e-02 9.3419176434982329e+00 -3.0191013663003520e+01
9.5818575934488698e-02 9.3006622128848537e+00 -2.2337032029029039e+01
9.7389372261283594e-02 9.2717437877728361e+00 -1.4483050395055127e+01
9.8960168588078490e-02 9.2551623681621784e+00 -6.6290687610812133e+00
1.0053096491487339e-01 9.2502131447008153e+00 -1.4299117014730687e+00
1.0210176124166828e-01 9.2479670446525013e+00 -1.4299117014725033e+00
1.0367255756846318e-01 9.2457209446041873e+00 -1.4299117014730687e+00
1.0524335389525807e-01 9.2434748445558732e+00 -1.4299117014730687e+00
1.0681415022205297e-01 9.2412287445075592e+00 -1.4299117014725033e+00
1.0838494654884787e-01 9.2389826444592451e+00 -1.4299117014730687e+00
1.0995574287564276e-01 9.2367365444109311e+00 -1.4299117014730687e+00
1.1152653920243766e-01 9.2344904443626170e+00 -1.4299117014725033e+00
1.1309733552923255e-01 9.2322443443143030e+00 -1.4299117014730687e+00
1.1466813185602745e-01 9.2299982442659871e+00 -1.4299117014736342e+00
1.1623892818282235e-01 9.2277521442176713e+00 -1.4299117014730625e+00
1.1780972450961726e-01 9.2255060441693573e+00 -1.4299117014724969e+00
1.1938052083641215e-01 9.2232599441210432e+00 -1.4299117014725033e+00
1.2095131716320705e-01 9.2210138440727292e+00 -1.4299117014730687e+00
1.2252211349000194e-01 9.2187677440244151e+00 -1.4299117014730687e+00
1.2409290981679684e-01 9.2165216439760993e+00 -1.4299117014730687e+00
1.2566370614359174e-01 9.2142755439277835e+00 -1.4299117014730751e+00
1.2723450247038662e-01 9.2120294438794694e+00 -1.4299117014725033e+00
1.2880529879718153e-01 9.2097833438311554e+00 -1.4299117014730687e+00
1.3037609512397641e-01 9.2075372437828413e+00 -1.4299117014730687e+00
1.3194689145077132e-01 9.2052911437345255e+00 -1.4299117014730687e+00
1.3351768777756620e-01 9.2030450436862115e+00 -1.4299117014730687e+00
1.3508848410436111e-01 9.2007989436378974e+00 -1.4299117014724909e+00
1.3665928043115602e-01 9.1985528435895834e+00 -1.4299117014730687e+00
1.3823007675795090e-01 9.1963067435412693e+00 -1.4299117014730687e+00
1.3980087308474581e-01 9.1940606434929535e+00 -1.4299117014730687e+00
1.4137166941154070e-01 9.1918145434446394e+00 -1.4299117014730687e+00
1.4294246573833561e-01 9.1895684433963254e+00 -1.4299117014725033e+00
1.4451326206513049e-01 9.1873223433480113e+00 -1.4299117014730687e+00
1.4608405839192540e-01 9.1850762432996955e+00 -1.4299117014730687e+00
1.4765485471872028e-01 9.1828301432513815e+00 -1.4299117014730687e+00
1.4922565104551519e-01 9.1805840432030656e+00 -1.4299117014730687e+00
1.5079644737231007e-01 9.1783379431547516e+00 -1.4299117014725033e+00
1.5236724369910498e-01 9.1760918431064376e+00 -1.4299117014730687e+00
1.5393804002589986e-01 9.1738457430581235e+00 -1.4299117014730687e+00
1.5550883635269477e-01 9.1715996430098077e+00 -1.4299117014730687e+00
1.5707963267948966e-01 9.1693535429614936e+00 -1.4299117014730687e+00
1.5865042900628457e-01 9.1671074429131796e+00 -1.4299117014725033e+00
1.6022122533307945e-01 9.1648613428648655e+00 -1.4299117014730687e+00
1.6179202165987436e-01 9.1626152428165497e+00 -1.4299117014730687e+00
1.6336281798666924e-01 9.1603691427682357e+00 -1.4299117014730687e+00
1.6493361431346415e-01 9.1581230427199198e+00 -1.4299117014730687e+00
1.6650441064025903e-01 9.1558769426716058e+00 -1.4299117014725033e+00
1.6807520696705394e-01 9.1536308426232917e+00 -1.4299117014730562e+00
1.6964600329384885e-01 9.1513847425749759e+00 -1.4299117014730687e+00
1.7121679962064373e-01 9.1491386425266619e+00 -1.4299117014730687e+00
1.7278759594743864e-01 9.1468925424783460e+00 -1.4299117014730687e+00
1.7435839227423353e-01 9.1446464424300320e+00 -1.4299117014725033e+00
1.7592918860102844e-01 9.1424003423817179e+00 -1.4299117014730687e+00
1.7749998492782332e-01 9.1401542423334039e+00 -1.4299117014730687e+00
1.7907078125461823e-01 9.1379081422850881e+00 -1.4299117014730687e+00
