# x energy force
0.0000000000000000e+00 3.0706303757265399e+01 -5.0029724631993929e+02
1.5707963267948967e-03 2.9926607183191116e+01 -4.9244326468596540e+02
3.1415926535897933e-03 2.9159247614618195e+01 -4.8458928305199095e+02
4.7123889803846897e-03 2.8404225051546636e+01 -4.7673530141801643e+02
6.2831853071795866e-03 2.7661539493976441e+01 -4.6888131978404198e+02
7.8539816339744835e-03 2.6931190941907609e+01 -4.6102733815006746e+02
9.4247779607693795e-03 2.6213179395340134e+01 -4.5317335651609301e+02
1.0995574287564277e-02 2.5507504854274018e+01 -4.4531937488211855e+02
1.2566370614359173e-02 2.4814167318709270e+01 -4.3746539324814404e+02
1.4137166941154069e-02 2.4133166788645884e+01 -4.2961141161416958e+02
1.5707963267948967e-02 2.3464503264083856e+01 -4.2175742998019507e+02
1.7278759594743863e-02 2.2808176745023182e+01 -4.1390344834622027e+02
1.8849555921538759e-02 2.2164187231463888e+01 -4.0604946671224610e+02
2.0420352248333655e-02 2.1532534723405938e+01 -3.9819548507827159e+02
2.1991148575128554e-02 2.0913219220849360e+01 -3.9034150344429708e+02
2.3561944901923450e-02 2.0306240723794140e+01 -3.8248752181032262e+02
2.5132741228718346e-02 1.9711599232240285e+01 -3.7463354017634816e+02
2.6703537555513242e-02 1.9129294746187789e+01 -3.6677955854237365e+02
2.8274333882308138e-02 1.8559327265636657e+01 -3.5892557690839919e+02
2.9845130209103038e-02 1.8001696790586884e+01 -3.5107159527442468e+02
3.1415926535897934e-02 1.7456403321038476e+01 -3.4321761364045022e+02
3.2986722862692830e-02 1.6923446856991426e+01 -3.3536363200647571e+02
3.4557519189487726e-02 1.6402827398445741e+01 -3.2750965037250126e+02
3.6128315516282622e-02 1.5894544945401414e+01 -3.1965566873852680e+02
3.7699111843077518e-02 1.5398599497858452e+01 -3.1180168710455229e+02
3.9269908169872414e-02 1.4914991055816849e+01 -3.0394770547057783e+02
4.0840704496667310e-02 1.4443719619276610e+01 -2.9609372383660332e+02
4.2411500823462213e-02 1.3984785188237730e+01 -2.8823974220262880e+02
4.3982297150257109e-02 1.3538187762700215e+01 -2.8038576056865435e+02
