# x energy force
1.0000000000000000e-02 7.9643655190394156e+01 2.2846336290319891e+02
1.0996666666666667e-02 7.9416348898912346e+01 2.2766966348171019e+02
1.1993333333333333e-02 7.9189832136090843e+01 2.2687902445441597e+02
1.2990000000000002e-02 7.8964101027737641e+01 2.2609309933126633e+02
1.3986666666666668e-02 7.8739150889667272e+01 2.2531186000725774e+02
1.4983333333333335e-02 7.8514977065622077e+01 2.2453527854496298e+02
1.5980000000000001e-02 7.8291574927105714e+01 2.2376332717348535e+02
1.6976666666666668e-02 7.8068939873217644e+01 2.2299597828752312e+02
1.7973333333333334e-02 7.7847067330488585e+01 2.2223320444636494e+02
1.8970000000000001e-02 7.7625952752716998e+01 2.2147497837287708e+02
1.9966666666666667e-02 7.7405591620806490e+01 2.2072127295256317e+02
2.0963333333333334e-02 7.7185979442604193e+01 2.1997206123264368e+02
2.1960000000000000e-02 7.6967111752740138e+01 2.1922731642097264e+02
2.2956666666666667e-02 7.6748984112467582e+01 2.1848701188515392e+02
2.3953333333333333e-02 7.6531592109504260e+01 2.1775112115159959e+02
2.4950000000000000e-02 7.6314931357874613e+01 2.1701961790455380e+02
2.5946666666666666e-02 7.6098997497752919e+01 2.1629247598514411e+02
2.6943333333333333e-02 7.5883786195307394e+01 2.1556966939048374e+02
2.7940000000000000e-02 7.5669293142545243e+01 2.1485117227270848e+02
2.8936666666666666e-02 7.5455514057158538e+01 2.1413695893806502e+02
2.9933333333333333e-02 7.5242444682371158e+01 2.1342700384597595e+02
3.0929999999999999e-02 7.5030080786786513e+01 2.1272128160814984e+02
3.1926666666666666e-02 7.4818418164236249e+01 2.1201976698769610e+02
3.2923333333333332e-02 7.4607452633629805e+01 2.1132243489814121e+02
3.3920000000000006e-02 7.4397180038804919e+01 2.1062926040262570e+02
3.4916666666666672e-02 7.4187596248379009e+01 2.0994021871292372e+02
3.5913333333333339e-02 7.3978697155601409e+01 2.0925528518861654e+02
3.6910000000000005e-02 7.3770478678206530e+01 2.0857443533621864e+02
3.7906666666666672e-02 7.3562936758267867e+01 2.0789764480824860e+02
3.8903333333333338e-02 7.3356067362052883e+01 2.0722488940242397e+02
3.9900000000000005e-02 7.3149866479878753e+01 2.0655614506072709e+02
4.0896666666666671e-02 7.2944330125968989e+01 2.0589138786857157e+02
4.1893333333333338e-02 7.2739454338310921e+01 2.0523059405398214e+02
4.2890000000000005e-02 7.2535235178513972e+01 2.0457373998671045e+02
4.3886666666666671e-02 7.2331668731668870e+01 2.0392080217737978e+02
4.4883333333333338e-02 7.2128751106207588e+01 2.0327175727668671e+02
4.5880000000000004e-02 7.1926478433764245e+01 2.0262658207450946e+02
4.6876666666666671e-02 7.1724846869036725e+01 2.0198525349911742e+02
4.7873333333333337e-02 7.1523852589649167e+01 2.0134774861637177e+02
4.8870000000000004e-02 7.1323491796015318e+01 2.0071404462882060e+02
