# x energy force
1.0000000000000000e-02 4.0627392869296671e+01 2.5504833012961620e+02
1.0996666666666667e-02 4.0373960142231866e+01 2.5351232618772465e+02
1.1993333333333333e-02 4.0122054857965374e+01 2.5198322752429436e+02
1.2990000000000002e-02 3.9871669032199392e+01 2.5046324558469243e+02
1.3986666666666668e-02 3.9622793605686255e+01 2.4895232601357651e+02
1.4983333333333335e-02 3.9375419573190946e+01 2.4745041477968417e+02
1.5980000000000001e-02 3.9129537983169058e+01 2.4595745817394331e+02
1.6976666666666668e-02 3.8885139937446660e+01 2.4447340280745428e+02
1.7973333333333334e-02 3.8642216590902144e+01 2.4299819560962956e+02
1.8970000000000001e-02 3.8400759151149892e+01 2.4153178382632237e+02
1.9966666666666667e-02 3.8160758878225849e+01 2.4007411501790838e+02
2.0963333333333334e-02 3.7922207084274987e+01 2.3862513705740443e+02
2.1960000000000000e-02 3.7685095133240608e+01 2.3718479812863930e+02
2.2956666666666667e-02 3.7449414440555529e+01 2.3575304672435740e+02
2.3953333333333333e-02 3.7215156472835098e+01 2.3432983164440139e+02
2.4950000000000000e-02 3.6982312747572031e+01 2.3291510199386479e+02
2.5946666666666666e-02 3.6750874832833063e+01 2.3150880718131845e+02
2.6943333333333333e-02 3.6520834346957422e+01 2.3011089691695074e+02
2.7940000000000000e-02 3.6292182958257108e+01 2.2872132121076712e+02
2.8936666666666666e-02 3.6064912384718944e+01 2.2734003037083346e+02
2.9933333333333333e-02 3.5839014393708389e+01 2.2596697500151404e+02
3.0929999999999999e-02 3.5614480801675157e+01 2.2460210600162964e+02
3.1926666666666666e-02 3.5391303473860575e+01 2.2324537456275672e+02
3.2923333333333332e-02 3.5169474324006636e+01 2.2189673216755918e+02
3.3920000000000006e-02 3.4948985314066860e+01 2.2055613058784283e+02
3.4916666666666672e-02 3.4729828453918877e+01 2.1922352188302352e+02
3.5913333333333339e-02 3.4511995801078655e+01 2.1789885839835992e+02
3.6910000000000005e-02 3.4295479460416480e+01 2.1658209276319573e+02
3.7906666666666672e-02 3.4080271583874634e+01 2.1527317788933274e+02
3.8903333333333338e-02 3.3866364370186751e+01 2.1397206696929678e+02
3.9900000000000005e-02 3.3653750064598803e+01 2.1267871347474039e+02
4.0896666666666671e-02 3.3442420958591825e+01 2.1139307115465280e+02
4.1893333333333338e-02 3.3232369389606241e+01 2.1011509403380771e+02
4.2890000000000005e-02 3.3023587740767837e+01 2.0884473641114596e+02
4.3886666666666671e-02 3.2816068440615389e+01 2.0758195285798064e+02
4.4883333333333338e-02 3.2609803962829915e+01 2.0632669821655026e+02
4.5880000000000004e-02 3.2404786825965502e+01 2.0507892759832720e+02
4.6876666666666671e-02 3.2201009593181780e+01 2.0383859638238013e+02
4.7873333333333337e-02 3.1998464871977990e+01 2.0260566021385773e+02
4.8870000000000004e-02 3.1797145313928596e+01 2.0138007500231731e+02
4.9866666666666670e-02 3.1597043614420532e+01 2.0016179692021737e+02
5.0863333333333337e-02 3.1398152512391960e+01 1.9895078240133415e+02
5.1860000000000003e-02 3.1200464790072619e+01 1.9774698813915100e+02
5.2856666666666670e-02 3.1003973272725727e+01 1.9655037108538463e+02
5.3853333333333336e-02 3.0808670828391385e+01 1.9536088844841410e+02
5.4850000000000003e-02 3.0614550367631551e+01 1.9417849769172216e+02
5.5846666666666669e-02 3.0421604843276523e+01 1.9300315653241734e+02
5.6843333333333336e-02 3.0229827250172914e+01 1.9183482293970943e+02
5.7840000000000009e-02 3.0039210624933151e+01 1.9067345513339197e+02
5.8836666666666676e-02 2.9849748045686461e+01 1.8951901158237578e+02
5.9833333333333343e-02 2.9661432631831332e+01 1.8837145100316798e+02
6.0830000000000009e-02 2.9474257543789474e+01 1.8723073235841684e+02
