# x energy force
0.0000000000000000e+00 3.1107132501415229e+01 -5.0059322714315510e+02
1.5707963267948967e-03 3.0326971001751041e+01 -4.9273924550918065e+02
3.1415926535897933e-03 2.9559146507588210e+01 -4.8488526387520619e+02
4.7123889803846897e-03 2.8803659018926741e+01 -4.7703128224123168e+02
6.2831853071795866e-03 2.8060508535766637e+01 -4.6917730060725722e+02
7.8539816339744835e-03 2.7329695058107898e+01 -4.6132331897328271e+02
9.4247779607693795e-03 2.6611218585950510e+01 -4.5346933733930825e+02
1.0995574287564277e-02 2.5905079119294488e+01 -4.4561535570533380e+02
1.2566370614359173e-02 2.5211276658139834e+01 -4.3776137407135928e+02
1.4137166941154069e-02 2.4529811202486538e+01 -4.2990739243738483e+02
1.5707963267948967e-02 2.3860682752334604e+01 -4.2205341080341003e+02
1.7278759594743863e-02 2.3203891307684025e+01 -4.1419942916943552e+02
1.8849555921538759e-02 2.2559436868534817e+01 -4.0634544753546135e+02
2.0420352248333655e-02 2.1927319434886961e+01 -3.9849146590148683e+02
2.1991148575128554e-02 2.1307539006740473e+01 -3.9063748426751232e+02
2.3561944901923450e-02 2.0700095584095344e+01 -3.8278350263353786e+02
2.5132741228718346e-02 2.0104989166951583e+01 -3.7492952099956341e+02
2.6703537555513242e-02 1.9522219755309180e+01 -3.6707553936558890e+02
2.8274333882308138e-02 1.8951787349168136e+01 -3.5922155773161444e+02
2.9845130209103038e-02 1.8393691948528456e+01 -3.5136757609763993e+02
3.1415926535897934e-02 1.7847933553390138e+01 -3.4351359446366547e+02
3.2986722862692830e-02 1.7314512163753182e+01 -3.3565961282969096e+02
3.4557519189487726e-02 1.6793427779617588e+01 -3.2780563119571650e+02
3.6128315516282622e-02 1.6284680400983355e+01 -3.1995164956174204e+02
3.7699111843077518e-02 1.5788270027850484e+01 -3.1209766792776753e+02
3.9269908169872414e-02 1.5304196660218974e+01 -3.0424368629379308e+02
4.0840704496667310e-02 1.4832460298088826e+01 -2.9638970465981856e+02
4.2411500823462213e-02 1.4373060941460038e+01 -2.8853572302584405e+02
4.3982297150257109e-02 1.3925998590332615e+01 -2.8068174139186959e+02
4.5553093477052005e-02 1.3491273244706552e+01 -2.7282775975789508e+02
4.7123889803846901e-02 1.3068884904581850e+01 -2.6497377812392062e+02
4.8694686130641797e-02 1.2658833569958510e+01 -2.5711979648994617e+02
5.0265482457436693e-02 1.2261119240836532e+01 -2.4926581485597168e+02
5.1836278784231589e-02 1.1875741917215915e+01 -2.4141183322199723e+02
5.3407075111026485e-02 1.1502701599096662e+01 -2.3355785158802274e+02
5.4977871437821381e-02 1.1141998286478769e+01 -2.2570386995404797e+02
5.6548667764616277e-02 1.0793631979362239e+01 -2.1784988832007377e+02
5.8119464091411173e-02 1.0457602677747069e+01 -2.0999590668609929e+02
5.9690260418206076e-02 1.0133910381633260e+01 -2.0214192505212449e+02
6.1261056745000972e-02 9.8225550910208135e+00 -1.9428794341815029e+02
6.2831853071795868e-02 9.5235368059097283e+00 -1.8643396178417581e+02
6.4402649398590764e-02 9.2368555263000065e+00 -1.7857998015020135e+02
6.5973445725385660e-02 8.9625112521916463e+00 -1.7072599851622687e+02
6.7544242052180556e-02 8.7005039835846461e+00 -1.6287201688225238e+02
6.9115038378975452e-02 8.4508337204790092e+00 -1.5501803524827790e+02
7.0685834705770348e-02 8.2135004628747339e+00 -1.4716405361430341e+02
7.2256631032565244e-02 7.9885042107718194e+00 -1.3931007198032893e+02
7.3827427359360140e-02 7.7758449641702665e+00 -1.3145609034635447e+02
7.5398223686155036e-02 7.5755227230700761e+00 -1.2360210871237999e+02
7.6969020012949932e-02 7.3875374874712474e+00 -1.1574812707840550e+02
7.8539816339744828e-02 7.2118892573737794e+00 -1.0789414544443102e+02
8.0110612666539724e-02 7.0485780327776739e+00 -1.0004016381045655e+02
8.1681408993334620e-02 6.8976038136829301e+00 -9.2186182176482063e+01
8.3252205320129516e-02 6.7589666000895479e+00 -8.4332200542507579e+01
8.4823001646924426e-02 6.6326663919975264e+00 -7.6478218908533037e+01
8.6393797973719322e-02 6.5187031894068674e+00 -6.8624237274558553e+01
8.7964594300514218e-02 6.4170769923175701e+00 -6.0770255640584068e+01
8.9535390627309114e-02 6.3277878007296344e+00 -5.2916274006609591e+01
9.1106186954104010e-02 6.2508356146430613e+00 -4.5062292372635113e+01
9.2676983280898906e-02 6.1862204340578488e+00 -3.7208310738660629e+01
9.4247779607693802e-02 6.1339422589739989e+00 -2.9354329104686148e+01
9.5818575934488698e-02 6.0940010893915098e+00 -2.1500347470711667e+01
9.7389372261283594e-02 6.0663969253103831e+00 -1.3646365836736905e+01
9.8960168588078490e-02 6.0511297667306181e+00 -5.7923842027624266e+00
1.0053096491487339e-01 6.0474948043001486e+00 -5.9322714315513014e-01
1.0210176124166828e-01 6.0465629652827255e+00 -5.9322714315513014e-01
1.0367255756846318e-01 6.0456311262653024e+00 -5.9322714315513014e-01
1.0524335389525807e-01 6.0446992872478793e+00 -5.9322714315513014e-01
1.0681415022205297e-01 6.0437674482304562e+00 -5.9322714315513014e-01
1.0838494654884787e-01 6.0428356092130331e+00 -5.9322714315513014e-01
1.0995574287564276e-01 6.0419037701956100e+00 -5.9322714315513014e-01
1.1152653920243766e-01 6.0409719311781869e+00 -5.9322714315513014e-01
1.1309733552923255e-01 6.0400400921607638e+00 -5.9322714315513014e-01
1.1466813185602745e-01 6.0391082531433407e+00 -5.9322714315513014e-01
1.1623892818282235e-01 6.0381764141259175e+00 -5.9322714315512748e-01
1.1780972450961726e-01 6.0372445751084944e+00 -5.9322714315512748e-01
1.1938052083641215e-01 6.0363127360910713e+00 -5.9322714315513014e-01
1.2095131716320705e-01 6.0353808970736482e+00 -5.9322714315513014e-01
1.2252211349000194e-01 6.0344490580562251e+00 -5.9322714315513014e-01
1.2409290981679684e-01 6.0335172190388020e+00 -5.9322714315513014e-01
1.2566370614359174e-01 6.0325853800213789e+00 -5.9322714315513281e-01
1.2723450247038662e-01 6.0316535410039558e+00 -5.9322714315513025e-01
1.2880529879718153e-01 6.0307217019865327e+00 -5.9322714315513025e-01
1.3037609512397641e-01 6.0297898629691096e+00 -5.9322714315513025e-01
1.3194689145077132e-01 6.0288580239516865e+00 -5.9322714315513025e-01
1.3351768777756620e-01 6.0279261849342634e+00 -5.9322714315513025e-01
1.3508848410436111e-01 6.0269943459168402e+00 -5.9322714315512493e-01
1.3665928043115602e-01 6.0260625068994171e+00 -5.9322714315484737e-01
1.3823007675795090e-01 6.0251306678819949e+00 -5.9322714315484737e-01
1.3980087308474581e-01 6.0241988288645718e+00 -5.9322714315513025e-01
1.4137166941154070e-01 6.0232669898471487e+00 -5.9322714315513025e-01
1.4294246573833561e-01 6.0223351508297256e+00 -5.9322714315513025e-01
1.4451326206513049e-01 6.0214033118123025e+00 -5.9322714315513025e-01
1.4608405839192540e-01 6.0204714727948794e+00 -5.9322714315513025e-01
1.4765485471872028e-01 6.0195396337774563e+00 -5.9322714315513025e-01
1.4922565104551519e-01 6.0186077947600332e+00 -5.9322714315513025e-01
1.5079644737231007e-01 6.0176759557426100e+00 -5.9322714315513025e-01
1.5236724369910498e-01 6.0167441167251869e+00 -5.9322714315513025e-01
1.5393804002589986e-01 6.0158122777077638e+00 -5.9322714315513025e-01
1.5550883635269477e-01 6.0148804386903407e+00 -5.9322714315513025e-01
1.5707963267948966e-01 6.0139485996729176e+00 -5.9322714315513025e-01
1.5865042900628457e-01 6.0130167606554945e+00 -5.9322714315513025e-01
1.6022122533307945e-01 6.0120849216380714e+00 -5.9322714315513025e-01
1.6179202165987436e-01 6.0111530826206483e+00 -5.9322714315513025e-01
1.6336281798666924e-01 6.0102212436032252e+00 -5.9322714315513025e-01
1.6493361431346415e-01 6.0092894045858021e+00 -5.9322714315513025e-01
1.6650441064025903e-01 6.0083575655683790e+00 -5.9322714315513025e-01
1.6807520696705394e-01 6.0074257265509559e+00 -5.9322714315512493e-01
1.6964600329384885e-01 6.0064938875335327e+00 -5.9322714315513025e-01
1.7121679962064373e-01 6.0055620485161096e+00 -5.9322714315513025e-01
1.7278759594743864e-01 6.0046302094986865e+00 -5.9322714315513025e-01
1.7435839227423353e-01 6.0036983704812634e+00 -5.9322714315513025e-01
1.7592918860102844e-01 6.0027665314638403e+00 -5.9322714315484737e-01
1.7749998492782332e-01 6.0018346924464181e+00 -5.9322714315484737e-01
1.7907078125461823e-01 6.0009028534289950e+00 -5.9322714315513025e-01
1.8064157758141311e-01 5.9999710144115719e+00 -5.9322714315513025e-01
1.8221237390820802e-01 5.9990391753941488e+00 -5.9322714315513025e-01
1.8378317023500290e-01 5.9981073363767257e+00 -5.9322714315513025e-01
1.8535396656179781e-01 5.9971754973593026e+00 -5.9322714315513025e-01
1.8692476288859269e-01 5.9962436583418794e+00 -5.9322714315513025e-01
1.8849555921538760e-01 5.9953118193244563e+00 -5.9322714315513025e-01
1.9006635554218249e-01 5.9943799803070332e+00 -5.9322714315513025e-01
1.9163715186897740e-01 5.9934481412896101e+00 -5.9322714315513025e-01
1.9320794819577228e-01 5.9925163022721870e+00 -5.9322714315513025e-01
