# x energy force
1.0000000000000000e-02 8.0090059166658122e+01 2.2811358108878409e+02
1.0996666666666667e-02 7.9863096626808698e+01 2.2732964268931647e+02
1.1993333333333333e-02 7.9636913909569159e+01 2.2654871966427999e+02
1.2990000000000002e-02 7.9411507192049967e+01 2.2577245261503683e+02
1.3986666666666668e-02 7.9186871847628822e+01 2.2500081378191896e+02
1.4983333333333335e-02 7.8963003277268029e+01 2.2423377557083896e+02
1.5980000000000001e-02 7.8739896909350051e+01 2.2347131055220029e+02
1.6976666666666668e-02 7.8517548199514025e+01 2.2271339145989853e+02
1.7973333333333334e-02 7.8295952630493275e+01 2.2195999119044521e+02
1.8970000000000001e-02 7.8075105711953739e+01 2.2121108280193283e+02
1.9966666666666667e-02 7.7855002980333438e+01 2.2046663951306684e+02
2.0963333333333334e-02 7.7635639998682805e+01 2.1972663470225899e+02
2.1960000000000000e-02 7.7417012356506049e+01 2.1899104190662996e+02
2.2956666666666667e-02 7.7199115669603401e+01 2.1825983482110365e+02
2.3953333333333333e-02 7.6981945579914367e+01 2.1753298729735909e+02
2.4950000000000000e-02 7.6765497755361906e+01 2.1681047334303273e+02
2.5946666666666666e-02 7.6549767889697449e+01 2.1609226712076909e+02
2.6943333333333333e-02 7.6334751702346907e+01 2.1537834294719508e+02
2.7940000000000000e-02 7.6120444938257663e+01 2.1466867529207843e+02
2.8936666666666666e-02 7.5906843367746347e+01 2.1396323877743663e+02
2.9933333333333333e-02 7.5693942786347606e+01 2.1326200817655265e+02
3.0929999999999999e-02 7.5481739014663759e+01 2.1256495841310630e+02
3.1926666666666666e-02 7.5270227898215310e+01 2.1187206456036034e+02
3.2923333333333332e-02 7.5059405307292394e+01 2.1118330184012635e+02
3.3920000000000006e-02 7.4849267136807114e+01 2.1049864562197686e+02
3.4916666666666672e-02 7.4639809306146702e+01 2.0981807142231409e+02
3.5913333333333339e-02 7.4431027759027657e+01 2.0914155490352954e+02
3.6910000000000005e-02 7.4222918463350624e+01 2.0846907187312277e+02
3.7906666666666672e-02 7.4015477411056239e+01 2.0780059828282964e+02
3.8903333333333338e-02 7.3808700617981785e+01 2.0713611022777366e+02
3.9900000000000005e-02 7.3602584123718728e+01 2.0647558394557586e+02
4.0896666666666671e-02 7.3397123991471105e+01 2.0581899581554120e+02
4.1893333333333338e-02 7.3192316307914709e+01 2.0516632235783243e+02
4.2890000000000005e-02 7.2988157183057140e+01 2.0451754023260651e+02
4.3886666666666671e-02 7.2784642750098740e+01 2.0387262623910993e+02
4.4883333333333338e-02 7.2581769165294276e+01 2.0323155731498730e+02
4.5880000000000004e-02 7.2379532607815520e+01 2.0259431053535349e+02
4.6876666666666671e-02 7.2177929279614588e+01 2.0196086311199664e+02
4.7873333333333337e-02 7.1976955405288138e+01 2.0133119239259995e+02
4.8870000000000004e-02 7.1776607231942322e+01 2.0070527585987952e+02
4.9866666666666670e-02 7.1576881029058626e+01 2.0008309113082146e+02
5.0863333333333337e-02 7.1377773088360442e+01 1.9946461595584779e+02
5.1860000000000003e-02 7.1179279723680452e+01 1.9884982821803942e+02
5.2856666666666670e-02 7.0981397270828850e+01 1.9823870593234463e+02
5.3853333333333336e-02 7.0784122087462237e+01 1.9763122724479513e+02
5.4850000000000003e-02 7.0587450552953442e+01 1.9702737043171447e+02
5.5846666666666669e-02 7.0391379068261998e+01 1.9642711389894112e+02
5.6843333333333336e-02 7.0195904055805457e+01 1.9583043618106484e+02
5.7840000000000009e-02 7.0001021959331467e+01 1.9523731594065981e+02
5.8836666666666676e-02 6.9806729243790556e+01 1.9464773196752489e+02
5.9833333333333343e-02 6.9613022395209754e+01 1.9406166317789285e+02
6.0830000000000009e-02 6.9419897920566939e+01 1.9347908861371371e+02
6.1826666666666676e-02 6.9227352347665885e+01 1.9289998744190297e+02
6.2823333333333342e-02 6.9035382225012128e+01 1.9232433895358787e+02
6.3820000000000002e-02 6.8843984121689530e+01 1.9175212256334777e+02
6.4816666666666675e-02 6.8653154627237555e+01 1.9118331780850141e+02
6.5813333333333335e-02 6.8462890351529381e+01 1.9061790434837260e+02
6.6810000000000008e-02 6.8273187924650614e+01 1.9005586196354520e+02
6.7806666666666668e-02 6.8084043996778789e+01 1.8949717055517792e+02
6.8803333333333341e-02 6.7895455238063562e+01 1.8894181014427022e+02
6.9800000000000001e-02 6.7707418338507665e+01 1.8838976087091334e+02
7.0796666666666674e-02 6.7519930007848515e+01 1.8784100299359946e+02
7.1793333333333334e-02 6.7332986975440576e+01 1.8729551688854505e+02
7.2789999999999994e-02 6.7146585990138391e+01 1.8675328304895760e+02
7.3786666666666667e-02 6.6960723820180291e+01 1.8621428208435566e+02
7.4783333333333341e-02 6.6775397253072853e+01 1.8567849471985647e+02
7.5780000000000000e-02 6.6590603095476041e+01 1.8514590179549961e+02
7.6776666666666674e-02 6.6406338173088940e+01 1.8461648426558099e+02
7.7773333333333333e-02 6.6222599330536298e+01 1.8409022319790529e+02
7.8770000000000007e-02 6.6039383431255715e+01 1.8356709977316703e+02
7.9766666666666666e-02 6.5856687357385397e+01 1.8304709528431582e+02
8.0763333333333340e-02 6.5674508009652712e+01 1.8253019113577926e+02
8.1759999999999999e-02 6.5492842307263359e+01 1.8201636884285745e+02
8.2756666666666673e-02 6.5311687187791179e+01 1.8150561003108780e+02
8.3753333333333332e-02 6.5131039607068644e+01 1.8099789643555425e+02
8.4750000000000006e-02 6.4950896539077988e+01 1.8049320990020925e+02
8.5746666666666665e-02 6.4771254975843036e+01 1.7999153237728265e+02
8.6743333333333339e-02 6.4592111927321596e+01 1.7949284592660393e+02
8.7739999999999999e-02 6.4413464421298556e+01 1.7899713271496131e+02
8.8736666666666672e-02 6.4235309503279552e+01 1.7850437501546617e+02
8.9733333333333332e-02 6.4057644236385400e+01 1.7801455520692318e+02
9.0730000000000005e-02 6.3880465701246976e+01 1.7752765577320224e+02
