# x energy force
1.0000000000000000e-02 4.0670265638019835e+01 2.5500826592616352e+02
1.0996666666666667e-02 4.0416872283858758e+01 2.5347338121981400e+02
1.1993333333333333e-02 4.0165005260158921e+01 2.5194539543537724e+02
1.2990000000000002e-02 3.9914656589096722e+01 2.5042651973959815e+02
1.3986666666666668e-02 3.9665817218017821e+01 2.4891669981672644e+02
1.4983333333333335e-02 3.9418478148241206e+01 2.4741588167480893e+02
1.5980000000000001e-02 3.9172630434737421e+01 2.4592401164383105e+02
1.6976666666666668e-02 3.8928265185808634e+01 2.4444103637380749e+02
1.7973333333333334e-02 3.8685373562770707e+01 2.4296690283274020e+02
1.8970000000000001e-02 3.8443946779637130e+01 2.4150155830487697e+02
1.9966666666666667e-02 3.8203976102804788e+01 2.4004495038878736e+02
2.0963333333333334e-02 3.7965452850741670e+01 2.3859702699540100e+02
2.1960000000000000e-02 3.7728368393676412e+01 2.3715773634625256e+02
2.2956666666666667e-02 3.7492714153289697e+01 2.3572702697157158e+02
2.3953333333333333e-02 3.7258481602407464e+01 2.3430484770849327e+02
2.4950000000000000e-02 3.7025662264695995e+01 2.3289114769913959e+02
2.5946666666666666e-02 3.6794247714358796e+01 2.3148587638887838e+02
2.6943333333333333e-02 3.6564229575835277e+01 2.3008898352454224e+02
2.7940000000000000e-02 3.6335599523501223e+01 2.2870041915248351e+02
2.8936666666666666e-02 3.6108349281371126e+01 2.2732013361694607e+02
2.9933333333333333e-02 3.5882470622802160e+01 2.2594807755824169e+02
3.0929999999999999e-02 3.5657955370200021e+01 2.2458420191093046e+02
3.1926666666666666e-02 3.5434795394726514e+01 2.2322845790213375e+02
3.2923333333333332e-02 3.5212982616008816e+01 2.2188079704976596e+02
3.3920000000000006e-02 3.4992509001850557e+01 2.2054117116078689e+02
3.4916666666666672e-02 3.4773366567944564e+01 2.1920953232949449e+02
3.5913333333333339e-02 3.4555547377587352e+01 2.1788583293580632e+02
3.6910000000000005e-02 3.4339043541395291e+01 2.1657002564357438e+02
3.7906666666666672e-02 3.4123847217022480e+01 2.1526206339886306e+02
3.8903333333333338e-02 3.3909950608880294e+01 2.1396189942826118e+02
3.9900000000000005e-02 3.3697345967858645e+01 2.1266948723725957e+02
4.0896666666666671e-02 3.3486025591048822e+01 2.1138478060854018e+02
4.1893333333333338e-02 3.3275981821468065e+01 2.1010773360033656e+02
4.2890000000000005e-02 3.3067207047785729e+01 2.0883830054481902e+02
4.3886666666666671e-02 3.2859693704051097e+01 2.0757643604641547e+02
4.4883333333333338e-02 3.2653434269422831e+01 2.0632209498019699e+02
4.5880000000000004e-02 3.2448421267900038e+01 2.0507523249029521e+02
4.6876666666666671e-02 3.2244647268054877e+01 2.0383580398828374e+02
4.7873333333333337e-02 3.2042104882766843e+01 2.0260376515157768e+02
4.8870000000000004e-02 3.1840786768958598e+01 2.0137907192182982e+02
4.9866666666666670e-02 3.1640685627333369e+01 2.0016168050338172e+02
5.0863333333333337e-02 3.1441794202113922e+01 1.9895154736173279e+02
5.1860000000000003e-02 3.1244105280783089e+01 1.9774862922187842e+02
5.2856666666666670e-02 3.1047611693825871e+01 1.9655288306684869e+02
5.3853333333333336e-02 3.0852306314473015e+01 1.9536426613620719e+02
5.4850000000000003e-02 3.0658182058446165e+01 1.9418273592436239e+02
5.5846666666666669e-02 3.0465231883704558e+01 1.9300825017920002e+02
5.6843333333333336e-02 3.0273448790193154e+01 1.9184076690054002e+02
5.7840000000000009e-02 3.0082825819592330e+01 1.9068024433856576e+02
5.8836666666666676e-02 2.9893356055069059e+01 1.8952664099241190e+02
5.9833333333333343e-02 2.9705032621029542e+01 1.8837991560862977e+02
6.0830000000000009e-02 2.9517848682873332e+01 1.8724002717975284e+02
6.1826666666666676e-02 2.9331797446748936e+01 1.8610693494278001e+02
6.2823333333333342e-02 2.9146872159310863e+01 1.8498059837776512e+02
6.3820000000000002e-02 2.8963066107478110e+01 1.8386097720636104e+02
6.4816666666666675e-02 2.8780372618194104e+01 1.8274803139030541e+02
6.5813333333333335e-02 2.8598785058188092e+01 1.8164172113012032e+02
6.6810000000000008e-02 2.8418296833737887e+01 1.8054200686359553e+02
6.7806666666666668e-02 2.8238901390434119e+01 1.7944884926436751e+02
6.8803333333333341e-02 2.8060592212945817e+01 1.7836220924058500e+02
