# x energy force
0.0000000000000000e+00 4.3441472511434903e+01 -5.0754103009263201e+02
1.5707963267948967e-03 4.2650397428418380e+01 -4.9968704845865756e+02
3.1415926535897933e-03 4.1871659350903215e+01 -4.9183306682468310e+02
4.7123889803846897e-03 4.1105258278889416e+01 -4.8397908519070859e+02
6.2831853071795866e-03 4.0351194212376981e+01 -4.7612510355673413e+02
7.8539816339744835e-03 3.9609467151365905e+01 -4.6827112192275962e+02
9.4247779607693795e-03 3.8880077095856187e+01 -4.6041714028878516e+02
1.0995574287564277e-02 3.8163024045847834e+01 -4.5256315865481071e+02
1.2566370614359173e-02 3.7458308001340839e+01 -4.4470917702083619e+02
1.4137166941154069e-02 3.6765928962335209e+01 -4.3685519538686060e+02
1.5707963267948967e-02 3.6085886928830945e+01 -4.2900121375288722e+02
1.7278759594743863e-02 3.5418181900828031e+01 -4.2114723211891271e+02
1.8849555921538759e-02 3.4762813878326497e+01 -4.1329325048493826e+02
2.0420352248333655e-02 3.4119782861326300e+01 -4.0543926885096374e+02
2.1991148575128554e-02 3.3489088849827482e+01 -3.9758528721698923e+02
2.3561944901923450e-02 3.2870731843830022e+01 -3.8973130558301477e+02
2.5132741228718346e-02 3.2264711843333927e+01 -3.8187732394903918e+02
2.6703537555513242e-02 3.1671028848339191e+01 -3.7402334231506580e+02
2.8274333882308138e-02 3.1089682858845812e+01 -3.6616936068109248e+02
2.9845130209103038e-02 3.0520673874853799e+01 -3.5831537904711683e+02
3.1415926535897934e-02 2.9964001896363150e+01 -3.5046139741314238e+02
3.2986722862692830e-02 2.9419666923373860e+01 -3.4260741577916787e+02
3.4557519189487726e-02 2.8887668955885935e+01 -3.3475343414519341e+02
3.6128315516282622e-02 2.8368007993899369e+01 -3.2689945251121895e+02
3.7699111843077518e-02 2.7860684037414163e+01 -3.1904547087724444e+02
3.9269908169872414e-02 2.7365697086430320e+01 -3.1119148924326998e+02
4.0840704496667310e-02 2.6883047140947838e+01 -3.0333750760929547e+02
4.2411500823462213e-02 2.6412734200966717e+01 -2.9548352597532096e+02
4.3982297150257109e-02 2.5954758266486962e+01 -2.8762954434134650e+02
4.5553093477052005e-02 2.5509119337508565e+01 -2.7977556270737199e+02
4.7123889803846901e-02 2.5075817414031530e+01 -2.7192158107339753e+02
4.8694686130641797e-02 2.4654852496055859e+01 -2.6406759943942308e+02
5.0265482457436693e-02 2.4246224583581547e+01 -2.5621361780544856e+02
5.1836278784231589e-02 2.3849933676608597e+01 -2.4835963617147411e+02
5.3407075111026485e-02 2.3465979775137011e+01 -2.4050565453749851e+02
5.4977871437821381e-02 2.3094362879166784e+01 -2.3265167290352517e+02
5.6548667764616277e-02 2.2735082988697918e+01 -2.2479769126955068e+02
5.8119464091411173e-02 2.2388140103730418e+01 -2.1694370963557617e+02
5.9690260418206076e-02 2.2053534224264276e+01 -2.0908972800160166e+02
6.1261056745000972e-02 2.1731265350299495e+01 -2.0123574636762720e+02
6.2831853071795868e-02 2.1421333481836079e+01 -1.9338176473365272e+02
6.4402649398590764e-02 2.1123738618874022e+01 -1.8552778309967826e+02
6.5973445725385660e-02 2.0838480761413329e+01 -1.7767380146570378e+02
6.7544242052180556e-02 2.0565559909453999e+01 -1.6981981983172929e+02
6.9115038378975452e-02 2.0304976062996026e+01 -1.6196583819775481e+02
7.0685834705770348e-02 2.0056729222039419e+01 -1.5411185656378032e+02
7.2256631032565244e-02 1.9820819386584169e+01 -1.4625787492980584e+02
7.3827427359360140e-02 1.9597246556630285e+01 -1.3840389329583138e+02
7.5398223686155036e-02 1.9386010732177763e+01 -1.3054991166185690e+02
7.6969020012949932e-02 1.9187111913226598e+01 -1.2269593002788240e+02
7.8539816339744828e-02 1.9000550099776799e+01 -1.1484194839390678e+02
8.0110612666539724e-02 1.8826325291828361e+01 -1.0698796675993344e+02
8.1681408993334620e-02 1.8664437489381282e+01 -9.9133985125958958e+01
8.3252205320129516e-02 1.8514886692435567e+01 -9.1280003491984445e+01
8.4823001646924426e-02 1.8377672900991215e+01 -8.3426021858009904e+01
8.6393797973719322e-02 1.8252796115048220e+01 -7.5572040224035447e+01
8.7964594300514218e-02 1.8140256334606590e+01 -6.7718058590060963e+01
8.9535390627309114e-02 1.8040053559666323e+01 -5.9864076956086485e+01
9.1106186954104010e-02 1.7952187790227416e+01 -5.2010095322112008e+01
9.2676983280898906e-02 1.7876659026289872e+01 -4.4156113688137523e+01
9.4247779607693802e-02 1.7813467267853689e+01 -3.6302132054163046e+01
9.5818575934488698e-02 1.7762612514918867e+01 -2.8448150420188565e+01
9.7389372261283594e-02 1.7724094767485404e+01 -2.0594168786214084e+01
9.8960168588078490e-02 1.7697914025553306e+01 -1.2740187152239606e+01
1.0053096491487339e-01 1.7683365479770504e+01 -7.5410300926320266e+00
1.0210176124166828e-01 1.7671520057400748e+01 -7.5410300926320266e+00
1.0367255756846318e-01 1.7659674635030992e+01 -7.5410300926320266e+00
1.0524335389525807e-01 1.7647829212661236e+01 -7.5410300926320266e+00
1.0681415022205297e-01 1.7635983790291480e+01 -7.5410300926320266e+00
1.0838494654884787e-01 1.7624138367921724e+01 -7.5410300926320266e+00
1.0995574287564276e-01 1.7612292945551967e+01 -7.5410300926320266e+00
1.1152653920243766e-01 1.7600447523182211e+01 -7.5410300926320266e+00
1.1309733552923255e-01 1.7588602100812455e+01 -7.5410300926320266e+00
1.1466813185602745e-01 1.7576756678442699e+01 -7.5410300926320266e+00
1.1623892818282235e-01 1.7564911256072943e+01 -7.5410300926319946e+00
1.1780972450961726e-01 1.7553065833703187e+01 -7.5410300926319946e+00
1.1938052083641215e-01 1.7541220411333430e+01 -7.5410300926320266e+00
1.2095131716320705e-01 1.7529374988963674e+01 -7.5410300926308969e+00
1.2252211349000194e-01 1.7517529566593918e+01 -7.5410300926320284e+00
1.2409290981679684e-01 1.7505684144224162e+01 -7.5410300926320284e+00
1.2566370614359174e-01 1.7493838721854406e+01 -7.5410300926320613e+00
1.2723450247038662e-01 1.7481993299484650e+01 -7.5410300926320284e+00
1.2880529879718153e-01 1.7470147877114893e+01 -7.5410300926320284e+00
1.3037609512397641e-01 1.7458302454745137e+01 -7.5410300926320284e+00
1.3194689145077132e-01 1.7446457032375381e+01 -7.5410300926320284e+00
1.3351768777756620e-01 1.7434611610005625e+01 -7.5410300926320284e+00
1.3508848410436111e-01 1.7422766187635869e+01 -7.5410300926319618e+00
1.3665928043115602e-01 1.7410920765266113e+01 -7.5410300926320284e+00
1.3823007675795090e-01 1.7399075342896356e+01 -7.5410300926320284e+00
1.3980087308474581e-01 1.7387229920526600e+01 -7.5410300926320284e+00
1.4137166941154070e-01 1.7375384498156844e+01 -7.5410300926320284e+00
1.4294246573833561e-01 1.7363539075787088e+01 -7.5410300926308969e+00
1.4451326206513049e-01 1.7351693653417332e+01 -7.5410300926320266e+00
1.4608405839192540e-01 1.7339848231047576e+01 -7.5410300926320266e+00
