# x energy force
0.0000000000000000e+00 2.9432371601722974e+01 -4.9926983486557674e+02
1.5707963267948967e-03 2.8654288881787313e+01 -4.9141585323160228e+02
3.1415926535897933e-03 2.7888543167353014e+01 -4.8356187159762811e+02
4.7123889803846897e-03 2.7135134458420069e+01 -4.7570788996365360e+02
6.2831853071795866e-03 2.6394062754988497e+01 -4.6785390832967886e+02
7.8539816339744835e-03 2.5665328057058282e+01 -4.5999992669570435e+02
9.4247779607693795e-03 2.4948930364629426e+01 -4.5214594506172989e+02
1.0995574287564277e-02 2.4244869677701935e+01 -4.4429196342775543e+02
1.2566370614359173e-02 2.3553145996275809e+01 -4.3643798179378092e+02
1.4137166941154069e-02 2.2873759320351041e+01 -4.2858400015980675e+02
1.5707963267948967e-02 2.2206709649927632e+01 -4.2073001852583224e+02
1.7278759594743863e-02 2.1551996985005580e+01 -4.1287603689185744e+02
1.8849555921538759e-02 2.0909621325584908e+01 -4.0502205525788298e+02
2.0420352248333655e-02 2.0279582671665580e+01 -3.9716807362390847e+02
2.1991148575128554e-02 1.9661881023247620e+01 -3.8931409198993396e+02
2.3561944901923450e-02 1.9056516380331018e+01 -3.8146011035595950e+02
2.5132741228718346e-02 1.8463488742915786e+01 -3.7360612872198504e+02
2.6703537555513242e-02 1.7882798111001911e+01 -3.6575214708801053e+02
2.8274333882308138e-02 1.7314444484589398e+01 -3.5789816545403608e+02
2.9845130209103038e-02 1.6758427863678246e+01 -3.5004418382006156e+02
3.1415926535897934e-02 1.6214748248268457e+01 -3.4219020218608711e+02
3.2986722862692830e-02 1.5683405638360030e+01 -3.3433622055211259e+02
3.4557519189487726e-02 1.5164400033952965e+01 -3.2648223891813814e+02
3.6128315516282622e-02 1.4657731435047261e+01 -3.1862825728416368e+02
3.7699111843077518e-02 1.4163399841642919e+01 -3.1077427565018945e+02
3.9269908169872414e-02 1.3681405253739936e+01 -3.0292029401621500e+02
4.0840704496667310e-02 1.3211747671338316e+01 -2.9506631238224020e+02
4.2411500823462213e-02 1.2754427094438057e+01 -2.8721233074826569e+02
4.3982297150257109e-02 1.2309443523039164e+01 -2.7935834911429123e+02
4.5553093477052005e-02 1.1876796957141629e+01 -2.7150436748031672e+02
4.7123889803846901e-02 1.1456487396745455e+01 -2.6365038584634226e+02
4.8694686130641797e-02 1.1048514841850647e+01 -2.5579640421236809e+02
5.0265482457436693e-02 1.0652879292457197e+01 -2.4794242257839358e+02
5.1836278784231589e-02 1.0269580748565108e+01 -2.4008844094441883e+02
5.3407075111026485e-02 9.8986192101743846e+00 -2.3223445931044435e+02
5.4977871437821381e-02 9.5399946772850193e+00 -2.2438047767646987e+02
5.6548667764616277e-02 9.1937071498970173e+00 -2.1652649604249538e+02
5.8119464091411173e-02 8.8597566280103770e+00 -2.0867251440852090e+02
5.9690260418206076e-02 8.5381431116250965e+00 -2.0081853277454638e+02
6.1261056745000972e-02 8.2288666007411795e+00 -1.9296455114057190e+02
6.2831853071795868e-02 7.9319270953586241e+00 -1.8511056950659741e+02
6.4402649398590764e-02 7.6473245954774303e+00 -1.7725658787262296e+02
6.5973445725385660e-02 7.3750591010975981e+00 -1.6940260623864847e+02
6.7544242052180556e-02 7.1151306122191276e+00 -1.6154862460467427e+02
6.9115038378975452e-02 6.8675391288420187e+00 -1.5369464297069979e+02
7.0685834705770348e-02 6.6322846509662714e+00 -1.4584066133672502e+02
7.2256631032565244e-02 6.4093671785918866e+00 -1.3798667970275054e+02
7.3827427359360140e-02 6.1987867117188626e+00 -1.3013269806877608e+02
7.5398223686155036e-02 6.0005432503472012e+00 -1.2227871643480158e+02
7.6969020012949932e-02 5.8146367944769004e+00 -1.1442473480082710e+02
7.8539816339744828e-02 5.6410673441079622e+00 -1.0657075316685290e+02
8.0110612666539724e-02 5.4798348992403847e+00 -9.8716771532878425e+01
8.1681408993334620e-02 5.3309394598741697e+00 -9.0862789898903657e+01
8.3252205320129516e-02 5.1943810260093164e+00 -8.3008808264929186e+01
8.4823001646924426e-02 5.0701595976458229e+00 -7.5154826630954645e+01
8.6393797973719322e-02 4.9582751747836937e+00 -6.7300844996980146e+01
8.7964594300514218e-02 4.8587277574229253e+00 -5.9446863363005669e+01
8.9535390627309114e-02 4.7715173455635185e+00 -5.1592881729031191e+01
9.1106186954104010e-02 4.6966439392054742e+00 -4.3738900095056714e+01
9.2676983280898906e-02 4.6341075383487906e+00 -3.5884918461082229e+01
9.4247779607693802e-02 4.5839081429934696e+00 -2.8030936827107752e+01
9.5818575934488698e-02 4.5460457531395093e+00 -2.0176955193133271e+01
9.7389372261283594e-02 4.5205203687869115e+00 -1.2322973559158790e+01
9.8960168588078490e-02 4.5073319899356745e+00 -4.4689919251845938e+00
1.0053096491487339e-01 4.5057758072337331e+00 7.3016513442298503e-01
1.0210176124166828e-01 4.5069227479448388e+00 7.3016513442326769e-01
1.0367255756846318e-01 4.5080696886559446e+00 7.3016513442326769e-01
1.0524335389525807e-01 4.5092166293670504e+00 7.3016513442326769e-01
1.0681415022205297e-01 4.5103635700781561e+00 7.3016513442326769e-01
1.0838494654884787e-01 4.5115105107892619e+00 7.3016513442326769e-01
1.0995574287564276e-01 4.5126574515003677e+00 7.3016513442326769e-01
1.1152653920243766e-01 4.5138043922114734e+00 7.3016513442326769e-01
1.1309733552923255e-01 4.5149513329225792e+00 7.3016513442298503e-01
1.1466813185602745e-01 4.5160982736336841e+00 7.3016513442298503e-01
1.1623892818282235e-01 4.5172452143447899e+00 7.3016513442326469e-01
1.1780972450961726e-01 4.5183921550558956e+00 7.3016513442326469e-01
1.1938052083641215e-01 4.5195390957670014e+00 7.3016513442326769e-01
1.2095131716320705e-01 4.5206860364781072e+00 7.3016513442326769e-01
1.2252211349000194e-01 4.5218329771892130e+00 7.3016513442326769e-01
1.2409290981679684e-01 4.5229799179003187e+00 7.3016513442326769e-01
1.2566370614359174e-01 4.5241268586114245e+00 7.3016513442327102e-01
1.2723450247038662e-01 4.5252737993225303e+00 7.3016513442326769e-01
1.2880529879718153e-01 4.5264207400336360e+00 7.3016513442298503e-01
1.3037609512397641e-01 4.5275676807447409e+00 7.3016513442298503e-01
1.3194689145077132e-01 4.5287146214558467e+00 7.3016513442326769e-01
1.3351768777756620e-01 4.5298615621669525e+00 7.3016513442326769e-01
1.3508848410436111e-01 4.5310085028780582e+00 7.3016513442326136e-01
1.3665928043115602e-01 4.5321554435891640e+00 7.3016513442326769e-01
1.3823007675795090e-01 4.5333023843002698e+00 7.3016513442326769e-01
1.3980087308474581e-01 4.5344493250113755e+00 7.3016513442326769e-01
1.4137166941154070e-01 4.5355962657224813e+00 7.3016513442326769e-01
1.4294246573833561e-01 4.5367432064335871e+00 7.3016513442298503e-01
1.4451326206513049e-01 4.5378901471446920e+00 7.3016513442298503e-01
1.4608405839192540e-01 4.5390370878557977e+00 7.3016513442326769e-01
1.4765485471872028e-01 4.5401840285669035e+00 7.3016513442326769e-01
1.4922565104551519e-01 4.5413309692780093e+00 7.3016513442326769e-01
1.5079644737231007e-01 4.5424779099891150e+00 7.3016513442326769e-01
1.5236724369910498e-01 4.5436248507002208e+00 7.3016513442326769e-01
1.5393804002589986e-01 4.5447717914113266e+00 7.3016513442326769e-01
1.5550883635269477e-01 4.5459187321224324e+00 7.3016513442326769e-01
1.5707963267948966e-01 4.5470656728335381e+00 7.3016513442326769e-01
1.5865042900628457e-01 4.5482126135446439e+00 7.3016513442326769e-01
1.6022122533307945e-01 4.5493595542557497e+00 7.3016513442298503e-01
1.6179202165987436e-01 4.5505064949668554e+00 7.3016513442298503e-01
1.6336281798666924e-01 4.5516534356779612e+00 7.3016513442326769e-01
1.6493361431346415e-01 4.5528003763890670e+00 7.3016513442326769e-01
1.6650441064025903e-01 4.5539473171001728e+00 7.3016513442326769e-01
1.6807520696705394e-01 4.5550942578112785e+00 7.3016513442326136e-01
1.6964600329384885e-01 4.5562411985223843e+00 7.3016513442326769e-01
1.7121679962064373e-01 4.5573881392334901e+00 7.3016513442326769e-01
1.7278759594743864e-01 4.5585350799445958e+00 7.3016513442326769e-01
1.7435839227423353e-01 4.5596820206557016e+00 7.3016513442298503e-01
1.7592918860102844e-01 4.5608289613668074e+00 7.3016513442298503e-01
1.7749998492782332e-01 4.5619759020779131e+00 7.3016513442326769e-01
1.7907078125461823e-01 4.5631228427890189e+00 7.3016513442326769e-01
1.8064157758141311e-01 4.5642697835001247e+00 7.3016513442326769e-01
1.8221237390820802e-01 4.5654167242112305e+00 7.3016513442326769e-01
1.8378317023500290e-01 4.5665636649223362e+00 7.3016513442326769e-01
1.8535396656179781e-01 4.5677106056334420e+00 7.3016513442326769e-01
1.8692476288859269e-01 4.5688575463445478e+00 7.3016513442326769e-01
1.8849555921538760e-01 4.5700044870556535e+00 7.3016513442326769e-01
1.9006635554218249e-01 4.5711514277667593e+00 7.3016513442326769e-01
1.9163715186897740e-01 4.5722983684778651e+00 7.3016513442326769e-01
1.9320794819577228e-01 4.5734453091889709e+00 7.3016513442326769e-01
1.9477874452256719e-01 4.5745922499000766e+00 7.3016513442298503e-01
1.9634954084936207e-01 4.5757391906111815e+00 7.3016513442298503e-01
1.9792033717615698e-01 4.5768861313222873e+00 7.3016513442326769e-01
1.9949113350295186e-01 4.5780330720333930e+00 7.3016513442326769e-01
2.0106192982974677e-01 4.5791800127444988e+00 7.3016513442326136e-01
2.0263272615654168e-01 4.5803269534556046e+00 7.3016513442326769e-01
2.0420352248333656e-01 4.5814738941667104e+00 7.3016513442326769e-01
2.0577431881013147e-01 4.5826208348778161e+00 7.3016513442326769e-01
2.0734511513692636e-01 4.5837677755889219e+00 7.3016513442326769e-01
2.0891591146372127e-01 4.5849147163000277e+00 7.3016513442298503e-01
2.1048670779051615e-01 4.5860616570111326e+00 7.3016513442298503e-01
2.1205750411731106e-01 4.5872085977222383e+00 7.3016513442326769e-01
2.1362830044410594e-01 4.5883555384333441e+00 7.3016513442326769e-01
2.1519909677090085e-01 4.5895024791444499e+00 7.3016513442326769e-01
2.1676989309769573e-01 4.5906494198555556e+00 7.3016513442326769e-01
2.1834068942449064e-01 4.5917963605666614e+00 7.3016513442326769e-01
2.1991148575128552e-01 4.5929433012777672e+00 7.3016513442326769e-01
2.2148228207808043e-01 4.5940902419888729e+00 7.3016513442326769e-01
2.2305307840487532e-01 4.5952371826999787e+00 7.3016513442326769e-01
2.2462387473167023e-01 4.5963841234110845e+00 7.3016513442298503e-01
2.2619467105846511e-01 4.5975310641221894e+00 7.3016513442298503e-01
2.2776546738526002e-01 4.5986780048332951e+00 7.3016513442326769e-01
2.2933626371205490e-01 4.5998249455444009e+00 7.3016513442326769e-01
2.3090706003884981e-01 4.6009718862555067e+00 7.3016513442326769e-01
2.3247785636564469e-01 4.6021188269666125e+00 7.3016513442326769e-01
2.3404865269243960e-01 4.6032657676777182e+00 7.3016513442326136e-01
2.3561944901923451e-01 4.6044127083888240e+00 7.3016513442326769e-01
2.3719024534602939e-01 4.6055596490999298e+00 7.3016513442326769e-01
2.3876104167282430e-01 4.6067065898110355e+00 7.3016513442298503e-01
2.4033183799961919e-01 4.6078535305221404e+00 7.3016513442298503e-01
2.4190263432641410e-01 4.6090004712332462e+00 7.3016513442326769e-01
2.4347343065320898e-01 4.6101474119443520e+00 7.3016513442326769e-01
2.4504422698000389e-01 4.6112943526554577e+00 7.3016513442326769e-01
2.4661502330679877e-01 4.6124412933665635e+00 7.3016513442326769e-01
2.4818581963359368e-01 4.6135882340776693e+00 7.3016513442326769e-01
2.4975661596038856e-01 4.6147351747887750e+00 7.3016513442326769e-01
2.5132741228718347e-01 4.6158821154998808e+00 7.3016513442326136e-01
2.5289820861397838e-01 4.6170290562109866e+00 7.3016513442327413e-01
2.5446900494077324e-01 4.6181759969220924e+00 7.3016513442327413e-01
2.5603980126756815e-01 4.6193229376331981e+00 7.3016513442297870e-01
2.5761059759436306e-01 4.6204698783443039e+00 7.3016513442297870e-01
2.5918139392115797e-01 4.6216168190554097e+00 7.3016513442327413e-01
2.6075219024795282e-01 4.6227637597665154e+00 7.3016513442327413e-01
2.6232298657474773e-01 4.6239107004776212e+00 7.3016513442326136e-01
2.6389378290154264e-01 4.6250576411887270e+00 7.3016513442326136e-01
2.6546457922833755e-01 4.6262045818998327e+00 7.3016513442327413e-01
2.6703537555513240e-01 4.6273515226109385e+00 7.3016513442327413e-01
2.6860617188192731e-01 4.6284984633220443e+00 7.3016513442326136e-01
2.7017696820872222e-01 4.6296454040331501e+00 7.3016513442297870e-01
2.7174776453551713e-01 4.6307923447442558e+00 7.3016513442297870e-01
2.7331856086231204e-01 4.6319392854553616e+00 7.3016513442327413e-01
2.7488935718910690e-01 4.6330862261664674e+00 7.3016513442327413e-01
2.7646015351590181e-01 4.6342331668775731e+00 7.3016513442326136e-01
2.7803094984269672e-01 4.6353801075886789e+00 7.3016513442326136e-01
2.7960174616949163e-01 4.6365270482997847e+00 7.3016513442327413e-01
2.8117254249628648e-01 4.6376739890108905e+00 7.3016513442327413e-01
2.8274333882308139e-01 4.6388209297219962e+00 7.3016513442326136e-01
2.8431413514987630e-01 4.6399678704331020e+00 7.3016513442326136e-01
2.8588493147667121e-01 4.6411148111442078e+00 7.3016513442327413e-01
2.8745572780346607e-01 4.6422617518553135e+00 7.3016513442327413e-01
2.8902652413026098e-01 4.6434086925664193e+00 7.3016513442326136e-01
2.9059732045705589e-01 4.6445556332775251e+00 7.3016513442297870e-01
2.9216811678385080e-01 4.6457025739886308e+00 7.3016513442299158e-01
2.9373891311064565e-01 4.6468495146997366e+00 7.3016513442327413e-01
2.9530970943744056e-01 4.6479964554108424e+00 7.3016513442326136e-01
2.9688050576423547e-01 4.6491433961219482e+00 7.3016513442326136e-01
2.9845130209103038e-01 4.6502903368330539e+00 7.3016513442327413e-01
3.0002209841782523e-01 4.6514372775441597e+00 7.3016513442327413e-01
3.0159289474462014e-01 4.6525842182552655e+00 7.3016513442326136e-01
3.0316369107141505e-01 4.6537311589663712e+00 7.3016513442326136e-01
3.0473448739820996e-01 4.6548780996774770e+00 7.3016513442297870e-01
3.0630528372500487e-01 4.6560250403885828e+00 7.3016513442299158e-01
3.0787608005179973e-01 4.6571719810996886e+00 7.3016513442327413e-01
3.0944687637859464e-01 4.6583189218107943e+00 7.3016513442326136e-01
3.1101767270538955e-01 4.6594658625219001e+00 7.3016513442326136e-01
3.1258846903218446e-01 4.6606128032330059e+00 7.3016513442327413e-01
3.1415926535897931e-01 4.6617597439441116e+00 7.3016513442327413e-01
3.1573006168577422e-01 4.6629066846552174e+00 7.3016513442326136e-01
3.1730085801256913e-01 4.6640536253663232e+00 7.3016513442326136e-01
3.1887165433936404e-01 4.6652005660774289e+00 7.3016513442327413e-01
3.2044245066615890e-01 4.6663475067885347e+00 7.3016513442299158e-01
3.2201324699295381e-01 4.6674944474996405e+00 7.3016513442297870e-01
3.2358404331974872e-01 4.6686413882107463e+00 7.3016513442326136e-01
3.2515483964654363e-01 4.6697883289218520e+00 7.3016513442327413e-01
3.2672563597333848e-01 4.6709352696329578e+00 7.3016513442327413e-01
3.2829643230013339e-01 4.6720822103440636e+00 7.3016513442326136e-01
3.2986722862692830e-01 4.6732291510551693e+00 7.3016513442326136e-01
3.3143802495372321e-01 4.6743760917662751e+00 7.3016513442327413e-01
3.3300882128051806e-01 4.6755230324773809e+00 7.3016513442327413e-01
3.3457961760731297e-01 4.6766699731884867e+00 7.3016513442297870e-01
3.3615041393410788e-01 4.6778169138995924e+00 7.3016513442297870e-01
3.3772121026090279e-01 4.6789638546106982e+00 7.3016513442326136e-01
3.3929200658769770e-01 4.6801107953218040e+00 7.3016513442327413e-01
3.4086280291449256e-01 4.6812577360329097e+00 7.3016513442327413e-01
3.4243359924128747e-01 4.6824046767440155e+00 7.3016513442326136e-01
3.4400439556808238e-01 4.6835516174551213e+00 7.3016513442326136e-01
3.4557519189487729e-01 4.6846985581662270e+00 7.3016513442327413e-01
3.4714598822167214e-01 4.6858454988773328e+00 7.3016513442327413e-01
3.4871678454846705e-01 4.6869924395884386e+00 7.3016513442326136e-01
3.5028758087526196e-01 4.6881393802995444e+00 7.3016513442326136e-01
3.5185837720205687e-01 4.6892863210106501e+00 7.3016513442299158e-01
3.5342917352885173e-01 4.6904332617217550e+00 7.3016513442299158e-01
3.5499996985564664e-01 4.6915802024328608e+00 7.3016513442326136e-01
3.5657076618244155e-01 4.6927271431439666e+00 7.3016513442326136e-01
3.5814156250923646e-01 4.6938740838550723e+00 7.3016513442327413e-01
3.5971235883603131e-01 4.6950210245661781e+00 7.3016513442327413e-01
3.6128315516282622e-01 4.6961679652772839e+00 7.3016513442326136e-01
3.6285395148962113e-01 4.6973149059883896e+00 7.3016513442326136e-01
3.6442474781641604e-01 4.6984618466994954e+00 7.3016513442299158e-01
3.6599554414321089e-01 4.6996087874106003e+00 7.3016513442299158e-01
3.6756634047000580e-01 4.7007557281217061e+00 7.3016513442326136e-01
3.6913713679680071e-01 4.7019026688328118e+00 7.3016513442326136e-01
3.7070793312359562e-01 4.7030496095439176e+00 7.3016513442326136e-01
3.7227872945039053e-01 4.7041965502550234e+00 7.3016513442327413e-01
3.7384952577718539e-01 4.7053434909661291e+00 7.3016513442327413e-01
3.7542032210398030e-01 4.7064904316772349e+00 7.3016513442326136e-01
3.7699111843077521e-01 4.7076373723883407e+00 7.3016513442326136e-01
3.7856191475757012e-01 4.7087843130994465e+00 7.3016513442327413e-01
3.8013271108436497e-01 4.7099312538105522e+00 7.3016513442327413e-01
3.8170350741115988e-01 4.7110781945216580e+00 7.3016513442326136e-01
3.8327430373795479e-01 4.7122251352327638e+00 7.3016513442326136e-01
3.8484510006474970e-01 4.7133720759438695e+00 7.3016513442299158e-01
3.8641589639154456e-01 4.7145190166549744e+00 7.3016513442299158e-01
3.8798669271833947e-01 4.7156659573660802e+00 7.3016513442326136e-01
3.8955748904513438e-01 4.7168128980771860e+00 7.3016513442326136e-01
3.9112828537192929e-01 4.7179598387882917e+00 7.3016513442327413e-01
3.9269908169872414e-01 4.7191067794993975e+00 7.3016513442327413e-01
3.9426987802551905e-01 4.7202537202105033e+00 7.3016513442326136e-01
3.9584067435231396e-01 4.7214006609216090e+00 7.3016513442326136e-01
3.9741147067910887e-01 4.7225476016327148e+00 7.3016513442327413e-01
3.9898226700590372e-01 4.7236945423438206e+00 7.3016513442299158e-01
4.0055306333269863e-01 4.7248414830549263e+00 7.3016513442297870e-01
4.0212385965949354e-01 4.7259884237660321e+00 7.3016513442326136e-01
4.0369465598628845e-01 4.7271353644771379e+00 7.3016513442326136e-01
4.0526545231308336e-01 4.7282823051882437e+00 7.3016513442327413e-01
4.0683624863987822e-01 4.7294292458993494e+00 7.3016513442327413e-01
4.0840704496667313e-01 4.7305761866104552e+00 7.3016513442326136e-01
4.0997784129346804e-01 4.7317231273215610e+00 7.3016513442326136e-01
4.1154863762026295e-01 4.7328700680326667e+00 7.3016513442327413e-01
4.1311943394705780e-01 4.7340170087437725e+00 7.3016513442327413e-01
4.1469023027385271e-01 4.7351639494548783e+00 7.3016513442326136e-01
4.1626102660064762e-01 4.7363108901659841e+00 7.3016513442297870e-01
4.1783182292744253e-01 4.7374578308770898e+00 7.3016513442299158e-01
4.1940261925423739e-01 4.7386047715881956e+00 7.3016513442327413e-01
4.2097341558103230e-01 4.7397517122993014e+00 7.3016513442326136e-01
4.2254421190782721e-01 4.7408986530104071e+00 7.3016513442326136e-01
4.2411500823462212e-01 4.7420455937215129e+00 7.3016513442327413e-01
4.2568580456141697e-01 4.7431925344326187e+00 7.3016513442327413e-01
4.2725660088821188e-01 4.7443394751437244e+00 7.3016513442326136e-01
4.2882739721500679e-01 4.7454864158548302e+00 7.3016513442326136e-01
4.3039819354180170e-01 4.7466333565659360e+00 7.3016513442299158e-01
4.3196898986859655e-01 4.7477802972770409e+00 7.3016513442299158e-01
4.3353978619539146e-01 4.7489272379881466e+00 7.3016513442326136e-01
4.3511058252218637e-01 4.7500741786992524e+00 7.3016513442326136e-01
4.3668137884898128e-01 4.7512211194103582e+00 7.3016513442326136e-01
4.3825217517577619e-01 4.7523680601214640e+00 7.3016513442327413e-01
4.3982297150257105e-01 4.7535150008325697e+00 7.3016513442327413e-01
4.4139376782936596e-01 4.7546619415436755e+00 7.3016513442326136e-01
4.4296456415616087e-01 4.7558088822547813e+00 7.3016513442326136e-01
4.4453536048295578e-01 4.7569558229658870e+00 7.3016513442327413e-01
4.4610615680975063e-01 4.7581027636769928e+00 7.3016513442327413e-01
4.4767695313654554e-01 4.7592497043880986e+00 7.3016513442297870e-01
4.4924774946334045e-01 4.7603966450992043e+00 7.3016513442297870e-01
4.5081854579013536e-01 4.7615435858103101e+00 7.3016513442327413e-01
4.5238934211693022e-01 4.7626905265214159e+00 7.3016513442327413e-01
4.5396013844372513e-01 4.7638374672325217e+00 7.3016513442326136e-01
4.5553093477052004e-01 4.7649844079436274e+00 7.3016513442326136e-01
4.5710173109731495e-01 4.7661313486547332e+00 7.3016513442327413e-01
4.5867252742410980e-01 4.7672782893658390e+00 7.3016513442327413e-01
4.6024332375090471e-01 4.7684252300769447e+00 7.3016513442326136e-01
4.6181412007769962e-01 4.7695721707880505e+00 7.3016513442297870e-01
4.6338491640449453e-01 4.7707191114991563e+00 7.3016513442299158e-01
4.6495571273128938e-01 4.7718660522102621e+00 7.3016513442327413e-01
4.6652650905808429e-01 4.7730129929213678e+00 7.3016513442326136e-01
4.6809730538487920e-01 4.7741599336324736e+00 7.3016513442326136e-01
4.6966810171167411e-01 4.7753068743435794e+00 7.3016513442326136e-01
4.7123889803846902e-01 4.7764538150546851e+00 7.3016513442327413e-01
4.7280969436526388e-01 4.7776007557657909e+00 7.3016513442327413e-01
4.7438049069205879e-01 4.7787476964768967e+00 7.3016513442326136e-01
4.7595128701885370e-01 4.7798946371880024e+00 7.3016513442326136e-01
4.7752208334564861e-01 4.7810415778991082e+00 7.3016513442327413e-01
4.7909287967244346e-01 4.7821885186102140e+00 7.3016513442327413e-01
4.8066367599923837e-01 4.7833354593213198e+00 7.3016513442297870e-01
4.8223447232603328e-01 4.7844824000324255e+00 7.3016513442297870e-01
4.8380526865282819e-01 4.7856293407435313e+00 7.3016513442327413e-01
4.8537606497962305e-01 4.7867762814546371e+00 7.3016513442327413e-01
4.8694686130641796e-01 4.7879232221657428e+00 7.3016513442326136e-01
4.8851765763321287e-01 4.7890701628768486e+00 7.3016513442326136e-01
4.9008845396000777e-01 4.7902171035879544e+00 7.3016513442327413e-01
4.9165925028680263e-01 4.7913640442990602e+00 7.3016513442327413e-01
4.9323004661359754e-01 4.7925109850101659e+00 7.3016513442326136e-01
4.9480084294039245e-01 4.7936579257212717e+00 7.3016513442297870e-01
4.9637163926718736e-01 4.7948048664323775e+00 7.3016513442299158e-01
4.9794243559398221e-01 4.7959518071434832e+00 7.3016513442327413e-01
4.9951323192077712e-01 4.7970987478545890e+00 7.3016513442326136e-01
5.0108402824757203e-01 4.7982456885656948e+00 7.3016513442326136e-01
5.0265482457436694e-01 4.7993926292768005e+00 7.3016513442326136e-01
5.0422562090116185e-01 4.8005395699879063e+00 7.3016513442326136e-01
5.0579641722795676e-01 4.8016865106990121e+00 7.3016513442326136e-01
5.0736721355475167e-01 4.8028334514101179e+00 7.3016513442328712e-01
5.0893800988154647e-01 4.8039803921212236e+00 7.3016513442328712e-01
5.1050880620834138e-01 4.8051273328323294e+00 7.3016513442326136e-01
5.1207960253513629e-01 4.8062742735434352e+00 7.3016513442297870e-01
5.1365039886193120e-01 4.8074212142545409e+00 7.3016513442297870e-01
5.1522119518872611e-01 4.8085681549656467e+00 7.3016513442326136e-01
5.1679199151552102e-01 4.8097150956767525e+00 7.3016513442326136e-01
5.1836278784231593e-01 4.8108620363878583e+00 7.3016513442326136e-01
5.1993358416911084e-01 4.8120089770989640e+00 7.3016513442328712e-01
5.2150438049590564e-01 4.8131559178100698e+00 7.3016513442328712e-01
5.2307517682270055e-01 4.8143028585211756e+00 7.3016513442326136e-01
5.2464597314949546e-01 4.8154497992322813e+00 7.3016513442297870e-01
5.2621676947629037e-01 4.8165967399433871e+00 7.3016513442297870e-01
5.2778756580308528e-01 4.8177436806544929e+00 7.3016513442326136e-01
5.2935836212988019e-01 4.8188906213655986e+00 7.3016513442326136e-01
5.3092915845667510e-01 4.8200375620767044e+00 7.3016513442326136e-01
5.3249995478347001e-01 4.8211845027878102e+00 7.3016513442328712e-01
5.3407075111026481e-01 4.8223314434989160e+00 7.3016513442328712e-01
5.3564154743705972e-01 4.8234783842100217e+00 7.3016513442326136e-01
5.3721234376385463e-01 4.8246253249211275e+00 7.3016513442326136e-01
5.3878314009064954e-01 4.8257722656322333e+00 7.3016513442326136e-01
5.4035393641744445e-01 4.8269192063433390e+00 7.3016513442326136e-01
5.4192473274423936e-01 4.8280661470544448e+00 7.3016513442326136e-01
5.4349552907103427e-01 4.8292130877655506e+00 7.3016513442297870e-01
5.4506632539782918e-01 4.8303600284766564e+00 7.3016513442297870e-01
