# x energy force
1.0000000000000000e-02 5.3727987279762459e+01 2.4849447747537343e+02
1.0996666666666667e-02 5.3480995330349003e+01 2.4714154141450905e+02
1.1993333333333333e-02 5.3235348873920472e+01 2.4579449155243776e+02
1.2990000000000002e-02 5.2991040974913531e+01 2.4445547300999030e+02
1.3986666666666668e-02 5.2748063652641811e+01 2.4312443790315376e+02
1.4983333333333335e-02 5.2506408974001054e+01 2.4180133863347498e+02
1.5980000000000001e-02 5.2266069053185383e+01 2.4048612788627304e+02
1.6976666666666668e-02 5.2027036051405311e+01 2.3917875862891967e+02
1.7973333333333334e-02 5.1789302176607471e+01 2.3787918410922202e+02
1.8970000000000001e-02 5.1552859683195926e+01 2.3658735785375006e+02
1.9966666666666667e-02 5.1317700871755179e+01 2.3530323366614024e+02
2.0963333333333334e-02 5.1083818088774862e+01 2.3402676562546301e+02
2.1960000000000000e-02 5.0851203726376028e+01 2.3275790808457560e+02
2.2956666666666667e-02 5.0619850222039062e+01 2.3149661566852564e+02
2.3953333333333333e-02 5.0389750058333298e+01 2.3024284327281057e+02
2.4950000000000000e-02 5.0160895762648174e+01 2.2899654606188253e+02
2.5946666666666666e-02 4.9933279906925989e+01 2.2775767946758504e+02
2.6943333333333333e-02 4.9706895107396257e+01 2.2652619918739992e+02
2.7940000000000000e-02 4.9481734024311699e+01 2.2530206118294365e+02
2.8936666666666666e-02 4.9257789361685766e+01 2.2408522167845541e+02
2.9933333333333333e-02 4.9035053867031706e+01 2.2287563715912131e+02
3.0929999999999999e-02 4.8813520331103234e+01 2.2167326436958231e+02
3.1926666666666666e-02 4.8593181587636714e+01 2.2047806031239605e+02
3.2923333333333332e-02 4.8374030513094887e+01 2.1928998224645855e+02
3.3920000000000006e-02 4.8156060026412121e+01 2.1810898768551252e+02
3.4916666666666672e-02 4.7939263088741221e+01 2.1693503439656519e+02
3.5913333333333339e-02 4.7723632703201694e+01 2.1576808039846611e+02
3.6910000000000005e-02 4.7509161914629544e+01 2.1460808396035949e+02
3.7906666666666672e-02 4.7295843809328545e+01 2.1345500360017451e+02
3.8903333333333338e-02 4.7083671514823003e+01 2.1230879808319230e+02
3.9900000000000005e-02 4.6872638199611991e+01 2.1116942642051330e+02
4.0896666666666671e-02 4.6662737072925076e+01 2.1003684786761767e+02
4.1893333333333338e-02 4.6453961384479442e+01 2.0891102192294602e+02
4.2890000000000005e-02 4.6246304424238517e+01 2.0779190832640253e+02
4.3886666666666671e-02 4.6039759522172005e+01 2.0667946705790769e+02
4.4883333333333338e-02 4.5834320048017382e+01 2.0557365833597964e+02
4.5880000000000004e-02 4.5629979411042797e+01 2.0447444261636574e+02
4.6876666666666671e-02 4.5426731059811345e+01 2.0338178059055855e+02
4.7873333333333337e-02 4.5224568481946832e+01 2.0229563318438585e+02
4.8870000000000004e-02 4.5023485203900854e+01 2.0121596155671199e+02
4.9866666666666670e-02 4.4823474790721306e+01 2.0014272709790163e+02
5.0863333333333337e-02 4.4624530845822299e+01 1.9907589142853402e+02
5.1860000000000003e-02 4.4426647010755374e+01 1.9801541639807189e+02
5.2856666666666670e-02 4.4229816964982120e+01 1.9696126408337588e+02
5.3853333333333336e-02 4.4034034425648173e+01 1.9591339678742153e+02
5.4850000000000003e-02 4.3839293147358532e+01 1.9487177703794762e+02
5.5846666666666669e-02 4.3645586921954212e+01 1.9383636758610558e+02
5.6843333333333336e-02 4.3452909578290246e+01 1.9280713140512572e+02
5.7840000000000009e-02 4.3261254982015004e+01 1.9178403168900454e+02
5.8836666666666676e-02 4.3070617035350807e+01 1.9076703185119291e+02
5.9833333333333343e-02 4.2880989676875863e+01 1.8975609552328123e+02
6.0830000000000009e-02 4.2692366881307535e+01 1.8875118655362968e+02
6.1826666666666676e-02 4.2504742659286897e+01 1.8775226900618355e+02
6.2823333333333342e-02 4.2318111057164479e+01 1.8675930715920734e+02
6.3820000000000002e-02 4.2132466156787387e+01 1.8577226550384944e+02
6.4816666666666675e-02 4.1947802075287711e+01 1.8479110874298703e+02
6.5813333333333335e-02 4.1764112964872112e+01 1.8381580178999616e+02
6.6810000000000008e-02 4.1581393012612679e+01 1.8284630976738615e+02
6.7806666666666668e-02 4.1399636440239135e+01 1.8188259800561659e+02
6.8803333333333341e-02 4.1218837503932122e+01 1.8092463204189838e+02
6.9800000000000001e-02 4.1038990494117833e+01 1.7997237761888968e+02
7.0796666666666674e-02 4.0860089735263813e+01 1.7902580068348399e+02
7.1793333333333334e-02 4.0682129585676059e+01 1.7808486738559586e+02
7.2789999999999994e-02 4.0505104437297213e+01 1.7714954407697812e+02
7.3786666666666667e-02 4.0329008715506021e+01 1.7621979731002867e+02
7.4783333333333341e-02 4.0153836878917993e+01 1.7529559383651815e+02
7.5780000000000000e-02 3.9979583419187250e+01 1.7437690060644761e+02
7.6776666666666674e-02 3.9806242860809526e+01 1.7346368476691467e+02
7.7773333333333333e-02 3.9633809760926361e+01 1.7255591366083843e+02
7.8770000000000007e-02 3.9462278709130480e+01 1.7165355482587057e+02
7.9766666666666666e-02 3.9291644327272301e+01 1.7075657599322528e+02
8.0763333333333340e-02 3.9121901269267589e+01 1.6986494508646075e+02
8.1759999999999999e-02 3.8953044220906328e+01 1.6897863022042057e+02
8.2756666666666673e-02 3.8785067899662629e+01 1.6809759970003901e+02
8.3753333333333332e-02 3.8617967054505868e+01 1.6722182201921186e+02
8.4750000000000006e-02 3.8451736465712877e+01 1.6635126585969422e+02
8.5746666666666665e-02 3.8286370944681295e+01 1.6548590008996754e+02
8.6743333333333339e-02 3.8121865333744005e+01 1.6462569376411992e+02
8.7739999999999999e-02 3.7958214505984728e+01 1.6377061612071989e+02
8.8736666666666672e-02 3.7795413365054650e+01 1.6292063658176886e+02
8.9733333333333332e-02 3.7633456844990199e+01 1.6207572475157727e+02
9.0730000000000005e-02 3.7472339910031856e+01 1.6123585041567128e+02
9.1726666666666665e-02 3.7312057554444081e+01 1.6040098353972633e+02
9.2723333333333338e-02 3.7152604802336327e+01 1.5957109426847302e+02
9.3719999999999998e-02 3.6993976707485089e+01 1.5874615292465299e+02
9.4716666666666671e-02 3.6836168353156999e+01 1.5792613000795970e+02
9.5713333333333331e-02 3.6679174851933041e+01 1.5711099619395867e+02
9.6710000000000004e-02 3.6522991345533747e+01 1.5630072233305737e+02
9.7706666666666664e-02 3.6367613004645470e+01 1.5549527944944629e+02
9.8703333333333337e-02 3.6213035028747690e+01 1.5469463874007636e+02
9.9699999999999997e-02 3.6059252645941349e+01 1.5389877157365677e+02
1.0069666666666667e-01 3.5906261112778168e+01 1.5310764948957521e+02
1.0169333333333333e-01 3.5754055714091081e+01 1.5232124419688910e+02
1.0269000000000000e-01 3.5602631762825574e+01 1.5153952757335961e+02
1.0368666666666666e-01 3.5451984599872084e+01 1.5076247166441772e+02
1.0468333333333334e-01 3.5302109593899381e+01 1.4999004868213680e+02
1.0568000000000001e-01 3.5153002141188978e+01 1.4922223100428968e+02
1.0667666666666667e-01 3.5004657665470454e+01 1.4845899117334710e+02
1.0767333333333334e-01 3.4857071617757832e+01 1.4770030189545429e+02
1.0867000000000000e-01 3.4710239476186914e+01 1.4694613603949600e+02
1.0966666666666668e-01 3.4564156745853559e+01 1.4619646663612727e+02
1.1066333333333334e-01 3.4418818958652949e+01 1.4545126687680448e+02
1.1166000000000001e-01 3.4274221673119790e+01 1.4471051011280792e+02
1.1265666666666667e-01 3.4130360474269523e+01 1.4397416985428740e+02
1.1365333333333334e-01 3.3987230973440397e+01 1.4324221976937051e+02
1.1465000000000000e-01 3.3844828808136569e+01 1.4251463368313583e+02
