# x energy force
0.0000000000000000e+00 4.0423334386965685e+01 -5.0573899570828513e+02
1.5707963267948967e-03 3.9635089932940851e+01 -4.9788501407431295e+02
3.1415926535897933e-03 3.8859182484417374e+01 -4.9003103244033849e+02
4.7123889803846897e-03 3.8095612041395256e+01 -4.8217705080636284e+02
6.2831853071795866e-03 3.7344378603874510e+01 -4.7432306917238952e+02
7.8539816339744835e-03 3.6605482171855122e+01 -4.6646908753841615e+02
9.4247779607693795e-03 3.5878922745337093e+01 -4.5861510590444055e+02
1.0995574287564277e-02 3.5164700324320421e+01 -4.5076112427046496e+02
1.2566370614359173e-02 3.4462814908805122e+01 -4.4290714263649159e+02
1.4137166941154069e-02 3.3773266498791173e+01 -4.3505316100251713e+02
1.5707963267948967e-02 3.3096055094278597e+01 -4.2719917936854148e+02
1.7278759594743863e-02 3.2431180695267372e+01 -4.1934519773456810e+02
1.8849555921538759e-02 3.1778643301757519e+01 -4.1149121610059422e+02
2.0420352248333655e-02 3.1138442913749017e+01 -4.0363723446661913e+02
2.1991148575128554e-02 3.0510579531241881e+01 -3.9578325283264462e+02
2.3561944901923450e-02 2.9895053154236109e+01 -3.8792927119867016e+02
2.5132741228718346e-02 2.9291863782731696e+01 -3.8007528956469514e+02
2.6703537555513242e-02 2.8701011416728647e+01 -3.7222130793072063e+02
2.8274333882308138e-02 2.8122496056226961e+01 -3.6436732629674674e+02
2.9845130209103038e-02 2.7556317701226632e+01 -3.5651334466277223e+02
3.1415926535897934e-02 2.7002476351727672e+01 -3.4865936302879777e+02
3.2986722862692830e-02 2.6460972007730067e+01 -3.4080538139482326e+02
3.4557519189487726e-02 2.5931804669233827e+01 -3.3295139976084880e+02
3.6128315516282622e-02 2.5414974336238949e+01 -3.2509741812687435e+02
3.7699111843077518e-02 2.4910481008745428e+01 -3.1724343649289983e+02
3.9269908169872414e-02 2.4418324686753273e+01 -3.0938945485892481e+02
4.0840704496667310e-02 2.3938505370262479e+01 -3.0153547322495029e+02
4.2411500823462213e-02 2.3471023059273044e+01 -2.9368149159097635e+02
4.3982297150257109e-02 2.3015877753784977e+01 -2.8582750995700189e+02
4.5553093477052005e-02 2.2573069453798265e+01 -2.7797352832302738e+02
4.7123889803846901e-02 2.2142598159312918e+01 -2.7011954668905292e+02
4.8694686130641797e-02 2.1724463870328933e+01 -2.6226556505507847e+02
5.0265482457436693e-02 2.1318666586846309e+01 -2.5441158342110396e+02
5.1836278784231589e-02 2.0925206308865047e+01 -2.4655760178712893e+02
5.3407075111026485e-02 2.0544083036385146e+01 -2.3870362015315445e+02
5.4977871437821381e-02 2.0175296769406607e+01 -2.3084963851918053e+02
5.6548667764616277e-02 1.9818847507929430e+01 -2.2299565688520605e+02
5.8119464091411173e-02 1.9474735251953614e+01 -2.1514167525123156e+02
5.9690260418206076e-02 1.9142960001479160e+01 -2.0728769361725705e+02
6.1261056745000972e-02 1.8823521756506064e+01 -1.9943371198328256e+02
6.2831853071795868e-02 1.8516420517034334e+01 -1.9157973034930808e+02
6.4402649398590764e-02 1.8221656283063965e+01 -1.8372574871533305e+02
6.5973445725385660e-02 1.7939229054594961e+01 -1.7587176708135857e+02
6.7544242052180556e-02 1.7669138831627315e+01 -1.6801778544738465e+02
6.9115038378975452e-02 1.7411385614161031e+01 -1.6016380381341017e+02
7.0685834705770348e-02 1.7165969402196108e+01 -1.5230982217943568e+02
7.2256631032565244e-02 1.6932890195732547e+01 -1.4445584054546120e+02
7.3827427359360140e-02 1.6712147994770351e+01 -1.3660185891148674e+02
7.5398223686155036e-02 1.6503742799309514e+01 -1.2874787727751226e+02
7.6969020012949932e-02 1.6307674609350038e+01 -1.2089389564353777e+02
7.8539816339744828e-02 1.6123943424891923e+01 -1.1303991400956274e+02
8.0110612666539724e-02 1.5952549245935174e+01 -1.0518593237558827e+02
8.1681408993334620e-02 1.5793492072479783e+01 -9.7331950741614349e+01
8.3252205320129516e-02 1.5646771904525753e+01 -8.9477969107639836e+01
8.4823001646924426e-02 1.5512388742073085e+01 -8.1623987473665295e+01
8.6393797973719322e-02 1.5390342585121781e+01 -7.3770005839690839e+01
8.7964594300514218e-02 1.5280633433671836e+01 -6.5916024205716354e+01
8.9535390627309114e-02 1.5183261287723255e+01 -5.8062042571741870e+01
9.1106186954104010e-02 1.5098226147276035e+01 -5.0208060937766831e+01
9.2676983280898906e-02 1.5025528012330179e+01 -4.2354079303792346e+01
9.4247779607693802e-02 1.4965166882885681e+01 -3.4500097669818430e+01
9.5818575934488698e-02 1.4917142758942546e+01 -2.6646116035843949e+01
9.7389372261283594e-02 1.4881455640500773e+01 -1.8792134401869468e+01
9.8960168588078490e-02 1.4858105527560362e+01 -1.0938152767894991e+01
1.0053096491487339e-01 1.4846387610769245e+01 -5.7389957082874119e+00
1.0210176124166828e-01 1.4837372817391175e+01 -5.7389957082874119e+00
1.0367255756846318e-01 1.4828358024013106e+01 -5.7389957082874119e+00
1.0524335389525807e-01 1.4819343230635036e+01 -5.7389957082868470e+00
1.0681415022205297e-01 1.4810328437256969e+01 -5.7389957082868470e+00
1.0838494654884787e-01 1.4801313643878899e+01 -5.7389957082874119e+00
1.0995574287564276e-01 1.4792298850500829e+01 -5.7389957082874119e+00
1.1152653920243766e-01 1.4783284057122760e+01 -5.7389957082874119e+00
1.1309733552923255e-01 1.4774269263744690e+01 -5.7389957082874119e+00
1.1466813185602745e-01 1.4765254470366621e+01 -5.7389957082874119e+00
1.1623892818282235e-01 1.4756239676988551e+01 -5.7389957082873870e+00
1.1780972450961726e-01 1.4747224883610482e+01 -5.7389957082873870e+00
1.1938052083641215e-01 1.4738210090232412e+01 -5.7389957082868470e+00
1.2095131716320705e-01 1.4729195296854344e+01 -5.7389957082868470e+00
1.2252211349000194e-01 1.4720180503476275e+01 -5.7389957082874119e+00
1.2409290981679684e-01 1.4711165710098205e+01 -5.7389957082874119e+00
1.2566370614359174e-01 1.4702150916720136e+01 -5.7389957082874377e+00
1.2723450247038662e-01 1.4693136123342066e+01 -5.7389957082874128e+00
1.2880529879718153e-01 1.4684121329963997e+01 -5.7389957082868479e+00
1.3037609512397641e-01 1.4675106536585929e+01 -5.7389957082868479e+00
1.3194689145077132e-01 1.4666091743207859e+01 -5.7389957082874128e+00
1.3351768777756620e-01 1.4657076949829790e+01 -5.7389957082874128e+00
1.3508848410436111e-01 1.4648062156451720e+01 -5.7389957082873622e+00
1.3665928043115602e-01 1.4639047363073651e+01 -5.7389957082874128e+00
1.3823007675795090e-01 1.4630032569695581e+01 -5.7389957082874128e+00
1.3980087308474581e-01 1.4621017776317512e+01 -5.7389957082874128e+00
1.4137166941154070e-01 1.4612002982939442e+01 -5.7389957082874128e+00
1.4294246573833561e-01 1.4602988189561373e+01 -5.7389957082868479e+00
1.4451326206513049e-01 1.4593973396183305e+01 -5.7389957082868479e+00
1.4608405839192540e-01 1.4584958602805235e+01 -5.7389957082874128e+00
1.4765485471872028e-01 1.4575943809427166e+01 -5.7389957082874128e+00
1.4922565104551519e-01 1.4566929016049096e+01 -5.7389957082874128e+00
1.5079644737231007e-01 1.4557914222671027e+01 -5.7389957082874128e+00
1.5236724369910498e-01 1.4548899429292957e+01 -5.7389957082874128e+00
1.5393804002589986e-01 1.4539884635914888e+01 -5.7389957082874128e+00
1.5550883635269477e-01 1.4530869842536818e+01 -5.7389957082874128e+00
1.5707963267948966e-01 1.4521855049158749e+01 -5.7389957082868479e+00
1.5865042900628457e-01 1.4512840255780679e+01 -5.7389957082868479e+00
1.6022122533307945e-01 1.4503825462402610e+01 -5.7389957082874128e+00
1.6179202165987436e-01 1.4494810669024540e+01 -5.7389957082874128e+00
1.6336281798666924e-01 1.4485795875646470e+01 -5.7389957082874128e+00
1.6493361431346415e-01 1.4476781082268401e+01 -5.7389957082874128e+00
1.6650441064025903e-01 1.4467766288890331e+01 -5.7389957082874128e+00
1.6807520696705394e-01 1.4458751495512262e+01 -5.7389957082873622e+00
1.6964600329384885e-01 1.4449736702134192e+01 -5.7389957082868479e+00
1.7121679962064373e-01 1.4440721908756124e+01 -5.7389957082868479e+00
1.7278759594743864e-01 1.4431707115378055e+01 -5.7389957082874128e+00
1.7435839227423353e-01 1.4422692321999985e+01 -5.7389957082874128e+00
1.7592918860102844e-01 1.4413677528621916e+01 -5.7389957082874128e+00
1.7749998492782332e-01 1.4404662735243846e+01 -5.7389957082874128e+00
1.7907078125461823e-01 1.4395647941865777e+01 -5.7389957082874128e+00
1.8064157758141311e-01 1.4386633148487707e+01 -5.7389957082874128e+00
1.8221237390820802e-01 1.4377618355109638e+01 -5.7389957082874128e+00
1.8378317023500290e-01 1.4368603561731568e+01 -5.7389957082868479e+00
1.8535396656179781e-01 1.4359588768353499e+01 -5.7389957082868479e+00
1.8692476288859269e-01 1.4350573974975429e+01 -5.7389957082874128e+00
1.8849555921538760e-01 1.4341559181597360e+01 -5.7389957082874128e+00
1.9006635554218249e-01 1.4332544388219290e+01 -5.7389957082874128e+00
1.9163715186897740e-01 1.4323529594841220e+01 -5.7389957082874128e+00
1.9320794819577228e-01 1.4314514801463151e+01 -5.7389957082874128e+00
1.9477874452256719e-01 1.4305500008085081e+01 -5.7389957082874128e+00
1.9634954084936207e-01 1.4296485214707012e+01 -5.7389957082874128e+00
