# x energy force
1.0000000000000000e-02 7.6501897153139907e+01 2.1117629411839806e+02
1.0996666666666667e-02 7.6291580007943793e+01 2.1086479992062502e+02
1.1993333333333333e-02 7.6081572798173880e+01 2.1055435011934094e+02
1.2990000000000002e-02 7.5871874080984810e+01 2.1024575126340721e+02
1.3986666666666668e-02 7.5662482017100459e+01 2.0993899231721858e+02
1.4983333333333335e-02 7.5453394778210736e+01 2.0963406231099250e+02
1.5980000000000001e-02 7.5244610546906159e+01 2.0933095034032789e+02
1.6976666666666668e-02 7.5036127516612908e+01 2.0902964556586957e+02
1.7973333333333334e-02 7.4827943891528179e+01 2.0873013721285895e+02
1.8970000000000001e-02 7.4620057886556012e+01 2.0843241457076388e+02
1.9966666666666667e-02 7.4412467727243424e+01 2.0813646699295720e+02
2.0963333333333334e-02 7.4205171649716974e+01 2.0784228389624670e+02
2.1960000000000000e-02 7.3998167900619649e+01 2.0754985476058258e+02
2.2956666666666667e-02 7.3791454737048213e+01 2.0725916912857983e+02
2.3953333333333333e-02 7.3585030426490860e+01 2.0697021660524049e+02
2.4950000000000000e-02 7.3378893246765230e+01 2.0668298685755374e+02
2.5946666666666666e-02 7.3173041485956873e+01 2.0639746961405461e+02
2.6943333333333333e-02 7.2967473442358013e+01 2.0611365466459563e+02
2.7940000000000000e-02 7.2762187424406662e+01 2.0583153185986885e+02
2.8936666666666666e-02 7.2557181750626157e+01 2.0555109111104261e+02
2.9933333333333333e-02 7.2352454749565055e+01 2.0527232238950504e+02
3.0929999999999999e-02 7.2148004759737304e+01 2.0499521572638565e+02
3.1926666666666666e-02 7.1943830129562883e+01 2.0471976121225703e+02
3.2923333333333332e-02 7.1739929217308699e+01 2.0444594899681226e+02
3.3920000000000006e-02 7.1536300391029897e+01 2.0417376928841210e+02
3.4916666666666672e-02 7.1332942028511511e+01 2.0390321235383900e+02
3.5913333333333339e-02 7.1129852517210423e+01 2.0363426851789762e+02
3.6910000000000005e-02 7.0927030254197746e+01 2.0336692816305506e+02
3.7906666666666672e-02 7.0724473646101458e+01 2.0310118172915986e+02
3.8903333333333338e-02 7.0522181109049427e+01 2.0283701971303626e+02
3.9900000000000005e-02 7.0320151068612788e+01 2.0257443266817080e+02
4.0896666666666671e-02 7.0118381959749655e+01 2.0231341120434118e+02
4.1893333333333338e-02 6.9916872226749121e+01 2.0205394598735305e+02
4.2890000000000005e-02 6.9715620323175642e+01 2.0179602773870440e+02
4.3886666666666671e-02 6.9514624711813696e+01 2.0153964723509381e+02
4.4883333333333338e-02 6.9313883864612919e+01 2.0128479530828531e+02
4.5880000000000004e-02 6.9113396262633344e+01 2.0103146284471595e+02
