# x energy force
0.0000000000000000e+00 3.2282769420781108e+01 -5.0172805956841142e+02
1.5707963267948967e-03 3.1500825330511795e+01 -4.9387407793443754e+02
3.1415926535897933e-03 3.0731218245743847e+01 -4.8602009630046308e+02
4.7123889803846897e-03 2.9973948166477253e+01 -4.7816611466648857e+02
6.2831853071795866e-03 2.9229015092712029e+01 -4.7031213303251440e+02
7.8539816339744835e-03 2.8496419024448166e+01 -4.6245815139853960e+02
9.4247779607693795e-03 2.7776159961685661e+01 -4.5460416976456486e+02
1.0995574287564277e-02 2.7068237904424517e+01 -4.4675018813059069e+02
1.2566370614359173e-02 2.6372652852664739e+01 -4.3889620649661646e+02
1.4137166941154069e-02 2.5689404806406323e+01 -4.3104222486264172e+02
1.5707963267948967e-02 2.5018493765649264e+01 -4.2318824322866720e+02
1.7278759594743863e-02 2.4359919730393564e+01 -4.1533426159469269e+02
1.8849555921538759e-02 2.3713682700639239e+01 -4.0748027996071824e+02
2.0420352248333655e-02 2.3079782676386259e+01 -3.9962629832674372e+02
2.1991148575128554e-02 2.2458219657634650e+01 -3.9177231669276921e+02
2.3561944901923450e-02 2.1848993644384400e+01 -3.8391833505879475e+02
2.5132741228718346e-02 2.1252104636635519e+01 -3.7606435342482030e+02
2.6703537555513242e-02 2.0667552634387992e+01 -3.6821037179084607e+02
2.8274333882308138e-02 2.0095337637641830e+01 -3.6035639015687133e+02
2.9845130209103038e-02 1.9535459646397026e+01 -3.5250240852289681e+02
3.1415926535897934e-02 1.8987918660653591e+01 -3.4464842688892236e+02
3.2986722862692830e-02 1.8452714680411511e+01 -3.3679444525494785e+02
3.4557519189487726e-02 1.7929847705670795e+01 -3.2894046362097339e+02
3.6128315516282622e-02 1.7419317736431438e+01 -3.2108648198699893e+02
3.7699111843077518e-02 1.6921124772693446e+01 -3.1323250035302442e+02
3.9269908169872414e-02 1.6435268814456816e+01 -3.0537851871904996e+02
4.0840704496667310e-02 1.5961749861721547e+01 -2.9752453708507545e+02
4.2411500823462213e-02 1.5500567914487636e+01 -2.8967055545110094e+02
4.3982297150257109e-02 1.5051722972755092e+01 -2.8181657381712648e+02
4.5553093477052005e-02 1.4615215036523907e+01 -2.7396259218315197e+02
4.7123889803846901e-02 1.4191044105794084e+01 -2.6610861054917780e+02
4.8694686130641797e-02 1.3779210180565624e+01 -2.5825462891520306e+02
5.0265482457436693e-02 1.3379713260838525e+01 -2.5040064728122854e+02
5.1836278784231589e-02 1.2992553346612787e+01 -2.4254666564725409e+02
5.3407075111026485e-02 1.2617730437888412e+01 -2.3469268401327932e+02
5.4977871437821381e-02 1.2255244534665398e+01 -2.2683870237930512e+02
5.6548667764616277e-02 1.1905095636943745e+01 -2.1898472074533063e+02
5.8119464091411173e-02 1.1567283744723456e+01 -2.1113073911135612e+02
5.9690260418206076e-02 1.1241808858004525e+01 -2.0327675747738189e+02
6.1261056745000972e-02 1.0928670976786957e+01 -1.9542277584340715e+02
6.2831853071795868e-02 1.0627870101070751e+01 -1.8756879420943267e+02
6.4402649398590764e-02 1.0339406230855907e+01 -1.7971481257545821e+02
6.5973445725385660e-02 1.0063279366142424e+01 -1.7186083094148373e+02
6.7544242052180556e-02 9.7994895069303034e+00 -1.6400684930750924e+02
6.9115038378975452e-02 9.5480366532195440e+00 -1.5615286767353476e+02
7.0685834705770348e-02 9.3089208050101480e+00 -1.4829888603956027e+02
7.2256631032565244e-02 9.0821419623021118e+00 -1.4044490440558579e+02
7.3827427359360140e-02 8.8677001250954373e+00 -1.3259092277161159e+02
7.5398223686155036e-02 8.6655952933901244e+00 -1.2473694113763683e+02
7.6969020012949932e-02 8.4758274671861749e+00 -1.1688295950366206e+02
7.8539816339744828e-02 8.2983966464835870e+00 -1.0902897786968786e+02
8.0110612666539724e-02 8.1333028312823608e+00 -1.0117499623571368e+02
8.1681408993334620e-02 7.9805460215824944e+00 -9.3321014601738909e+01
8.3252205320129516e-02 7.8401262173839914e+00 -8.5467032967764425e+01
8.4823001646924426e-02 7.7120434186868483e+00 -7.7613051333789883e+01
8.6393797973719322e-02 7.5962976254910686e+00 -6.9759069699815399e+01
8.7964594300514218e-02 7.4928888377966496e+00 -6.1905088065840914e+01
8.9535390627309114e-02 7.4018170556035923e+00 -5.4051106431866437e+01
9.1106186954104010e-02 7.3230822789118974e+00 -4.6197124797891959e+01
9.2676983280898906e-02 7.2566845077215634e+00 -3.8343143163917475e+01
9.4247779607693802e-02 7.2026237420325918e+00 -3.0489161529943281e+01
9.5818575934488698e-02 7.1608999818449810e+00 -2.2635179895968516e+01
9.7389372261283594e-02 7.1315132271587336e+00 -1.4781198261993756e+01
9.8960168588078490e-02 7.1144634779738469e+00 -6.9272166280195595e+00
1.0053096491487339e-01 7.1090459249382558e+00 -1.7280595684122628e+00
1.0210176124166828e-01 7.1063314953157111e+00 -1.7280595684119804e+00
1.0367255756846318e-01 7.1036170656931672e+00 -1.7280595684116977e+00
1.0524335389525807e-01 7.1009026360706233e+00 -1.7280595684119804e+00
1.0681415022205297e-01 7.0981882064480786e+00 -1.7280595684122628e+00
1.0838494654884787e-01 7.0954737768255338e+00 -1.7280595684119804e+00
1.0995574287564276e-01 7.0927593472029900e+00 -1.7280595684116977e+00
1.1152653920243766e-01 7.0900449175804461e+00 -1.7280595684119804e+00
1.1309733552923255e-01 7.0873304879579013e+00 -1.7280595684122628e+00
1.1466813185602745e-01 7.0846160583353566e+00 -1.7280595684119804e+00
1.1623892818282235e-01 7.0819016287128127e+00 -1.7280595684119728e+00
1.1780972450961726e-01 7.0791871990902679e+00 -1.7280595684119728e+00
1.1938052083641215e-01 7.0764727694677241e+00 -1.7280595684119804e+00
1.2095131716320705e-01 7.0737583398451793e+00 -1.7280595684122628e+00
1.2252211349000194e-01 7.0710439102226346e+00 -1.7280595684119804e+00
1.2409290981679684e-01 7.0683294806000907e+00 -1.7280595684116977e+00
1.2566370614359174e-01 7.0656150509775468e+00 -1.7280595684119884e+00
1.2723450247038662e-01 7.0629006213550021e+00 -1.7280595684122628e+00
1.2880529879718153e-01 7.0601861917324573e+00 -1.7280595684119804e+00
1.3037609512397641e-01 7.0574717621099134e+00 -1.7280595684116977e+00
1.3194689145077132e-01 7.0547573324873696e+00 -1.7280595684119804e+00
1.3351768777756620e-01 7.0520429028648248e+00 -1.7280595684122628e+00
1.3508848410436111e-01 7.0493284732422801e+00 -1.7280595684119648e+00
1.3665928043115602e-01 7.0466140436197353e+00 -1.7280595684119804e+00
1.3823007675795090e-01 7.0438996139971914e+00 -1.7280595684119804e+00
1.3980087308474581e-01 7.0411851843746467e+00 -1.7280595684119804e+00
1.4137166941154070e-01 7.0384707547521028e+00 -1.7280595684119804e+00
1.4294246573833561e-01 7.0357563251295581e+00 -1.7280595684119804e+00
1.4451326206513049e-01 7.0330418955070142e+00 -1.7280595684119804e+00
1.4608405839192540e-01 7.0303274658844694e+00 -1.7280595684119804e+00
1.4765485471872028e-01 7.0276130362619247e+00 -1.7280595684122628e+00
1.4922565104551519e-01 7.0248986066393799e+00 -1.7280595684119804e+00
1.5079644737231007e-01 7.0221841770168361e+00 -1.7280595684119804e+00
1.5236724369910498e-01 7.0194697473942913e+00 -1.7280595684119804e+00
1.5393804002589986e-01 7.0167553177717474e+00 -1.7280595684119804e+00
1.5550883635269477e-01 7.0140408881492027e+00 -1.7280595684119804e+00
1.5707963267948966e-01 7.0113264585266588e+00 -1.7280595684119804e+00
1.5865042900628457e-01 7.0086120289041141e+00 -1.7280595684119804e+00
1.6022122533307945e-01 7.0058975992815702e+00 -1.7280595684119804e+00
1.6179202165987436e-01 7.0031831696590254e+00 -1.7280595684119804e+00
1.6336281798666924e-01 7.0004687400364816e+00 -1.7280595684119804e+00
1.6493361431346415e-01 6.9977543104139368e+00 -1.7280595684119804e+00
1.6650441064025903e-01 6.9950398807913929e+00 -1.7280595684119804e+00
1.6807520696705394e-01 6.9923254511688482e+00 -1.7280595684119648e+00
1.6964600329384885e-01 6.9896110215463034e+00 -1.7280595684119804e+00
1.7121679962064373e-01 6.9868965919237596e+00 -1.7280595684119804e+00
1.7278759594743864e-01 6.9841821623012148e+00 -1.7280595684119804e+00
1.7435839227423353e-01 6.9814677326786700e+00 -1.7280595684122628e+00
1.7592918860102844e-01 6.9787533030561253e+00 -1.7280595684119804e+00
1.7749998492782332e-01 6.9760388734335814e+00 -1.7280595684116977e+00
1.7907078125461823e-01 6.9733244438110376e+00 -1.7280595684119804e+00
1.8064157758141311e-01 6.9706100141884928e+00 -1.7280595684122628e+00
1.8221237390820802e-01 6.9678955845659480e+00 -1.7280595684119804e+00
1.8378317023500290e-01 6.9651811549434042e+00 -1.7280595684119804e+00
1.8535396656179781e-01 6.9624667253208594e+00 -1.7280595684119804e+00
1.8692476288859269e-01 6.9597522956983155e+00 -1.7280595684119804e+00
1.8849555921538760e-01 6.9570378660757708e+00 -1.7280595684119804e+00
1.9006635554218249e-01 6.9543234364532269e+00 -1.7280595684119804e+00
1.9163715186897740e-01 6.9516090068306822e+00 -1.7280595684119804e+00
1.9320794819577228e-01 6.9488945772081383e+00 -1.7280595684119804e+00
