# x energy force
0.0000000000000000e+00 3.1038516670917261e+01 -5.0036573921419000e+02
1.5707963267948967e-03 3.0258712508456281e+01 -4.9251175758021554e+02
3.1415926535897933e-03 2.9491245351496662e+01 -4.8465777594624137e+02
4.7123889803846897e-03 2.8736115200038398e+01 -4.7680379431226686e+02
6.2831853071795866e-03 2.7993322054081503e+01 -4.6894981267829240e+02
7.8539816339744835e-03 2.7262865913625973e+01 -4.6109583104431789e+02
9.4247779607693795e-03 2.6544746778671794e+01 -4.5324184941034315e+02
1.0995574287564277e-02 2.5838964649218980e+01 -4.4538786777636898e+02
1.2566370614359173e-02 2.5145519525267535e+01 -4.3753388614239446e+02
1.4137166941154069e-02 2.4464411406817447e+01 -4.2967990450841972e+02
1.5707963267948967e-02 2.3795640293868718e+01 -4.2182592287444550e+02
1.7278759594743863e-02 2.3139206186421347e+01 -4.1397194124047098e+02
1.8849555921538759e-02 2.2495109084475352e+01 -4.0611795960649624e+02
2.0420352248333655e-02 2.1863348988030701e+01 -3.9826397797252201e+02
2.1991148575128554e-02 2.1243925897087422e+01 -3.9040999633854750e+02
2.3561944901923450e-02 2.0636839811645505e+01 -3.8255601470457276e+02
2.5132741228718346e-02 2.0042090731704949e+01 -3.7470203307059859e+02
2.6703537555513242e-02 1.9459678657265755e+01 -3.6684805143662408e+02
2.8274333882308138e-02 1.8889603588327919e+01 -3.5899406980264934e+02
2.9845130209103038e-02 1.8331865524891448e+01 -3.5114008816867511e+02
3.1415926535897934e-02 1.7786464466956339e+01 -3.4328610653470065e+02
3.2986722862692830e-02 1.7253400414522591e+01 -3.3543212490072614e+02
3.4557519189487726e-02 1.6732673367590206e+01 -3.2757814326675168e+02
3.6128315516282622e-02 1.6224283326159181e+01 -3.1972416163277694e+02
3.7699111843077518e-02 1.5728230290229519e+01 -3.1187017999880271e+02
3.9269908169872414e-02 1.5244514259801214e+01 -3.0401619836482826e+02
4.0840704496667310e-02 1.4773135234874275e+01 -2.9616221673085346e+02
4.2411500823462213e-02 1.4314093215448697e+01 -2.8830823509687923e+02
4.3982297150257109e-02 1.3867388201524481e+01 -2.8045425346290477e+02
4.5553093477052005e-02 1.3433020193101626e+01 -2.7260027182893026e+02
4.7123889803846901e-02 1.3010989190180132e+01 -2.6474629019495580e+02
4.8694686130641797e-02 1.2601295192760002e+01 -2.5689230856098106e+02
5.0265482457436693e-02 1.2203938200841232e+01 -2.4903832692700681e+02
5.1836278784231589e-02 1.1818918214423825e+01 -2.4118434529303235e+02
5.3407075111026485e-02 1.1446235233507778e+01 -2.3333036365905758e+02
5.4977871437821381e-02 1.1085889258093093e+01 -2.2547638202508338e+02
5.6548667764616277e-02 1.0737880288179770e+01 -2.1762240039110890e+02
5.8119464091411173e-02 1.0402208323767809e+01 -2.0976841875713413e+02
5.9690260418206076e-02 1.0078873364857209e+01 -2.0191443712315990e+02
6.1261056745000972e-02 9.7678754114479709e+00 -1.9406045548918541e+02
6.2831853071795868e-02 9.4692144635400961e+00 -1.8620647385521065e+02
6.4402649398590764e-02 9.1828905211335830e+00 -1.7835249222123647e+02
6.5973445725385660e-02 8.9089035842284297e+00 -1.7049851058726199e+02
6.7544242052180556e-02 8.6472536528246380e+00 -1.6264452895328722e+02
6.9115038378975452e-02 8.3979407269222097e+00 -1.5479054731931302e+02
7.0685834705770348e-02 8.1609648065211413e+00 -1.4693656568533854e+02
7.2256631032565244e-02 7.9363258916214354e+00 -1.3908258405136405e+02
7.3827427359360140e-02 7.7240239822230903e+00 -1.3122860241738960e+02
7.5398223686155036e-02 7.5240590783261085e+00 -1.2337462078341484e+02
7.6969020012949932e-02 7.3364311799304875e+00 -1.1552063914944064e+02
7.8539816339744828e-02 7.1611402870362282e+00 -1.0766665751546616e+02
8.0110612666539724e-02 6.9981863996433313e+00 -9.9812675881491401e+01
8.1681408993334620e-02 6.8475695177517961e+00 -9.1958694247517201e+01
8.3252205320129516e-02 6.7092896413616225e+00 -8.4104712613542716e+01
8.4823001646924426e-02 6.5833467704728097e+00 -7.6250730979567891e+01
8.6393797973719322e-02 6.4697409050853594e+00 -6.8396749345593690e+01
8.7964594300514218e-02 6.3684720451992698e+00 -6.0542767711619199e+01
8.9535390627309114e-02 6.2795401908145418e+00 -5.2688786077644721e+01
9.1106186954104010e-02 6.2029453419311764e+00 -4.4834804443670244e+01
9.2676983280898906e-02 6.1386874985491726e+00 -3.6980822809695482e+01
9.4247779607693802e-02 6.0867666606685313e+00 -2.9126841175721285e+01
9.5818575934488698e-02 6.0471828282892499e+00 -2.1272859541746804e+01
9.7389372261283594e-02 6.0199360014113319e+00 -1.3418877907772043e+01
9.8960168588078490e-02 6.0050261800347746e+00 -5.5648962737978458e+00
1.0053096491487339e-01 6.0017485548075129e+00 -3.6573921419026684e-01
1.0210176124166828e-01 6.0011740529932984e+00 -3.6573921418998406e-01
1.0367255756846318e-01 6.0005995511790839e+00 -3.6573921419026684e-01
1.0524335389525807e-01 6.0000250493648686e+00 -3.6573921419026684e-01
1.0681415022205297e-01 5.9994505475506541e+00 -3.6573921418998406e-01
1.0838494654884787e-01 5.9988760457364396e+00 -3.6573921419026684e-01
1.0995574287564276e-01 5.9983015439222243e+00 -3.6573921419026684e-01
1.1152653920243766e-01 5.9977270421080089e+00 -3.6573921419026684e-01
1.1309733552923255e-01 5.9971525402937935e+00 -3.6573921419026684e-01
1.1466813185602745e-01 5.9965780384795790e+00 -3.6573921418998406e-01
1.1623892818282235e-01 5.9960035366653646e+00 -3.6573921419026517e-01
1.1780972450961726e-01 5.9954290348511492e+00 -3.6573921419026517e-01
1.1938052083641215e-01 5.9948545330369347e+00 -3.6573921418998406e-01
1.2095131716320705e-01 5.9942800312227202e+00 -3.6573921419026684e-01
1.2252211349000194e-01 5.9937055294085049e+00 -3.6573921419026684e-01
1.2409290981679684e-01 5.9931310275942904e+00 -3.6573921418998406e-01
1.2566370614359174e-01 5.9925565257800759e+00 -3.6573921419026845e-01
1.2723450247038662e-01 5.9919820239658614e+00 -3.6573921419026684e-01
1.2880529879718153e-01 5.9914075221516470e+00 -3.6573921418998406e-01
1.3037609512397641e-01 5.9908330203374325e+00 -3.6573921419026684e-01
1.3194689145077132e-01 5.9902585185232171e+00 -3.6573921419026684e-01
1.3351768777756620e-01 5.9896840167090026e+00 -3.6573921419026684e-01
1.3508848410436111e-01 5.9891095148947873e+00 -3.6573921419026356e-01
1.3665928043115602e-01 5.9885350130805728e+00 -3.6573921418998406e-01
1.3823007675795090e-01 5.9879605112663583e+00 -3.6573921419026684e-01
1.3980087308474581e-01 5.9873860094521429e+00 -3.6573921419026684e-01
1.4137166941154070e-01 5.9868115076379285e+00 -3.6573921418998406e-01
1.4294246573833561e-01 5.9862370058237140e+00 -3.6573921419026684e-01
1.4451326206513049e-01 5.9856625040094995e+00 -3.6573921419026684e-01
1.4608405839192540e-01 5.9850880021952850e+00 -3.6573921418998406e-01
1.4765485471872028e-01 5.9845135003810705e+00 -3.6573921419026684e-01
1.4922565104551519e-01 5.9839389985668552e+00 -3.6573921419026684e-01
1.5079644737231007e-01 5.9833644967526407e+00 -3.6573921419026684e-01
1.5236724369910498e-01 5.9827899949384253e+00 -3.6573921419026684e-01
1.5393804002589986e-01 5.9822154931242109e+00 -3.6573921418998406e-01
1.5550883635269477e-01 5.9816409913099964e+00 -3.6573921419026684e-01
1.5707963267948966e-01 5.9810664894957819e+00 -3.6573921419026684e-01
1.5865042900628457e-01 5.9804919876815674e+00 -3.6573921418998406e-01
1.6022122533307945e-01 5.9799174858673529e+00 -3.6573921419026684e-01
1.6179202165987436e-01 5.9793429840531376e+00 -3.6573921419026684e-01
1.6336281798666924e-01 5.9787684822389231e+00 -3.6573921418998406e-01
1.6493361431346415e-01 5.9781939804247086e+00 -3.6573921419026684e-01
1.6650441064025903e-01 5.9776194786104941e+00 -3.6573921419026684e-01
1.6807520696705394e-01 5.9770449767962788e+00 -3.6573921419026356e-01
1.6964600329384885e-01 5.9764704749820634e+00 -3.6573921419026684e-01
1.7121679962064373e-01 5.9758959731678489e+00 -3.6573921418998406e-01
1.7278759594743864e-01 5.9753214713536345e+00 -3.6573921419026684e-01
1.7435839227423353e-01 5.9747469695394200e+00 -3.6573921419026684e-01
1.7592918860102844e-01 5.9741724677252055e+00 -3.6573921418998406e-01
1.7749998492782332e-01 5.9735979659109910e+00 -3.6573921419026684e-01
1.7907078125461823e-01 5.9730234640967756e+00 -3.6573921419026684e-01
1.8064157758141311e-01 5.9724489622825612e+00 -3.6573921418998406e-01
1.8221237390820802e-01 5.9718744604683467e+00 -3.6573921419026684e-01
1.8378317023500290e-01 5.9712999586541322e+00 -3.6573921419026684e-01
1.8535396656179781e-01 5.9707254568399177e+00 -3.6573921418998406e-01
1.8692476288859269e-01 5.9701509550257033e+00 -3.6573921419026684e-01
