# x energy force
0.0000000000000000e+00 3.2552631110930449e+01 -5.0205395744722597e+02
1.5707963267948967e-03 3.1770175101470187e+01 -4.9419997581325208e+02
3.1415926535897933e-03 3.1000056097511287e+01 -4.8634599417927762e+02
4.7123889803846897e-03 3.0242274099053741e+01 -4.7849201254530311e+02
6.2831853071795866e-03 2.9496829106097564e+01 -4.7063803091132866e+02
7.8539816339744835e-03 2.8763721118642749e+01 -4.6278404927735386e+02
9.4247779607693795e-03 2.8042950136689292e+01 -4.5493006764337969e+02
1.0995574287564277e-02 2.7334516160237197e+01 -4.4707608600940551e+02
1.2566370614359173e-02 2.6638419189286466e+01 -4.3922210437543043e+02
1.4137166941154069e-02 2.5954659223837098e+01 -4.3136812274145598e+02
1.5707963267948967e-02 2.5283236263889091e+01 -4.2351414110748203e+02
1.7278759594743863e-02 2.4624150309442435e+01 -4.1566015947350695e+02
1.8849555921538759e-02 2.3977401360497158e+01 -4.0780617783953249e+02
2.0420352248333655e-02 2.3342989417053229e+01 -3.9995219620555855e+02
2.1991148575128554e-02 2.2720914479110668e+01 -3.9209821457158375e+02
2.3561944901923450e-02 2.2111176546669466e+01 -3.8424423293760901e+02
2.5132741228718346e-02 2.1513775619729628e+01 -3.7639025130363484e+02
2.6703537555513242e-02 2.0928711698291153e+01 -3.6853626966966033e+02
2.8274333882308138e-02 2.0355984782354039e+01 -3.6068228803568559e+02
2.9845130209103038e-02 1.9795594871918283e+01 -3.5282830640171136e+02
3.1415926535897934e-02 1.9247541966983896e+01 -3.4497432476773690e+02
3.2986722862692830e-02 1.8711826067550863e+01 -3.3712034313376239e+02
3.4557519189487726e-02 1.8188447173619195e+01 -3.2926636149978793e+02
3.6128315516282622e-02 1.7677405285188890e+01 -3.2141237986581348e+02
3.7699111843077518e-02 1.7178700402259945e+01 -3.1355839823183896e+02
3.9269908169872414e-02 1.6692332524832359e+01 -3.0570441659786422e+02
4.0840704496667310e-02 1.6218301652906138e+01 -2.9785043496389000e+02
4.2411500823462213e-02 1.5756607786481279e+01 -2.8999645332991548e+02
4.3982297150257109e-02 1.5307250925557781e+01 -2.8214247169594074e+02
4.5553093477052005e-02 1.4870231070135645e+01 -2.7428849006196651e+02
4.7123889803846901e-02 1.4445548220214871e+01 -2.6643450842799234e+02
4.8694686130641797e-02 1.4033202375795458e+01 -2.5858052679401732e+02
5.0265482457436693e-02 1.3633193536877407e+01 -2.5072654516004280e+02
5.1836278784231589e-02 1.3245521703460717e+01 -2.4287256352606892e+02
5.3407075111026485e-02 1.2870186875545389e+01 -2.3501858189209386e+02
5.4977871437821381e-02 1.2507189053131423e+01 -2.2716460025811938e+02
5.6548667764616277e-02 1.2156528236218819e+01 -2.1931061862414546e+02
5.8119464091411173e-02 1.1818204424807575e+01 -2.1145663699017069e+02
5.9690260418206076e-02 1.1492217618897692e+01 -2.0360265535619590e+02
6.1261056745000972e-02 1.1178567818489173e+01 -1.9574867372222170e+02
6.2831853071795868e-02 1.0877255023582016e+01 -1.8789469208824721e+02
6.4402649398590764e-02 1.0588279234176220e+01 -1.8004071045427247e+02
6.5973445725385660e-02 1.0311640450271785e+01 -1.7218672882029827e+02
6.7544242052180556e-02 1.0047338671868713e+01 -1.6433274718632379e+02
6.9115038378975452e-02 9.7953738989670018e+00 -1.5647876555234930e+02
7.0685834705770348e-02 9.5557461315666519e+00 -1.4862478391837482e+02
7.2256631032565244e-02 9.3284553696676635e+00 -1.4077080228440033e+02
7.3827427359360140e-02 9.1135016132700386e+00 -1.3291682065042588e+02
7.5398223686155036e-02 8.9108848623737735e+00 -1.2506283901645112e+02
