# x energy force
1.0000000000000000e-02 5.3538432925834620e+01 2.4538047631930991e+02
1.0996666666666667e-02 5.3294501258671964e+01 2.4411450795358030e+02
1.1993333333333333e-02 5.3051828640409745e+01 2.4285395678665972e+02
1.2990000000000002e-02 5.2810408626203312e+01 2.4160092121956535e+02
1.3986666666666668e-02 5.2570233747834735e+01 2.4035535644312608e+02
1.4983333333333335e-02 5.2331296581612783e+01 2.3911721791531266e+02
1.5980000000000001e-02 5.2093589748107426e+01 2.3788646135965703e+02
1.6976666666666668e-02 5.1857105911885938e+01 2.3666304276372509e+02
1.7973333333333334e-02 5.1621837781250598e+01 2.3544691837742346e+02
1.8970000000000001e-02 5.1387778107977937e+01 2.3423804471152516e+02
1.9966666666666667e-02 5.1154919687059525e+01 2.3303637853612443e+02
2.0963333333333334e-02 5.0923255356444315e+01 2.3184187687901616e+02
2.1960000000000000e-02 5.0692777996782524e+01 2.3065449702424451e+02
2.2956666666666667e-02 5.0463480531171051e+01 2.2947419651048435e+02
2.3953333333333333e-02 5.0235355924900404e+01 2.2830093312961304e+02
2.4950000000000000e-02 5.0008397185203123e+01 2.2713466492513643e+02
2.5946666666666666e-02 4.9782597361003724e+01 2.2597535019071574e+02
2.6943333333333333e-02 4.9557949542670116e+01 2.2482294746869997e+02
2.7940000000000000e-02 4.9334446861766516e+01 2.2367741554855206e+02
2.8936666666666666e-02 4.9112082490807850e+01 2.2253871346549391e+02
2.9933333333333333e-02 4.8890849643015557e+01 2.2140680049897668e+02
3.0929999999999999e-02 4.8670741572074910e+01 2.2028163617121658e+02
3.1926666666666666e-02 4.8451751571893787e+01 2.1916318024575756e+02
3.2923333333333332e-02 4.8233872976362825e+01 2.1805139272607772e+02
3.3920000000000006e-02 4.8017099159117031e+01 2.1694623385410461e+02
3.4916666666666672e-02 4.7801423533298859e+01 2.1584766410878356e+02
3.5913333333333339e-02 4.7586839551322640e+01 2.1475564420470405e+02
3.6910000000000005e-02 4.7373340704640427e+01 2.1367013509070372e+02
3.7906666666666672e-02 4.7160920523509255e+01 2.1259109794843823e+02
3.8903333333333338e-02 4.6949572576759778e+01 2.1151849419098255e+02
3.9900000000000005e-02 4.6739290471566285e+01 2.1045228546150381e+02
4.0896666666666671e-02 4.6530067853218107e+01 2.0939243363182902e+02
4.1893333333333338e-02 4.6321898404892352e+01 2.0833890080112590e+02
4.2890000000000005e-02 4.6114775847428007e+01 2.0729164929455558e+02
4.3886666666666671e-02 4.5908693939101383e+01 2.0625064166187514e+02
4.4883333333333338e-02 4.5703646475402955e+01 2.0521584067610812e+02
4.5880000000000004e-02 4.5499627288815454e+01 2.0418720933225799e+02
4.6876666666666671e-02 4.5296630248593303e+01 2.0316471084597805e+02
4.7873333333333337e-02 4.5094649260543378e+01 2.0214830865219923e+02
4.8870000000000004e-02 4.4893678266807107e+01 2.0113796640385800e+02
4.9866666666666670e-02 4.4693711245643826e+01 2.0013364797061962e+02
5.0863333333333337e-02 4.4494742211215410e+01 1.9913531743757395e+02
5.1860000000000003e-02 4.4296765213372247e+01 1.9814293910389102e+02
5.2856666666666670e-02 4.4099774337440465e+01 1.9715647748162817e+02
5.3853333333333336e-02 4.3903763704010380e+01 1.9617589729446297e+02
5.4850000000000003e-02 4.3708727468726273e+01 1.9520116347632191e+02
5.5846666666666669e-02 4.3514659822077405e+01 1.9423224117024338e+02
5.6843333333333336e-02 4.3321554989190233e+01 1.9326909572709661e+02
5.7840000000000009e-02 4.3129407229621918e+01 1.9231169270430181e+02
5.8836666666666676e-02 4.2938210837155054e+01 1.9135999786465717e+02
5.9833333333333343e-02 4.2747960139593587e+01 1.9041397717507715e+02
6.0830000000000009e-02 4.2558649498559980e+01 1.8947359680540208e+02
6.1826666666666676e-02 4.2370273309293587e+01 1.8853882312715405e+02
6.2823333333333342e-02 4.2182826000450234e+01 1.8760962271234527e+02
6.3820000000000002e-02 4.1996302033902964e+01 1.8668596233234067e+02
6.4816666666666675e-02 4.1810695904543991e+01 1.8576780895655926e+02
6.5813333333333335e-02 4.1626002140087870e+01 1.8485512975137124e+02
6.6810000000000008e-02 4.1442215300875766e+01 1.8394789207894112e+02
6.7806666666666668e-02 4.1259329979680935e+01 1.8304606349598038e+02
6.8803333333333341e-02 4.1077340801515369e+01 1.8214961175264244e+02
6.9800000000000001e-02 4.0896242423437592e+01 1.8125850479139254e+02
7.0796666666666674e-02 4.0716029534361560e+01 1.8037271074578817e+02
7.1793333333333334e-02 4.0536696854866783e+01 1.7949219793938369e+02
7.2789999999999994e-02 4.0358239137009491e+01 1.7861693488461762e+02
7.3786666666666667e-02 4.0180651164134972e+01 1.7774689028164147e+02
7.4783333333333341e-02 4.0003927750691027e+01 1.7688203301723647e+02
7.5780000000000000e-02 3.9828063742042545e+01 1.7602233216367054e+02
7.6776666666666674e-02 3.9653054014287136e+01 1.7516775697761145e+02
7.7773333333333333e-02 3.9478893474071945e+01 1.7431827689902985e+02
7.8770000000000007e-02 3.9305577058411465e+01 1.7347386155009201e+02
7.9766666666666666e-02 3.9133099734506516e+01 1.7263448073409401e+02
8.0763333333333340e-02 3.8961456499564235e+01 1.7180010443436012e+02
8.1759999999999999e-02 3.8790642380619211e+01 1.7097070281318091e+02
8.2756666666666673e-02 3.8620652434355627e+01 1.7014624621073261e+02
8.3753333333333332e-02 3.8451481746930497e+01 1.6932670514404074e+02
8.4750000000000006e-02 3.8283125433797927e+01 1.6851205030592740e+02
8.5746666666666665e-02 3.8115578639534455e+01 1.6770225256391794e+02
8.6743333333333339e-02 3.7948836537665414e+01 1.6689728295923894e+02
8.7739999999999999e-02 3.7782894330492340e+01 1.6609711270579857e+02
8.8736666666666672e-02 3.7617747248921383e+01 1.6530171318909225e+02
8.9733333333333332e-02 3.7453390552292809e+01 1.6451105596523402e+02
9.0730000000000005e-02 3.7289819528211417e+01 1.6372511275997130e+02
9.1726666666666665e-02 3.7127029492378036e+01 1.6294385546754839e+02
9.2723333333333338e-02 3.6965015788422043e+01 1.6216725614982326e+02
9.3719999999999998e-02 3.6803773787734826e+01 1.6139528703523587e+02
9.4716666666666671e-02 3.6643298889304241e+01 1.6062792051777586e+02
9.5713333333333331e-02 3.6483586519550123e+01 1.5986512915604402e+02
9.6710000000000004e-02 3.6324632132160694e+01 1.5910688567223363e+02
9.7706666666666664e-02 3.6166431207930010e+01 1.5835316295121029e+02
9.8703333333333337e-02 3.6008979254596333e+01 1.5760393403944946e+02
9.9699999999999997e-02 3.5852271806681507e+01 1.5685917214415363e+02
1.0069666666666667e-01 3.5696304425331242e+01 1.5611885063230253e+02
1.0169333333333333e-01 3.5541072698156391e+01 1.5538294302961353e+02
1.0269000000000000e-01 3.5386572239075164e+01 1.5465142301966412e+02
1.0368666666666666e-01 3.5232798688156301e+01 1.5392426444294415e+02
1.0468333333333334e-01 3.5079747711463106e+01 1.5320144129590608e+02
1.0568000000000001e-01 3.4927415000898513e+01 1.5248292773003325e+02
1.0667666666666667e-01 3.4775796274050997e+01 1.5176869805093801e+02
1.0767333333333334e-01 3.4624887274041434e+01 1.5105872671740968e+02
1.0867000000000000e-01 3.4474683769370898e+01 1.5035298834051855e+02
1.0966666666666668e-01 3.4325181553769319e+01 1.4965145768271458e+02
1.1066333333333334e-01 3.4176376446045069e+01 1.4895410965692608e+02
1.1166000000000001e-01 3.4028264289935414e+01 1.4826091932565021e+02
1.1265666666666667e-01 3.3880840953957943e+01 1.4757186190004100e+02
1.1365333333333334e-01 3.3734102331262783e+01 1.4688691273907841e+02
1.1465000000000000e-01 3.3588044339485734e+01 1.4620604734864168e+02
1.1564666666666668e-01 3.3442662920602302e+01 1.4552924138065035e+02
1.1664333333333333e-01 3.3297954040782564e+01 1.4485647063219784e+02
1.1764000000000001e-01 3.3153913690246924e+01 1.4418771104467129e+02
1.1863666666666667e-01 3.3010537883122723e+01 1.4352293870289586e+02
1.1963333333333334e-01 3.2867822657301694e+01 1.4286212983428285e+02
1.2063000000000000e-01 3.2725764074298290e+01 1.4220526080799573e+02
1.2162666666666667e-01 3.2584358219108822e+01 1.4155230813407294e+02
1.2262333333333333e-01 3.2443601200071477e+01 1.4090324846260845e+02
1.2362000000000001e-01 3.2303489148727131e+01 1.4025805858290295e+02
1.2461666666666667e-01 3.2164018219681026e+01 1.3961671542266134e+02
1.2561333333333335e-01 3.2025184590465237e+01 1.3897919604713795e+02
1.2661000000000000e-01 3.1886984461402022e+01 1.3834547765831752e+02
1.2760666666666667e-01 3.1749414055467877e+01 1.3771553759414869e+02
1.2860333333333335e-01 3.1612469618158514e+01 1.3708935332764889e+02
1.2960000000000002e-01 3.1476147417354603e+01 1.3646690246615120e+02
1.3059666666666667e-01 3.1340443743188292e+01 1.3584816275053274e+02
1.3159333333333334e-01 3.1205354907910525e+01 1.3523311205435110e+02
1.3259000000000001e-01 3.1070877245759196e+01 1.3462172838309598e+02
1.3358666666666669e-01 3.0937007112828045e+01 1.3401398987339161e+02
1.3458333333333333e-01 3.0803740886936357e+01 1.3340987479220772e+02
1.3558000000000001e-01 3.0671074967499415e+01 1.3280936153610023e+02
1.3657666666666668e-01 3.0539005775399765e+01 1.3221242863041664e+02
1.3757333333333335e-01 3.0407529752859205e+01 1.3161905472856662e+02
1.3857000000000003e-01 3.0276643363311553e+01 1.3102921861119847e+02
1.3956666666666670e-01 3.0146343091276208e+01 1.3044289918547636e+02
1.4056333333333335e-01 3.0016625442232414e+01 1.2986007548435217e+02
1.4156000000000002e-01 2.9887486942494274e+01 1.2928072666575878e+02
1.4255666666666669e-01 2.9758924139086570e+01 1.2870483201190223e+02
1.4355333333333337e-01 2.9630933599621262e+01 1.2813237092851327e+02
1.4455000000000001e-01 2.9503511912174741e+01 1.2756332294411287e+02
1.4554666666666669e-01 2.9376655685165808e+01 1.2699766770926031e+02
1.4654333333333336e-01 2.9250361547234430e+01 1.2643538499584743e+02
1.4754000000000003e-01 2.9124626147121127e+01 1.2587645469639439e+02
1.4853666666666668e-01 2.8999446153547161e+01 1.2532085682327617e+02
1.4953333333333335e-01 2.8874818255095391e+01 1.2476857150803330e+02
1.5053000000000002e-01 2.8750739160091879e+01 1.2421957900068321e+02
1.5152666666666670e-01 2.8627205596488157e+01 1.2367385966899343e+02
1.5252333333333334e-01 2.8504214311744221e+01 1.2313139399777245e+02
1.5352000000000002e-01 2.8381762072712213e+01 1.2259216258819394e+02
1.5451666666666669e-01 2.8259845665520814e+01 1.2205614615708882e+02
1.5551333333333336e-01 2.8138461895460306e+01 1.2152332553623491e+02
1.5651000000000001e-01 2.8017607586868344e+01 1.2099368167171869e+02
1.5750666666666668e-01 2.7897279583016360e+01 1.2046719562322897e+02
1.5850333333333336e-01 2.7777474745996702e+01 1.1994384856336937e+02
1.5950000000000003e-01 2.7658189956610418e+01 1.1942362177700048e+02
1.6049666666666668e-01 2.7539422114255707e+01 1.1890649666055418e+02
1.6149333333333335e-01 2.7421168136817037e+01 1.1839245472139331e+02
1.6249000000000002e-01 2.7303424960554938e+01 1.1788147757713391e+02
1.6348666666666670e-01 2.7186189539996427e+01 1.1737354695499405e+02
1.6448333333333334e-01 2.7069458847826109e+01 1.1686864469113567e+02
1.6548000000000002e-01 2.6953229874777911e+01 1.1636675272999783e+02
1.6647666666666669e-01 2.6837499629527489e+01 1.1586785312369047e+02
1.6747333333333336e-01 2.6722265138585236e+01 1.1537192803133206e+02
1.6847000000000001e-01 2.6607523446189955e+01 1.1487895971840099e+02
1.6946666666666668e-01 2.6493271614203149e+01 1.1438893055612166e+02
1.7046333333333336e-01 2.6379506722003974e+01 1.1390182302081573e+02
1.7146000000000003e-01 2.6266225866384783e+01 1.1341761969328108e+02
1.7245666666666670e-01 2.6153426161447303e+01 1.1293630325818305e+02
1.7345333333333335e-01 2.6041104738499442e+01 1.1245785650341389e+02
1.7445000000000002e-01 2.5929258745952691e+01 1.1198226231949818e+02
1.7544666666666670e-01 2.5817885349220159e+01 1.1150950369895996e+02
1.7644333333333337e-01 2.5706981730615208e+01 1.1103956373572339e+02
1.7744000000000001e-01 2.5596545089250693e+01 1.1057242562451336e+02
1.7843666666666669e-01 2.5486572640938785e+01 1.1010807266025270e+02
1.7943333333333336e-01 2.5377061618091421e+01 1.0964648823747005e+02
1.8043000000000003e-01 2.5268009269621324e+01 1.0918765584967718e+02
1.8142666666666668e-01 2.5159412860843645e+01 1.0873155908881127e+02
1.8242333333333335e-01 2.5051269673378140e+01 1.0827818164464186e+02
1.8342000000000003e-01 2.4943577005051978e+01 1.0782750730417592e+02
1.8441666666666670e-01 2.4836332169803100e+01 1.0737951995109546e+02
1.8541333333333335e-01 2.4729532497584170e+01 1.0693420356515695e+02
1.8641000000000002e-01 2.4623175334267085e+01 1.0649154222163430e+02
1.8740666666666669e-01 2.4517258041548079e+01 1.0605152009075188e+02
1.8840333333333337e-01 2.4411777996853360e+01 1.0561412143711183e+02
1.8940000000000001e-01 2.4306732593245329e+01 1.0517933061913993e+02
1.9039666666666669e-01 2.4202119239329345e+01 1.0474713208851389e+02
1.9139333333333336e-01 2.4097935359161081e+01 1.0431751038960731e+02
1.9239000000000003e-01 2.3994178392154385e+01 1.0389045015894379e+02
1.9338666666666668e-01 2.3890845792989726e+01 1.0346593612465519e+02
1.9438333333333335e-01 2.3787935031523155e+01 1.0304395310592237e+02
1.9538000000000003e-01 2.3685443592695837e+01 1.0262448601244056e+02
1.9637666666666670e-01 2.3583368976444106e+01 1.0220751984387168e+02
1.9737333333333335e-01 2.3481708697610074e+01 1.0179303968930444e+02
1.9837000000000002e-01 2.3380460285852749e+01 1.0138103072673243e+02
1.9936666666666669e-01 2.3279621285559696e+01 1.0097147822253385e+02
2.0036333333333337e-01 2.3179189255759219e+01 1.0056436753092578e+02
2.0136000000000004e-01 2.3079161770033078e+01 1.0015968409343698e+02
2.0235666666666668e-01 2.2979536416429717e+01 9.9757413438396213e+01
2.0335333333333336e-01 2.2880310797378009e+01 9.9357541180417272e+01
2.0435000000000003e-01 2.2781482529601522e+01 9.8960053019888932e+01
2.0534666666666671e-01 2.2683049244033285e+01 9.8564934742458163e+01
2.0634333333333335e-01 2.2585008585731071e+01 9.8172172218507697e+01
2.0734000000000002e-01 2.2487358213793186e+01 9.7781751402664526e+01
2.0833666666666670e-01 2.2390095801274761e+01 9.7393658333304217e+01
2.0933333333333337e-01 2.2293219035104531e+01 9.7007879132039392e+01
2.1033000000000002e-01 2.2196725616002123e+01 9.6624400003233063e+01
2.1132666666666669e-01 2.2100613258395818e+01 9.6243207233496179e+01
2.1232333333333336e-01 2.2004879690340843e+01 9.5864287191199381e+01
2.1332000000000004e-01 2.1909522653438110e+01 9.5487626325987947e+01
2.1431666666666668e-01 2.1814539902753463e+01 9.5113211168291812e+01
2.1531333333333336e-01 2.1719929206737380e+01 9.4741028328862299e+01
2.1631000000000003e-01 2.1625688347145189e+01 9.4371064498276297e+01
2.1730666666666670e-01 2.1531815118957734e+01 9.4003306446449997e+01
2.1830333333333335e-01 2.1438307330302532e+01 9.3637741022189729e+01
2.1930000000000002e-01 2.1345162802375373e+01 9.3274355152707187e+01
2.2029666666666670e-01 2.1252379369362430e+01 9.2913135843164611e+01
2.2129333333333337e-01 2.1159954878362779e+01 9.2554070176201122e+01
2.2229000000000002e-01 2.1067887189311431e+01 9.2197145311456836e+01
2.2328666666666669e-01 2.0976174174902795e+01 9.1842348485137748e+01
2.2428333333333336e-01 2.0884813720514607e+01 9.1489667009548697e+01
2.2528000000000004e-01 2.0793803724132314e+01 9.1139088272646418e+01
2.2627666666666668e-01 2.0703142096273886e+01 9.0790599737577679e+01
2.2727333333333335e-01 2.0612826759915116e+01 9.0444188942230213e+01
2.2827000000000003e-01 2.0522855650415334e+01 9.0099843498804717e+01
2.2926666666666670e-01 2.0433226715443578e+01 8.9757551093348184e+01
2.3026333333333335e-01 2.0343937914905204e+01 8.9417299485329906e+01
2.3126000000000002e-01 2.0254987220868923e+01 8.9079076507204348e+01
2.3225666666666669e-01 2.0166372617494286e+01 8.8742870063970955e+01
2.3325333333333337e-01 2.0078092100959594e+01 8.8408668132732998e+01
2.3425000000000004e-01 1.9990143679390250e+01 8.8076458762272580e+01
2.3524666666666669e-01 1.9902525372787519e+01 8.7746230072641552e+01
2.3624333333333336e-01 1.9815235212957717e+01 8.7417970254718625e+01
2.3724000000000003e-01 1.9728271243441839e+01 8.7091667569783340e+01
2.3823666666666671e-01 1.9641631519445589e+01 8.6767310349108328e+01
2.3923333333333335e-01 1.9555314107769842e+01 8.6444886993533530e+01
2.4023000000000003e-01 1.9469317086741491e+01 8.6124385973055567e+01
2.4122666666666670e-01 1.9383638546144752e+01 8.5805795826419768e+01
2.4222333333333337e-01 1.9298276587152834e+01 8.5489105160701740e+01
2.4322000000000002e-01 1.9213229322260052e+01 8.5174302650908203e+01
2.4421666666666669e-01 1.9128494875214304e+01 8.4861377039552181e+01
2.4521333333333337e-01 1.9044071380950015e+01 8.4550317136278935e+01
2.4621000000000004e-01 1.8959956985521401e+01 8.4241111817459782e+01
2.4720666666666669e-01 1.8876149846036196e+01 8.3933750025766500e+01
2.4820333333333336e-01 1.8792648130589733e+01 8.3628220769808848e+01
2.4920000000000003e-01 1.8709450018199451e+01 8.3324513123730952e+01
2.5019666666666668e-01 1.8626553698739766e+01 8.3022616226811849e+01
2.5119333333333332e-01 1.8543957372877333e+01 8.2722519283086811e+01
2.5219000000000003e-01 1.8461659252006715e+01 8.2424211560958696e+01
2.5318666666666667e-01 1.8379657558186420e+01 8.2127682392816880e+01
2.5418333333333337e-01 1.8297950524075297e+01 8.1832921174646600e+01
2.5518000000000002e-01 1.8216536392869379e+01 8.1539917365656649e+01
2.5617666666666666e-01 1.8135413418239022e+01 8.1248660487909532e+01
2.5717333333333336e-01 1.8054579864266458e+01 8.0959140125929011e+01
2.5817000000000001e-01 1.7974034005383743e+01 8.0671345926342880e+01
2.5916666666666666e-01 1.7893774126311026e+01 8.0385267597506825e+01
2.6016333333333336e-01 1.7813798521995214e+01 8.0100894909137992e+01
2.6116000000000000e-01 1.7734105497549010e+01 7.9818217691946771e+01
