# x energy force
0.0000000000000000e+00 3.2075325828963727e+01 -5.0148692080146213e+02
1.5707963267948967e-03 3.1293760518583788e+01 -4.9363293916748768e+02
3.1415926535897933e-03 3.0524532213705211e+01 -4.8577895753351322e+02
4.7123889803846897e-03 2.9767640914327991e+01 -4.7792497589953871e+02
6.2831853071795866e-03 2.9023086620452140e+01 -4.7007099426556425e+02
7.8539816339744835e-03 2.8290869332077651e+01 -4.6221701263158974e+02
9.4247779607693795e-03 2.7570989049204517e+01 -4.5436303099761528e+02
1.0995574287564277e-02 2.6863445771832744e+01 -4.4650904936364054e+02
1.2566370614359173e-02 2.6168239499962343e+01 -4.3865506772966609e+02
1.4137166941154069e-02 2.5485370233593297e+01 -4.3080108609569186e+02
1.5707963267948967e-02 2.4814837972725613e+01 -4.2294710446171734e+02
1.7278759594743863e-02 2.4156642717359283e+01 -4.1509312282774283e+02
1.8849555921538759e-02 2.3510784467494332e+01 -4.0723914119376838e+02
2.0420352248333655e-02 2.2877263223130726e+01 -3.9938515955979386e+02
2.1991148575128554e-02 2.2256078984268491e+01 -3.9153117792581935e+02
2.3561944901923450e-02 2.1647231750907615e+01 -3.8367719629184489e+02
2.5132741228718346e-02 2.1050721523048100e+01 -3.7582321465787021e+02
2.6703537555513242e-02 2.0466548300689951e+01 -3.6796923302389592e+02
2.8274333882308138e-02 1.9894712083833159e+01 -3.6011525138992147e+02
2.9845130209103038e-02 1.9335212872477729e+01 -3.5226126975594667e+02
3.1415926535897934e-02 1.8788050666623665e+01 -3.4440728812197250e+02
3.2986722862692830e-02 1.8253225466270958e+01 -3.3655330648799799e+02
3.4557519189487726e-02 1.7730737271419617e+01 -3.2869932485402353e+02
3.6128315516282622e-02 1.7220586082069634e+01 -3.2084534322004907e+02
3.7699111843077518e-02 1.6722771898221016e+01 -3.1299136158607456e+02
3.9269908169872414e-02 1.6237294719873756e+01 -3.0513737995209988e+02
4.0840704496667310e-02 1.5764154547027857e+01 -2.9728339831812559e+02
4.2411500823462213e-02 1.5303351379683322e+01 -2.8942941668415108e+02
4.3982297150257109e-02 1.4854885217840149e+01 -2.8157543505017662e+02
4.5553093477052005e-02 1.4418756061498339e+01 -2.7372145341620211e+02
4.7123889803846901e-02 1.3994963910657887e+01 -2.6586747178222743e+02
4.8694686130641797e-02 1.3583508765318800e+01 -2.5801349014825320e+02
5.0265482457436693e-02 1.3184390625481074e+01 -2.5015950851427871e+02
5.1836278784231589e-02 1.2797609491144708e+01 -2.4230552688030426e+02
5.3407075111026485e-02 1.2423165362309707e+01 -2.3445154524632977e+02
5.4977871437821381e-02 1.2061058238976065e+01 -2.2659756361235529e+02
5.6548667764616277e-02 1.1711288121143784e+01 -2.1874358197838052e+02
5.8119464091411173e-02 1.1373855008812868e+01 -2.1088960034440632e+02
5.9690260418206076e-02 1.1048758901983309e+01 -2.0303561871043181e+02
6.1261056745000972e-02 1.0735999800655115e+01 -1.9518163707645732e+02
6.2831853071795868e-02 1.0435577704828283e+01 -1.8732765544248284e+02
6.4402649398590764e-02 1.0147492614502811e+01 -1.7947367380850810e+02
6.5973445725385660e-02 9.8717445296787005e+00 -1.7161969217453390e+02
6.7544242052180556e-02 9.6083334503559534e+00 -1.6376571054055941e+02
6.9115038378975452e-02 9.3572593765345680e+00 -1.5591172890658493e+02
7.0685834705770348e-02 9.1185223082145441e+00 -1.4805774727261044e+02
7.2256631032565244e-02 8.8921222453958801e+00 -1.4020376563863596e+02
7.3827427359360140e-02 8.6780591880785796e+00 -1.3234978400466122e+02
7.5398223686155036e-02 8.4763331362626406e+00 -1.2449580237068702e+02
7.6969020012949932e-02 8.2869440899480633e+00 -1.1664182073671253e+02
7.8539816339744828e-02 8.1098920491348476e+00 -1.0878783910273776e+02
8.0110612666539724e-02 7.9451770138229927e+00 -1.0093385746876358e+02
8.1681408993334620e-02 7.7927989840125003e+00 -9.3079875834789092e+01
8.3252205320129516e-02 7.6527579597033695e+00 -8.5225894200814594e+01
8.4823001646924426e-02 7.5250539408955994e+00 -7.7371912566840052e+01
8.6393797973719322e-02 7.4096869275891919e+00 -6.9517930932865582e+01
