# x energy force
1.0000000000000000e-02 7.6462619899475328e+01 2.1133637763861356e+02
1.0996666666666667e-02 7.6252145428565157e+01 2.1102042017443776e+02
1.1993333333333333e-02 7.6041985333219415e+01 2.1070552366316966e+02
1.2990000000000002e-02 7.5832138149130387e+01 2.1039250460912095e+02
1.3986666666666668e-02 7.5622602010677213e+01 2.1008135181865561e+02
1.4983333333333335e-02 7.5413375063362096e+01 2.0977205416485137e+02
1.5980000000000001e-02 7.5204455463744026e+01 2.0946460058711574e+02
1.6976666666666668e-02 7.4995841379372848e+01 2.0915898009083602e+02
1.7973333333333334e-02 7.4787530988723702e+01 2.0885518174691578e+02
1.8970000000000001e-02 7.4579522481131931e+01 2.0855319469141875e+02
1.9966666666666667e-02 7.4371814056728311e+01 2.0825300812521937e+02
2.0963333333333334e-02 7.4164403926374661e+01 2.0795461131355350e+02
2.1960000000000000e-02 7.3957290311599891e+01 2.0765799358564797e+02
2.2956666666666667e-02 7.3750471444536416e+01 2.0736314433437116e+02
2.3953333333333333e-02 7.3543945567856895e+01 2.0707005301583357e+02
2.4950000000000000e-02 7.3337710934711438e+01 2.0677870914897460e+02
2.5946666666666666e-02 7.3131765808665094e+01 2.0648910231526312e+02
2.6943333333333333e-02 7.2926108463635771e+01 2.0620122215829085e+02
2.7940000000000000e-02 7.2720737183832526e+01 2.0591505838333057e+02
2.8936666666666666e-02 7.2515650263694212e+01 2.0563060075710101e+02
2.9933333333333333e-02 7.2310846007828431e+01 2.0534783910733856e+02
3.0929999999999999e-02 7.2106322730950964e+01 2.0506676332235588e+02
3.1926666666666666e-02 7.1902078757825507e+01 2.0478736335081339e+02
3.2923333333333332e-02 7.1698112423203710e+01 2.0450962920129095e+02
3.3920000000000006e-02 7.1494422071765669e+01 2.0423355094193423e+02
3.4916666666666672e-02 7.1291006058060731e+01 2.0395911870008754e+02
3.5913333333333339e-02 7.1087862746448650e+01 2.0368632266195880e+02
3.6910000000000005e-02 7.0884990511041082e+01 2.0341515307230222e+02
3.7906666666666672e-02 7.0682387735643431e+01 2.0314560023400927e+02
3.8903333333333338e-02 7.0480052813697114e+01 2.0287765450776689e+02
3.9900000000000005e-02 7.0277984148222046e+01 2.0261130631177278e+02
4.0896666666666671e-02 7.0076180151759559e+01 2.0234654612132127e+02
4.1893333333333338e-02 6.9874639246315624e+01 2.0208336446851894e+02
4.2890000000000005e-02 6.9673359863304427e+01 2.0182175194190589e+02
4.3886666666666671e-02 6.9472340443492300e+01 2.0156169918612159e+02
4.4883333333333338e-02 6.9271579436941906e+01 2.0130319690163333e+02
4.5880000000000004e-02 6.9071075302956856e+01 2.0104623584428006e+02
4.6876666666666671e-02 6.8870826510026617e+01 2.0079080682508732e+02
4.7873333333333337e-02 6.8670831535771711e+01 2.0053690070983200e+02
4.8870000000000004e-02 6.8471088866889318e+01 2.0028450841872905e+02
4.9866666666666670e-02 6.8271596999099117e+01 2.0003362092616723e+02
5.0863333333333337e-02 6.8072354437089501e+01 1.9978422926034597e+02
5.1860000000000003e-02 6.7873359694464142e+01 1.9953632450292577e+02
5.2856666666666670e-02 6.7674611293688798e+01 1.9928989778874325e+02
5.3853333333333336e-02 6.7476107766038481e+01 1.9904494030553988e+02
5.4850000000000003e-02 6.7277847651544946e+01 1.9880144329352748e+02
5.5846666666666669e-02 6.7079829498944477e+01 1.9855939804519571e+02
5.6843333333333336e-02 6.6882051865625996e+01 1.9831879590493318e+02
5.7840000000000009e-02 6.6684513317579459e+01 1.9807962826870983e+02
5.8836666666666676e-02 6.6487212429344609e+01 1.9784188658384514e+02
5.9833333333333343e-02 6.6290147783959938e+01 1.9760556234860883e+02
6.0830000000000009e-02 6.6093317972912089e+01 1.9737064711196783e+02
6.1826666666666676e-02 6.5896721596085428e+01 1.9713713247329827e+02
6.2823333333333342e-02 6.5700357261712028e+01 1.9690501008202330e+02
6.3820000000000002e-02 6.5504223586321856e+01 1.9667427163739572e+02
6.4816666666666675e-02 6.5308319194693311e+01 1.9644490888811993e+02
6.5813333333333335e-02 6.5112642719804072e+01 1.9621691363210280e+02
6.6810000000000008e-02 6.4917192802782168e+01 1.9599027771619296e+02
6.7806666666666668e-02 6.4721968092857423e+01 1.9576499303580266e+02
6.8803333333333341e-02 6.4526967247313138e+01 1.9554105153467955e+02
6.9800000000000001e-02 6.4332188931438054e+01 1.9531844520461414e+02
7.0796666666666674e-02 6.4137631818478667e+01 1.9509716608513349e+02
7.1793333333333334e-02 6.3943294589591744e+01 1.9487720626321391e+02
7.2789999999999994e-02 6.3749175933797183e+01 1.9465855787303147e+02
7.3786666666666667e-02 6.3555274547931120e+01 1.9444121309565014e+02
7.4783333333333341e-02 6.3361589136599335e+01 1.9422516415876183e+02
7.5780000000000000e-02 6.3168118412130923e+01 1.9401040333638363e+02
7.6776666666666674e-02 6.2974861094532237e+01 1.9379692294859561e+02
7.7773333333333333e-02 6.2781815911441157e+01 1.9358471536127050e+02
7.8770000000000007e-02 6.2588981598081531e+01 1.9337377298579659e+02
7.9766666666666666e-02 6.2396356897217998e+01 1.9316408827882503e+02
8.0763333333333340e-02 6.2203940559110976e+01 1.9295565374195229e+02
8.1759999999999999e-02 6.2011731341472029e+01 1.9274846192149229e+02
8.2756666666666673e-02 6.1819728009419400e+01 1.9254250540820158e+02
8.3753333333333332e-02 6.1627929335433869e+01 1.9233777683700896e+02
8.4750000000000006e-02 6.1436334099314855e+01 1.9213426888675826e+02
8.5746666666666665e-02 6.1244941088136784e+01 1.9193197427994500e+02
8.6743333333333339e-02 6.1053749096205692e+01 1.9173088578244170e+02
8.7739999999999999e-02 6.0862756925016150e+01 1.9153099620325904e+02
8.8736666666666672e-02 6.0671963383208372e+01 1.9133229839428935e+02
8.9733333333333332e-02 6.0481367286525618e+01 1.9113478525002844e+02
9.0730000000000005e-02 6.0290967457771849e+01 1.9093844970736191e+02
9.1726666666666665e-02 6.0100762726769638e+01 1.9074328474523702e+02
9.2723333333333338e-02 5.9910751930318312e+01 1.9054928338450588e+02
9.3719999999999998e-02 5.9720933912152368e+01 1.9035643868762969e+02
9.4716666666666671e-02 5.9531307522900093e+01 1.9016474375840414e+02
9.5713333333333331e-02 5.9341871620042504e+01 1.8997419174177082e+02
9.6710000000000004e-02 5.9152625067872471e+01 1.8978477582351357e+02
9.7706666666666664e-02 5.8963566737454101e+01 1.8959648923007387e+02
9.8703333333333337e-02 5.8774695506582368e+01 1.8940932522825088e+02
9.9699999999999997e-02 5.8586010259743006e+01 1.8922327712499504e+02
1.0069666666666667e-01 5.8397509888072570e+01 1.8903833826718684e+02
1.0169333333333333e-01 5.8209193289318819e+01 1.8885450204134108e+02
1.0269000000000000e-01 5.8021059367801300e+01 1.8867176187340718e+02
1.0368666666666666e-01 5.7833107034372155e+01 1.8849011122855188e+02
1.0468333333333334e-01 5.7645335206377169e+01 1.8830954361087959e+02
1.0568000000000001e-01 5.7457742807617073e+01 1.8813005256322552e+02
1.0667666666666667e-01 5.7270328768309035e+01 1.8795163166695346e+02
1.0767333333333334e-01 5.7083092025048408e+01 1.8777427454166551e+02
1.0867000000000000e-01 5.6896031520770720e+01 1.8759797484500720e+02
1.0966666666666668e-01 5.6709146204713853e+01 1.8742272627244401e+02
1.1066333333333334e-01 5.6522435032380500e+01 1.8724852255702956e+02
1.1166000000000001e-01 5.6335896965500766e+01 1.8707535746919538e+02
1.1265666666666667e-01 5.6149530971995070e+01 1.8690322481648718e+02
1.1365333333333334e-01 5.5963336025937231e+01 1.8673211844339016e+02
1.1465000000000000e-01 5.5777311107517789e+01 1.8656203223108301e+02
1.1564666666666668e-01 5.5591455203007520e+01 1.8639296009721710e+02
1.1664333333333333e-01 5.5405767304721195e+01 1.8622489599574135e+02
1.1764000000000001e-01 5.5220246410981538e+01 1.8605783391661052e+02
1.1863666666666667e-01 5.5034891526083420e+01 1.8589176788562807e+02
1.1963333333333334e-01 5.4849701660258241e+01 1.8572669196422510e+02
1.2063000000000000e-01 5.4664675829638540e+01 1.8556260024922878e+02
1.2162666666666667e-01 5.4479813056222795e+01 1.8539948687266983e+02
1.2262333333333333e-01 5.4295112367840474e+01 1.8523734600155444e+02
1.2362000000000001e-01 5.4110572798117261e+01 1.8507617183767161e+02
1.2461666666666667e-01 5.3926193386440495e+01 1.8491595861738179e+02
1.2561333333333335e-01 5.3741973177924812e+01 1.8475670061140937e+02
1.2661000000000000e-01 5.3557911223378028e+01 1.8459839212462413e+02
1.2760666666666667e-01 5.3374006579267146e+01 1.8444102749587560e+02
1.2860333333333335e-01 5.3190258307684651e+01 1.8428460109775153e+02
1.2960000000000002e-01 5.3006665476314978e+01 1.8412910733637540e+02
1.3059666666666667e-01 5.2823227158401153e+01 1.8397454065124441e+02
