# x energy force
1.0000000000000000e-02 5.2307854508694909e+01 2.4664307845898381e+02
1.0996666666666667e-02 5.2062682019635758e+01 2.4534184941890479e+02
1.1993333333333333e-02 5.1818803628460884e+01 2.4404622651730000e+02
1.2990000000000002e-02 5.1576212691967392e+01 2.4275832831913814e+02
1.3986666666666668e-02 5.1334901534152031e+01 2.4147810876854214e+02
1.4983333333333335e-02 5.1094862524777064e+01 2.4020552208423376e+02
1.5980000000000001e-02 5.0856088079097425e+01 2.3894052275784577e+02
1.6976666666666668e-02 5.0618570657589508e+01 2.3768306555235944e+02
1.7973333333333334e-02 5.0382302765681501e+01 2.3643310550049776e+02
1.8970000000000001e-02 5.0147276953485395e+01 2.3519059790305943e+02
1.9966666666666667e-02 4.9913485815530585e+01 2.3395549832732723e+02
2.0963333333333334e-02 4.9680921990499051e+01 2.3272776260551248e+02
2.1960000000000000e-02 4.9449578160962098e+01 2.3150734683319482e+02
2.2956666666666667e-02 4.9219447053118664e+01 2.3029420736767767e+02
2.3953333333333333e-02 4.8990521436535246e+01 2.2908830082646773e+02
2.4950000000000000e-02 4.8762794123887311e+01 2.2788958408578023e+02
2.5946666666666666e-02 4.8536257970702266e+01 2.2669801427886355e+02
2.6943333333333333e-02 4.8310905875103998e+01 2.2551354879458927e+02
2.7940000000000000e-02 4.8086730777558877e+01 2.2433614527589185e+02
2.8936666666666666e-02 4.7863725660623317e+01 2.2316576161820984e+02
2.9933333333333333e-02 4.7641883548692832e+01 2.2200235596804407e+02
3.0929999999999999e-02 4.7421197507752588e+01 2.2084588672141518e+02
3.1926666666666666e-02 4.7201660645129408e+01 2.1969631252241967e+02
3.2923333333333332e-02 4.6983266109245335e+01 2.1855359226167809e+02
3.3920000000000006e-02 4.6766007089372579e+01 2.1741768507494902e+02
3.4916666666666672e-02 4.6549876815389972e+01 2.1628855034165525e+02
3.5913333333333339e-02 4.6334868557540858e+01 2.1516614768332357e+02
3.6910000000000005e-02 4.6120975626192468e+01 2.1405043696227685e+02
3.7906666666666672e-02 4.5908191371596651e+01 2.1294137828016139e+02
3.8903333333333338e-02 4.5696509183652097e+01 2.1183893197647282e+02
3.9900000000000005e-02 4.5485922491667949e+01 2.1074305862716926e+02
4.0896666666666671e-02 4.5276424764128848e+01 2.0965371904326346e+02
4.1893333333333338e-02 4.5068009508461351e+01 2.0857087426943940e+02
4.2890000000000005e-02 4.4860670270801741e+01 2.0749448558262671e+02
