# x energy force
1.0000000000000000e-02 5.0950489612461716e+01 2.5031449074519858e+02
1.0996666666666667e-02 5.0701709048714505e+01 2.4891072078766902e+02
1.1993333333333333e-02 5.0454324503500210e+01 2.4751311576275944e+02
1.2990000000000002e-02 5.0208328752146372e+01 2.4612384347571546e+02
1.3986666666666668e-02 4.9963713514448663e+01 2.4474285424544209e+02
1.4983333333333335e-02 4.9720470559570643e+01 2.4337009868703834e+02
1.5980000000000001e-02 4.9478591705749402e+01 2.4200552771010072e+02
1.6976666666666668e-02 4.9238068820002951e+01 2.4064909251689761e+02
1.7973333333333334e-02 4.8998893817839395e+01 2.3930074460060490e+02
1.8970000000000001e-02 4.8761058662967869e+01 2.3796043574358799e+02
1.9966666666666667e-02 4.8524555367011132e+01 2.3662811801574833e+02
2.0963333333333334e-02 4.8289375989219870e+01 2.3530374377273967e+02
2.1960000000000000e-02 4.8055512636188759e+01 2.3398726565424465e+02
2.2956666666666667e-02 4.7822957461574177e+01 2.3267863658238016e+02
2.3953333333333333e-02 4.7591702665813621e+01 2.3137780975987235e+02
2.4950000000000000e-02 4.7361740495846824e+01 2.3008473866847518e+02
2.5946666666666666e-02 4.7133063244838468e+01 2.2879937706736123e+02
2.6943333333333333e-02 4.6905663251902553e+01 2.2752167899133650e+02
2.7940000000000000e-02 4.6679532901828487e+01 2.2625159874926888e+02
2.8936666666666666e-02 4.6454664624808757e+01 2.2498909092242624e+02
2.9933333333333333e-02 4.6231050896168234e+01 2.2373411036289832e+02
3.0929999999999999e-02 4.6008684236095057e+01 2.2248661219196643e+02
3.1926666666666666e-02 4.5787557209373176e+01 2.2124655179843646e+02
3.2923333333333332e-02 4.5567662425116438e+01 2.2001388483715124e+02
3.3920000000000006e-02 4.5348992536504319e+01 2.1878856722729975e+02
3.4916666666666672e-02 4.5131540240519193e+01 2.1757055515087478e+02
3.5913333333333339e-02 4.4915298277685167e+01 2.1635980505118908e+02
3.6910000000000005e-02 4.4700259431808433e+01 2.1515627363121453e+02
3.7906666666666672e-02 4.4486416529719286e+01 2.1395991785203236e+02
3.8903333333333338e-02 4.4273762441015563e+01 2.1277069493135139e+02
3.9900000000000005e-02 4.4062290077807688e+01 2.1158856234197461e+02
4.0896666666666671e-02 4.3851992394465171e+01 2.1041347781023435e+02
