# x energy force
0.0000000000000000e+00 4.1176917748723405e+01 -5.0618715524126708e+02
1.5707963267948967e-03 4.0387969327350348e+01 -4.9833317360729484e+02
3.1415926535897933e-03 3.9611357911478642e+01 -4.9047919197332038e+02
4.7123889803846897e-03 3.8847083501108301e+01 -4.8262521033934587e+02
6.2831853071795866e-03 3.8095146096239318e+01 -4.7477122870537255e+02
7.8539816339744835e-03 3.7355545696871708e+01 -4.6691724707139690e+02
9.4247779607693795e-03 3.6628282303005449e+01 -4.5906326543742131e+02
1.0995574287564277e-02 3.5913355914640555e+01 -4.5120928380344913e+02
1.2566370614359173e-02 3.5210766531777026e+01 -4.4335530216947461e+02
1.4137166941154069e-02 3.4520514154414855e+01 -4.3550132053549788e+02
1.5707963267948967e-02 3.3842598782554049e+01 -4.2764733890152451e+02
1.7278759594743863e-02 3.3177020416194601e+01 -4.1979335726754999e+02
1.8849555921538759e-02 3.2523779055336526e+01 -4.1193937563357554e+02
2.0420352248333655e-02 3.1882874699979798e+01 -4.0408539399960102e+02
2.1991148575128554e-02 3.1254307350124435e+01 -3.9623141236562651e+02
2.3561944901923450e-02 3.0638077005770434e+01 -3.8837743073165319e+02
2.5132741228718346e-02 3.0034183666917798e+01 -3.8052344909767760e+02
2.6703537555513242e-02 2.9442627333566520e+01 -3.7266946746370195e+02
2.8274333882308138e-02 2.8863408005716607e+01 -3.6481548582972863e+02
2.9845130209103038e-02 2.8296525683368053e+01 -3.5696150419575525e+02
3.1415926535897934e-02 2.7741980366520863e+01 -3.4910752256177966e+02
3.2986722862692830e-02 2.7199772055175035e+01 -3.4125354092780458e+02
3.4557519189487726e-02 2.6669900749330569e+01 -3.3339955929383069e+02
3.6128315516282622e-02 2.6152366448987465e+01 -3.2554557765985680e+02
3.7699111843077518e-02 2.5647169154145722e+01 -3.1769159602588172e+02
3.9269908169872414e-02 2.5154308864805337e+01 -3.0983761439190670e+02
4.0840704496667310e-02 2.4673785580966317e+01 -3.0198363275793332e+02
4.2411500823462213e-02 2.4205599302628656e+01 -2.9412965112395824e+02
4.3982297150257109e-02 2.3749750029792359e+01 -2.8627566948998378e+02
4.5553093477052005e-02 2.3306237762457425e+01 -2.7842168785600984e+02
4.7123889803846901e-02 2.2875062500623848e+01 -2.7056770622203481e+02
4.8694686130641797e-02 2.2456224244291640e+01 -2.6271372458806036e+02
5.0265482457436693e-02 2.2049722993460787e+01 -2.5485974295408587e+02
5.1836278784231589e-02 2.1655558748131298e+01 -2.4700576132011142e+02
5.3407075111026485e-02 2.1273731508303172e+01 -2.3915177968613693e+02
5.4977871437821381e-02 2.0904241273976407e+01 -2.3129779805216245e+02
5.6548667764616277e-02 2.0547088045151003e+01 -2.2344381641818796e+02
5.8119464091411173e-02 2.0202271821826962e+01 -2.1558983478421402e+02
5.9690260418206076e-02 1.9869792604004282e+01 -2.0773585315023894e+02
6.1261056745000972e-02 1.9549650391682960e+01 -1.9988187151626448e+02
6.2831853071795868e-02 1.9241845184863003e+01 -1.9202788988229000e+02
6.4402649398590764e-02 1.8946376983544411e+01 -1.8417390824831497e+02
6.5973445725385660e-02 1.8663245787727178e+01 -1.7631992661434163e+02
6.7544242052180556e-02 1.8392451597411306e+01 -1.6846594498036657e+02
6.9115038378975452e-02 1.8133994412596795e+01 -1.6061196334639209e+02
7.0685834705770348e-02 1.7887874233283647e+01 -1.5275798171241817e+02
7.2256631032565244e-02 1.7654091059471860e+01 -1.4490400007844312e+02
7.3827427359360140e-02 1.7432644891161434e+01 -1.3705001844446866e+02
7.5398223686155036e-02 1.7223535728352370e+01 -1.2919603681049418e+02
7.6969020012949932e-02 1.7026763571044668e+01 -1.2134205517651968e+02
7.8539816339744828e-02 1.6842328419238331e+01 -1.1348807354254519e+02
8.0110612666539724e-02 1.6670230272933352e+01 -1.0563409190857072e+02
