# x energy force
0.0000000000000000e+00 3.9687176667673825e+01 -5.0358399903218043e+02
1.5707963267948967e-03 3.8902317274512072e+01 -4.9573001739820484e+02
3.1415926535897933e-03 3.8129794886851684e+01 -4.8787603576423095e+02
4.7123889803846897e-03 3.7369609504692654e+01 -4.8002205413025700e+02
6.2831853071795866e-03 3.6621761128034990e+01 -4.7216807249628198e+02
7.8539816339744835e-03 3.5886249756878684e+01 -4.6431409086230690e+02
9.4247779607693795e-03 3.5163075391223742e+01 -4.5646010922833301e+02
1.0995574287564277e-02 3.4452238031070152e+01 -4.4860612759435912e+02
1.2566370614359173e-02 3.3753737676417941e+01 -4.4075214596038404e+02
1.4137166941154069e-02 3.3067574327267081e+01 -4.3289816432640959e+02
1.5707963267948967e-02 3.2393747983617587e+01 -4.2504418269243450e+02
1.7278759594743863e-02 3.1732258645469443e+01 -4.1719020105846056e+02
1.8849555921538759e-02 3.1083106312822675e+01 -4.0933621942448667e+02
2.0420352248333655e-02 3.0446290985677258e+01 -4.0148223779051159e+02
2.1991148575128554e-02 2.9821812664033210e+01 -3.9362825615653708e+02
2.3561944901923450e-02 2.9209671347890520e+01 -3.8577427452256262e+02
2.5132741228718346e-02 2.8609867037249195e+01 -3.7792029288858816e+02
2.6703537555513242e-02 2.8022399732109228e+01 -3.7006631125461365e+02
2.8274333882308138e-02 2.7447269432470627e+01 -3.6221232962063920e+02
2.9845130209103038e-02 2.6884476138333383e+01 -3.5435834798666468e+02
3.1415926535897934e-02 2.6334019849697505e+01 -3.4650436635269023e+02
3.2986722862692830e-02 2.5795900566562985e+01 -3.3865038471871571e+02
3.4557519189487726e-02 2.5270118288929829e+01 -3.3079640308474126e+02
3.6128315516282622e-02 2.4756673016798036e+01 -3.2294242145076680e+02
3.7699111843077518e-02 2.4255564750167604e+01 -3.1508843981679229e+02
3.9269908169872414e-02 2.3766793489038534e+01 -3.0723445818281783e+02
4.0840704496667310e-02 2.3290359233410822e+01 -2.9938047654884326e+02
