# x energy force
0.0000000000000000e+00 3.5106672287326198e+01 -5.0177570128194151e+02
1.5707963267948967e-03 3.4324653361628272e+01 -4.9392171964796819e+02
3.1415926535897933e-03 3.3554971441431704e+01 -4.8606773801399430e+02
4.7123889803846897e-03 3.2797626526736494e+01 -4.7821375638001922e+02
6.2831853071795866e-03 3.2052618617542649e+01 -4.7035977474604476e+02
7.8539816339744835e-03 3.1319947713850176e+01 -4.6250579311207082e+02
9.4247779607693795e-03 3.0599613815659051e+01 -4.5465181147809636e+02
1.0995574287564277e-02 2.9891616922969291e+01 -4.4679782984412191e+02
1.2566370614359173e-02 2.9195957035780896e+01 -4.3894384821014683e+02
1.4137166941154069e-02 2.8512634154093863e+01 -4.3108986657617237e+02
1.5707963267948967e-02 2.7841648277908192e+01 -4.2323588494219786e+02
1.7278759594743863e-02 2.7182999407223875e+01 -4.1538190330822334e+02
1.8849555921538759e-02 2.6536687542040930e+01 -4.0752792167424946e+02
2.0420352248333655e-02 2.5902712682359336e+01 -3.9967394004027494e+02
2.1991148575128554e-02 2.5281074828179108e+01 -3.9181995840629986e+02
2.3561944901923450e-02 2.4671773979500244e+01 -3.8396597677232540e+02
2.5132741228718346e-02 2.4074810136322743e+01 -3.7611199513835152e+02
2.6703537555513242e-02 2.3490183298646599e+01 -3.6825801350437644e+02
2.8274333882308138e-02 2.2917893466471824e+01 -3.6040403187040198e+02
2.9845130209103038e-02 2.2357940639798404e+01 -3.5255005023642804e+02
3.1415926535897934e-02 2.1810324818626349e+01 -3.4469606860245358e+02
3.2986722862692830e-02 2.1275046002955655e+01 -3.3684208696847850e+02
3.4557519189487726e-02 2.0752104192786323e+01 -3.2898810533450404e+02
3.6128315516282622e-02 2.0241499388118353e+01 -3.2113412370052959e+02
3.7699111843077518e-02 1.9743231588951744e+01 -3.1328014206655564e+02
3.9269908169872414e-02 1.9257300795286497e+01 -3.0542616043258118e+02
4.0840704496667310e-02 1.8783707007122608e+01 -2.9757217879860610e+02
4.2411500823462213e-02 1.8322450224460084e+01 -2.8971819716463216e+02
4.3982297150257109e-02 1.7873530447298918e+01 -2.8186421553065713e+02
4.5553093477052005e-02 1.7436947675639122e+01 -2.7401023389668262e+02
4.7123889803846901e-02 1.7012701909480683e+01 -2.6615625226270873e+02
4.8694686130641797e-02 1.6600793148823605e+01 -2.5830227062873371e+02
5.0265482457436693e-02 1.6201221393667890e+01 -2.5044828899475920e+02
5.1836278784231589e-02 1.5813986644013536e+01 -2.4259430736078531e+02
5.3407075111026485e-02 1.5439088899860543e+01 -2.3474032572681025e+02
5.4977871437821381e-02 1.5076528161208913e+01 -2.2688634409283577e+02
5.6548667764616277e-02 1.4726304428058643e+01 -2.1903236245886185e+02
5.8119464091411173e-02 1.4388417700409736e+01 -2.1117838082488737e+02
5.9690260418206076e-02 1.4062867978262188e+01 -2.0332439919091229e+02
6.1261056745000972e-02 1.3749655261616006e+01 -1.9547041755693780e+02
6.2831853071795868e-02 1.3448779550471183e+01 -1.8761643592296389e+02
6.4402649398590764e-02 1.3160240844827722e+01 -1.7976245428898886e+02
6.5973445725385660e-02 1.2884039144685625e+01 -1.7190847265501438e+02
6.7544242052180556e-02 1.2620174450044887e+01 -1.6405449102104046e+02
6.9115038378975452e-02 1.2368646760905513e+01 -1.5620050938706598e+02
7.0685834705770348e-02 1.2129456077267498e+01 -1.4834652775309092e+02
7.2256631032565244e-02 1.1902602399130847e+01 -1.4049254611911644e+02
7.3827427359360140e-02 1.1688085726495556e+01 -1.3263856448514255e+02
7.5398223686155036e-02 1.1485906059361627e+01 -1.2478458285116750e+02
7.6969020012949932e-02 1.1296063397729062e+01 -1.1693060121719301e+02
7.8539816339744828e-02 1.1118557741597856e+01 -1.0907661958321910e+02
8.0110612666539724e-02 1.0953389090968013e+01 -1.0122263794924406e+02
8.1681408993334620e-02 1.0800557445839532e+01 -9.3368656315269575e+01
8.3252205320129516e-02 1.0660062806212411e+01 -8.5514674681295659e+01
8.4823001646924426e-02 1.0531905172086651e+01 -7.7660693047320549e+01
8.6393797973719322e-02 1.0416084543462254e+01 -6.9806711413346633e+01
8.7964594300514218e-02 1.0312600920339218e+01 -6.1952729779372149e+01
8.9535390627309114e-02 1.0221454302717545e+01 -5.4098748145397110e+01
9.1106186954104010e-02 1.0142644690597233e+01 -4.6244766511423201e+01
9.2676983280898906e-02 1.0076172083978284e+01 -3.8390784877448148e+01
9.4247779607693802e-02 1.0022036482860695e+01 -3.0536803243473670e+01
9.5818575934488698e-02 9.9802378872444688e+00 -2.2682821609499754e+01
9.7389372261283594e-02 9.9507762971296039e+00 -1.4828839975524710e+01
9.8960168588078490e-02 9.9336517125161024e+00 -6.9748583415502310e+00
1.0053096491487339e-01 9.9281593240518937e+00 -1.7757012819432174e+00
1.0210176124166828e-01 9.9253700590007323e+00 -1.7757012819426516e+00
1.0367255756846318e-01 9.9225807939495727e+00 -1.7757012819426516e+00
1.0524335389525807e-01 9.9197915288984113e+00 -1.7757012819432174e+00
1.0681415022205297e-01 9.9170022638472499e+00 -1.7757012819426516e+00
1.0838494654884787e-01 9.9142129987960903e+00 -1.7757012819426516e+00
1.0995574287564276e-01 9.9114237337449289e+00 -1.7757012819432174e+00
1.1152653920243766e-01 9.9086344686937675e+00 -1.7757012819432174e+00
1.1309733552923255e-01 9.9058452036426061e+00 -1.7757012819426516e+00
1.1466813185602745e-01 9.9030559385914465e+00 -1.7757012819426516e+00
1.1623892818282235e-01 9.9002666735402851e+00 -1.7757012819432094e+00
1.1780972450961726e-01 9.8974774084891237e+00 -1.7757012819432094e+00
1.1938052083641215e-01 9.8946881434379623e+00 -1.7757012819426516e+00
1.2095131716320705e-01 9.8918988783868027e+00 -1.7757012819426516e+00
1.2252211349000194e-01 9.8891096133356413e+00 -1.7757012819432174e+00
1.2409290981679684e-01 9.8863203482844799e+00 -1.7757012819426516e+00
1.2566370614359174e-01 9.8835310832333185e+00 -1.7757012819426594e+00
1.2723450247038662e-01 9.8807418181821571e+00 -1.7757012819432174e+00
1.2880529879718153e-01 9.8779525531309957e+00 -1.7757012819426516e+00
1.3037609512397641e-01 9.8751632880798361e+00 -1.7757012819426516e+00
1.3194689145077132e-01 9.8723740230286747e+00 -1.7757012819432174e+00
1.3351768777756620e-01 9.8695847579775133e+00 -1.7757012819432174e+00
1.3508848410436111e-01 9.8667954929263519e+00 -1.7757012819426359e+00
1.3665928043115602e-01 9.8640062278751905e+00 -1.7757012819426516e+00
1.3823007675795090e-01 9.8612169628240292e+00 -1.7757012819432174e+00
1.3980087308474581e-01 9.8584276977728678e+00 -1.7757012819432174e+00
1.4137166941154070e-01 9.8556384327217064e+00 -1.7757012819426516e+00
1.4294246573833561e-01 9.8528491676705450e+00 -1.7757012819426516e+00
1.4451326206513049e-01 9.8500599026193836e+00 -1.7757012819432174e+00
1.4608405839192540e-01 9.8472706375682222e+00 -1.7757012819426516e+00
1.4765485471872028e-01 9.8444813725170626e+00 -1.7757012819426516e+00
1.4922565104551519e-01 9.8416921074659012e+00 -1.7757012819432174e+00
1.5079644737231007e-01 9.8389028424147398e+00 -1.7757012819426516e+00
1.5236724369910498e-01 9.8361135773635784e+00 -1.7757012819426516e+00
1.5393804002589986e-01 9.8333243123124170e+00 -1.7757012819432174e+00
1.5550883635269477e-01 9.8305350472612556e+00 -1.7757012819426516e+00
1.5707963267948966e-01 9.8277457822100960e+00 -1.7757012819426516e+00
1.5865042900628457e-01 9.8249565171589346e+00 -1.7757012819432174e+00
1.6022122533307945e-01 9.8221672521077732e+00 -1.7757012819426516e+00
1.6179202165987436e-01 9.8193779870566118e+00 -1.7757012819432174e+00
1.6336281798666924e-01 9.8165887220054504e+00 -1.7757012819432174e+00
1.6493361431346415e-01 9.8137994569542890e+00 -1.7757012819426516e+00
1.6650441064025903e-01 9.8110101919031276e+00 -1.7757012819432174e+00
1.6807520696705394e-01 9.8082209268519662e+00 -1.7757012819426359e+00
1.6964600329384885e-01 9.8054316618008048e+00 -1.7757012819426516e+00
1.7121679962064373e-01 9.8026423967496434e+00 -1.7757012819432174e+00
1.7278759594743864e-01 9.7998531316984820e+00 -1.7757012819426516e+00
1.7435839227423353e-01 9.7970638666473224e+00 -1.7757012819426516e+00
1.7592918860102844e-01 9.7942746015961610e+00 -1.7757012819432174e+00
1.7749998492782332e-01 9.7914853365449996e+00 -1.7757012819426516e+00
1.7907078125461823e-01 9.7886960714938382e+00 -1.7757012819426516e+00
1.8064157758141311e-01 9.7859068064426769e+00 -1.7757012819432174e+00
1.8221237390820802e-01 9.7831175413915155e+00 -1.7757012819432174e+00
1.8378317023500290e-01 9.7803282763403541e+00 -1.7757012819426516e+00
1.8535396656179781e-01 9.7775390112891927e+00 -1.7757012819426516e+00
1.8692476288859269e-01 9.7747497462380313e+00 -1.7757012819432174e+00
1.8849555921538760e-01 9.7719604811868699e+00 -1.7757012819426516e+00
1.9006635554218249e-01 9.7691712161357103e+00 -1.7757012819426516e+00
1.9163715186897740e-01 9.7663819510845489e+00 -1.7757012819432174e+00
1.9320794819577228e-01 9.7635926860333875e+00 -1.7757012819432174e+00
1.9477874452256719e-01 9.7608034209822261e+00 -1.7757012819426516e+00
1.9634954084936207e-01 9.7580141559310665e+00 -1.7757012819426516e+00
1.9792033717615698e-01 9.7552248908799051e+00 -1.7757012819432174e+00
1.9949113350295186e-01 9.7524356258287437e+00 -1.7757012819426516e+00
2.0106192982974677e-01 9.7496463607775823e+00 -1.7757012819426359e+00
2.0263272615654168e-01 9.7468570957264209e+00 -1.7757012819432174e+00
2.0420352248333656e-01 9.7440678306752595e+00 -1.7757012819426516e+00
2.0577431881013147e-01 9.7412785656240981e+00 -1.7757012819426516e+00
2.0734511513692636e-01 9.7384893005729367e+00 -1.7757012819432174e+00
2.0891591146372127e-01 9.7357000355217753e+00 -1.7757012819432174e+00
2.1048670779051615e-01 9.7329107704706139e+00 -1.7757012819432174e+00
2.1205750411731106e-01 9.7301215054194525e+00 -1.7757012819426516e+00
2.1362830044410594e-01 9.7273322403682929e+00 -1.7757012819426516e+00
2.1519909677090085e-01 9.7245429753171315e+00 -1.7757012819432174e+00
2.1676989309769573e-01 9.7217537102659701e+00 -1.7757012819426516e+00
2.1834068942449064e-01 9.7189644452148087e+00 -1.7757012819426516e+00
2.1991148575128552e-01 9.7161751801636473e+00 -1.7757012819432174e+00
2.2148228207808043e-01 9.7133859151124859e+00 -1.7757012819426516e+00
2.2305307840487532e-01 9.7105966500613263e+00 -1.7757012819426516e+00
2.2462387473167023e-01 9.7078073850101649e+00 -1.7757012819432174e+00
2.2619467105846511e-01 9.7050181199590035e+00 -1.7757012819426516e+00
2.2776546738526002e-01 9.7022288549078421e+00 -1.7757012819426516e+00
2.2933626371205490e-01 9.6994395898566808e+00 -1.7757012819432174e+00
2.3090706003884981e-01 9.6966503248055194e+00 -1.7757012819426516e+00
2.3247785636564469e-01 9.6938610597543597e+00 -1.7757012819426516e+00
2.3404865269243960e-01 9.6910717947031983e+00 -1.7757012819432016e+00
2.3561944901923451e-01 9.6882825296520370e+00 -1.7757012819426516e+00
2.3719024534602939e-01 9.6854932646008756e+00 -1.7757012819432174e+00
2.3876104167282430e-01 9.6827039995497142e+00 -1.7757012819432174e+00
2.4033183799961919e-01 9.6799147344985528e+00 -1.7757012819426516e+00
2.4190263432641410e-01 9.6771254694473914e+00 -1.7757012819432174e+00
2.4347343065320898e-01 9.6743362043962300e+00 -1.7757012819426516e+00
2.4504422698000389e-01 9.6715469393450686e+00 -1.7757012819426516e+00
2.4661502330679877e-01 9.6687576742939072e+00 -1.7757012819432174e+00
2.4818581963359368e-01 9.6659684092427458e+00 -1.7757012819426516e+00
2.4975661596038856e-01 9.6631791441915862e+00 -1.7757012819426516e+00
2.5132741228718347e-01 9.6603898791404248e+00 -1.7757012819432016e+00
2.5289820861397838e-01 9.6576006140892634e+00 -1.7757012819426674e+00
2.5446900494077324e-01 9.6548113490381038e+00 -1.7757012819426674e+00
2.5603980126756815e-01 9.6520220839869424e+00 -1.7757012819432016e+00
2.5761059759436306e-01 9.6492328189357810e+00 -1.7757012819432016e+00
2.5918139392115797e-01 9.6464435538846196e+00 -1.7757012819426674e+00
2.6075219024795282e-01 9.6436542888334600e+00 -1.7757012819426674e+00
2.6232298657474773e-01 9.6408650237822986e+00 -1.7757012819432016e+00
2.6389378290154264e-01 9.6380757587311372e+00 -1.7757012819426359e+00
2.6546457922833755e-01 9.6352864936799758e+00 -1.7757012819426674e+00
2.6703537555513240e-01 9.6324972286288144e+00 -1.7757012819432327e+00
2.6860617188192731e-01 9.6297079635776530e+00 -1.7757012819432016e+00
2.7017696820872222e-01 9.6269186985264916e+00 -1.7757012819426359e+00
2.7174776453551713e-01 9.6241294334753320e+00 -1.7757012819426359e+00
2.7331856086231204e-01 9.6213401684241706e+00 -1.7757012819432327e+00
2.7488935718910690e-01 9.6185509033730092e+00 -1.7757012819426674e+00
2.7646015351590181e-01 9.6157616383218478e+00 -1.7757012819426359e+00
2.7803094984269672e-01 9.6129723732706864e+00 -1.7757012819432016e+00
2.7960174616949163e-01 9.6101831082195250e+00 -1.7757012819426674e+00
2.8117254249628648e-01 9.6073938431683654e+00 -1.7757012819426674e+00
2.8274333882308139e-01 9.6046045781172040e+00 -1.7757012819432016e+00
2.8431413514987630e-01 9.6018153130660426e+00 -1.7757012819432016e+00
2.8588493147667121e-01 9.5990260480148812e+00 -1.7757012819426674e+00
2.8745572780346607e-01 9.5962367829637216e+00 -1.7757012819426674e+00
