# x energy force
0.0000000000000000e+00 2.8391044992298468e+01 -4.9854044872230247e+02
1.5707963267948967e-03 2.7614107989437478e+01 -4.9068646708832779e+02
3.1415926535897933e-03 2.6849507992077850e+01 -4.8283248545435333e+02
4.7123889803846897e-03 2.6097245000219580e+01 -4.7497850382037893e+02
6.2831853071795866e-03 2.5357319013862671e+01 -4.6712452218640448e+02
7.8539816339744835e-03 2.4629730033007132e+01 -4.5927054055242985e+02
9.4247779607693795e-03 2.3914478057652946e+01 -4.5141655891845539e+02
1.0995574287564277e-02 2.3211563087800123e+01 -4.4356257728448094e+02
1.2566370614359173e-02 2.2520985123448668e+01 -4.3570859565050642e+02
1.4137166941154069e-02 2.1842744164598571e+01 -4.2785461401653208e+02
1.5707963267948967e-02 2.1176840211249836e+01 -4.2000063238255757e+02
1.7278759594743863e-02 2.0523273263402455e+01 -4.1214665074858306e+02
1.8849555921538759e-02 1.9882043321056450e+01 -4.0429266911460849e+02
2.0420352248333655e-02 1.9253150384211789e+01 -3.9643868748063397e+02
2.1991148575128554e-02 1.8636594452868504e+01 -3.8858470584665946e+02
2.3561944901923450e-02 1.8032375527026574e+01 -3.8073072421268500e+02
2.5132741228718346e-02 1.7440493606686012e+01 -3.7287674257871078e+02
2.6703537555513242e-02 1.6860948691846808e+01 -3.6502276094473615e+02
2.8274333882308138e-02 1.6293740782508962e+01 -3.5716877931076158e+02
2.9845130209103038e-02 1.5738869878672483e+01 -3.4931479767678707e+02
3.1415926535897934e-02 1.5196335980337366e+01 -3.4146081604281261e+02
3.2986722862692830e-02 1.4666139087503607e+01 -3.3360683440883821e+02
3.4557519189487726e-02 1.4148279200171213e+01 -3.2575285277486375e+02
3.6128315516282622e-02 1.3642756318340179e+01 -3.1789887114088918e+02
3.7699111843077518e-02 1.3149570442010509e+01 -3.1004488950691467e+02
3.9269908169872414e-02 1.2668721571182196e+01 -3.0219090787294033e+02
4.0840704496667310e-02 1.2200209705855247e+01 -2.9433692623896570e+02
4.2411500823462213e-02 1.1744034846029660e+01 -2.8648294460499119e+02
4.3982297150257109e-02 1.1300196991705436e+01 -2.7862896297101685e+02
4.5553093477052005e-02 1.0868696142882571e+01 -2.7077498133704233e+02
4.7123889803846901e-02 1.0449532299561071e+01 -2.6292099970306776e+02
4.8694686130641797e-02 1.0042705461740930e+01 -2.5506701806909328e+02
5.0265482457436693e-02 9.6482156294221522e+00 -2.4721303643511877e+02
5.1836278784231589e-02 9.2660628026047362e+00 -2.3935905480114431e+02
5.3407075111026485e-02 8.8962469812886820e+00 -2.3150507316716997e+02
5.4977871437821381e-02 8.5387681654739875e+00 -2.2365109153319548e+02
5.6548667764616277e-02 8.1936263551606565e+00 -2.1579710989922100e+02
5.8119464091411173e-02 7.8608215503486862e+00 -2.0794312826524637e+02
5.9690260418206076e-02 7.5403537510380767e+00 -2.0008914663127186e+02
6.1261056745000972e-02 7.2322229572288297e+00 -1.9223516499729737e+02
6.2831853071795868e-02 6.9364291689209452e+00 -1.8438118336332289e+02
6.4402649398590764e-02 6.6529723861144223e+00 -1.7652720172934872e+02
6.5973445725385660e-02 6.3818526088092611e+00 -1.6867322009537409e+02
6.7544242052180556e-02 6.1230698370054615e+00 -1.6081923846139946e+02
6.9115038378975452e-02 5.8766240707030235e+00 -1.5296525682742498e+02
7.0685834705770348e-02 5.6425153099019472e+00 -1.4511127519345050e+02
7.2256631032565244e-02 5.4207435546022325e+00 -1.3725729355947615e+02
7.3827427359360140e-02 5.2113088048038794e+00 -1.2940331192550170e+02
