# x energy force
0.0000000000000000e+00 3.1795043071886511e+01 -5.0125508318318793e+02
1.5707963267948967e-03 3.1013841931185770e+01 -4.9340110154921348e+02
3.1415926535897933e-03 3.0244977795986390e+01 -4.8554711991523874e+02
4.7123889803846897e-03 2.9488450666288372e+01 -4.7769313828126451e+02
6.2831853071795866e-03 2.8744260542091716e+01 -4.6983915664729005e+02
7.8539816339744835e-03 2.8012407423396425e+01 -4.6198517501331526e+02
9.4247779607693795e-03 2.7292891310202489e+01 -4.5413119337934108e+02
1.0995574287564277e-02 2.6585712202509917e+01 -4.4627721174536663e+02
1.2566370614359173e-02 2.5890870100318711e+01 -4.3842323011139183e+02
1.4137166941154069e-02 2.5208365003628863e+01 -4.3056924847741737e+02
1.5707963267948967e-02 2.4538196912440377e+01 -4.2271526684344315e+02
1.7278759594743863e-02 2.3880365826753248e+01 -4.1486128520946863e+02
1.8849555921538759e-02 2.3234871746567492e+01 -4.0700730357549389e+02
2.0420352248333655e-02 2.2601714671883087e+01 -3.9915332194151938e+02
2.1991148575128554e-02 2.1980894602700047e+01 -3.9129934030754515e+02
2.3561944901923450e-02 2.1372411539018369e+01 -3.8344535867357069e+02
2.5132741228718346e-02 2.0776265480838056e+01 -3.7559137703959624e+02
2.6703537555513242e-02 2.0192456428159101e+01 -3.6773739540562144e+02
2.8274333882308138e-02 1.9620984380981511e+01 -3.5988341377164699e+02
2.9845130209103038e-02 1.9061849339305279e+01 -3.5202943213767276e+02
3.1415926535897934e-02 1.8515051303130413e+01 -3.4417545050369830e+02
3.2986722862692830e-02 1.7980590272456904e+01 -3.3632146886972379e+02
3.4557519189487726e-02 1.7458466247284761e+01 -3.2846748723574905e+02
3.6128315516282622e-02 1.6948679227613976e+01 -3.2061350560177459e+02
3.7699111843077518e-02 1.6451229213444556e+01 -3.1275952396780036e+02
3.9269908169872414e-02 1.5966116204776494e+01 -3.0490554233382562e+02
4.0840704496667310e-02 1.5493340201609794e+01 -2.9705156069985139e+02
4.2411500823462213e-02 1.5032901203944455e+01 -2.8919757906587688e+02
4.3982297150257109e-02 1.4584799211780481e+01 -2.8134359743190214e+02
4.5553093477052005e-02 1.4149034225117868e+01 -2.7348961579792791e+02
4.7123889803846901e-02 1.3725606243956616e+01 -2.6563563416395345e+02
4.8694686130641797e-02 1.3314515268296727e+01 -2.5778165252997900e+02
5.0265482457436693e-02 1.2915761298138197e+01 -2.4992767089600417e+02
5.1836278784231589e-02 1.2529344333481031e+01 -2.4207368926202972e+02
5.3407075111026485e-02 1.2155264374325228e+01 -2.3421970762805552e+02
5.4977871437821381e-02 1.1793521420670784e+01 -2.2636572599408075e+02
5.6548667764616277e-02 1.1444115472517703e+01 -2.1851174436010626e+02
