# x energy force
1.0000000000000000e-02 7.6100959986860886e+01 2.1170956903386715e+02
1.0996666666666667e-02 7.5890118753715896e+01 2.1138320650791337e+02
1.1993333333333333e-02 7.5679602247197025e+01 2.1105794369718049e+02
1.2990000000000002e-02 7.5469408952880357e+01 2.1073462014896771e+02
1.3986666666666668e-02 7.5259536943729387e+01 2.1041322430114280e+02
1.4983333333333335e-02 7.5049984304196855e+01 2.1009374466044764e+02
1.5980000000000001e-02 7.4840749130156297e+01 2.0977616980221381e+02
1.6976666666666668e-02 7.4631829528833862e+01 2.0946048836989826e+02
1.7973333333333334e-02 7.4423223618740693e+01 2.0914668907458466e+02
1.8970000000000001e-02 7.4214929529605641e+01 2.0883476069474122e+02
1.9966666666666667e-02 7.4006945402308361e+01 2.0852469207572105e+02
2.0963333333333334e-02 7.3799269388812831e+01 2.0821647212935650e+02
2.1960000000000000e-02 7.3591899652101276e+01 2.0791008983363068e+02
2.2956666666666667e-02 7.3384834366108464e+01 2.0760553423220006e+02
2.3953333333333333e-02 7.3178071715656444e+01 2.0730279443407363e+02
2.4950000000000000e-02 7.2971609896389566e+01 2.0700185961317806e+02
2.5946666666666666e-02 7.2765447114710014e+01 2.0670271900799401e+02
2.6943333333333333e-02 7.2559581587713637e+01 2.0640536192118546e+02
2.7940000000000000e-02 7.2354011543126205e+01 2.0610977771914347e+02
2.8936666666666666e-02 7.2148735219240038e+01 2.0581595583167962e+02
2.9933333333333333e-02 7.1943750864851012e+01 2.0552388575165534e+02
3.0929999999999999e-02 7.1739056739195888e+01 2.0523355703455408e+02
3.1926666666666666e-02 7.1534651111890099e+01 2.0494495929813192e+02
3.2923333333333332e-02 7.1330532262865887e+01 2.0465808222203216e+02
3.3920000000000006e-02 7.1126698482310758e+01 2.0437291554745994e+02
3.4916666666666672e-02 7.0923148070606359e+01 2.0408944907676539e+02
3.5913333333333339e-02 7.0719879338267688e+01 2.0380767267308696e+02
3.6910000000000005e-02 7.0516890605882679e+01 2.0352757626002736e+02
3.7906666666666672e-02 7.0314180204052178e+01 2.0324914982125824e+02
3.8903333333333338e-02 7.0111746473330186e+01 2.0297238340013624e+02
3.9900000000000005e-02 6.9909587764164556e+01 2.0269726709944618e+02
4.0896666666666671e-02 6.9707702436837991e+01 2.0242379108093758e+02
4.1893333333333338e-02 6.9506088861409424e+01 2.0215194556500427e+02
4.2890000000000005e-02 6.9304745417655724e+01 2.0188172083037719e+02
4.3886666666666671e-02 6.9103670495013745e+01 2.0161310721374008e+02
4.4883333333333338e-02 6.8902862492522715e+01 2.0134609510940101e+02
4.5880000000000004e-02 6.8702319818767037e+01 2.0108067496889345e+02
4.6876666666666671e-02 6.8502040891819334e+01 2.0081683730074104e+02
4.7873333333333337e-02 6.8302024139183899e+01 2.0055457267002237e+02
4.8870000000000004e-02 6.8102267997740469e+01 2.0029387169805065e+02
4.9866666666666670e-02 6.7902770913688329e+01 2.0003472506210957e+02
5.0863333333333337e-02 6.7703531342490692e+01 1.9977712349503275e+02
5.1860000000000003e-02 6.7504547748819533e+01 1.9952105778488303e+02
5.2856666666666670e-02 6.7305818606500679e+01 1.9926651877468169e+02
5.3853333333333336e-02 6.7107342398459195e+01 1.9901349736206586e+02
5.4850000000000003e-02 6.6909117616665156e+01 1.9876198449888238e+02
5.5846666666666669e-02 6.6711142762079717e+01 1.9851197119095266e+02
5.6843333333333336e-02 6.6513416344601524e+01 1.9826344849773673e+02
5.7840000000000009e-02 6.6315936883013379e+01 1.9801640753197262e+02
5.8836666666666676e-02 6.6118702904929336e+01 1.9777083945940879e+02
5.9833333333333343e-02 6.5921712946741991e+01 1.9752673549846230e+02
6.0830000000000009e-02 6.5724965553570172e+01 1.9728408691990126e+02
6.1826666666666676e-02 6.5528459279206913e+01 1.9704288504650691e+02
6.2823333333333342e-02 6.5332192686067742e+01 1.9680312125284732e+02
6.3820000000000002e-02 6.5136164345139221e+01 1.9656478696491686e+02
6.4816666666666675e-02 6.4940372835927917e+01 1.9632787365977987e+02
6.5813333333333335e-02 6.4744816746409569e+01 1.9609237286533570e+02
6.6810000000000008e-02 6.4549494672978597e+01 1.9585827616001541e+02
6.7806666666666668e-02 6.4354405220397908e+01 1.9562557517246034e+02
6.8803333333333341e-02 6.4159547001749004e+01 1.9539426158119056e+02
6.9800000000000001e-02 6.3964918638382386e+01 1.9516432711437344e+02
7.0796666666666674e-02 6.3770518759868231e+01 1.9493576354948453e+02
7.1793333333333334e-02 6.3576346003947428e+01 1.9470856271300278e+02
7.2789999999999994e-02 6.3382399016482836e+01 1.9448271648016487e+02
7.3786666666666667e-02 6.3188676451410856e+01 1.9425821677463856e+02
7.4783333333333341e-02 6.2995176970693315e+01 1.9403505556824882e+02
7.5780000000000000e-02 6.2801899244269606e+01 1.9381322488067147e+02
7.6776666666666674e-02 6.2608841950009108e+01 1.9359271677918522e+02
7.7773333333333333e-02 6.2416003773663945e+01 1.9337352337834051e+02
7.8770000000000007e-02 6.2223383408821952e+01 1.9315563683970439e+02
7.9766666666666666e-02 6.2030979556859982e+01 1.9293904937161068e+02
8.0763333333333340e-02 6.1838790926897438e+01 1.9272375322881075e+02
8.1759999999999999e-02 6.1646816235750151e+01 1.9250974071223854e+02
8.2756666666666673e-02 6.1455054207884459e+01 1.9229700416874996e+02
8.3753333333333332e-02 6.1263503575371608e+01 1.9208553599082012e+02
8.4750000000000006e-02 6.1072163077842404e+01 1.9187532861626875e+02
8.5746666666666665e-02 6.0881031462442166e+01 1.9166637452802868e+02
8.6743333333333339e-02 6.0690107483785873e+01 1.9145866625383195e+02
8.7739999999999999e-02 6.0499389903913681e+01 1.9125219636595332e+02
8.8736666666666672e-02 6.0308877492246623e+01 1.9104695748097842e+02
8.9733333333333332e-02 6.0118569025542619e+01 1.9084294225949381e+02
9.0730000000000005e-02 5.9928463287852722e+01 1.9064014340585160e+02
9.1726666666666665e-02 5.9738559070477642e+01 1.9043855366789506e+02
9.2723333333333338e-02 5.9548855171924508e+01 1.9023816583672317e+02
9.3719999999999998e-02 5.9359350397863921e+01 1.9003897274639871e+02
9.4716666666666671e-02 5.9170043561087240e+01 1.8984096727369823e+02
9.5713333333333331e-02 5.8980933481464120e+01 1.8964414233790939e+02
9.6710000000000004e-02 5.8792018985900313e+01 1.8944849090049550e+02
9.7706666666666664e-02 5.8603298908295727e+01 1.8925400596489260e+02
9.8703333333333337e-02 5.8414772089502712e+01 1.8906068057626675e+02
9.9699999999999997e-02 5.8226437377284626e+01 1.8886850782123648e+02
1.0069666666666667e-01 5.8038293626274601e+01 1.8867748082764422e+02
1.0169333333333333e-01 5.7850339697934615e+01 1.8848759276431048e+02
1.0269000000000000e-01 5.7662574460514747e+01 1.8829883684076665e+02
1.0368666666666666e-01 5.7474996789012756e+01 1.8811120630704096e+02
1.0468333333333334e-01 5.7287605565133802e+01 1.8792469445340410e+02
1.0568000000000001e-01 5.7100399677250472e+01 1.8773929461013711e+02
1.0667666666666667e-01 5.6913378020363020e+01 1.8755500014728995e+02
1.0767333333333334e-01 5.6726539496059871e+01 1.8737180447441656e+02
1.0867000000000000e-01 5.6539883012478327e+01 1.8718970104038681e+02
1.0966666666666668e-01 5.6353407484265524e+01 1.8700868333312718e+02
1.1066333333333334e-01 5.6167111832539632e+01 1.8682874487937519e+02
1.1166000000000001e-01 5.5980994984851236e+01 1.8664987924449019e+02
1.1265666666666667e-01 5.5795055875145032e+01 1.8647208003217190e+02
1.1365333333333334e-01 5.5609293443721683e+01 1.8629534088425009e+02
1.1465000000000000e-01 5.5423706637199921e+01 1.8611965548048852e+02
1.1564666666666668e-01 5.5238294408478879e+01 1.8594501753831767e+02
1.1664333333333333e-01 5.5053055716700655e+01 1.8577142081263497e+02
1.1764000000000001e-01 5.4867989527213076e+01 1.8559885909554455e+02
1.1863666666666667e-01 5.4683094811532726e+01 1.8542732621620084e+02
1.1963333333333334e-01 5.4498370547308120e+01 1.8525681604053344e+02
1.2063000000000000e-01 5.4313815718283202e+01 1.8508732247101599e+02
1.2162666666666667e-01 5.4129429314260953e+01 1.8491883944653401e+02
1.2262333333333333e-01 5.3945210331067294e+01 1.8475136094208196e+02
1.2362000000000001e-01 5.3761157770515162e+01 1.8458488096854222e+02
1.2461666666666667e-01 5.3577270640368852e+01 1.8441939357255191e+02
1.2561333333333335e-01 5.3393547954308467e+01 1.8425489283624205e+02
1.2661000000000000e-01 5.3209988731894711e+01 1.8409137287698354e+02
1.2760666666666667e-01 5.3026591998533789e+01 1.8392882784726766e+02
1.2860333333333335e-01 5.2843356785442573e+01 1.8376725193443568e+02
1.2960000000000002e-01 5.2660282129613954e+01 1.8360663936045589e+02
1.3059666666666667e-01 5.2477367073782411e+01 1.8344698438178204e+02
1.3159333333333334e-01 5.2294610666389751e+01 1.8328828128910700e+02
1.3259000000000001e-01 5.2112011961551111e+01 1.8313052440715245e+02
1.3358666666666669e-01 5.1929570019021135e+01 1.8297370809446960e+02
1.3458333333333333e-01 5.1747283904160334e+01 1.8281782674326129e+02
1.3558000000000001e-01 5.1565152687901659e+01 1.8266287477915651e+02
1.3657666666666668e-01 5.1383175446717303e+01 1.8250884666101840e+02
1.3757333333333335e-01 5.1201351262585646e+01 1.8235573688076354e+02
1.3857000000000003e-01 5.1019679222958437e+01 1.8220353996312633e+02
1.3956666666666670e-01 5.0838158420728178e+01 1.8205225046548452e+02
1.4056333333333335e-01 5.0656787954195671e+01 1.8190186297768122e+02
1.4156000000000002e-01 5.0475566927037754e+01 1.8175237212181671e+02
1.4255666666666669e-01 5.0294494448275280e+01 1.8160377255204540e+02
1.4355333333333337e-01 5.0113569632241244e+01 1.8145605895438362e+02
1.4455000000000001e-01 4.9932791598549116e+01 1.8130922604655655e+02
1.4554666666666669e-01 4.9752159472061329e+01 1.8116326857776596e+02
1.4654333333333336e-01 4.9571672382858033e+01 1.8101818132851187e+02
1.4754000000000003e-01 4.9391329466205946e+01 1.8087395911045058e+02
1.4853666666666668e-01 4.9211129862527450e+01 1.8073059676613801e+02
1.4953333333333335e-01 4.9031072717369838e+01 1.8058808916886534e+02
1.5053000000000002e-01 4.8851157181374795e+01 1.8044643122252683e+02
1.5152666666666670e-01 4.8671382410247972e+01 1.8030561786139944e+02
1.5252333333333334e-01 4.8491747564728826e+01 1.8016564404993298e+02
1.5352000000000002e-01 4.8312251810560603e+01 1.8002650478262052e+02
1.5451666666666669e-01 4.8132894318460501e+01 1.7988819508379905e+02
1.5551333333333336e-01 4.7953674264090026e+01 1.7975071000745785e+02
1.5651000000000001e-01 4.7774590828025502e+01 1.7961404463707780e+02
1.5750666666666668e-01 4.7595643195728762e+01 1.7947819408547042e+02
1.5850333333333336e-01 4.7416830557518033e+01 1.7934315349458168e+02
1.5950000000000003e-01 4.7238152108538976e+01 1.7920891803529707e+02
1.6049666666666668e-01 4.7059607048735913e+01 1.7907548290731262e+02
1.6149333333333335e-01 4.6881194582823191e+01 1.7894284333894228e+02
1.6249000000000002e-01 4.6702913920256790e+01 1.7881099458694297e+02
1.6348666666666670e-01 4.6524764275206003e+01 1.7867993193637986e+02
1.6448333333333334e-01 4.6346744866525349e+01 1.7854965070039842e+02
1.6548000000000002e-01 4.6168854917726641e+01 1.7842014622007721e+02
1.6647666666666669e-01 4.5991093656951257e+01 1.7829141386429652e+02
1.6747333333333336e-01 4.5813460316942482e+01 1.7816344902956016e+02
1.6847000000000001e-01 4.5635954135018089e+01 1.7803624713979303e+02
1.6946666666666668e-01 4.5458574353043062e+01 1.7790980364620793e+02
1.7046333333333336e-01 4.5281320217402509e+01 1.7778411402714536e+02
1.7146000000000003e-01 4.5104190978974685e+01 1.7765917378789013e+02
1.7245666666666670e-01 4.4927185893104216e+01 1.7753497846054097e+02
1.7345333333333335e-01 4.4750304219575476e+01 1.7741152360383074e+02
1.7445000000000002e-01 4.4573545222586077e+01 1.7728880480298187e+02
1.7544666666666670e-01 4.4396908170720621e+01 1.7716681766950674e+02
