# x energy force
0.0000000000000000e+00 3.1302405315634399e+01 -5.0073762270295026e+02
1.5707963267948967e-03 3.0522016999955277e+01 -4.9288364106897581e+02
3.1415926535897933e-03 2.9753965689777516e+01 -4.8502965943500107e+02
4.7123889803846897e-03 2.8998251385101117e+01 -4.7717567780102655e+02
6.2831853071795866e-03 2.8254874085926080e+01 -4.6932169616705238e+02
7.8539816339744835e-03 2.7523833792252407e+01 -4.6146771453307758e+02
9.4247779607693795e-03 2.6805130504080093e+01 -4.5361373289910313e+02
1.0995574287564277e-02 2.6098764221409137e+01 -4.4575975126512895e+02
1.2566370614359173e-02 2.5404734944239550e+01 -4.3790576963115416e+02
1.4137166941154069e-02 2.4723042672571324e+01 -4.3005178799717970e+02
1.5707963267948967e-02 2.4053687406404457e+01 -4.2219780636320547e+02
1.7278759594743863e-02 2.3396669145738944e+01 -4.1434382472923068e+02
1.8849555921538759e-02 2.2751987890574810e+01 -4.0648984309525622e+02
2.0420352248333655e-02 2.2119643640912020e+01 -3.9863586146128199e+02
2.1991148575128554e-02 2.1499636396750603e+01 -3.9078187982730748e+02
2.3561944901923450e-02 2.0891966158090540e+01 -3.8292789819333274e+02
2.5132741228718346e-02 2.0296632924931849e+01 -3.7507391655935828e+02
2.6703537555513242e-02 1.9713636697274513e+01 -3.6721993492538405e+02
2.8274333882308138e-02 1.9142977475118538e+01 -3.5936595329140931e+02
2.9845130209103038e-02 1.8584655258463926e+01 -3.5151197165743480e+02
3.1415926535897934e-02 1.8038670047310678e+01 -3.4365799002346063e+02
3.2986722862692830e-02 1.7505021841658788e+01 -3.3580400838948583e+02
3.4557519189487726e-02 1.6983710641508264e+01 -3.2795002675551137e+02
3.6128315516282622e-02 1.6474736446859097e+01 -3.2009604512153720e+02
3.7699111843077518e-02 1.5978099257711296e+01 -3.1224206348756240e+02
3.9269908169872414e-02 1.5493799074064857e+01 -3.0438808185358795e+02
4.0840704496667310e-02 1.5021835895919775e+01 -2.9653410021961372e+02
4.2411500823462213e-02 1.4562209723276055e+01 -2.8868011858563892e+02
4.3982297150257109e-02 1.4114920556133701e+01 -2.8082613695166447e+02
4.5553093477052005e-02 1.3679968394492708e+01 -2.7297215531769024e+02
4.7123889803846901e-02 1.3257353238353073e+01 -2.6511817368371578e+02
4.8694686130641797e-02 1.2847075087714803e+01 -2.5726419204974104e+02
5.0265482457436693e-02 1.2449133942577895e+01 -2.4941021041576653e+02
5.1836278784231589e-02 1.2063529802942348e+01 -2.4155622878179207e+02
5.3407075111026485e-02 1.1690262668808163e+01 -2.3370224714781759e+02
5.4977871437821381e-02 1.1329332540175336e+01 -2.2584826551384339e+02
5.6548667764616277e-02 1.0980739417043875e+01 -2.1799428387986862e+02
5.8119464091411173e-02 1.0644483299413775e+01 -2.1014030224589413e+02
5.9690260418206076e-02 1.0320564187285033e+01 -2.0228632061191990e+02
6.1261056745000972e-02 1.0008982080657656e+01 -1.9443233897794542e+02
6.2831853071795868e-02 9.7097369795316411e+00 -1.8657835734397065e+02
6.4402649398590764e-02 9.4228288839069876e+00 -1.7872437570999620e+02
6.5973445725385660e-02 9.1482577937836940e+00 -1.7087039407602200e+02
6.7544242052180556e-02 8.8860237091617638e+00 -1.6301641244204723e+02
6.9115038378975452e-02 8.6361266300411952e+00 -1.5516243080807274e+02
7.0685834705770348e-02 8.3985665564219882e+00 -1.4730844917409854e+02
7.2256631032565244e-02 8.1733434883041411e+00 -1.3945446754012377e+02
7.3827427359360140e-02 7.9604574256876584e+00 -1.3160048590614932e+02
7.5398223686155036e-02 7.7599083685725363e+00 -1.2374650427217512e+02
7.6969020012949932e-02 7.5716963169587750e+00 -1.1589252263820035e+02
7.8539816339744828e-02 7.3958212708463771e+00 -1.0803854100422586e+02
8.0110612666539724e-02 7.2322832302353399e+00 -1.0018455937025168e+02
8.1681408993334620e-02 7.0810821951256644e+00 -9.2330577736276908e+01
8.3252205320129516e-02 6.9422181655173514e+00 -8.4476596102302423e+01
8.4823001646924426e-02 6.8156911414103973e+00 -7.6622614468328166e+01
8.6393797973719322e-02 6.7015011228048076e+00 -6.8768632834353397e+01
8.7964594300514218e-02 6.5996481097005795e+00 -6.0914651200378913e+01
8.9535390627309114e-02 6.5101321020977121e+00 -5.3060669566404719e+01
9.1106186954104010e-02 6.4329530999962072e+00 -4.5206687932429958e+01
9.2676983280898906e-02 6.3681111033960640e+00 -3.7352706298455473e+01
9.4247779607693802e-02 6.3156061122972824e+00 -2.9498724664481280e+01
9.5818575934488698e-02 6.2754381266998616e+00 -2.1644743030506515e+01
9.7389372261283594e-02 6.2476071466038041e+00 -1.3790761396532037e+01
9.8960168588078490e-02 6.2321131720091065e+00 -5.9367797625578405e+00
1.0053096491487339e-01 6.2282513935637054e+00 -7.3762270294997900e-01
1.0210176124166828e-01 6.2270927385313515e+00 -7.3762270294997900e-01
1.0367255756846318e-01 6.2259340834989967e+00 -7.3762270295026178e-01
1.0524335389525807e-01 6.2247754284666419e+00 -7.3762270294997900e-01
1.0681415022205297e-01 6.2236167734342880e+00 -7.3762270294997900e-01
1.0838494654884787e-01 6.2224581184019332e+00 -7.3762270295026178e-01
1.0995574287564276e-01 6.2212994633695784e+00 -7.3762270294997900e-01
1.1152653920243766e-01 6.2201408083372245e+00 -7.3762270294997900e-01
1.1309733552923255e-01 6.2189821533048697e+00 -7.3762270295026178e-01
1.1466813185602745e-01 6.2178234982725149e+00 -7.3762270294997900e-01
1.1623892818282235e-01 6.2166648432401610e+00 -7.3762270294997589e-01
1.1780972450961726e-01 6.2155061882078062e+00 -7.3762270295025845e-01
1.1938052083641215e-01 6.2143475331754514e+00 -7.3762270295026178e-01
1.2095131716320705e-01 6.2131888781430966e+00 -7.3762270294997900e-01
1.2252211349000194e-01 6.2120302231107427e+00 -7.3762270294997900e-01
1.2409290981679684e-01 6.2108715680783888e+00 -7.3762270294997900e-01
1.2566370614359174e-01 6.2097129130460340e+00 -7.3762270294998233e-01
1.2723450247038662e-01 6.2085542580136792e+00 -7.3762270295026189e-01
1.2880529879718153e-01 6.2073956029813244e+00 -7.3762270295026189e-01
1.3037609512397641e-01 6.2062369479489696e+00 -7.3762270294997900e-01
1.3194689145077132e-01 6.2050782929166148e+00 -7.3762270294997900e-01
1.3351768777756620e-01 6.2039196378842600e+00 -7.3762270295026189e-01
1.3508848410436111e-01 6.2027609828519052e+00 -7.3762270294997268e-01
1.3665928043115602e-01 6.2016023278195505e+00 -7.3762270294997900e-01
1.3823007675795090e-01 6.2004436727871957e+00 -7.3762270295026189e-01
1.3980087308474581e-01 6.1992850177548409e+00 -7.3762270294997911e-01
1.4137166941154070e-01 6.1981263627224870e+00 -7.3762270294997911e-01
1.4294246573833561e-01 6.1969677076901322e+00 -7.3762270295026189e-01
1.4451326206513049e-01 6.1958090526577774e+00 -7.3762270294997900e-01
1.4608405839192540e-01 6.1946503976254226e+00 -7.3762270294997900e-01
1.4765485471872028e-01 6.1934917425930678e+00 -7.3762270295026189e-01
1.4922565104551519e-01 6.1923330875607130e+00 -7.3762270294997911e-01
1.5079644737231007e-01 6.1911744325283591e+00 -7.3762270294997911e-01
1.5236724369910498e-01 6.1900157774960043e+00 -7.3762270295026189e-01
1.5393804002589986e-01 6.1888571224636495e+00 -7.3762270294997900e-01
1.5550883635269477e-01 6.1876984674312947e+00 -7.3762270294997900e-01
1.5707963267948966e-01 6.1865398123989399e+00 -7.3762270295026189e-01
1.5865042900628457e-01 6.1853811573665851e+00 -7.3762270295026189e-01
1.6022122533307945e-01 6.1842225023342303e+00 -7.3762270294997900e-01
1.6179202165987436e-01 6.1830638473018755e+00 -7.3762270294997900e-01
