# x energy force
1.0000000000000000e-02 8.0655889722142348e+01 2.2761760324627863e+02
1.0996666666666667e-02 8.0429414609695669e+01 2.2684750534236608e+02
1.1993333333333333e-02 8.0203705557171688e+01 2.2608035925426569e+02
1.2990000000000002e-02 7.9978758814287488e+01 2.2531778700165182e+02
1.3986666666666668e-02 7.9754569836043231e+01 2.2455976131458547e+02
1.4983333333333335e-02 7.9531134104537045e+01 2.2380625508579979e+02
1.5980000000000001e-02 7.9308447128803436e+01 2.2305724136960262e+02
1.6976666666666668e-02 7.9086504444652746e+01 2.2231269338093580e+02
1.7973333333333334e-02 7.8865301614511509e+01 2.2157258449445462e+02
1.8970000000000001e-02 7.8644834227263743e+01 2.2083688824353035e+02
1.9966666666666667e-02 7.8425097898093213e+01 2.2010557831940207e+02
2.0963333333333334e-02 7.8206088268326610e+01 2.1937862857011331e+02
2.1960000000000000e-02 7.7987801005277689e+01 2.1865601299963680e+02
2.2956666666666667e-02 7.7770231802092326e+01 2.1793770576697466e+02
2.3953333333333333e-02 7.7553376377594546e+01 2.1722368118509704e+02
2.4950000000000000e-02 7.7337230476133385e+01 2.1651391372022948e+02
2.5946666666666666e-02 7.7121789867430707e+01 2.1580837799082494e+02
2.6943333333333333e-02 7.6907050346429926e+01 2.1510704876660301e+02
2.7940000000000000e-02 7.6693007733145635e+01 2.1440990096775030e+02
2.8936666666666666e-02 7.6479657872514153e+01 2.1371690966398720e+02
2.9933333333333333e-02 7.6266996634244890e+01 2.1302805007365467e+02
3.0929999999999999e-02 7.6055019912672705e+01 2.1234329756284532e+02
3.1926666666666666e-02 7.5843723626611023e+01 2.1166262764454004e+02
3.2923333333333332e-02 7.5633103719205934e+01 2.1098601597772381e+02
3.3920000000000006e-02 7.5423156157791070e+01 2.1031343836648981e+02
3.4916666666666672e-02 7.5213876933743450e+01 2.0964487075915937e+02
3.5913333333333339e-02 7.5005262062340137e+01 2.0898028924749764e+02
3.6910000000000005e-02 7.4797307582615659e+01 2.0831967006582590e+02
3.7906666666666672e-02 7.4590009557220441e+01 2.0766298959012042e+02
3.8903333333333338e-02 7.4383364072279988e+01 2.0701022433721513e+02
3.9900000000000005e-02 7.4177367237254884e+01 2.0636135096399536e+02
4.0896666666666671e-02 7.3972015184801705e+01 2.0571634626645715e+02
4.1893333333333338e-02 7.3767304070634736e+01 2.0507518717897327e+02
4.2890000000000005e-02 7.3563230073388425e+01 2.0443785077349415e+02
4.3886666666666671e-02 7.3359789394480785e+01 2.0380431425855699e+02
4.4883333333333338e-02 7.3156978257977570e+01 2.0317455497865930e+02
4.5880000000000004e-02 7.2954792910457201e+01 2.0254855041338044e+02
4.6876666666666671e-02 7.2753229620876553e+01 2.0192627817653496e+02
4.7873333333333337e-02 7.2552284680437552e+01 2.0130771601542966e+02
4.8870000000000004e-02 7.2351954402454538e+01 2.0069284181002348e+02
4.9866666666666670e-02 7.2152235122222393e+01 2.0008163357219973e+02
5.0863333333333337e-02 7.1953123196885542e+01 1.9947406944488924e+02
5.1860000000000003e-02 7.1754615005307656e+01 1.9887012770137210e+02
5.2856666666666670e-02 7.1556706947942146e+01 1.9826978674445712e+02
5.3853333333333336e-02 7.1359395446703473e+01 1.9767302510571284e+02
5.4850000000000003e-02 7.1162676944839177e+01 1.9707982144471782e+02
5.5846666666666669e-02 7.0966547906802674e+01 1.9649015454826326e+02
5.6843333333333336e-02 7.0771004818126855e+01 1.9590400332964583e+02
5.7840000000000009e-02 7.0576044185298358e+01 1.9532134682787208e+02
5.8836666666666676e-02 7.0381662535632685e+01 1.9474216420692821e+02
5.9833333333333343e-02 7.0187856417149987e+01 1.9416643475499509e+02
6.0830000000000009e-02 6.9994622398451668e+01 1.9359413788378279e+02
6.1826666666666676e-02 6.9801957068597588e+01 1.9302525312774918e+02
6.2823333333333342e-02 6.9609857036984167e+01 1.9245976014332552e+02
6.3820000000000002e-02 6.9418318933223105e+01 1.9189763870829239e+02
6.4816666666666675e-02 6.9227339407020850e+01 1.9133886872096633e+02
6.5813333333333335e-02 6.9036915128058808e+01 1.9078343019951626e+02
6.6810000000000008e-02 6.8847042785874223e+01 1.9023130328124643e+02
6.7806666666666668e-02 6.8657719089741832e+01 1.8968246822189042e+02
6.8803333333333341e-02 6.8468940768556124e+01 1.8913690539490472e+02
6.9800000000000001e-02 6.8280704570714434e+01 1.8859459529076361e+02
7.0796666666666674e-02 6.8093007264000605e+01 1.8805551851623855e+02
7.1793333333333334e-02 6.7905845635469461e+01 1.8751965579373697e+02
7.2789999999999994e-02 6.7719216491331863e+01 1.8698698796063238e+02
7.3786666666666667e-02 6.7533116656840519e+01 1.8645749596848478e+02
7.4783333333333341e-02 6.7347542976176442e+01 1.8593116088249283e+02
7.5780000000000000e-02 6.7162492312336113e+01 1.8540796388071630e+02
7.6776666666666674e-02 6.6977961547019262e+01 1.8488788625341914e+02
7.7773333333333333e-02 6.6793947580517425e+01 1.8437090940244138e+02
7.8770000000000007e-02 6.6610447331603027e+01 1.8385701484048835e+02
7.9766666666666666e-02 6.6427457737419246e+01 1.8334618419052435e+02
8.0763333333333340e-02 6.6244975753370426e+01 1.8283839918503830e+02
8.1759999999999999e-02 6.6062998353013271e+01 1.8233364166543814e+02
8.2756666666666673e-02 6.5881522527948576e+01 1.8183189358143738e+02
8.3753333333333332e-02 6.5700545287713652e+01 1.8133313699032786e+02
8.4750000000000006e-02 6.5520063659675372e+01 1.8083735405638132e+02
8.5746666666666665e-02 6.5340074688923920e+01 1.8034452705022878e+02
8.6743333333333339e-02 6.5160575438167029e+01 1.7985463834819765e+02
8.7739999999999999e-02 6.4981562987625054e+01 1.7936767043168442e+02
8.8736666666666672e-02 6.4803034434926474e+01 1.7888360588652714e+02
8.9733333333333332e-02 6.4624986895004156e+01 1.7840242740242113e+02
9.0730000000000005e-02 6.4447417499992113e+01 1.7792411777225556e+02
9.1726666666666665e-02 6.4270323399123015e+01 1.7744865989147934e+02
9.2723333333333338e-02 6.4093701758626239e+01 1.7697603675755559e+02
9.3719999999999998e-02 6.3917549761626518e+01 1.7650623146931989e+02
9.4716666666666671e-02 6.3741864608043173e+01 1.7603922722634940e+02
9.5713333333333331e-02 6.3566643514490046e+01 1.7557500732842132e+02
9.6710000000000004e-02 6.3391883714175911e+01 1.7511355517485657e+02
9.7706666666666664e-02 6.3217582456805566e+01 1.7465485426396069e+02
9.8703333333333337e-02 6.3043737008481465e+01 1.7419888819243144e+02
9.9699999999999997e-02 6.2870344651605954e+01 1.7374564065474627e+02
1.0069666666666667e-01 6.2697402684784095e+01 1.7329509544262748e+02
1.0169333333333333e-01 6.2524908422727052e+01 1.7284723644441101e+02
1.0269000000000000e-01 6.2352859196156082e+01 1.7240204764449089e+02
1.0368666666666666e-01 6.2181252351707066e+01 1.7195951312277330e+02
1.0468333333333334e-01 6.2010085251835612e+01 1.7151961705405910e+02
1.0568000000000001e-01 6.1839355274722763e+01 1.7108234370750782e+02
1.0667666666666667e-01 6.1669059814181225e+01 1.7064767744608045e+02
1.0767333333333334e-01 6.1499196279562163e+01 1.7021560272594513e+02
1.0867000000000000e-01 6.1329762095662581e+01 1.6978610409596189e+02
1.0966666666666668e-01 6.1160754702633191e+01 1.6935916619712387e+02
1.1066333333333334e-01 6.0992171555886912e+01 1.6893477376196188e+02
1.1166000000000001e-01 6.0824010126007863e+01 1.6851291161406039e+02
1.1265666666666667e-01 6.0656267898660893e+01 1.6809356466748972e+02
1.1365333333333334e-01 6.0488942374501676e+01 1.6767671792625436e+02
1.1465000000000000e-01 6.0322031069087352e+01 1.6726235648376490e+02
1.1564666666666668e-01 6.0155531512787661e+01 1.6685046552230733e+02
1.1664333333333333e-01 5.9989441250696629e+01 1.6644103031254002e+02
1.1764000000000001e-01 5.9823757842544786e+01 1.6603403621289868e+02
1.1863666666666667e-01 5.9658478862611908e+01 1.6562946866913308e+02
1.1963333333333334e-01 5.9493601899640254e+01 1.6522731321378262e+02
1.2063000000000000e-01 5.9329124556748354e+01 1.6482755546562072e+02
1.2162666666666667e-01 5.9165044451345281e+01 1.6443018112917690e+02
1.2262333333333333e-01 5.9001359215045461e+01 1.6403517599420937e+02
1.2362000000000001e-01 5.8838066493583973e+01 1.6364252593519879e+02
1.2461666666666667e-01 5.8675163946732368e+01 1.6325221691083732e+02
1.2561333333333335e-01 5.8512649248214963e+01 1.6286423496354607e+02
1.2661000000000000e-01 5.8350520085625682e+01 1.6247856621896946e+02
1.2760666666666667e-01 5.8188774160345311e+01 1.6209519688544839e+02
1.2860333333333335e-01 5.8027409187459362e+01 1.6171411325357454e+02
1.2960000000000002e-01 5.7866422895676322e+01 1.6133530169566188e+02
1.3059666666666667e-01 5.7705813027246457e+01 1.6095874866527785e+02
1.3159333333333334e-01 5.7545577337881035e+01 1.6058444069676710e+02
1.3259000000000001e-01 5.7385713596672112e+01 1.6021236440475272e+02
