# x energy force
1.0000000000000000e-02 4.1142233309555422e+01 2.5421603044274772e+02
1.0996666666666667e-02 4.0889618521171933e+01 2.5270327735020311e+02
1.1993333333333333e-02 4.0638508067889987e+01 2.5119729779751538e+02
1.2990000000000002e-02 4.0388894099751646e+01 2.4970029712892432e+02
1.3986666666666668e-02 4.0140767694479941e+01 2.4821222181094848e+02
1.4983333333333335e-02 3.9894119982993914e+01 2.4673301862924058e+02
1.5980000000000001e-02 3.9648942149091447e+01 2.4526263468674404e+02
1.6976666666666668e-02 3.9405225429133978e+01 2.4380101740181877e+02
1.7973333333333334e-02 3.9162961111733125e+01 2.4234811450624608e+02
1.8970000000000001e-02 3.8922140537439169e+01 2.4090387404349369e+02
1.9966666666666667e-02 3.8682755098431365e+01 2.3946824436681356e+02
2.0963333333333334e-02 3.8444796238210131e+01 2.3804117413734062e+02
2.1960000000000000e-02 3.8208255451291066e+01 2.3662261232232709e+02
2.2956666666666667e-02 3.7973124282900798e+01 2.3521250819326428e+02
2.3953333333333333e-02 3.7739394328674614e+01 2.3381081132415770e+02
2.4950000000000000e-02 3.7507057234355933e+01 2.3241747158957935e+02
2.5946666666666666e-02 3.7276104695497573e+01 2.3103243916298811e+02
2.6943333333333333e-02 3.7046528457164719e+01 2.2965566451497963e+02
2.7940000000000000e-02 3.6818320313639774e+01 2.2828709841133897e+02
2.8936666666666666e-02 3.6591472108128912e+01 2.2692669191145754e+02
2.9933333333333333e-02 3.6365975732470382e+01 2.2557439636653186e+02
3.0929999999999999e-02 3.6141823126844535e+01 2.2423016341777182e+02
3.1926666666666666e-02 3.5919006279485643e+01 2.2289394499472485e+02
3.2923333333333332e-02 3.5697517226395348e+01 2.2156569331355340e+02
3.3920000000000006e-02 3.5477348051057902e+01 2.2024536087529853e+02
3.4916666666666672e-02 3.5258490884157048e+01 2.1893290046420819e+02
3.5913333333333339e-02 3.5040937903294619e+01 2.1762826514601841e+02
3.6910000000000005e-02 3.4824681332710803e+01 2.1633140826632567e+02
3.7906666666666672e-02 3.4609713443006058e+01 2.1504228344888193e+02
3.8903333333333338e-02 3.4396026550864740e+01 2.1376084459389321e+02
3.9900000000000005e-02 3.4183613018780335e+01 2.1248704587648595e+02
4.0896666666666671e-02 3.3972465254782314e+01 2.1122084174496356e+02
4.1893333333333338e-02 3.3762575712164669e+01 2.0996218691921430e+02
4.2890000000000005e-02 3.3553936889216011e+01 2.0871103638913451e+02
4.3886666666666671e-02 3.3346541328951318e+01 2.0746734541292886e+02
4.4883333333333338e-02 3.3140381618845282e+01 2.0623106951556716e+02
4.5880000000000004e-02 3.2935450390567233e+01 2.0500216448720096e+02
4.6876666666666671e-02 3.2731740319717623e+01 2.0378058638158529e+02
4.7873333333333337e-02 3.2529244125566095e+01 2.0256629151446290e+02
4.8870000000000004e-02 3.2327954570791157e+01 2.0135923646200425e+02
4.9866666666666670e-02 3.2127864461221357e+01 2.0015937805933257e+02
5.0863333333333337e-02 3.1928966645577994e+01 1.9896667339891823e+02
5.1860000000000003e-02 3.1731254015219410e+01 1.9778107982900681e+02
