# x energy force
1.0000000000000000e-02 7.6253570937379280e+01 2.1143956308376150e+02
1.0996666666666667e-02 7.6042995058641353e+01 2.1112072869804035e+02
1.1993333333333333e-02 7.5832736417470258e+01 2.1080296595967329e+02
1.2990000000000002e-02 7.5622793535712944e+01 2.1048709776738301e+02
1.3986666666666668e-02 7.5413164530767432e+01 2.1017311282562284e+02
1.4983333333333335e-02 7.5203847531256088e+01 2.0986099990616620e+02
1.5980000000000001e-02 7.4994840676958702e+01 2.0955074784778620e+02
1.6976666666666668e-02 7.4786142118745914e+01 2.0924234555579170e+02
1.7973333333333334e-02 7.4577750018513157e+01 2.0893578200158549e+02
1.8970000000000001e-02 7.4369662549114878e+01 2.0863104622237930e+02
1.9966666666666667e-02 7.4161877894299238e+01 2.0832812732072281e+02
2.0963333333333334e-02 7.3954394248643112e+01 2.0802701446414781e+02
2.1960000000000000e-02 7.3747209817487558e+01 2.0772769688478976e+02
2.2956666666666667e-02 7.3540322816873655e+01 2.0743016387891058e+02
2.3953333333333333e-02 7.3333731473478664e+01 2.0713440480667751e+02
2.4950000000000000e-02 7.3127434024552670e+01 2.0684040909164244e+02
2.5946666666666666e-02 7.2921428717855491e+01 2.0654816622042884e+02
2.6943333333333333e-02 7.2715713811594028e+01 2.0625766574237446e+02
2.7940000000000000e-02 7.2510287574360007e+01 2.0596889726904024e+02
2.8936666666666666e-02 7.2305148285068057e+01 2.0568185047399589e+02
2.9933333333333333e-02 7.2100294232894143e+01 2.0539651509239948e+02
3.0929999999999999e-02 7.1895723717214366e+01 2.0511288092051976e+02
3.1926666666666666e-02 7.1691435047544246e+01 2.0483093781550809e+02
3.2923333333333332e-02 7.1487426543478151e+01 2.0455067569504126e+02
3.3920000000000006e-02 7.1283696534629257e+01 2.0427208453684648e+02
3.4916666666666672e-02 7.1080243360569838e+01 2.0399515437838431e+02
3.5913333333333339e-02 7.0877065370771845e+01 2.0371987531657803e+02
3.6910000000000005e-02 7.0674160924547905e+01 2.0344623750736741e+02
3.7906666666666672e-02 7.0471528390992660e+01 2.0317423116535718e+02
3.8903333333333338e-02 7.0269166148924427e+01 2.0290384656353214e+02
3.9900000000000005e-02 7.0067072586827223e+01 2.0263507403287252e+02
4.0896666666666671e-02 6.9865246102793137e+01 2.0236790396195434e+02
4.1893333333333338e-02 6.9663685104465074e+01 2.0210232679670048e+02
4.2890000000000005e-02 6.9462388008979772e+01 2.0183833304003781e+02
4.3886666666666671e-02 6.9261353242911198e+01 2.0157591325141283e+02
4.4883333333333338e-02 6.9060579242214345e+01 2.0131505804661356e+02
4.5880000000000004e-02 6.8860064452169226e+01 2.0105575809742692e+02
4.6876666666666671e-02 6.8659807327325311e+01 2.0079800413117559e+02
4.7873333333333337e-02 6.8459806331446245e+01 2.0054178693048985e+02
4.8870000000000004e-02 6.8260059937454955e+01 2.0028709733297973e+02
4.9866666666666670e-02 6.8060566627378975e+01 2.0003392623085696e+02
5.0863333333333337e-02 6.7861324892296224e+01 1.9978226457065708e+02
5.1860000000000003e-02 6.7662333232281000e+01 1.9953210335287582e+02
5.2856666666666670e-02 6.7463590156350378e+01 1.9928343363166258e+02
5.3853333333333336e-02 6.7265094182410863e+01 1.9903624651452805e+02
5.4850000000000003e-02 6.7066843837205411e+01 1.9879053316197360e+02
5.5846666666666669e-02 6.6868837656260737e+01 1.9854628478720610e+02
5.6843333333333336e-02 6.6671074183834961e+01 1.9830349265583777e+02
5.7840000000000009e-02 6.6473551972865494e+01 1.9806214808555384e+02
5.8836666666666676e-02 6.6276269584917372e+01 1.9782224244579544e+02
5.9833333333333343e-02 6.6079225590131756e+01 1.9758376715745311e+02
6.0830000000000009e-02 6.5882418567174824e+01 1.9734671369258513e+02
6.1826666666666676e-02 6.5685847103186944e+01 1.9711107357407232e+02
6.2823333333333342e-02 6.5489509793732140e+01 1.9687683837537017e+02
6.3820000000000002e-02 6.5293405242747866e+01 1.9664399972015590e+02
6.4816666666666675e-02 6.5097532062495119e+01 1.9641254928201462e+02
6.5813333333333335e-02 6.4901888873508767e+01 1.9618247878424000e+02
6.6810000000000008e-02 6.4706474304548237e+01 1.9595377999943835e+02
6.7806666666666668e-02 6.4511286992548477e+01 1.9572644474924280e+02
6.8803333333333341e-02 6.4316325582571224e+01 1.9550046490409954e+02
6.9800000000000001e-02 6.4121588727756532e+01 1.9527583238290418e+02
7.0796666666666674e-02 6.3927075089274616e+01 1.9505253915270214e+02
7.1793333333333334e-02 6.3732783336278004e+01 1.9483057722846937e+02
7.2789999999999994e-02 6.3538712145853886e+01 1.9460993867278097e+02
7.3786666666666667e-02 6.3344860202976847e+01 1.9439061559552033e+02
7.4783333333333341e-02 6.3151226200461842e+01 1.9417260015365153e+02
7.5780000000000000e-02 6.2957808838917430e+01 1.9395588455085598e+02
7.6776666666666674e-02 6.2764606826699321e+01 1.9374046103731308e+02
7.7773333333333333e-02 6.2571618879864197e+01 1.9352632190942231e+02
7.8770000000000007e-02 6.2378843722123776e+01 1.9331345950948392e+02
7.9766666666666666e-02 6.2186280084799186e+01 1.9310186622548511e+02
8.0763333333333340e-02 6.1993926706775575e+01 1.9289153449078267e+02
8.1759999999999999e-02 6.1801782334457052e+01 1.9268245678384284e+02
8.2756666666666673e-02 6.1609845721721825e+01 1.9247462562798455e+02
8.3753333333333332e-02 6.1418115629877647e+01 1.9226803359109792e+02
8.4750000000000006e-02 6.1226590827617535e+01 1.9206267328538058e+02
8.5746666666666665e-02 6.1035270090975715e+01 1.9185853736709862e+02
8.6743333333333339e-02 6.0844152203283862e+01 1.9165561853627662e+02
8.7739999999999999e-02 6.0653235955127613e+01 1.9145390953646941e+02
8.8736666666666672e-02 6.0462520144303276e+01 1.9125340315450569e+02
8.9733333333333332e-02 6.0272003575774882e+01 1.9105409222020609e+02
9.0730000000000005e-02 6.0081685061631411e+01 1.9085596960615874e+02
9.1726666666666665e-02 5.9891563421044346e+01 1.9065902822742345e+02
9.2723333333333338e-02 5.9701637480225415e+01 1.9046326104132504e+02
9.3719999999999998e-02 5.9511906072384654e+01 1.9026866104716436e+02
9.4716666666666671e-02 5.9322368037688641e+01 1.9007522128597265e+02
9.5713333333333331e-02 5.9133022223219051e+01 1.8988293484029731e+02
9.6710000000000004e-02 5.8943867482931402e+01 1.8969179483390644e+02
9.7706666666666664e-02 5.8754902677614112e+01 1.8950179443156750e+02
9.8703333333333337e-02 5.8566126674847709e+01 1.8931292683880872e+02
9.9699999999999997e-02 5.8377538348964372e+01 1.8912518530166579e+02
1.0069666666666667e-01 5.8189136581007659e+01 1.8893856310644335e+02
1.0169333333333333e-01 5.8000920258692510e+01 1.8875305357947221e+02
1.0269000000000000e-01 5.7812888276365456e+01 1.8856865008686017e+02
1.0368666666666666e-01 5.7625039534965083e+01 1.8838534603428880e+02
1.0468333333333334e-01 5.7437372941982730e+01 1.8820313486674453e+02
1.0568000000000001e-01 5.7249887411423430e+01 1.8802201006829719e+02
1.0667666666666667e-01 5.7062581863767065e+01 1.8784196516186969e+02
1.0767333333333334e-01 5.6875455225929755e+01 1.8766299370898361e+02
1.0867000000000000e-01 5.6688506431225505e+01 1.8748508930957431e+02
1.0966666666666668e-01 5.6501734419328045e+01 1.8730824560171430e+02
1.1066333333333334e-01 5.6315138136232918e+01 1.8713245626141736e+02
1.1166000000000001e-01 5.6128716534219777e+01 1.8695771500241372e+02
1.1265666666666667e-01 5.5942468571814928e+01 1.8678401557587929e+02
1.1365333333333334e-01 5.5756393213754095e+01 1.8661135177027512e+02
1.1465000000000000e-01 5.5570489430945386e+01 1.8643971741108390e+02
1.1564666666666668e-01 5.5384756200432498e+01 1.8626910636059583e+02
1.1664333333333333e-01 5.5199192505358134e+01 1.8609951251772691e+02
1.1764000000000001e-01 5.5013797334927631e+01 1.8593092981773373e+02
1.1863666666666667e-01 5.4828569684372830e+01 1.8576335223203532e+02
1.1963333333333334e-01 5.4643508554916139e+01 1.8559677376800647e+02
1.2063000000000000e-01 5.4458612953734821e+01 1.8543118846874944e+02
1.2162666666666667e-01 5.4273881893925477e+01 1.8526659041288005e+02
1.2262333333333333e-01 5.4089314394468758e+01 1.8510297371431767e+02
1.2362000000000001e-01 5.3904909480194291e+01 1.8494033252207458e+02
1.2461666666666667e-01 5.3720666181745798e+01 1.8477866102004822e+02
1.2561333333333335e-01 5.3536583535546448e+01 1.8461795342680617e+02
1.2661000000000000e-01 5.3352660583764390e+01 1.8445820399538636e+02
1.2760666666666667e-01 5.3168896374278482e+01 1.8429940701311619e+02
1.2860333333333335e-01 5.2985289960644273e+01 1.8414155680135352e+02
1.2960000000000002e-01 5.2801840402060130e+01 1.8398464771531675e+02
1.3059666666666667e-01 5.2618546763333633e+01 1.8382867414388267e+02
1.3159333333333334e-01 5.2435408114848087e+01 1.8367363050939011e+02
1.3259000000000001e-01 5.2252423532529299e+01 1.8351951126743333e+02
1.3358666666666669e-01 5.2069592097812553e+01 1.8336631090664133e+02
1.3458333333333333e-01 5.1886912897609726e+01 1.8321402394853158e+02
1.3558000000000001e-01 5.1704385024276654e+01 1.8306264494726378e+02
1.3657666666666668e-01 5.1522007575580680e+01 1.8291216848946894e+02
1.3757333333333335e-01 5.1339779654668376e+01 1.8276258919407559e+02
1.3857000000000003e-01 5.1157700370033481e+01 1.8261390171206415e+02
1.3956666666666670e-01 5.0975768835485020e+01 1.8246610072631645e+02
1.4056333333333335e-01 5.0793984170115621e+01 1.8231918095142086e+02
1.4156000000000002e-01 5.0612345498269974e+01 1.8217313713348486e+02
1.4255666666666669e-01 5.0430851949513567e+01 1.8202796404993572e+02
1.4355333333333337e-01 5.0249502658601536e+01 1.8188365650932138e+02
1.4455000000000001e-01 5.0068296765447734e+01 1.8174020935116414e+02
1.4554666666666669e-01 4.9887233415093945e+01 1.8159761744573223e+02
