# x energy force
0.0000000000000000e+00 4.8324462448522411e+01 -5.0726673434032153e+02
1.5707963267948967e-03 4.7533818228266071e+01 -4.9941275270634935e+02
3.1415926535897933e-03 4.6755511013511082e+01 -4.9155877107237598e+02
4.7123889803846897e-03 4.5989540804257459e+01 -4.8370478943840146e+02
6.2831853071795866e-03 4.5235907600505200e+01 -4.7585080780442701e+02
7.8539816339744835e-03 4.4494611402254307e+01 -4.6799682617045141e+02
9.4247779607693795e-03 4.3765652209504772e+01 -4.6014284453647804e+02
1.0995574287564277e-02 4.3049030022256595e+01 -4.5228886290250472e+02
1.2566370614359173e-02 4.2344744840509790e+01 -4.4443488126852799e+02
1.4137166941154069e-02 4.1652796664264343e+01 -4.3658089963455353e+02
1.5707963267948967e-02 4.0973185493520248e+01 -4.2872691800058010e+02
1.7278759594743863e-02 4.0305911328277517e+01 -4.2087293636660564e+02
1.8849555921538759e-02 3.9650974168536159e+01 -4.1301895473263119e+02
2.0420352248333655e-02 3.9008374014296152e+01 -4.0516497309865554e+02
2.1991148575128554e-02 3.8378110865557510e+01 -3.9731099146468102e+02
2.3561944901923450e-02 3.7760184722320226e+01 -3.8945700983070878e+02
2.5132741228718346e-02 3.7154595584584307e+01 -3.8160302819673325e+02
2.6703537555513242e-02 3.6561343452349753e+01 -3.7374904656275760e+02
2.8274333882308138e-02 3.5980428325616558e+01 -3.6589506492878422e+02
2.9845130209103038e-02 3.5411850204384720e+01 -3.5804108329480857e+02
3.1415926535897934e-02 3.4855609088654248e+01 -3.5018710166083531e+02
3.2986722862692830e-02 3.4311704978425141e+01 -3.4233312002686080e+02
3.4557519189487726e-02 3.3780137873697392e+01 -3.3447913839288520e+02
3.6128315516282622e-02 3.3260907774471008e+01 -3.2662515675891188e+02
3.7699111843077518e-02 3.2754014680745982e+01 -3.1877117512493737e+02
3.9269908169872414e-02 3.2259458592522321e+01 -3.1091719349096292e+02
4.0840704496667310e-02 3.1777239509800015e+01 -3.0306321185698835e+02
4.2411500823462213e-02 3.1307357432579074e+01 -2.9520923022301270e+02
4.3982297150257109e-02 3.0849812360859502e+01 -2.8735524858903830e+02
4.5553093477052005e-02 3.0404604294641285e+01 -2.7950126695506600e+02
4.7123889803846901e-02 2.9971733233924429e+01 -2.7164728532109046e+02
4.8694686130641797e-02 2.9551199178708934e+01 -2.6379330368711487e+02
5.0265482457436693e-02 2.9143002128994805e+01 -2.5593932205314147e+02
5.1836278784231589e-02 2.8747142084782034e+01 -2.4808534041916587e+02
5.3407075111026485e-02 2.8363619046070628e+01 -2.4023135878519253e+02
5.4977871437821381e-02 2.7992433012860580e+01 -2.3237737715121804e+02
5.6548667764616277e-02 2.7633583985151894e+01 -2.2452339551724242e+02
5.8119464091411173e-02 2.7287071962944573e+01 -2.1666941388326904e+02
5.9690260418206076e-02 2.6952896946238610e+01 -2.0881543224929453e+02
6.1261056745000972e-02 2.6631058935034009e+01 -2.0096145061532008e+02
6.2831853071795868e-02 2.6321557929330773e+01 -1.9310746898134559e+02
6.4402649398590764e-02 2.6024393929128898e+01 -1.8525348734737000e+02
6.5973445725385660e-02 2.5739566934428382e+01 -1.7739950571339551e+02
6.7544242052180556e-02 2.5467076945229230e+01 -1.6954552407942217e+02
6.9115038378975452e-02 2.5206923961531437e+01 -1.6169154244544768e+02
7.0685834705770348e-02 2.4959107983335009e+01 -1.5383756081147320e+02
7.2256631032565244e-02 2.4723629010639939e+01 -1.4598357917749757e+02
7.3827427359360140e-02 2.4500487043446235e+01 -1.3812959754352426e+02
7.5398223686155036e-02 2.4289682081753892e+01 -1.3027561590955091e+02
7.6969020012949932e-02 2.4091214125562907e+01 -1.2242163427557416e+02
7.8539816339744828e-02 2.3905083174873287e+01 -1.1456765264159968e+02
8.0110612666539724e-02 2.3731289229685029e+01 -1.0671367100762633e+02
8.1681408993334620e-02 2.3569832289998129e+01 -9.8859689373651847e+01
8.3252205320129516e-02 2.3420712355812594e+01 -9.1005707739677334e+01
8.4823001646924426e-02 2.3283929427128420e+01 -8.3151726105701655e+01
8.6393797973719322e-02 2.3159483503945609e+01 -7.5297744471727214e+01
8.7964594300514218e-02 2.3047374586264159e+01 -6.7443762837754988e+01
8.9535390627309114e-02 2.2947602674084070e+01 -5.9589781203779374e+01
9.1106186954104010e-02 2.2860167767405343e+01 -5.1735799569803767e+01
9.2676983280898906e-02 2.2785069866227978e+01 -4.3881817935830412e+01
9.4247779607693802e-02 2.2722308970551975e+01 -3.6027836301854805e+01
9.5818575934488698e-02 2.2671885080377333e+01 -2.8173854667881457e+01
9.7389372261283594e-02 2.2633798195704049e+01 -2.0319873033908110e+01
9.8960168588078490e-02 2.2608048316532130e+01 -1.2465891399931367e+01
1.0053096491487339e-01 2.2593930633509508e+01 -7.2667343403237883e+00
1.0210176124166828e-01 2.2582516073899932e+01 -7.2667343403249181e+00
1.0367255756846318e-01 2.2571101514290355e+01 -7.2667343403249181e+00
1.0524335389525807e-01 2.2559686954680778e+01 -7.2667343403249181e+00
1.0681415022205297e-01 2.2548272395071201e+01 -7.2667343403237883e+00
1.0838494654884787e-01 2.2536857835461625e+01 -7.2667343403237883e+00
1.0995574287564276e-01 2.2525443275852048e+01 -7.2667343403260496e+00
1.1152653920243766e-01 2.2514028716242471e+01 -7.2667343403249181e+00
1.1309733552923255e-01 2.2502614156632895e+01 -7.2667343403237883e+00
1.1466813185602745e-01 2.2491199597023318e+01 -7.2667343403249181e+00
1.1623892818282235e-01 2.2479785037413741e+01 -7.2667343403248843e+00
1.1780972450961726e-01 2.2468370477804164e+01 -7.2667343403248843e+00
1.1938052083641215e-01 2.2456955918194588e+01 -7.2667343403237883e+00
1.2095131716320705e-01 2.2445541358585011e+01 -7.2667343403237883e+00
1.2252211349000194e-01 2.2434126798975434e+01 -7.2667343403249181e+00
1.2409290981679684e-01 2.2422712239365858e+01 -7.2667343403249181e+00
1.2566370614359174e-01 2.2411297679756281e+01 -7.2667343403249491e+00
1.2723450247038662e-01 2.2399883120146704e+01 -7.2667343403249181e+00
1.2880529879718153e-01 2.2388468560537127e+01 -7.2667343403237883e+00
1.3037609512397641e-01 2.2377054000927554e+01 -7.2667343403237883e+00
1.3194689145077132e-01 2.2365639441317978e+01 -7.2667343403249181e+00
1.3351768777756620e-01 2.2354224881708401e+01 -7.2667343403249181e+00
1.3508848410436111e-01 2.2342810322098824e+01 -7.2667343403248532e+00
1.3665928043115602e-01 2.2331395762489247e+01 -7.2667343403237883e+00
1.3823007675795090e-01 2.2319981202879671e+01 -7.2667343403249181e+00
1.3980087308474581e-01 2.2308566643270094e+01 -7.2667343403249181e+00
1.4137166941154070e-01 2.2297152083660517e+01 -7.2667343403237883e+00
1.4294246573833561e-01 2.2285737524050941e+01 -7.2667343403249181e+00
1.4451326206513049e-01 2.2274322964441364e+01 -7.2667343403249181e+00
1.4608405839192540e-01 2.2262908404831787e+01 -7.2667343403249181e+00
1.4765485471872028e-01 2.2251493845222210e+01 -7.2667343403249181e+00
1.4922565104551519e-01 2.2240079285612634e+01 -7.2667343403249181e+00
1.5079644737231007e-01 2.2228664726003057e+01 -7.2667343403237883e+00
1.5236724369910498e-01 2.2217250166393480e+01 -7.2667343403249181e+00
1.5393804002589986e-01 2.2205835606783904e+01 -7.2667343403260496e+00
1.5550883635269477e-01 2.2194421047174327e+01 -7.2667343403237883e+00
1.5707963267948966e-01 2.2183006487564754e+01 -7.2667343403226567e+00
1.5865042900628457e-01 2.2171591927955181e+01 -7.2667343403237883e+00
1.6022122533307945e-01 2.2160177368345604e+01 -7.2667343403260478e+00
1.6179202165987436e-01 2.2148762808736027e+01 -7.2667343403249181e+00
1.6336281798666924e-01 2.2137348249126450e+01 -7.2667343403237883e+00
1.6493361431346415e-01 2.2125933689516874e+01 -7.2667343403249181e+00
1.6650441064025903e-01 2.2114519129907297e+01 -7.2667343403249181e+00
1.6807520696705394e-01 2.2103104570297720e+01 -7.2667343403248532e+00
1.6964600329384885e-01 2.2091690010688144e+01 -7.2667343403249181e+00
