# x energy force
0.0000000000000000e+00 3.2188863098489932e+01 -5.0115224953791193e+02
1.5707963267948967e-03 3.1407823488501464e+01 -4.9329826790393804e+02
3.1415926535897933e-03 3.0639120884014353e+01 -4.8544428626996387e+02
4.7123889803846897e-03 2.9882755285028601e+01 -4.7759030463598907e+02
6.2831853071795866e-03 2.9138726691544214e+01 -4.6973632300201461e+02
7.8539816339744835e-03 2.8407035103561192e+01 -4.6188234136804039e+02
9.4247779607693795e-03 2.7687680521079528e+01 -4.5402835973406565e+02
1.0995574287564277e-02 2.6980662944099222e+01 -4.4617437810009091e+02
1.2566370614359173e-02 2.6285982372620289e+01 -4.3832039646611668e+02
1.4137166941154069e-02 2.5603638806642710e+01 -4.3046641483214222e+02
1.5707963267948967e-02 2.4933632246166496e+01 -4.2261243319816771e+02
1.7278759594743863e-02 2.4275962691191634e+01 -4.1475845156419319e+02
1.8849555921538759e-02 2.3630630141718150e+01 -4.0690446993021874e+02
2.0420352248333655e-02 2.2997634597746011e+01 -3.9905048829624451e+02
2.1991148575128554e-02 2.2376976059275243e+01 -3.9119650666226971e+02
2.3561944901923450e-02 2.1768654526305831e+01 -3.8334252502829526e+02
2.5132741228718346e-02 2.1172669998837790e+01 -3.7548854339432080e+02
2.6703537555513242e-02 2.0589022476871104e+01 -3.6763456176034629e+02
2.8274333882308138e-02 2.0017711960405780e+01 -3.5978058012637183e+02
2.9845130209103038e-02 1.9458738449441817e+01 -3.5192659849239732e+02
3.1415926535897934e-02 1.8912101943979224e+01 -3.4407261685842286e+02
3.2986722862692830e-02 1.8377802444017984e+01 -3.3621863522444835e+02
3.4557519189487726e-02 1.7855839949558110e+01 -3.2836465359047389e+02
3.6128315516282622e-02 1.7346214460599594e+01 -3.2051067195649944e+02
3.7699111843077518e-02 1.6848925977142443e+01 -3.1265669032252521e+02
3.9269908169872414e-02 1.6363974499186650e+01 -3.0480270868855047e+02
4.0840704496667310e-02 1.5891360026732222e+01 -2.9694872705457595e+02
4.2411500823462213e-02 1.5431082559779153e+01 -2.8909474542060144e+02
4.3982297150257109e-02 1.4983142098327448e+01 -2.8124076378662699e+02
4.5553093477052005e-02 1.4547538642377106e+01 -2.7338678215265247e+02
4.7123889803846901e-02 1.4124272191928123e+01 -2.6553280051867802e+02
4.8694686130641797e-02 1.3713342746980503e+01 -2.5767881888470356e+02
5.0265482457436693e-02 1.3314750307534243e+01 -2.4982483725072905e+02
5.1836278784231589e-02 1.2928494873589347e+01 -2.4197085561675459e+02
5.3407075111026485e-02 1.2554576445145813e+01 -2.3411687398278011e+02
5.4977871437821381e-02 1.2192995022203638e+01 -2.2626289234880591e+02
5.6548667764616277e-02 1.1843750604762825e+01 -2.1840891071483114e+02
5.8119464091411173e-02 1.1506843192823375e+01 -2.1055492908085665e+02
5.9690260418206076e-02 1.1182272786385285e+01 -2.0270094744688214e+02
6.1261056745000972e-02 1.0870039385448559e+01 -1.9484696581290765e+02
6.2831853071795868e-02 1.0570142990013194e+01 -1.8699298417893317e+02
6.4402649398590764e-02 1.0282583600079191e+01 -1.7913900254495846e+02
6.5973445725385660e-02 1.0007361215646549e+01 -1.7128502091098423e+02
6.7544242052180556e-02 9.7444758367152691e+00 -1.6343103927701003e+02
6.9115038378975452e-02 9.4939274632853490e+00 -1.5557705764303526e+02
7.0685834705770348e-02 9.2557160953567941e+00 -1.4772307600906078e+02
7.2256631032565244e-02 9.0298417329295972e+00 -1.3986909437508658e+02
7.3827427359360140e-02 8.8163043760037638e+00 -1.3201511274111184e+02
7.5398223686155036e-02 8.6151040245792920e+00 -1.2416113110713708e+02
7.6969020012949932e-02 8.4262406786561836e+00 -1.1630714947316288e+02
7.8539816339744828e-02 8.2497143382344351e+00 -1.0845316783918868e+02
8.0110612666539724e-02 8.0855250033140464e+00 -1.0059918620521393e+02
8.1681408993334620e-02 7.9336726738950230e+00 -9.2745204571239157e+01
8.3252205320129516e-02 7.7941573499773602e+00 -8.4891222937264956e+01
8.4823001646924426e-02 7.6669790315610573e+00 -7.7037241303290699e+01
8.6393797973719322e-02 7.5521377186461169e+00 -6.9183259669315930e+01
8.7964594300514218e-02 7.4496334112325391e+00 -6.1329278035341446e+01
8.9535390627309114e-02 7.3594661093203220e+00 -5.3475296401367252e+01
9.1106186954104010e-02 7.2816358129094674e+00 -4.5621314767392491e+01
9.2676983280898906e-02 7.2161425219999744e+00 -3.7767333133417722e+01
9.4247779607693802e-02 7.1629862365918440e+00 -2.9913351499443529e+01
9.5818575934488698e-02 7.1221669566850734e+00 -2.2059369865469328e+01
9.7389372261283594e-02 7.0936846822796653e+00 -1.4205388231494569e+01
9.8960168588078490e-02 7.0775394133756189e+00 -6.3514065975198060e+00
1.0053096491487339e-01 7.0730263406208689e+00 -1.1522495379125099e+00
1.0210176124166828e-01 7.0712163912791643e+00 -1.1522495379127926e+00
1.0367255756846318e-01 7.0694064419374598e+00 -1.1522495379125099e+00
1.0524335389525807e-01 7.0675964925957562e+00 -1.1522495379125099e+00
1.0681415022205297e-01 7.0657865432540525e+00 -1.1522495379125099e+00
1.0838494654884787e-01 7.0639765939123489e+00 -1.1522495379125099e+00
1.0995574287564276e-01 7.0621666445706452e+00 -1.1522495379125099e+00
1.1152653920243766e-01 7.0603566952289416e+00 -1.1522495379125099e+00
1.1309733552923255e-01 7.0585467458872371e+00 -1.1522495379127926e+00
1.1466813185602745e-01 7.0567367965455325e+00 -1.1522495379125099e+00
1.1623892818282235e-01 7.0549268472038289e+00 -1.1522495379122222e+00
1.1780972450961726e-01 7.0531168978621253e+00 -1.1522495379125048e+00
1.1938052083641215e-01 7.0513069485204207e+00 -1.1522495379127926e+00
1.2095131716320705e-01 7.0494969991787162e+00 -1.1522495379125099e+00
1.2252211349000194e-01 7.0476870498370126e+00 -1.1522495379125099e+00
1.2409290981679684e-01 7.0458771004953089e+00 -1.1522495379125099e+00
1.2566370614359174e-01 7.0440671511536044e+00 -1.1522495379125151e+00
1.2723450247038662e-01 7.0422572018119007e+00 -1.1522495379125099e+00
1.2880529879718153e-01 7.0404472524701962e+00 -1.1522495379125099e+00
1.3037609512397641e-01 7.0386373031284917e+00 -1.1522495379127926e+00
1.3194689145077132e-01 7.0368273537867871e+00 -1.1522495379125099e+00
1.3351768777756620e-01 7.0350174044450835e+00 -1.1522495379122273e+00
1.3508848410436111e-01 7.0332074551033799e+00 -1.1522495379124995e+00
1.3665928043115602e-01 7.0313975057616753e+00 -1.1522495379127926e+00
1.3823007675795090e-01 7.0295875564199708e+00 -1.1522495379125099e+00
1.3980087308474581e-01 7.0277776070782663e+00 -1.1522495379125099e+00
1.4137166941154070e-01 7.0259676577365626e+00 -1.1522495379125099e+00
1.4294246573833561e-01 7.0241577083948581e+00 -1.1522495379125099e+00
1.4451326206513049e-01 7.0223477590531544e+00 -1.1522495379125099e+00
1.4608405839192540e-01 7.0205378097114499e+00 -1.1522495379125099e+00
1.4765485471872028e-01 7.0187278603697463e+00 -1.1522495379125099e+00
1.4922565104551519e-01 7.0169179110280417e+00 -1.1522495379125099e+00
1.5079644737231007e-01 7.0151079616863381e+00 -1.1522495379125099e+00
1.5236724369910498e-01 7.0132980123446336e+00 -1.1522495379125099e+00
1.5393804002589986e-01 7.0114880630029290e+00 -1.1522495379127926e+00
1.5550883635269477e-01 7.0096781136612245e+00 -1.1522495379125099e+00
1.5707963267948966e-01 7.0078681643195209e+00 -1.1522495379122273e+00
1.5865042900628457e-01 7.0060582149778172e+00 -1.1522495379125099e+00
1.6022122533307945e-01 7.0042482656361127e+00 -1.1522495379127926e+00
1.6179202165987436e-01 7.0024383162944082e+00 -1.1522495379125099e+00
1.6336281798666924e-01 7.0006283669527045e+00 -1.1522495379125099e+00
1.6493361431346415e-01 6.9988184176110000e+00 -1.1522495379125099e+00
1.6650441064025903e-01 6.9970084682692963e+00 -1.1522495379125099e+00
1.6807520696705394e-01 6.9951985189275918e+00 -1.1522495379124995e+00
1.6964600329384885e-01 6.9933885695858873e+00 -1.1522495379125099e+00
1.7121679962064373e-01 6.9915786202441836e+00 -1.1522495379125099e+00
1.7278759594743864e-01 6.9897686709024791e+00 -1.1522495379125099e+00
1.7435839227423353e-01 6.9879587215607755e+00 -1.1522495379125099e+00
1.7592918860102844e-01 6.9861487722190709e+00 -1.1522495379125099e+00
1.7749998492782332e-01 6.9843388228773664e+00 -1.1522495379127926e+00
1.7907078125461823e-01 6.9825288735356619e+00 -1.1522495379125099e+00
1.8064157758141311e-01 6.9807189241939582e+00 -1.1522495379122273e+00
1.8221237390820802e-01 6.9789089748522546e+00 -1.1522495379125099e+00
1.8378317023500290e-01 6.9770990255105501e+00 -1.1522495379127926e+00
1.8535396656179781e-01 6.9752890761688455e+00 -1.1522495379125099e+00
1.8692476288859269e-01 6.9734791268271419e+00 -1.1522495379125099e+00
1.8849555921538760e-01 6.9716691774854374e+00 -1.1522495379125099e+00
1.9006635554218249e-01 6.9698592281437337e+00 -1.1522495379125099e+00
1.9163715186897740e-01 6.9680492788020292e+00 -1.1522495379125099e+00
1.9320794819577228e-01 6.9662393294603255e+00 -1.1522495379125099e+00
1.9477874452256719e-01 6.9644293801186210e+00 -1.1522495379127926e+00
1.9634954084936207e-01 6.9626194307769165e+00 -1.1522495379125099e+00
1.9792033717615698e-01 6.9608094814352128e+00 -1.1522495379122273e+00
1.9949113350295186e-01 6.9589995320935092e+00 -1.1522495379125099e+00
2.0106192982974677e-01 6.9571895827518047e+00 -1.1522495379127824e+00
2.0263272615654168e-01 6.9553796334101001e+00 -1.1522495379125099e+00
2.0420352248333656e-01 6.9535696840683965e+00 -1.1522495379125099e+00
2.0577431881013147e-01 6.9517597347266920e+00 -1.1522495379125099e+00
2.0734511513692636e-01 6.9499497853849883e+00 -1.1522495379125099e+00
2.0891591146372127e-01 6.9481398360432838e+00 -1.1522495379125099e+00
2.1048670779051615e-01 6.9463298867015801e+00 -1.1522495379125099e+00
2.1205750411731106e-01 6.9445199373598756e+00 -1.1522495379127926e+00
2.1362830044410594e-01 6.9427099880181711e+00 -1.1522495379125099e+00
2.1519909677090085e-01 6.9409000386764674e+00 -1.1522495379122273e+00
2.1676989309769573e-01 6.9390900893347638e+00 -1.1522495379125099e+00
2.1834068942449064e-01 6.9372801399930593e+00 -1.1522495379127926e+00
2.1991148575128552e-01 6.9354701906513547e+00 -1.1522495379125099e+00
2.2148228207808043e-01 6.9336602413096511e+00 -1.1522495379122273e+00
2.2305307840487532e-01 6.9318502919679474e+00 -1.1522495379125099e+00
2.2462387473167023e-01 6.9300403426262429e+00 -1.1522495379127926e+00
2.2619467105846511e-01 6.9282303932845384e+00 -1.1522495379125099e+00
2.2776546738526002e-01 6.9264204439428338e+00 -1.1522495379125099e+00
