# x energy force
0.0000000000000000e+00 3.3244443864047270e+01 -5.0260802186710134e+02
1.5707963267948967e-03 3.2461117532231455e+01 -4.9475404023312802e+02
3.1415926535897933e-03 3.1690128205917006e+01 -4.8690005859915357e+02
4.7123889803846897e-03 3.0931475885103914e+01 -4.7904607696517905e+02
6.2831853071795866e-03 3.0185160569792188e+01 -4.7119209533120460e+02
7.8539816339744835e-03 2.9451182259981827e+01 -4.6333811369722952e+02
9.4247779607693795e-03 2.8729540955672821e+01 -4.5548413206325506e+02
1.0995574287564277e-02 2.8020236656865176e+01 -4.4763015042928117e+02
1.2566370614359173e-02 2.7323269363558900e+01 -4.3977616879530666e+02
1.4137166941154069e-02 2.6638639075753982e+01 -4.3192218716133220e+02
1.5707963267948967e-02 2.5966345793450422e+01 -4.2406820552735769e+02
1.7278759594743863e-02 2.5306389516648224e+01 -4.1621422389338261e+02
1.8849555921538759e-02 2.4658770245347398e+01 -4.0836024225940872e+02
2.0420352248333655e-02 2.4023487979547916e+01 -4.0050626062543421e+02
2.1991148575128554e-02 2.3400542719249806e+01 -3.9265227899145970e+02
2.3561944901923450e-02 2.2789934464453058e+01 -3.8479829735748524e+02
2.5132741228718346e-02 2.2191663215157675e+01 -3.7694431572351021e+02
2.6703537555513242e-02 2.1605728971363646e+01 -3.6909033408953570e+02
2.8274333882308138e-02 2.1032131733070983e+01 -3.6123635245556125e+02
2.9845130209103038e-02 2.0470871500279685e+01 -3.5338237082158730e+02
3.1415926535897934e-02 1.9921948272989745e+01 -3.4552838918761285e+02
3.2986722862692830e-02 1.9385362051201167e+01 -3.3767440755363833e+02
3.4557519189487726e-02 1.8861112834913950e+01 -3.2982042591966388e+02
3.6128315516282622e-02 1.8349200624128095e+01 -3.2196644428568885e+02
3.7699111843077518e-02 1.7849625418843601e+01 -3.1411246265171434e+02
3.9269908169872414e-02 1.7362387219060473e+01 -3.0625848101774045e+02
4.0840704496667310e-02 1.6887486024778703e+01 -2.9840449938376594e+02
4.2411500823462213e-02 1.6424921835998290e+01 -2.9055051774979142e+02
4.3982297150257109e-02 1.5974694652719245e+01 -2.8269653611581697e+02
4.5553093477052005e-02 1.5536804474941562e+01 -2.7484255448184189e+02
4.7123889803846901e-02 1.5111251302665238e+01 -2.6698857284786800e+02
4.8694686130641797e-02 1.4698035135890278e+01 -2.5913459121389354e+02
5.0265482457436693e-02 1.4297155974616679e+01 -2.5128060957991903e+02
5.1836278784231589e-02 1.3908613818844440e+01 -2.4342662794594457e+02
5.3407075111026485e-02 1.3532408668573563e+01 -2.3557264631196952e+02
5.4977871437821381e-02 1.3168540523804049e+01 -2.2771866467799504e+02
5.6548667764616277e-02 1.2817009384535897e+01 -2.1986468304402055e+02
5.8119464091411173e-02 1.2477815250769106e+01 -2.1201070141004664e+02
5.9690260418206076e-02 1.2150958122503674e+01 -2.0415671977607212e+02
6.1261056745000972e-02 1.1836437999739607e+01 -1.9630273814209764e+02
6.2831853071795868e-02 1.1534254882476901e+01 -1.8844875650812315e+02
6.4402649398590764e-02 1.1244408770715557e+01 -1.8059477487414813e+02
6.5973445725385660e-02 1.0966899664455575e+01 -1.7274079324017364e+02
6.7544242052180556e-02 1.0701727563696954e+01 -1.6488681160619973e+02
6.9115038378975452e-02 1.0448892468439695e+01 -1.5703282997222524e+02
7.0685834705770348e-02 1.0208394378683799e+01 -1.4917884833825076e+02
7.2256631032565244e-02 9.9802332944292633e+00 -1.4132486670427627e+02
7.3827427359360140e-02 9.7644092156760891e+00 -1.3347088507030125e+02
7.5398223686155036e-02 9.5609221424242765e+00 -1.2561690343632732e+02
7.6969020012949932e-02 9.3697720746738273e+00 -1.1776292180235284e+02
7.8539816339744828e-02 9.1909590124247380e+00 -1.0990894016837780e+02
8.0110612666539724e-02 9.0244829556770121e+00 -1.0205495853440388e+02
8.1681408993334620e-02 8.8703439044306460e+00 -9.4200976900429396e+01
8.3252205320129516e-02 8.7285418586856416e+00 -8.6346995266454343e+01
8.4823001646924426e-02 8.5990768184419988e+00 -7.8493013632480370e+01
8.6393797973719322e-02 8.4819487836997194e+00 -7.0639031998505885e+01
8.7964594300514218e-02 8.3771577544587998e+00 -6.2785050364530839e+01
8.9535390627309114e-02 8.2847037307192437e+00 -5.4931068730556930e+01
9.1106186954104010e-02 8.2045867124810492e+00 -4.7077087096582453e+01
9.2676983280898906e-02 8.1368066997442163e+00 -3.9223105462607400e+01
9.4247779607693802e-02 8.0813636925087433e+00 -3.1369123828633491e+01
9.5818575934488698e-02 8.0382576907746319e+00 -2.3515142194659010e+01
9.7389372261283594e-02 8.0074886945418839e+00 -1.5661160560683964e+01
9.8960168588078490e-02 7.9890567038104958e+00 -7.8071789267100513e+00
1.0053096491487339e-01 7.9822569092284041e+00 -2.6080218671024720e+00
1.0210176124166828e-01 7.9781602380593597e+00 -2.6080218671019066e+00
1.0367255756846318e-01 7.9740635668903144e+00 -2.6080218671024720e+00
1.0524335389525807e-01 7.9699668957212690e+00 -2.6080218671024720e+00
1.0681415022205297e-01 7.9658702245522246e+00 -2.6080218671019066e+00
1.0838494654884787e-01 7.9617735533831793e+00 -2.6080218671024720e+00
1.0995574287564276e-01 7.9576768822141339e+00 -2.6080218671024720e+00
1.1152653920243766e-01 7.9535802110450895e+00 -2.6080218671019066e+00
1.1309733552923255e-01 7.9494835398760451e+00 -2.6080218671021895e+00
1.1466813185602745e-01 7.9453868687069997e+00 -2.6080218671024720e+00
1.1623892818282235e-01 7.9412901975379544e+00 -2.6080218671021780e+00
1.1780972450961726e-01 7.9371935263689091e+00 -2.6080218671024604e+00
1.1938052083641215e-01 7.9330968551998637e+00 -2.6080218671024720e+00
1.2095131716320705e-01 7.9290001840308193e+00 -2.6080218671019066e+00
1.2252211349000194e-01 7.9249035128617749e+00 -2.6080218671021895e+00
1.2409290981679684e-01 7.9208068416927295e+00 -2.6080218671024720e+00
1.2566370614359174e-01 7.9167101705236842e+00 -2.6080218671022011e+00
1.2723450247038662e-01 7.9126134993546398e+00 -2.6080218671021895e+00
1.2880529879718153e-01 7.9085168281855944e+00 -2.6080218671024720e+00
1.3037609512397641e-01 7.9044201570165491e+00 -2.6080218671021895e+00
1.3194689145077132e-01 7.9003234858475038e+00 -2.6080218671021895e+00
1.3351768777756620e-01 7.8962268146784584e+00 -2.6080218671024720e+00
1.3508848410436111e-01 7.8921301435094131e+00 -2.6080218671021660e+00
1.3665928043115602e-01 7.8880334723403678e+00 -2.6080218671021895e+00
1.3823007675795090e-01 7.8839368011713225e+00 -2.6080218671024720e+00
1.3980087308474581e-01 7.8798401300022771e+00 -2.6080218671021895e+00
1.4137166941154070e-01 7.8757434588332327e+00 -2.6080218671021895e+00
1.4294246573833561e-01 7.8716467876641874e+00 -2.6080218671024720e+00
1.4451326206513049e-01 7.8675501164951420e+00 -2.6080218671021895e+00
1.4608405839192540e-01 7.8634534453260967e+00 -2.6080218671021895e+00
1.4765485471872028e-01 7.8593567741570514e+00 -2.6080218671024720e+00
1.4922565104551519e-01 7.8552601029880060e+00 -2.6080218671021895e+00
1.5079644737231007e-01 7.8511634318189607e+00 -2.6080218671024720e+00
1.5236724369910498e-01 7.8470667606499154e+00 -2.6080218671024720e+00
1.5393804002589986e-01 7.8429700894808709e+00 -2.6080218671019062e+00
1.5550883635269477e-01 7.8388734183118265e+00 -2.6080218671021895e+00
1.5707963267948966e-01 7.8347767471427812e+00 -2.6080218671024720e+00
1.5865042900628457e-01 7.8306800759737358e+00 -2.6080218671021895e+00
1.6022122533307945e-01 7.8265834048046914e+00 -2.6080218671021895e+00
1.6179202165987436e-01 7.8224867336356461e+00 -2.6080218671024720e+00
1.6336281798666924e-01 7.8183900624666007e+00 -2.6080218671021895e+00
1.6493361431346415e-01 7.8142933912975554e+00 -2.6080218671024715e+00
1.6650441064025903e-01 7.8101967201285101e+00 -2.6080218671024715e+00
1.6807520696705394e-01 7.8061000489594647e+00 -2.6080218671018836e+00
1.6964600329384885e-01 7.8020033777904203e+00 -2.6080218671021895e+00
1.7121679962064373e-01 7.7979067066213750e+00 -2.6080218671024720e+00
1.7278759594743864e-01 7.7938100354523296e+00 -2.6080218671021895e+00
