# x energy force
1.0000000000000000e-02 5.4429021522708901e+01 2.4796591242576085e+02
1.0996666666666667e-02 5.4182549019837808e+01 2.4662773882057567e+02
1.1993333333333333e-02 5.3937407336728889e+01 2.4529537109698947e+02
1.2990000000000002e-02 5.3693589621466316e+01 2.4397094715566368e+02
1.3986666666666668e-02 5.3451087980349214e+01 2.4265441963450883e+02
1.4983333333333335e-02 5.3209894566740175e+01 2.4134574145385795e+02
1.5980000000000001e-02 5.2970001580784661e+01 2.4004486581472619e+02
1.6976666666666668e-02 5.2731401269132078e+01 2.3875174619714431e+02
1.7973333333333334e-02 5.2494085924658528e+01 2.3746633635847718e+02
1.8970000000000001e-02 5.2258047886191193e+01 2.3618859033182997e+02
1.9966666666666667e-02 5.2023279538234355e+01 2.3491846242436915e+02
2.0963333333333334e-02 5.1789773310697072e+01 2.3365590721566178e+02
2.1960000000000000e-02 5.1557521678622479e+01 2.3240087955610340e+02
2.2956666666666667e-02 5.1326517161918645e+01 2.3115333456530672e+02
2.3953333333333333e-02 5.1096752325091124e+01 2.2991322763038673e+02
2.4950000000000000e-02 5.0868219776977085e+01 2.2868051440447556e+02
2.5946666666666666e-02 5.0640912170480931e+01 2.2745515080519183e+02
2.6943333333333333e-02 5.0414822202311591e+01 2.2623709301288730e+02
2.7940000000000000e-02 5.0189942612721367e+01 2.2502629746917179e+02
2.8936666666666666e-02 4.9966266185246312e+01 2.2382272087542256e+02
2.9933333333333333e-02 4.9743785746448147e+01 2.2262632019112309e+02
3.0929999999999999e-02 4.9522494165657776e+01 2.2143705263235947e+02
3.1926666666666666e-02 4.9302384354720260e+01 2.2025487567034057e+02
3.2923333333333332e-02 4.9083449267741344e+01 2.1907974702983270e+02
3.3920000000000006e-02 4.8865681900835462e+01 2.1791162468764762e+02
3.4916666666666672e-02 4.8649075291875342e+01 2.1675046687111634e+02
3.5913333333333339e-02 4.8433622520243006e+01 2.1559623205664300e+02
3.6910000000000005e-02 4.8219316706582276e+01 2.1444887896823158e+02
3.7906666666666672e-02 4.8006151012552763e+01 2.1330836657594716e+02
3.8903333333333338e-02 4.7794118640585317e+01 2.1217465409451268e+02
3.9900000000000005e-02 4.7583212833638967e+01 2.1104770098177852e+02
4.0896666666666671e-02 4.7373426874959293e+01 2.0992746693729831e+02
4.1893333333333338e-02 4.7164754087838212e+01 2.0881391190098734e+02
4.2890000000000005e-02 4.6957187835375194e+01 2.0770699605156159e+02
4.3886666666666671e-02 4.6750721520239942e+01 2.0660667980513364e+02
4.4883333333333338e-02 4.6545348584436496e+01 2.0551292381382217e+02
4.5880000000000004e-02 4.6341062509068692e+01 2.0442568896437652e+02
4.6876666666666671e-02 4.6137856814107039e+01 2.0334493637673557e+02
4.7873333333333337e-02 4.5935725058156990e+01 2.0227062740263170e+02
4.8870000000000004e-02 4.5734660838228585e+01 2.0120272362426385e+02
4.9866666666666670e-02 4.5534657789507506e+01 2.0014118685282193e+02
5.0863333333333337e-02 4.5335709585127461e+01 1.9908597912720080e+02
5.1860000000000003e-02 4.5137809935943920e+01 1.9803706271268032e+02
5.2856666666666670e-02 4.4940952590309195e+01 1.9699440009947850e+02
5.3853333333333336e-02 4.4745131333848903e+01 1.9595795400144016e+02
5.4850000000000003e-02 4.4550339989239745e+01 1.9492768735473172e+02
5.5846666666666669e-02 4.4356572415988587e+01 1.9390356331649062e+02
5.6843333333333336e-02 4.4163822510212874e+01 1.9288554526354136e+02
5.7840000000000009e-02 4.3972084204422345e+01 1.9187359679103238e+02
5.8836666666666676e-02 4.3781351467302073e+01 1.9086768171117916e+02
5.9833333333333343e-02 4.3591618303496759e+01 1.8986776405199052e+02
6.0830000000000009e-02 4.3402878753396351e+01 1.8887380805584985e+02
6.1826666666666676e-02 4.3215126892922953e+01 1.8788577817839101e+02
6.2823333333333342e-02 4.3028356833318924e+01 1.8690363908722495e+02
6.3820000000000002e-02 4.2842562720936300e+01 1.8592735566052244e+02
6.4816666666666675e-02 4.2657738737027508e+01 1.8495689298588781e+02
6.5813333333333335e-02 4.2473879097537250e+01 1.8399221635912096e+02
6.6810000000000008e-02 4.2290978052895646e+01 1.8303329128288510e+02
6.7806666666666668e-02 4.2109029887812696e+01 1.8208008346551526e+02
6.8803333333333341e-02 4.1928028921073832e+01 1.8113255881983483e+02
6.9800000000000001e-02 4.1747969505336762e+01 1.8019068346191145e+02
7.0796666666666674e-02 4.1568846026929528e+01 1.7925442370979866e+02
7.1793333333333334e-02 4.1390652905649780e+01 1.7832374608233607e+02
7.2789999999999994e-02 4.1213384594565220e+01 1.7739861729805264e+02
7.3786666666666667e-02 4.1037035579815196e+01 1.7647900427389723e+02
7.4783333333333341e-02 4.0861600380413570e+01 1.7556487412401805e+02
7.5780000000000000e-02 4.0687073548052702e+01 1.7465619415866496e+02
7.6776666666666674e-02 4.0513449666908599e+01 1.7375293188300677e+02
7.7773333333333333e-02 4.0340723353447281e+01 1.7285505499589829e+02
7.8770000000000007e-02 4.0168889256232227e+01 1.7196253138882085e+02
7.9766666666666666e-02 3.9997942055733013e+01 1.7107532914471449e+02
8.0763333333333340e-02 3.9827876464135088e+01 1.7019341653673570e+02
8.1759999999999999e-02 3.9658687225150700e+01 1.6931676202725879e+02
8.2756666666666673e-02 3.9490369113830880e+01 1.6844533426669918e+02
8.3753333333333332e-02 3.9322916936378626e+01 1.6757910209234822e+02
8.4750000000000006e-02 3.9156325529963169e+01 1.6671803452728952e+02
8.5746666666666665e-02 3.8990589762535365e+01 1.6586210077934405e+02
8.6743333333333339e-02 3.8825704532644110e+01 1.6501127023989287e+02
8.7739999999999999e-02 3.8661664769253981e+01 1.6416551248278060e+02
8.8736666666666672e-02 3.8498465431563851e+01 1.6332479726330217e+02
8.9733333333333332e-02 3.8336101508826637e+01 1.6248909451705526e+02
9.0730000000000005e-02 3.8174568020170121e+01 1.6165837435889966e+02
9.1726666666666665e-02 3.8013860014418810e+01 1.6083260708185881e+02
9.2723333333333338e-02 3.7853972569916905e+01 1.6001176315607628e+02
9.3719999999999998e-02 3.7694900794352293e+01 1.5919581322776324e+02
9.4716666666666671e-02 3.7536639824581584e+01 1.5838472811814060e+02
