# x energy force
1.0000000000000000e-02 4.1363979487632413e+01 2.5396339256568473e+02
1.0996666666666667e-02 4.1111612978023793e+01 2.5245769694993623e+02
1.1993333333333333e-02 4.0860743789427133e+01 2.5095873501660290e+02
1.2990000000000002e-02 4.0611364112597123e+01 2.4946871012723170e+02
1.3986666666666668e-02 4.0363465066833150e+01 2.4798756899779607e+02
1.4983333333333335e-02 4.0117037824382727e+01 2.4651525866191085e+02
1.5980000000000001e-02 3.9872073610125817e+01 2.4505172646901235e+02
1.6976666666666668e-02 3.9628563701260987e+01 2.4359692008249235e+02
1.7973333333333334e-02 3.9386499426993495e+01 2.4215078747768791e+02
1.8970000000000001e-02 3.9145872168225260e+01 2.4071327694017205e+02
1.9966666666666667e-02 3.8906673357246582e+01 2.3928433706386883e+02
2.0963333333333334e-02 3.8668894477429767e+01 2.3786391674913838e+02
2.1960000000000000e-02 3.8432527062924599e+01 2.3645196520103542e+02
2.2956666666666667e-02 3.8197562698355569e+01 2.3504843192744968e+02
2.3953333333333333e-02 3.7963993018520945e+01 2.3365326673735197e+02
2.4950000000000000e-02 3.7731809708093614e+01 2.3226641973889306e+02
2.5946666666666666e-02 3.7501004501323770e+01 2.3088784133772396e+02
2.6943333333333333e-02 3.7271569181743253e+01 2.2951748223522071e+02
2.7940000000000000e-02 3.7043495581871774e+01 2.2815529342660895e+02
2.8936666666666666e-02 3.6816775582924848e+01 2.2680122619933695e+02
2.9933333333333333e-02 3.6591401114523421e+01 2.2545523213127910e+02
3.0929999999999999e-02 3.6367364154405315e+01 2.2411726308900072e+02
3.1926666666666666e-02 3.6144656728138315e+01 2.2278727122604977e+02
3.2923333333333332e-02 3.5923270908835008e+01 2.2146520898125650e+02
3.3920000000000006e-02 3.5703198816869310e+01 2.2015102907699256e+02
3.4916666666666672e-02 3.5484432619594713e+01 2.1884468451752181e+02
3.5913333333333339e-02 3.5266964531064147e+01 2.1754612858729809e+02
3.6910000000000005e-02 3.5050786811751571e+01 2.1625531484931005e+02
3.7906666666666672e-02 3.4835891768275197e+01 2.1497219714341483e+02
3.8903333333333338e-02 3.4622271753122384e+01 2.1369672958464400e+02
3.9900000000000005e-02 3.4409919164376149e+01 2.1242886656165206e+02
4.0896666666666671e-02 3.4198826445443309e+01 2.1116856273500869e+02
4.1893333333333338e-02 3.3988986084784287e+01 2.0991577303560643e+02
4.2890000000000005e-02 3.3780390615644450e+01 2.0867045266306633e+02
4.3886666666666671e-02 3.3573032615787113e+01 2.0743255708409862e+02
4.4883333333333338e-02 3.3366904707228137e+01 2.0620204203090952e+02
4.5880000000000004e-02 3.3161999555972066e+01 2.0497886349966859e+02
4.6876666666666671e-02 3.2958309871749861e+01 2.0376297774890733e+02
4.7873333333333337e-02 3.2755828407758187e+01 2.0255434129792698e+02
4.8870000000000004e-02 3.2554547960400299e+01 2.0135291092526498e+02
4.9866666666666670e-02 3.2354461369028407e+01 2.0015864366715564e+02
5.0863333333333337e-02 3.2155561515687616e+01 1.9897149681603079e+02
5.1860000000000003e-02 3.1957841324861381e+01 1.9779142791889228e+02
5.2856666666666670e-02 3.1761293763218493e+01 1.9661839477586255e+02
5.3853333333333336e-02 3.1565911839361554e+01 1.9545235543873224e+02
5.4850000000000003e-02 3.1371688603576949e+01 1.9429326820930689e+02
5.5846666666666669e-02 3.1178617147586355e+01 1.9314109163803704e+02
5.6843333333333336e-02 3.0986690604299675e+01 1.9199578452252800e+02
5.7840000000000009e-02 3.0795902147569457e+01 1.9085730590600019e+02
5.8836666666666676e-02 3.0606244991946816e+01 1.8972561507588813e+02
5.9833333333333343e-02 3.0417712392438762e+01 1.8860067156234655e+02
6.0830000000000009e-02 3.0230297644267001e+01 1.8748243513684099e+02
6.1826666666666676e-02 3.0043994082628167e+01 1.8637086581065265e+02
6.2823333333333342e-02 2.9858795082455494e+01 1.8526592383350484e+02
6.3820000000000002e-02 2.9674694058181885e+01 1.8416756969213787e+02
6.4816666666666675e-02 2.9491684463504409e+01 1.8307576410881055e+02
6.5813333333333335e-02 2.9309759791150245e+01 1.8199046804001759e+02
6.6810000000000008e-02 2.9128913572643910e+01 1.8091164267503390e+02
6.7806666666666668e-02 2.8949139378075991e+01 1.7983924943450381e+02
6.8803333333333341e-02 2.8770430815873191e+01 1.7877324996910858e+02
6.9800000000000001e-02 2.8592781532569767e+01 1.7771360615816971e+02
7.0796666666666674e-02 2.8416185212580316e+01 1.7666028010828506e+02
7.1793333333333334e-02 2.8240635577973958e+01 1.7561323415197236e+02
7.2789999999999994e-02 2.8066126388249796e+01 1.7457243084634774e+02
7.3786666666666667e-02 2.7892651440113774e+01 1.7353783297175499e+02
7.4783333333333341e-02 2.7720204567256840e+01 1.7250940353045374e+02
7.5780000000000000e-02 2.7548779640134430e+01 1.7148710574528496e+02
7.6776666666666674e-02 2.7378370565747279e+01 1.7047090305835982e+02
7.7773333333333333e-02 2.7208971287423537e+01 1.6946075912975064e+02
7.8770000000000007e-02 2.7040575784602172e+01 1.6845663783620000e+02
7.9766666666666666e-02 2.6873178072617666e+01 1.6745850326983569e+02
8.0763333333333340e-02 2.6706772202486000e+01 1.6646631973684811e+02
8.1759999999999999e-02 2.6541352260691941e+01 1.6548005175625195e+02
8.2756666666666673e-02 2.6376912368977536e+01 1.6449966405860604e+02
8.3753333333333332e-02 2.6213446684131931e+01 1.6352512158474664e+02
8.4750000000000006e-02 2.6050949397782396e+01 1.6255638948454833e+02
8.5746666666666665e-02 2.5889414736186627e+01 1.6159343311566062e+02
8.6743333333333339e-02 2.5728836960026261e+01 1.6063621804226187e+02
8.7739999999999999e-02 2.5569210364201655e+01 1.5968471003387305e+02
8.8736666666666672e-02 2.5410529277627841e+01 1.5873887506408204e+02
8.9733333333333332e-02 2.5252788063031755e+01 1.5779867930933494e+02
9.0730000000000005e-02 2.5095981116750625e+01 1.5686408914778022e+02
9.1726666666666665e-02 2.4940102868531586e+01 1.5593507115798369e+02
9.2723333333333338e-02 2.4785147781332487e+01 1.5501159211779762e+02
9.3719999999999998e-02 2.4631110351123883e+01 1.5409361900314570e+02
9.4716666666666671e-02 2.4477985106692213e+01 1.5318111898683017e+02
9.5713333333333331e-02 2.4325766609444134e+01 1.5227405943740814e+02
9.6710000000000004e-02 2.4174449453212041e+01 1.5137240791796032e+02
9.7706666666666664e-02 2.4024028264060750e+01 1.5047613218497185e+02
9.8703333333333337e-02 2.3874497700095297e+01 1.4958520018716823e+02
9.9699999999999997e-02 2.3725852451269947e+01 1.4869958006436963e+02
1.0069666666666667e-01 2.3578087239198272e+01 1.4781924014635155e+02
1.0169333333333333e-01 2.3431196816964402e+01 1.4694414895172079e+02
1.0269000000000000e-01 2.3285175968935388e+01 1.4607427518677059e+02
1.0368666666666666e-01 2.3140019510574710e+01 1.4520958774436025e+02
1.0468333333333334e-01 2.2995722288256857e+01 1.4435005570283687e+02
1.0568000000000001e-01 2.2852279179083030e+01 1.4349564832490589e+02
1.0667666666666667e-01 2.2709685090697953e+01 1.4264633505652591e+02
1.0767333333333334e-01 2.2567934961107749e+01 1.4180208552581962e+02
1.0867000000000000e-01 2.2427023758498958e+01 1.4096286954199394e+02
1.0966666666666668e-01 2.2286946481058557e+01 1.4012865709425910e+02
1.1066333333333334e-01 2.2147698156795123e+01 1.3929941835076104e+02
1.1166000000000001e-01 2.2009273843361001e+01 1.3847512365750677e+02
1.1265666666666667e-01 2.1871668627875593e+01 1.3765574353729309e+02
1.1365333333333334e-01 2.1734877626749654e+01 1.3684124868866786e+02
1.1465000000000000e-01 2.1598895985510666e+01 1.3603160998488693e+02
1.1564666666666668e-01 2.1463718878629219e+01 1.3522679847286639e+02
1.1664333333333333e-01 2.1329341509346463e+01 1.3442678537213268e+02
1.1764000000000001e-01 2.1195759109502568e+01 1.3363154207380879e+02
1.1863666666666667e-01 2.1062966939366220e+01 1.3284104013959976e+02
1.1963333333333334e-01 2.0930960287465112e+01 1.3205525130075188e+02
1.2063000000000000e-01 2.0799734470417473e+01 1.3127414745705312e+02
1.2162666666666667e-01 2.0669284832764582e+01 1.3049770067584015e+02
1.2262333333333333e-01 2.0539606746804278e+01 1.2972588319098955e+02
1.2362000000000001e-01 2.0410695612425485e+01 1.2895866740190553e+02
1.2461666666666667e-01 2.0282546856943707e+01 1.2819602587256580e+02
1.2561333333333335e-01 2.0155155934937497e+01 1.2743793133052370e+02
1.2661000000000000e-01 2.0028518328085934e+01 1.2668435666593327e+02
1.2760666666666667e-01 1.9902629545006999e+01 1.2593527493058778e+02
1.2860333333333335e-01 1.9777485121097012e+01 1.2519065933694449e+02
1.2960000000000002e-01 1.9653080618370950e+01 1.2445048325716095e+02
1.3059666666666667e-01 1.9529411625303752e+01 1.2371472022217156e+02
1.3159333333333334e-01 1.9406473756672540e+01 1.2298334392072951e+02
1.3259000000000001e-01 1.9284262653399821e+01 1.2225632819843770e+02
1.3358666666666669e-01 1.9162773982397606e+01 1.2153364705683998e+02
1.3458333333333333e-01 1.9042003436412454e+01 1.2081527465250331e+02
1.3558000000000001e-01 1.8921946733871419e+01 1.2010118529606353e+02
1.3657666666666668e-01 1.8802599618728976e+01 1.1939135345131176e+02
1.3757333333333335e-01 1.8683957860314802e+01 1.1868575373432088e+02
1.3857000000000003e-01 1.8566017253182476e+01 1.1798436091248470e+02
1.3956666666666670e-01 1.8448773616959116e+01 1.1728714990362343e+02
1.4056333333333335e-01 1.8332222796195872e+01 1.1659409577513038e+02
1.4156000000000002e-01 1.8216360660219319e+01 1.1590517374303712e+02
1.4255666666666669e-01 1.8101183102983750e+01 1.1522035917114954e+02
1.4355333333333337e-01 1.7986686042924337e+01 1.1453962757014766e+02
