# x energy force
0.0000000000000000e+00 4.2251872789447177e+01 -5.0473750438011365e+02
1.5707963267948967e-03 4.1465201474321944e+01 -4.9688352274614147e+02
3.1415926535897933e-03 4.0690867164698076e+01 -4.8902954111216815e+02
4.7123889803846897e-03 3.9928869860575574e+01 -4.8117555947819136e+02
6.2831853071795866e-03 3.9179209561954437e+01 -4.7332157784421690e+02
7.8539816339744835e-03 3.8441886268834658e+01 -4.6546759621024353e+02
9.4247779607693795e-03 3.7716899981216237e+01 -4.5761361457626907e+02
1.0995574287564277e-02 3.7004250699099174e+01 -4.4975963294229462e+02
1.2566370614359173e-02 3.6303938422483483e+01 -4.4190565130831897e+02
1.4137166941154069e-02 3.5615963151369151e+01 -4.3405166967434451e+02
1.5707963267948967e-02 3.4940324885756183e+01 -4.2619768804037113e+02
1.7278759594743863e-02 3.4277023625644560e+01 -4.1834370640639776e+02
1.8849555921538759e-02 3.3626059371034316e+01 -4.1048972477242103e+02
2.0420352248333655e-02 3.2987432121925423e+01 -4.0263574313844651e+02
2.1991148575128554e-02 3.2361141878317902e+01 -3.9478176150447314e+02
2.3561944901923450e-02 3.1747188640211736e+01 -3.8692777987049755e+02
2.5132741228718346e-02 3.1145572407606934e+01 -3.7907379823652423e+02
2.6703537555513242e-02 3.0556293180503495e+01 -3.7121981660254971e+02
2.8274333882308138e-02 2.9979350958901414e+01 -3.6336583496857412e+02
2.9845130209103038e-02 2.9414745742800697e+01 -3.5551185333460074e+02
3.1415926535897934e-02 2.8862477532201343e+01 -3.4765787170062742e+02
3.2986722862692830e-02 2.8322546327103350e+01 -3.3980389006665064e+02
3.4557519189487726e-02 2.7794952127506718e+01 -3.3194990843267618e+02
3.6128315516282622e-02 2.7279694933411449e+01 -3.2409592679870286e+02
3.7699111843077518e-02 2.6776774744817544e+01 -3.1624194516472721e+02
3.9269908169872414e-02 2.6286191561724998e+01 -3.0838796353075389e+02
4.0840704496667310e-02 2.5807945384133813e+01 -3.0053398189677932e+02
4.2411500823462213e-02 2.5342036212043990e+01 -2.9268000026280373e+02
4.3982297150257109e-02 2.4888464045455528e+01 -2.8482601862883041e+02
4.5553093477052005e-02 2.4447228884368428e+01 -2.7697203699485590e+02
4.7123889803846901e-02 2.4018330728782690e+01 -2.6911805536088031e+02
4.8694686130641797e-02 2.3601769578698317e+01 -2.6126407372690699e+02
5.0265482457436693e-02 2.3197545434115298e+01 -2.5341009209293244e+02
5.1836278784231589e-02 2.2805658295033645e+01 -2.4555611045895688e+02
5.3407075111026485e-02 2.2426108161453357e+01 -2.3770212882498350e+02
5.4977871437821381e-02 2.2058895033374423e+01 -2.2984814719100902e+02
5.6548667764616277e-02 2.1704018910796854e+01 -2.2199416555703343e+02
5.8119464091411173e-02 2.1361479793720651e+01 -2.1414018392306005e+02
5.9690260418206076e-02 2.1031277682145802e+01 -2.0628620228908554e+02
6.1261056745000972e-02 2.0713412576072319e+01 -1.9843222065510994e+02
6.2831853071795868e-02 2.0407884475500200e+01 -1.9057823902113657e+02
6.4402649398590764e-02 2.0114693380429443e+01 -1.8272425738716100e+02
6.5973445725385660e-02 1.9833839290860045e+01 -1.7487027575318652e+02
6.7544242052180556e-02 1.9565322206792008e+01 -1.6701629411921428e+02
6.9115038378975452e-02 1.9309142128225329e+01 -1.5916231248523866e+02
7.0685834705770348e-02 1.9065299055160018e+01 -1.5130833085126307e+02
7.2256631032565244e-02 1.8833792987596066e+01 -1.4345434921728969e+02
7.3827427359360140e-02 1.8614623925533476e+01 -1.3560036758331523e+02
7.5398223686155036e-02 1.8407791868972250e+01 -1.2774638594933963e+02
7.6969020012949932e-02 1.8213296817912383e+01 -1.1989240431536628e+02
7.8539816339744828e-02 1.8031138772353881e+01 -1.1203842268139066e+02
8.0110612666539724e-02 1.7861317732296740e+01 -1.0418444104741619e+02
8.1681408993334620e-02 1.7703833697740958e+01 -9.6330459413443961e+01
8.3252205320129516e-02 1.7558686668686537e+01 -8.8476477779468325e+01
8.4823001646924426e-02 1.7425876645133481e+01 -8.0622496145492661e+01
8.6393797973719322e-02 1.7305403627081784e+01 -7.2768514511518191e+01
8.7964594300514218e-02 1.7197267614531452e+01 -6.4914532877544843e+01
8.9535390627309114e-02 1.7101468607482477e+01 -5.7060551243570359e+01
9.1106186954104010e-02 1.7018006605934865e+01 -4.9206569609595881e+01
