# x energy force
0.0000000000000000e+00 3.5550002191635983e+01 -5.0204435392650146e+02
1.5707963267948967e-03 3.4767561267350800e+01 -4.9419037229252808e+02
3.1415926535897933e-03 3.3997457348566975e+01 -4.8633639065855363e+02
4.7123889803846897e-03 3.3239690435284508e+01 -4.7848240902457854e+02
6.2831853071795866e-03 3.2494260527503414e+01 -4.7062842739060466e+02
7.8539816339744835e-03 3.1761167625223674e+01 -4.6277444575663014e+02
9.4247779607693795e-03 3.1040411728445292e+01 -4.5492046412265512e+02
1.0995574287564277e-02 3.0331992837168276e+01 -4.4706648248868123e+02
1.2566370614359173e-02 2.9635910951392624e+01 -4.3921250085470672e+02
1.4137166941154069e-02 2.8952166071118334e+01 -4.3135851922073169e+02
1.5707963267948967e-02 2.8280758196345403e+01 -4.2350453758675775e+02
1.7278759594743863e-02 2.7621687327073829e+01 -4.1565055595278324e+02
1.8849555921538759e-02 2.6974953463303628e+01 -4.0779657431880821e+02
2.0420352248333655e-02 2.6340556605034777e+01 -3.9994259268483427e+02
2.1991148575128554e-02 2.5718496752267292e+01 -3.9208861105085919e+02
2.3561944901923450e-02 2.5108773905001172e+01 -3.8423462941688479e+02
2.5132741228718346e-02 2.4511388063236410e+01 -3.7638064778291141e+02
2.6703537555513242e-02 2.3926339226973010e+01 -3.6852666614893633e+02
2.8274333882308138e-02 2.3353627396210975e+01 -3.6067268451496130e+02
2.9845130209103038e-02 2.2793252570950298e+01 -3.5281870288098679e+02
3.1415926535897934e-02 2.2245214751190986e+01 -3.4496472124701290e+02
3.2986722862692830e-02 2.1709513936933032e+01 -3.3711073961303839e+02
3.4557519189487726e-02 2.1186150128176443e+01 -3.2925675797906393e+02
3.6128315516282622e-02 2.0675123324921213e+01 -3.2140277634508891e+02
3.7699111843077518e-02 2.0176433527167347e+01 -3.1354879471111440e+02
3.9269908169872414e-02 1.9690080734914840e+01 -3.0569481307714108e+02
4.0840704496667310e-02 1.9216064948163698e+01 -2.9784083144316543e+02
4.2411500823462213e-02 1.8754386166913914e+01 -2.8998684980919091e+02
4.3982297150257109e-02 1.8305044391165495e+01 -2.8213286817521703e+02
4.5553093477052005e-02 1.7868039620918434e+01 -2.7427888654124251e+02
4.7123889803846901e-02 1.7443371856172739e+01 -2.6642490490726806e+02
4.8694686130641797e-02 1.7031041096928405e+01 -2.5857092327329303e+02
5.0265482457436693e-02 1.6631047343185429e+01 -2.5071694163931855e+02
5.1836278784231589e-02 1.6243390594943818e+01 -2.4286296000534466e+02
5.3407075111026485e-02 1.5868070852203569e+01 -2.3500897837137018e+02
5.4977871437821381e-02 1.5505088114964680e+01 -2.2715499673739512e+02
5.6548667764616277e-02 1.5154442383227154e+01 -2.1930101510342121e+02
5.8119464091411173e-02 1.4816133656990990e+01 -2.1144703346944672e+02
