# x energy force
0.0000000000000000e+00 3.2080486006004527e+01 -5.0155309584244799e+02
1.5707963267948967e-03 3.1298816748113286e+01 -4.9369911420847353e+02
3.1415926535897933e-03 3.0529484495723402e+01 -4.8584513257449908e+02
4.7123889803846897e-03 2.9772489248834876e+01 -4.7799115094052485e+02
6.2831853071795866e-03 2.9027831007447716e+01 -4.7013716930655011e+02
7.8539816339744835e-03 2.8295509771561925e+01 -4.6228318767257559e+02
9.4247779607693795e-03 2.7575525541177484e+01 -4.5442920603860142e+02
1.0995574287564277e-02 2.6867878316294405e+01 -4.4657522440462668e+02
1.2566370614359173e-02 2.6172568096912698e+01 -4.3872124277065245e+02
1.4137166941154069e-02 2.5489594883032346e+01 -4.3086726113667771e+02
1.5707963267948967e-02 2.4818958674653356e+01 -4.2301327950270320e+02
1.7278759594743863e-02 2.4160659471775720e+01 -4.1515929786872897e+02
1.8849555921538759e-02 2.3514697274399460e+01 -4.0730531623475423e+02
2.0420352248333655e-02 2.2881072082524550e+01 -3.9945133460078000e+02
2.1991148575128554e-02 2.2259783896151006e+01 -3.9159735296680549e+02
2.3561944901923450e-02 2.1650832715278824e+01 -3.8374337133283075e+02
2.5132741228718346e-02 2.1054218539908007e+01 -3.7588938969885629e+02
2.6703537555513242e-02 2.0469941370038548e+01 -3.6803540806488178e+02
2.8274333882308138e-02 1.9898001205670450e+01 -3.6018142643090732e+02
2.9845130209103038e-02 1.9338398046803718e+01 -3.5232744479693309e+02
3.1415926535897934e-02 1.8791131893438344e+01 -3.4447346316295864e+02
3.2986722862692830e-02 1.8256202745574335e+01 -3.3661948152898384e+02
3.4557519189487726e-02 1.7733610603211684e+01 -3.2876549989500938e+02
3.6128315516282622e-02 1.7223355466350398e+01 -3.2091151826103521e+02
3.7699111843077518e-02 1.6725437334990470e+01 -3.1305753662706041e+02
3.9269908169872414e-02 1.6239856209131908e+01 -3.0520355499308596e+02
4.0840704496667310e-02 1.5766612088774703e+01 -2.9734957335911173e+02
4.2411500823462213e-02 1.5305704973918861e+01 -2.8949559172513693e+02
4.3982297150257109e-02 1.4857134864564383e+01 -2.8164161009116276e+02
4.5553093477052005e-02 1.4420901760711264e+01 -2.7378762845718796e+02
4.7123889803846901e-02 1.3997005662359509e+01 -2.6593364682321351e+02
4.8694686130641797e-02 1.3585446569509115e+01 -2.5807966518923934e+02
5.0265482457436693e-02 1.3186224482160082e+01 -2.5022568355526454e+02
5.1836278784231589e-02 1.2799339400312412e+01 -2.4237170192129037e+02
5.3407075111026485e-02 1.2424791323966103e+01 -2.3451772028731560e+02
5.4977871437821381e-02 1.2062580253121155e+01 -2.2666373865334111e+02
5.6548667764616277e-02 1.1712706187777570e+01 -2.1880975701936691e+02
5.8119464091411173e-02 1.1375169127935346e+01 -2.1095577538539214e+02
5.9690260418206076e-02 1.1049969073594482e+01 -2.0310179375141763e+02
6.1261056745000972e-02 1.0737106024754981e+01 -1.9524781211744343e+02
6.2831853071795868e-02 1.0436579981416841e+01 -1.8739383048346895e+02
6.4402649398590764e-02 1.0148390943580065e+01 -1.7953984884949421e+02
6.5973445725385660e-02 9.8725389112446482e+00 -1.7168586721551972e+02
6.7544242052180556e-02 9.6090238844105951e+00 -1.6383188558154524e+02
6.9115038378975452e-02 9.3578458630779018e+00 -1.5597790394757104e+02
7.0685834705770348e-02 9.1190048472465719e+00 -1.4812392231359655e+02
7.2256631032565244e-02 8.8925008369166036e+00 -1.4026994067962178e+02
7.3827427359360140e-02 8.6783338320879970e+00 -1.3241595904564733e+02
7.5398223686155036e-02 8.4765038327607503e+00 -1.2456197741167313e+02
7.6969020012949932e-02 8.2870108389348669e+00 -1.1670799577769836e+02
7.8539816339744828e-02 8.1098548506103452e+00 -1.0885401414372387e+02
8.0110612666539724e-02 7.9450358677871851e+00 -1.0100003250974969e+02
8.1681408993334620e-02 7.7925538904653866e+00 -9.3146050875774918e+01
8.3252205320129516e-02 7.6524089186449498e+00 -8.5292069241800718e+01
8.4823001646924426e-02 7.5246009523258728e+00 -7.7438087607825892e+01
8.6393797973719322e-02 7.4091299915081601e+00 -6.9584105973851408e+01
8.7964594300514218e-02 7.3059960361918082e+00 -6.1730124339877207e+01
8.9535390627309114e-02 7.2151990863768178e+00 -5.3876142705902453e+01
9.1106186954104010e-02 7.1367391420631900e+00 -4.6022161071927975e+01
9.2676983280898906e-02 7.0706162032509230e+00 -3.8168179437953491e+01
9.4247779607693802e-02 7.0168302699400185e+00 -3.0314197803979294e+01
9.5818575934488698e-02 6.9753813421304747e+00 -2.2460216170004813e+01
9.7389372261283594e-02 6.9462694198222934e+00 -1.4606234536030051e+01
9.8960168588078490e-02 6.9294945030154729e+00 -6.7522529020555719e+00
1.0053096491487339e-01 6.9243517823579488e+00 -1.5530958424482753e+00
1.0210176124166828e-01 6.9219121851134711e+00 -1.5530958424482753e+00
1.0367255756846318e-01 6.9194725878689933e+00 -1.5530958424479926e+00
1.0524335389525807e-01 6.9170329906245156e+00 -1.5530958424479926e+00
1.0681415022205297e-01 6.9145933933800379e+00 -1.5530958424479926e+00
1.0838494654884787e-01 6.9121537961355601e+00 -1.5530958424479926e+00
1.0995574287564276e-01 6.9097141988910824e+00 -1.5530958424482753e+00
1.1152653920243766e-01 6.9072746016466038e+00 -1.5530958424482753e+00
1.1309733552923255e-01 6.9048350044021261e+00 -1.5530958424479926e+00
1.1466813185602745e-01 6.9023954071576483e+00 -1.5530958424482753e+00
1.1623892818282235e-01 6.8999558099131706e+00 -1.5530958424479859e+00
1.1780972450961726e-01 6.8975162126686929e+00 -1.5530958424479859e+00
1.1938052083641215e-01 6.8950766154242151e+00 -1.5530958424482753e+00
1.2095131716320705e-01 6.8926370181797374e+00 -1.5530958424479926e+00
1.2252211349000194e-01 6.8901974209352597e+00 -1.5530958424482753e+00
1.2409290981679684e-01 6.8877578236907819e+00 -1.5530958424479928e+00
1.2566370614359174e-01 6.8853182264463042e+00 -1.5530958424479997e+00
