# x energy force
1.0000000000000000e-02 5.2977926060550168e+01 2.4602533835245657e+02
1.0996666666666667e-02 5.2733360655301269e+01 2.4474136114365524e+02
1.1993333333333333e-02 5.2490072199782396e+01 2.4346289742263662e+02
1.2990000000000002e-02 5.2248054147944053e+01 2.4219205609912288e+02
1.3986666666666668e-02 5.2007298925443934e+01 2.4092879172720839e+02
1.4983333333333335e-02 5.1767799003099135e+01 2.3967305913191862e+02
1.5980000000000001e-02 5.1529546896616935e+01 2.3842481340761492e+02
1.6976666666666668e-02 5.1292535166327120e+01 2.3718400991643190e+02
1.7973333333333334e-02 5.1056756416915952e+01 2.3595060428658076e+02
1.8970000000000001e-02 5.0822203297161728e+01 2.3472455241085322e+02
1.9966666666666667e-02 5.0588868499671875e+01 2.3350581044504432e+02
2.0963333333333334e-02 5.0356744760621616e+01 2.3229433480630701e+02
2.1960000000000000e-02 5.0125824859494259e+01 2.3109008217167238e+02
2.2956666666666667e-02 4.9896101618822939e+01 2.2989300947645577e+02
2.3953333333333333e-02 4.9667567903933985e+01 2.2870307391274315e+02
2.4950000000000000e-02 4.9440216622691764e+01 2.2752023292783150e+02
2.5946666666666666e-02 4.9214040725245070e+01 2.2634444422273040e+02
2.6943333333333333e-02 4.8989033203774987e+01 2.2517566575067696e+02
2.7940000000000000e-02 4.8765187092244332e+01 2.2401385571551876e+02
2.8936666666666666e-02 4.8542495466148537e+01 2.2285897257035987e+02
2.9933333333333333e-02 4.8320951442267990e+01 2.2171097501602617e+02
3.0929999999999999e-02 4.8100548178421910e+01 2.2056982199952364e+02
3.1926666666666666e-02 4.7881278873223685e+01 2.1943547271263674e+02
3.2923333333333332e-02 4.7663136765837628e+01 2.1830788659048793e+02
3.3920000000000006e-02 4.7446115135737202e+01 2.1718702331003206e+02
3.4916666666666672e-02 4.7230207302464706e+01 2.1607284278861738e+02
3.5913333333333339e-02 4.7015406625392387e+01 2.1496530518259405e+02
3.6910000000000005e-02 4.6801706503484937e+01 2.1386437088587175e+02
3.7906666666666672e-02 4.6589100375063452e+01 2.1277000052848285e+02
3.8903333333333338e-02 4.6377581717570791e+01 2.1168215497519031e+02
3.9900000000000005e-02 4.6167144047338319e+01 2.1060079532409287e+02
4.0896666666666671e-02 4.5957780919354043e+01 2.0952588290522530e+02
4.1893333333333338e-02 4.5749485927032147e+01 2.0845737927918148e+02
4.2890000000000005e-02 4.5542252701983877e+01 2.0739524623573578e+02
4.3886666666666671e-02 4.5336074913789815e+01 2.0633944579248779e+02
4.4883333333333338e-02 4.5130946269773482e+01 2.0528994019347266e+02
4.5880000000000004e-02 4.4926860514776330e+01 2.0424669190783470e+02
4.6876666666666671e-02 4.4723811430934049e+01 2.0320966362851263e+02
4.7873333333333337e-02 4.4521792837454193e+01 2.0217881827085913e+02
4.8870000000000004e-02 4.4320798590395185e+01 2.0115411897130161e+02
4.9866666666666670e-02 4.4120822582446586e+01 2.0013552908608693e+02
5.0863333333333337e-02 4.3921858742710690e+01 1.9912301218995896e+02
5.1860000000000003e-02 4.3723901036485437e+01 1.9811653207476459e+02
5.2856666666666670e-02 4.3526943465048618e+01 1.9711605274828580e+02
5.3853333333333336e-02 4.3330980065443320e+01 1.9612153843291873e+02
5.4850000000000003e-02 4.3136004910264717e+01 1.9513295356427813e+02
5.5846666666666669e-02 4.2942012107448122e+01 1.9415026279009530e+02
5.6843333333333336e-02 4.2748995800058239e+01 1.9317343096886606e+02
5.7840000000000009e-02 4.2556950166079744e+01 1.9220242316858156e+02
5.8836666666666676e-02 4.2365869418209080e+01 1.9123720466552669e+02
5.9833333333333343e-02 4.2175747803647496e+01 1.9027774094299721e+02
6.0830000000000009e-02 4.1986579603895336e+01 1.8932399769010524e+02
6.1826666666666676e-02 4.1798359134547518e+01 1.8837594080049672e+02
6.2823333333333342e-02 4.1611080745090298e+01 1.8743353637118415e+02
6.3820000000000002e-02 4.1424738818699154e+01 1.8649675070134131e+02
6.4816666666666675e-02 4.1239327772037967e+01 1.8556555029100909e+02
6.5813333333333335e-02 4.1054842055059339e+01 1.8463990184001298e+02
6.6810000000000008e-02 4.0871276150806118e+01 1.8371977224671375e+02
6.7806666666666668e-02 4.0688624575214128e+01 1.8280512860678593e+02
6.8803333333333341e-02 4.0506881876916033e+01 1.8189593821213643e+02
6.9800000000000001e-02 4.0326042637046399e+01 1.8099216854967173e+02
7.0796666666666674e-02 4.0146101469047920e+01 1.8009378730012142e+02
7.1793333333333334e-02 3.9967053018478786e+01 1.7920076233693462e+02
7.2789999999999994e-02 3.9788891962821218e+01 1.7831306172507576e+02
7.3786666666666667e-02 3.9611613011291119e+01 1.7743065371993848e+02
7.4783333333333341e-02 3.9435210904648862e+01 1.7655350676619057e+02
7.5780000000000000e-02 3.9259680415011246e+01 1.7568158949659272e+02
7.6776666666666674e-02 3.9085016345664513e+01 1.7481487073096434e+02
7.7773333333333333e-02 3.8911213530878541e+01 1.7395331947499773e+02
7.8770000000000007e-02 3.8738266835722101e+01 1.7309690491919037e+02
7.9766666666666666e-02 3.8566171155879225e+01 1.7224559643775348e+02
8.0763333333333340e-02 3.8394921417466662e+01 1.7139936358745393e+02
8.1759999999999999e-02 3.8224512576852469e+01 1.7055817610658781e+02
8.2756666666666673e-02 3.8054939620475608e+01 1.6972200391386772e+02
8.3753333333333332e-02 3.7886197564666695e+01 1.6889081710736133e+02
8.4750000000000006e-02 3.7718281455469757e+01 1.6806458596342100e+02
8.5746666666666665e-02 3.7551186368465075e+01 1.6724328093560482e+02
8.6743333333333339e-02 3.7384907408593101e+01 1.6642687265363469e+02
8.7739999999999999e-02 3.7219439709979397e+01 1.6561533192235663e+02
8.8736666666666672e-02 3.7054778435760625e+01 1.6480862972065933e+02
8.9733333333333332e-02 3.6890918777911601e+01 1.6400673720045606e+02
9.0730000000000005e-02 3.6727855957073324e+01 1.6320962568571073e+02
9.1726666666666665e-02 3.6565585222382083e+01 1.6241726667129348e+02
9.2723333333333338e-02 3.6404101851299565e+01 1.6162963182205135e+02
9.3719999999999998e-02 3.6243401149443976e+01 1.6084669297178044e+02
9.4716666666666671e-02 3.6083478450422142e+01 1.6006842212219684e+02
9.5713333333333331e-02 3.5924329115662673e+01 1.5929479144195184e+02
9.6710000000000004e-02 3.5765948534250072e+01 1.5852577326561337e+02
9.7706666666666664e-02 3.5608332122759833e+01 1.5776134009273153e+02
9.8703333333333337e-02 3.5451475325094542e+01 1.5700146458678336e+02
9.9699999999999997e-02 3.5295373612320965e+01 1.5624611957423957e+02
1.0069666666666667e-01 3.5140022482508066e+01 1.5549527804361213e+02
1.0169333333333333e-01 3.4985417460566033e+01 1.5474891314442087e+02
1.0269000000000000e-01 3.4831554098086237e+01 1.5400699818627382e+02
1.0368666666666666e-01 3.4678427973182167e+01 1.5326950663794398e+02
1.0468333333333334e-01 3.4526034690331279e+01 1.5253641212637001e+02
1.0568000000000001e-01 3.4374369880217841e+01 1.5180768843571360e+02
1.0667666666666667e-01 3.4223429199576657e+01 1.5108330950646840e+02
1.0767333333333334e-01 3.4073208331037748e+01 1.5036324943448278e+02
1.0867000000000000e-01 3.3923702982971989e+01 1.4964748247005002e+02
1.0966666666666668e-01 3.3774908889337610e+01 1.4893598301699234e+02
1.1066333333333334e-01 3.3626821809527662e+01 1.4822872563173473e+02
