# x energy force
1.0000000000000000e-02 5.2677890790461952e+01 2.4920730340368732e+02
1.0996666666666667e-02 5.2430198312619154e+01 2.4783445815376578e+02
1.1993333333333333e-02 5.2183871116383216e+01 2.4646760787152968e+02
1.2990000000000002e-02 5.1938902153157684e+01 2.4510890696230649e+02
1.3986666666666668e-02 5.1695283324947084e+01 2.4375830683823551e+02
1.4983333333333335e-02 5.1453006582037425e+01 2.4241575920121497e+02
1.5980000000000001e-02 5.1212063922708360e+01 2.4108121604106023e+02
1.6976666666666668e-02 5.0972447392947046e+01 2.3975462963382165e+02
1.7973333333333334e-02 5.0734149086163711e+01 2.3843595254009037e+02
1.8970000000000001e-02 5.0497161142908915e+01 2.3712513760330961e+02
1.9966666666666667e-02 5.0261475750592467e+01 2.3582213794808436e+02
2.0963333333333334e-02 5.0027085143204069e+01 2.3452690697846731e+02
2.1960000000000000e-02 4.9793981601035576e+01 2.3323939837636200e+02
2.2956666666666667e-02 4.9562157450404932e+01 2.3195956609983963e+02
2.3953333333333333e-02 4.9331605063381787e+01 2.3068736438139283e+02
2.4950000000000000e-02 4.9102316857514715e+01 2.2942274772644674e+02
2.5946666666666666e-02 4.8874285295560028e+01 2.2816567091172450e+02
2.6943333333333333e-02 4.8647502885212248e+01 2.2691608898349446e+02
2.7940000000000000e-02 4.8421962178836203e+01 2.2567395725605925e+02
2.8936666666666666e-02 4.8197655773200694e+01 2.2443923131018670e+02
2.9933333333333333e-02 4.7974576309213724e+01 2.2321186699143090e+02
3.0929999999999999e-02 4.7752716471659362e+01 2.2199182040862152e+02
3.1926666666666666e-02 4.7532068988936139e+01 2.2077904793229456e+02
3.2923333333333332e-02 4.7312626632796984e+01 2.1957350619309520e+02
3.3920000000000006e-02 4.7094382218090772e+01 2.1837515208023706e+02
3.4916666666666672e-02 4.6877328602505379e+01 2.1718394273994824e+02
3.5913333333333339e-02 4.6661458686312258e+01 2.1599983557400603e+02
3.6910000000000005e-02 4.6446765412112541e+01 2.1482278823813616e+02
3.7906666666666672e-02 4.6233241764584683e+01 2.1365275864051384e+02
3.8903333333333338e-02 4.6020880770233568e+01 2.1248970494031974e+02
3.9900000000000005e-02 4.5809675497141150e+01 2.1133358554614335e+02
4.0896666666666671e-02 4.5599619054718566e+01 2.1018435911455791e+02
4.1893333333333338e-02 4.5390704593459724e+01 2.0904198454867557e+02
4.2890000000000005e-02 4.5182925304696326e+01 2.0790642099660468e+02
4.3886666666666671e-02 4.4976274420354429e+01 2.0677762785000604e+02
4.4883333333333338e-02 4.4770745212712427e+01 2.0565556474264557e+02
4.5880000000000004e-02 4.4566330994160417e+01 2.0454019154900797e+02
4.6876666666666671e-02 4.4363025116961069e+01 2.0343146838278824e+02
4.7873333333333337e-02 4.4160820973011909e+01 2.0232935559545589e+02
4.8870000000000004e-02 4.3959711993608991e+01 2.0123381377494670e+02
4.9866666666666670e-02 4.3759691649212002e+01 2.0014480374409683e+02
5.0863333333333337e-02 4.3560753449210793e+01 1.9906228655933651e+02
5.1860000000000003e-02 4.3362890941693230e+01 1.9798622350935150e+02
5.2856666666666670e-02 4.3166097713214477e+01 1.9691657611356911e+02
5.3853333333333336e-02 4.2970367388567652e+01 1.9585330612085693e+02
5.4850000000000003e-02 4.2775693630555864e+01 1.9479637550814337e+02
5.5846666666666669e-02 4.2582070139765584e+01 1.9374574647904166e+02
5.6843333333333336e-02 4.2389490654341365e+01 1.9270138146253765e+02
5.7840000000000009e-02 4.2197948949761916e+01 1.9166324311160884e+02
5.8836666666666676e-02 4.2007438838617510e+01 1.9063129430191029e+02
5.9833333333333343e-02 4.1817954170388717e+01 1.8960549813044747e+02
6.0830000000000009e-02 4.1629488831226475e+01 1.8858581791419002e+02
6.1826666666666676e-02 4.1442036743733453e+01 1.8757221718886825e+02
6.2823333333333342e-02 4.1255591866746691e+01 1.8656465970764040e+02
6.3820000000000002e-02 4.1070148195121590e+01 1.8556310943971732e+02
6.4816666666666675e-02 4.0885699759517166e+01 1.8456753056915036e+02
6.5813333333333335e-02 4.0702240626182579e+01 1.8357788749356266e+02
6.6810000000000008e-02 4.0519764896744924e+01 1.8259414482279746e+02
6.7806666666666668e-02 4.0338266707998336e+01 1.8161626737771019e+02
6.8803333333333341e-02 4.0157740231694291e+01 1.8064422018893012e+02
6.9800000000000001e-02 3.9978179674333191e+01 1.7967796849556061e+02
7.0796666666666674e-02 3.9799579276957161e+01 1.7871747774395902e+02
7.1793333333333334e-02 3.9621933314944172e+01 1.7776271358645891e+02
7.2789999999999994e-02 3.9445236097803274e+01 1.7681364188022326e+02
7.3786666666666667e-02 3.9269481968971107e+01 1.7587022868599300e+02
7.4783333333333341e-02 3.9094665305609617e+01 1.7493244026682672e+02
7.5780000000000000e-02 3.8920780518405003e+01 1.7400024308691803e+02
7.6776666666666674e-02 3.8747822051367812e+01 1.7307360381044512e+02
7.7773333333333333e-02 3.8575784381634286e+01 1.7215248930031544e+02
7.8770000000000007e-02 3.8404662019268827e+01 1.7123686661699648e+02
7.9766666666666666e-02 3.8234449507067694e+01 1.7032670301738736e+02
8.0763333333333340e-02 3.8065141420363837e+01 1.6942196595355782e+02
8.1759999999999999e-02 3.7896732366832943e+01 1.6852262307165074e+02
8.2756666666666673e-02 3.7729216986300557e+01 1.6762864221072635e+02
8.3753333333333332e-02 3.7562589950550432e+01 1.6673999140156846e+02
8.4750000000000006e-02 3.7396845963133977e+01 1.6585663886556921e+02
8.5746666666666665e-02 3.7231979759180852e+01 1.6497855301361980e+02
8.6743333333333339e-02 3.7067986105210686e+01 1.6410570244491291e+02
8.7739999999999999e-02 3.6904859798945949e+01 1.6323805594586682e+02
8.8736666666666672e-02 3.6742595669125905e+01 1.6237558248900530e+02
8.9733333333333332e-02 3.6581188575321676e+01 1.6151825123185336e+02
9.0730000000000005e-02 3.6420633407752419e+01 1.6066603151581705e+02
9.1726666666666665e-02 3.6260925087102606e+01 1.5981889286507604e+02
9.2723333333333338e-02 3.6102058564340389e+01 1.5897680498553100e+02
9.3719999999999998e-02 3.5944028820537028e+01 1.5813973776368866e+02
9.4716666666666671e-02 3.5786830866687424e+01 1.5730766126560980e+02
9.5713333333333331e-02 3.5630459743531716e+01 1.5648054573581868e+02
9.6710000000000004e-02 3.5474910521377900e+01 1.5565836159625516e+02
9.7706666666666664e-02 3.5320178299925580e+01 1.5484107944519789e+02
9.8703333333333337e-02 3.5166258208090717e+01 1.5402867005620220e+02
9.9699999999999997e-02 3.5013145403831444e+01 1.5322110437712396e+02
1.0069666666666667e-01 3.4860835073974890e+01 1.5241835352900978e+02
1.0169333333333333e-01 3.4709322434045070e+01 1.5162038880507171e+02
1.0269000000000000e-01 3.4558602728091813e+01 1.5082718166969187e+02
1.0368666666666666e-01 3.4408671228520653e+01 1.5003870375738921e+02
1.0468333333333334e-01 3.4259523235923780e+01 1.4925492687179138e+02
1.0568000000000001e-01 3.4111154078911987e+01 1.4847582298464258e+02
1.0667666666666667e-01 3.3963559113947632e+01 1.4770136423480852e+02
1.0767333333333334e-01 3.3816733725178544e+01 1.4693152292723579e+02
1.0867000000000000e-01 3.3670673324273018e+01 1.4616627153201998e+02
1.0966666666666668e-01 3.3525373350255670e+01 1.4540558268338663e+02
1.1066333333333334e-01 3.3380829269344389e+01 1.4464942917871892e+02
1.1166000000000001e-01 3.3237036574788164e+01 1.4389778397759082e+02
1.1265666666666667e-01 3.3093990786705945e+01 1.4315062020078042e+02
1.1365333333333334e-01 3.2951687451926425e+01 1.4240791112935719e+02
1.1465000000000000e-01 3.2810122143828814e+01 1.4166963020364776e+02
1.1564666666666668e-01 3.2669290462184520e+01 1.4093575102235297e+02
1.1664333333333333e-01 3.2529188032999805e+01 1.4020624734162354e+02
1.1764000000000001e-01 3.2389810508359353e+01 1.3948109307400176e+02
1.1863666666666667e-01 3.2251153566270823e+01 1.3876026228760600e+02
1.1963333333333334e-01 3.2113212910510242e+01 1.3804372920519180e+02
1.2063000000000000e-01 3.1975984270468416e+01 1.3733146820316026e+02
1.2162666666666667e-01 3.1839463400998181e+01 1.3662345381069136e+02
1.2262333333333333e-01 3.1703646082262608e+01 1.3591966070885130e+02
1.2362000000000001e-01 3.1568528119584087e+01 1.3522006372964748e+02
1.2461666666666667e-01 3.1434105343294345e+01 1.3452463785512444e+02
1.2561333333333335e-01 3.1300373608585314e+01 1.3383335821650380e+02
1.2661000000000000e-01 3.1167328795360934e+01 1.3314620009329201e+02
1.2760666666666667e-01 3.1034966808089781e+01 1.3246313891236775e+02
1.2860333333333335e-01 3.0903283575658641e+01 1.3178415024711023e+02
1.2960000000000002e-01 3.0772275051226913e+01 1.3110920981655269e+02
1.3059666666666667e-01 3.0641937212081899e+01 1.3043829348448156e+02
1.3159333333333334e-01 3.0512266059494937e+01 1.2977137725858506e+02
1.3259000000000001e-01 3.0383257618578412e+01 1.2910843728962226e+02
1.3358666666666669e-01 3.0254907938143607e+01 1.2844944987052284e+02
1.3458333333333333e-01 3.0127213090559415e+01 1.2779439143555527e+02
1.3558000000000001e-01 3.0000169171611876e+01 1.2714323855950299e+02
1.3657666666666668e-01 2.9873772300364575e+01 1.2649596795681990e+02
1.3757333333333335e-01 2.9748018619019835e+01 1.2585255648078690e+02
1.3857000000000003e-01 2.9622904292780770e+01 1.2521298112268202e+02
1.3956666666666670e-01 2.9498425509714167e+01 1.2457721901096873e+02
1.4056333333333335e-01 2.9374578480614151e+01 1.2394524741047151e+02
1.4156000000000002e-01 2.9251359438866682e+01 1.2331704372156956e+02
1.4255666666666669e-01 2.9128764640314866e+01 1.2269258547939700e+02
1.4355333333333337e-01 2.9006790363125049e+01 1.2207185035301363e+02
1.4455000000000001e-01 2.8885432907653740e+01 1.2145481614460213e+02
1.4554666666666669e-01 2.8764688596315299e+01 1.2084146078872020e+02
1.4654333333333336e-01 2.8644553773450433e+01 1.2023176235147737e+02
1.4754000000000003e-01 2.8525024805195454e+01 1.1962569902974947e+02
1.4853666666666668e-01 2.8406098079352343e+01 1.1902324915040676e+02
1.4953333333333335e-01 2.8287770005259567e+01 1.1842439116954193e+02
1.5053000000000002e-01 2.8170037013663684e+01 1.1782910367169474e+02
