# x energy force
1.0000000000000000e-02 7.6145910219315965e+01 2.1158750992547868e+02
1.0996666666666667e-02 7.5935188942491635e+01 2.1126455059156885e+02
1.1993333333333333e-02 7.5724789006775850e+01 2.1094267826952344e+02
1.2990000000000002e-02 7.5514708914148812e+01 2.1062272499543107e+02
1.3986666666666668e-02 7.5304946757661128e+01 2.1030467932768414e+02
1.4983333333333335e-02 7.5095500641732897e+01 2.0998852989285751e+02
1.5980000000000001e-02 7.4886368682085930e+01 2.0967426538533874e+02
1.6976666666666668e-02 7.4677549005676369e+01 2.0936187456697067e+02
1.7973333333333334e-02 7.4469039750627658e+01 2.0905134626655266e+02
1.8970000000000001e-02 7.4260839066164053e+01 2.0874266937947004e+02
1.9966666666666667e-02 7.4052945112544379e+01 2.0843583286735895e+02
2.0963333333333334e-02 7.3845356060996252e+01 2.0813082575764986e+02
2.1960000000000000e-02 7.3638070093650654e+01 2.0782763714321138e+02
2.2956666666666667e-02 7.3431085403476970e+01 2.0752625618191530e+02
2.3953333333333333e-02 7.3224400194218333e+01 2.0722667209628733e+02
2.4950000000000000e-02 7.3018012680327416e+01 2.0692887417311482e+02
2.5946666666666666e-02 7.2811921086902572e+01 2.0663285176302637e+02
2.6943333333333333e-02 7.2606123649624365e+01 2.0633859428020645e+02
2.7940000000000000e-02 7.2400618614692448e+01 2.0604609120189636e+02
2.8936666666666666e-02 7.2195404238762904e+01 2.0575533206809530e+02
2.9933333333333333e-02 7.1990478788885838e+01 2.0546630648120311e+02
3.0929999999999999e-02 7.1785840542443452e+01 2.0517900410552892e+02
3.1926666666666666e-02 7.1581487787088435e+01 2.0489341466707012e+02
3.2923333333333332e-02 7.1377418820682720e+01 2.0460952795308364e+02
3.3920000000000006e-02 7.1173631951236629e+01 2.0432733381165400e+02
3.4916666666666672e-02 7.0970125496848340e+01 2.0404682215146917e+02
3.5913333333333339e-02 7.0766897785643764e+01 2.0376798294132061e+02
3.6910000000000005e-02 7.0563947155716775e+01 2.0349080620983713e+02
3.7906666666666672e-02 7.0361271955069725e+01 2.0321528204512438e+02
3.8903333333333338e-02 7.0158870541554407e+01 2.0294140059431029e+02
3.9900000000000005e-02 6.9956741282813354e+01 2.0266915206333050e+02
4.0896666666666671e-02 6.9754882556221418e+01 2.0239852671648677e+02
4.1893333333333338e-02 6.9553292748827758e+01 2.0212951487615453e+02
4.2890000000000005e-02 6.9351970257298163e+01 2.0186210692237643e+02
4.3886666666666671e-02 6.9150913487857721e+01 2.0159629329254895e+02
4.4883333333333338e-02 6.8950120856233852e+01 2.0133206448111551e+02
4.5880000000000004e-02 6.8749590787599587e+01 2.0106941103916031e+02
4.6876666666666671e-02 6.8549321716517312e+01 2.0080832357410893e+02
4.7873333333333337e-02 6.8349312086882748e+01 2.0054879274942161e+02
4.8870000000000004e-02 6.8149560351869340e+01 2.0029080928417275e+02
4.9866666666666670e-02 6.7950064973872927e+01 2.0003436395278723e+02
5.0863333333333337e-02 6.7750824424456724e+01 1.9977944758473367e+02
5.1860000000000003e-02 6.7551837184296730e+01 1.9952605106409669e+02
5.2856666666666670e-02 6.7353101743127326e+01 1.9927416532934890e+02
5.3853333333333336e-02 6.7154616599687330e+01 1.9902378137298024e+02
5.4850000000000003e-02 6.6956380261666283e+01 1.9877489024116272e+02
5.5846666666666669e-02 6.6758391245651069e+01 1.9852748303350091e+02
5.6843333333333336e-02 6.6560648077072898e+01 1.9828155090263937e+02
5.7840000000000009e-02 6.6363149290154539e+01 1.9803708505394434e+02
5.8836666666666676e-02 6.6165893427857938e+01 1.9779407674525109e+02
5.9833333333333343e-02 6.5968879041832110e+01 1.9755251728651413e+02
6.0830000000000009e-02 6.5772104692361324e+01 1.9731239803949029e+02
6.1826666666666676e-02 6.5575568948313631e+01 1.9707371041742914e+02
6.2823333333333342e-02 6.5379270387089690e+01 1.9683644588479663e+02
6.3820000000000002e-02 6.5183207594571883e+01 1.9660059595695029e+02
6.4816666666666675e-02 6.4987379165073762e+01 1.9636615219981172e+02
6.5813333333333335e-02 6.4791783701289773e+01 1.9613310622960253e+02
6.6810000000000008e-02 6.4596419814245280e+01 1.9590144971252016e+02
6.7806666666666668e-02 6.4401286123246919e+01 1.9567117436445182e+02
6.8803333333333341e-02 6.4206381255833207e+01 1.9544227195069666e+02
6.9800000000000001e-02 6.4011703847725443e+01 1.9521473428563766e+02
7.0796666666666674e-02 6.3817252542778931e+01 1.9498855323243504e+02
7.1793333333333334e-02 6.3623025992934551e+01 1.9476372070278552e+02
7.2789999999999994e-02 6.3429022858170455e+01 1.9454022865661224e+02
7.3786666666666667e-02 6.3235241806454191e+01 1.9431806910177409e+02
7.4783333333333341e-02 6.3041681513695067e+01 1.9409723409378799e+02
7.5780000000000000e-02 6.2848340663696803e+01 1.9387771573550157e+02
7.6776666666666674e-02 6.2655217948110469e+01 1.9365950617687670e+02
7.7773333333333333e-02 6.2462312066387682e+01 1.9344259761467316e+02
7.8770000000000007e-02 6.2269621725734105e+01 1.9322698229217511e+02
7.9766666666666666e-02 6.2077145641063211e+01 1.9301265249892049e+02
8.0763333333333340e-02 6.1884882534950343e+01 1.9279960057038343e+02
8.1759999999999999e-02 6.1692831137587028e+01 1.9258781888777511e+02
8.2756666666666673e-02 6.1500990186735557e+01 1.9237729987771530e+02
8.3753333333333332e-02 6.1309358427683861e+01 1.9216803601197614e+02
8.4750000000000006e-02 6.1117934613200624e+01 1.9196001980722517e+02
8.5746666666666665e-02 6.0926717503490707e+01 1.9175324382472618e+02
8.6743333333333339e-02 6.0735705866150781e+01 1.9154770067010026e+02
8.7739999999999999e-02 6.0544898476125304e+01 1.9134338299306549e+02
8.8736666666666672e-02 6.0354294115662654e+01 1.9114028348716619e+02
8.9733333333333332e-02 6.0163891574271624e+01 1.9093839488948765e+02
9.0730000000000005e-02 5.9973689648678111e+01 1.9073770998043170e+02
9.1726666666666665e-02 5.9783687142782114e+01 1.9053822158343857e+02
9.2723333333333338e-02 5.9593882867614930e+01 1.9033992256475511e+02
9.3719999999999998e-02 5.9404275641296650e+01 1.9014280583313200e+02
9.4716666666666671e-02 5.9214864288993901e+01 1.8994686433960268e+02
9.5713333333333331e-02 5.9025647642877829e+01 1.8975209107726226e+02
9.6710000000000004e-02 5.8836624542082326e+01 1.8955847908093961e+02
9.7706666666666664e-02 5.8647793832662529e+01 1.8936602142701577e+02
9.8703333333333337e-02 5.8459154367553552e+01 1.8917471123313479e+02
9.9699999999999997e-02 5.8270705006529482e+01 1.8898454165797963e+02
1.0069666666666667e-01 5.8082444616162569e+01 1.8879550590104026e+02
1.0169333333333333e-01 5.7894372069782719e+01 1.8860759720233548e+02
1.0269000000000000e-01 5.7706486247437198e+01 1.8842080884218515e+02
1.0368666666666666e-01 5.7518786035850596e+01 1.8823513414096735e+02
1.0468333333333334e-01 5.7331270328384996e+01 1.8805056645890363e+02
1.0568000000000001e-01 5.7143938025000402e+01 1.8786709919579437e+02
1.0667666666666667e-01 5.6956788032215414e+01 1.8768472579080259e+02
1.0767333333333334e-01 5.6769819263068108e+01 1.8750343972218192e+02
1.0867000000000000e-01 5.6583030637077194e+01 1.8732323450707392e+02
1.0966666666666668e-01 5.6396421080203353e+01 1.8714410370130273e+02
1.1066333333333334e-01 5.6209989524810830e+01 1.8696604089908271e+02
1.1166000000000001e-01 5.6023734909629255e+01 1.8678903973283684e+02
1.1265666666666667e-01 5.5837656179715708e+01 1.8661309387293960e+02
1.1365333333333334e-01 5.5651752286416986e+01 1.8643819702750363e+02
1.1465000000000000e-01 5.5466022187332101e+01 1.8626434294217282e+02
1.1564666666666668e-01 5.5280464846274981e+01 1.8609152539986536e+02
1.1664333333333333e-01 5.5095079233237463e+01 1.8591973822056755e+02
1.1764000000000001e-01 5.4909864324352426e+01 1.8574897526110863e+02
1.1863666666666667e-01 5.4724819101857193e+01 1.8557923041495454e+02
1.1963333333333334e-01 5.4539942554057106e+01 1.8541049761197948e+02
1.2063000000000000e-01 5.4355233675289384e+01 1.8524277081823089e+02
1.2162666666666667e-01 5.4170691465887153e+01 1.8507604403574740e+02
1.2262333333333333e-01 5.3986314932143678e+01 1.8491031130233432e+02
1.2362000000000001e-01 5.3802103086276837e+01 1.8474556669132153e+02
1.2461666666666667e-01 5.3618054946393819e+01 1.8458180431139428e+02
1.2561333333333335e-01 5.3434169536455968e+01 1.8441901830635740e+02
1.2661000000000000e-01 5.3250445886243938e+01 1.8425720285491363e+02
1.2760666666666667e-01 5.3066883031322938e+01 1.8409635217050780e+02
1.2860333333333335e-01 5.2883480013008267e+01 1.8393646050106454e+02
1.2960000000000002e-01 5.2700235878331050e+01 1.8377752212879304e+02
1.3059666666666667e-01 5.2517149680004152e+01 1.8361953137000287e+02
1.3159333333333334e-01 5.2334220476388275e+01 1.8346248257490083e+02
1.3259000000000001e-01 5.2151447331458300e+01 1.8330637012738353e+02
1.3358666666666669e-01 5.1968829314769827e+01 1.8315118844479611e+02
1.3458333333333333e-01 5.1786365501425912e+01 1.8299693197778916e+02
1.3558000000000001e-01 5.1604054972043947e+01 1.8284359521010478e+02
1.3657666666666668e-01 5.1421896812722821e+01 1.8269117265836954e+02
1.3757333333333335e-01 5.1239890115010226e+01 1.8253965887191433e+02
1.3857000000000003e-01 5.1058033975870174e+01 1.8238904843253485e+02
1.3956666666666670e-01 5.0876327497650706e+01 1.8223933595435301e+02
1.4056333333333335e-01 5.0694769788051786e+01 1.8209051608361378e+02
1.4156000000000002e-01 5.0513359960093389e+01 1.8194258349845583e+02
1.4255666666666669e-01 5.0332097132083788e+01 1.8179553290877246e+02
1.4355333333333337e-01 5.0150980427588017e+01 1.8164935905597667e+02
1.4455000000000001e-01 4.9970008975396560e+01 1.8150405671283764e+02
1.4554666666666669e-01 4.9789181909494154e+01 1.8135962068329417e+02
1.4654333333333336e-01 4.9608498369028844e+01 1.8121604580227000e+02
1.4754000000000003e-01 4.9427957498281188e+01 1.8107332693549210e+02
1.4853666666666668e-01 4.9247558446633668e+01 1.8093145897926647e+02
1.4953333333333335e-01 4.9067300368540259e+01 1.8079043686034163e+02
1.5053000000000002e-01 4.8887182423496213e+01 1.8065025553572735e+02
1.5152666666666670e-01 4.8707203776007979e+01 1.8051090999250246e+02
1.5252333333333334e-01 4.8527363595563330e+01 1.8037239524760460e+02
1.5352000000000002e-01 4.8347661056601666e+01 1.8023470634770487e+02
1.5451666666666669e-01 4.8168095338484505e+01 1.8009783836900812e+02
1.5551333333333336e-01 4.7988665625466112e+01 1.7996178641706129e+02
1.5651000000000001e-01 4.7809371106664358e+01 1.7982654562659647e+02
1.5750666666666668e-01 4.7630210976031691e+01 1.7969211116135537e+02
1.5850333333333336e-01 4.7451184432326336e+01 1.7955847821393294e+02
1.5950000000000003e-01 4.7272290679083625e+01 1.7942564200555313e+02
1.6049666666666668e-01 4.7093528924587531e+01 1.7929359778594775e+02
1.6149333333333335e-01 4.6914898381842335e+01 1.7916234083316684e+02
1.6249000000000002e-01 4.6736398268544519e+01 1.7903186645342203e+02
1.6348666666666670e-01 4.6558027807054742e+01 1.7890216998090875e+02
1.6448333333333334e-01 4.6379786224370072e+01 1.7877324677762820e+02
1.6548000000000002e-01 4.6201672752096314e+01 1.7864509223324751e+02
1.6647666666666669e-01 4.6023686626420570e+01 1.7851770176490368e+02
1.6747333333333336e-01 4.5845827088083880e+01 1.7839107081707616e+02
1.6847000000000001e-01 4.5668093382354108e+01 1.7826519486140123e+02
1.6946666666666668e-01 4.5490484758998917e+01 1.7814006939651091e+02
1.7046333333333336e-01 4.5313000472258963e+01 1.7801568994786936e+02
1.7146000000000003e-01 4.5135639780821244e+01 1.7789205206762085e+02
1.7245666666666670e-01 4.4958401947792545e+01 1.7776915133444220e+02
1.7345333333333335e-01 4.4781286240673133e+01 1.7764698335335200e+02
1.7445000000000002e-01 4.4604291931330515e+01 1.7752554375558037e+02
1.7544666666666670e-01 4.4427418295973446e+01 1.7740482819840514e+02
1.7644333333333337e-01 4.4250664615126013e+01 1.7728483236499932e+02
1.7744000000000001e-01 4.4074030173601933e+01 1.7716555196425983e+02
1.7843666666666669e-01 4.3897514260478950e+01 1.7704698273068212e+02
1.7943333333333336e-01 4.3721116169073433e+01 1.7692912042419627e+02
1.8043000000000003e-01 4.3544835196915095e+01 1.7681196082998923e+02
