# x energy force
0.0000000000000000e+00 4.5746102153481139e+01 -5.0881143057071137e+02
1.5707963267948967e-03 4.4953031530060088e+01 -5.0095744893673691e+02
3.1415926535897933e-03 4.4172297912140408e+01 -4.9310346730276245e+02
4.7123889803846897e-03 4.3403901299722079e+01 -4.8524948566878794e+02
6.2831853071795866e-03 4.2647841692805116e+01 -4.7739550403481348e+02
7.8539816339744835e-03 4.1904119091389518e+01 -4.6954152240084011e+02
9.4247779607693795e-03 4.1172733495475271e+01 -4.6168754076686452e+02
1.0995574287564277e-02 4.0453684905062389e+01 -4.5383355913289006e+02
1.2566370614359173e-02 3.9746973320150872e+01 -4.4597957749891668e+02
1.4137166941154069e-02 3.9052598740740720e+01 -4.3812559586494109e+02
1.5707963267948967e-02 3.8370561166831926e+01 -4.3027161423096771e+02
1.7278759594743863e-02 3.7700860598424484e+01 -4.2241763259699206e+02
1.8849555921538759e-02 3.7043497035518428e+01 -4.1456365096301761e+02
2.0420352248333655e-02 3.6398470478113708e+01 -4.0670966932904423e+02
2.1991148575128554e-02 3.5765780926210361e+01 -3.9885568769506858e+02
2.3561944901923450e-02 3.5145428379808379e+01 -3.9100170606109413e+02
2.5132741228718346e-02 3.4537412838907755e+01 -3.8314772442711967e+02
2.6703537555513242e-02 3.3941734303508490e+01 -3.7529374279314516e+02
2.8274333882308138e-02 3.3358392773610589e+01 -3.6743976115917070e+02
2.9845130209103038e-02 3.2787388249214054e+01 -3.5958577952519619e+02
3.1415926535897934e-02 3.2228720730318877e+01 -3.5173179789122173e+02
3.2986722862692830e-02 3.1682390216925061e+01 -3.4387781625724722e+02
3.4557519189487726e-02 3.1148396709032610e+01 -3.3602383462327276e+02
3.6128315516282622e-02 3.0626740206641514e+01 -3.2816985298929944e+02
3.7699111843077518e-02 3.0117420709751787e+01 -3.2031587135532493e+02
3.9269908169872414e-02 2.9620438218363418e+01 -3.1246188972134826e+02
4.0840704496667310e-02 2.9135792732476411e+01 -3.0460790808737482e+02
4.2411500823462213e-02 2.8663484252090765e+01 -2.9675392645340145e+02
4.3982297150257109e-02 2.8203512777206484e+01 -2.8889994481942699e+02
4.5553093477052005e-02 2.7755878307823561e+01 -2.8104596318545248e+02
4.7123889803846901e-02 2.7320580843942000e+01 -2.7319198155147689e+02
4.8694686130641797e-02 2.6897620385561801e+01 -2.6533799991750243e+02
5.0265482457436693e-02 2.6486996932682967e+01 -2.5748401828352792e+02
5.1836278784231589e-02 2.6088710485305491e+01 -2.4963003664955349e+02
5.3407075111026485e-02 2.5702761043429380e+01 -2.4177605501557900e+02
5.4977871437821381e-02 2.5329148607054627e+01 -2.3392207338160452e+02
5.6548667764616277e-02 2.4967873176181236e+01 -2.2606809174763004e+02
5.8119464091411173e-02 2.4618934750809210e+01 -2.1821411011365552e+02
5.9690260418206076e-02 2.4282333330938542e+01 -2.1036012847968101e+02
6.1261056745000972e-02 2.3958068916569236e+01 -2.0250614684570769e+02
6.2831853071795868e-02 2.3646141507701294e+01 -1.9465216521173321e+02
6.4402649398590764e-02 2.3346551104334715e+01 -1.8679818357775648e+02
6.5973445725385660e-02 2.3059297706469494e+01 -1.7894420194378313e+02
6.7544242052180556e-02 2.2784381314105637e+01 -1.7109022030980978e+02
6.9115038378975452e-02 2.2521801927243139e+01 -1.6323623867583530e+02
7.0685834705770348e-02 2.2271559545882006e+01 -1.5538225704185967e+02
7.2256631032565244e-02 2.2033654170022231e+01 -1.4752827540788519e+02
7.3827427359360140e-02 2.1808085799663822e+01 -1.3967429377391187e+02
7.5398223686155036e-02 2.1594854434806773e+01 -1.3182031213993625e+02
7.6969020012949932e-02 2.1393960075451083e+01 -1.2396633050596176e+02
7.8539816339744828e-02 2.1205402721596759e+01 -1.1611234887198728e+02
8.0110612666539724e-02 2.1029182373243795e+01 -1.0825836723801281e+02
8.1681408993334620e-02 2.0865299030392190e+01 -1.0040438560403832e+02
8.3252205320129516e-02 2.0713752693041950e+01 -9.2550403970063797e+01
8.4823001646924426e-02 2.0574543361193072e+01 -8.4696422336089256e+01
8.6393797973719322e-02 2.0447671034845552e+01 -7.6842440702115937e+01
8.7964594300514218e-02 2.0333135713999397e+01 -6.8988459068140330e+01
8.9535390627309114e-02 2.0230937398654603e+01 -6.1134477434165845e+01
9.1106186954104010e-02 2.0141076088811172e+01 -5.3280495800192497e+01
9.2676983280898906e-02 2.0063551784469102e+01 -4.5426514166216890e+01
9.4247779607693802e-02 1.9998364485628393e+01 -3.7572532532243542e+01
9.5818575934488698e-02 1.9945514192289046e+01 -2.9718550898267928e+01
9.7389372261283594e-02 1.9905000904451057e+01 -2.1864569264293451e+01
9.8960168588078490e-02 1.9876824622114434e+01 -1.4010587630320099e+01
1.0053096491487339e-01 1.9860280535927107e+01 -8.8114305707113907e+00
1.0210176124166828e-01 1.9846439573152825e+01 -8.8114305707113907e+00
1.0367255756846318e-01 1.9832598610378543e+01 -8.8114305707113907e+00
1.0524335389525807e-01 1.9818757647604262e+01 -8.8114305707113907e+00
1.0681415022205297e-01 1.9804916684829980e+01 -8.8114305707113907e+00
1.0838494654884787e-01 1.9791075722055698e+01 -8.8114305707113907e+00
1.0995574287564276e-01 1.9777234759281416e+01 -8.8114305707113907e+00
