# x energy force
1.0000000000000000e-02 8.1601203836262428e+01 2.2685842706932576e+02
1.0996666666666667e-02 8.1375474812445574e+01 2.2610951370026720e+02
1.1993333333333333e-02 8.1150490782796339e+01 2.2536345549552448e+02
1.2990000000000002e-02 8.0926248107851592e+01 2.2462184539694468e+02
1.3986666666666668e-02 8.0702742367548154e+01 2.2388465688420368e+02
1.4983333333333335e-02 8.0479969168175927e+01 2.2315186359519350e+02
1.5980000000000001e-02 8.0257924142220745e+01 2.2242343932491823e+02
1.6976666666666668e-02 8.0036602948208227e+01 2.2169935802461006e+02
1.7973333333333334e-02 7.9816001270548540e+01 2.2097959380085166e+02
1.8970000000000001e-02 7.9596114819382038e+01 2.2026412091454281e+02
1.9966666666666667e-02 7.9376939330425870e+01 2.1955291378009537e+02
2.0963333333333334e-02 7.9158470564821485e+01 2.1884594696447678e+02
2.1960000000000000e-02 7.8940704308983044e+01 2.1814319518624873e+02
2.2956666666666667e-02 7.8723636374446713e+01 2.1744463331473960e+02
2.3953333333333333e-02 7.8507262597720953e+01 2.1675023636906775e+02
2.4950000000000000e-02 7.8291578840137575e+01 2.1605997951730797e+02
2.5946666666666666e-02 7.8076580987703750e+01 2.1537383807564245e+02
2.6943333333333333e-02 7.7862264950954881e+01 2.1469178750736995e+02
2.7940000000000000e-02 7.7648626664808376e+01 2.1401380342205786e+02
2.8936666666666666e-02 7.7435662088418297e+01 2.1333986157474351e+02
2.9933333333333333e-02 7.7223367205030826e+01 2.1266993786498551e+02
3.0929999999999999e-02 7.7011738021840642e+01 2.1200400833605198e+02
3.1926666666666666e-02 7.6800770569848112e+01 2.1134204917404975e+02
3.2923333333333332e-02 7.6590460903717371e+01 2.1068403670704058e+02
3.3920000000000006e-02 7.6380805101635247e+01 2.1002994740425203e+02
3.4916666666666672e-02 7.6171799265171003e+01 2.0937975787516163e+02
3.5913333333333339e-02 7.5963439519136955e+01 2.0873344486875556e+02
3.6910000000000005e-02 7.5755722011449819e+01 2.0809098527264049e+02
3.7906666666666672e-02 7.5548642912993060e+01 2.0745235611217186e+02
3.8903333333333338e-02 7.5342198417479864e+01 2.0681753454974822e+02
3.9900000000000005e-02 7.5136384741317087e+01 2.0618649788391289e+02
4.0896666666666671e-02 7.4931198123469940e+01 2.0555922354849878e+02
4.1893333333333338e-02 7.4726634825327480e+01 2.0493568911194407e+02
4.2890000000000005e-02 7.4522691130568930e+01 2.0431587227646472e+02
4.3886666666666671e-02 7.4319363345030723e+01 2.0369975087712089e+02
4.4883333333333338e-02 7.4116647796574512e+01 2.0308730288117567e+02
4.5880000000000004e-02 7.3914540834955744e+01 2.0247850638726712e+02
4.6876666666666671e-02 7.3713038831693183e+01 2.0187333962457527e+02
4.7873333333333337e-02 7.3512138179939129e+01 2.0127178095212273e+02
4.8870000000000004e-02 7.3311835294350459e+01 2.0067380885792647e+02
4.9866666666666670e-02 7.3112126610960374e+01 2.0007940195828522e+02
5.0863333333333337e-02 7.2913008587051010e+01 1.9948853899697340e+02
5.1860000000000003e-02 7.2714477701026681e+01 1.9890119884449297e+02
5.2856666666666670e-02 7.2516530452287995e+01 1.9831736049735309e+02
5.3853333333333336e-02 7.2319163361106632e+01 1.9773700307727898e+02
5.4850000000000003e-02 7.2122372968500954e+01 1.9716010583044172e+02
5.5846666666666669e-02 7.1926155836112272e+01 1.9658664812677449e+02
5.6843333333333336e-02 7.1730508546081907e+01 1.9601660945922947e+02
5.7840000000000009e-02 7.1535427700928963e+01 1.9544996944300436e+02
5.8836666666666676e-02 7.1340909923428811e+01 1.9488670781483972e+02
5.9833333333333343e-02 7.1146951856492336e+01 1.9432680443227810e+02
6.0830000000000009e-02 7.0953550163045890e+01 1.9377023927296827e+02
