# x energy force
0.0000000000000000e+00 3.9731015985934064e+01 -5.0410337753121354e+02
1.5707963267948967e-03 3.8945340754933817e+01 -4.9624939589723908e+02
3.1415926535897933e-03 3.8172002529434934e+01 -4.8839541426326520e+02
4.7123889803846897e-03 3.7411001309437403e+01 -4.8054143262929068e+02
6.2831853071795866e-03 3.6662337094941236e+01 -4.7268745099531566e+02
7.8539816339744835e-03 3.5926009885946435e+01 -4.6483346936134114e+02
9.4247779607693795e-03 3.5202019682452992e+01 -4.5697948772736726e+02
1.0995574287564277e-02 3.4490366484460907e+01 -4.4912550609339280e+02
1.2566370614359173e-02 3.3791050291970194e+01 -4.4127152445941772e+02
1.4137166941154069e-02 3.3104071104980832e+01 -4.3341754282544326e+02
1.5707963267948967e-02 3.2429428923492843e+01 -4.2556356119146875e+02
1.7278759594743863e-02 3.1767123747506201e+01 -4.1770957955749481e+02
1.8849555921538759e-02 3.1117155577020934e+01 -4.0985559792352035e+02
2.0420352248333655e-02 3.0479524412037016e+01 -4.0200161628954584e+02
2.1991148575128554e-02 2.9854230252554469e+01 -3.9414763465557132e+02
2.3561944901923450e-02 2.9241273098573281e+01 -3.8629365302159687e+02
2.5132741228718346e-02 2.8640652950093454e+01 -3.7843967138762241e+02
2.6703537555513242e-02 2.8052369807114992e+01 -3.7058568975364733e+02
2.8274333882308138e-02 2.7476423669637889e+01 -3.6273170811967287e+02
2.9845130209103038e-02 2.6912814537662150e+01 -3.5487772648569836e+02
3.1415926535897934e-02 2.6361542411187774e+01 -3.4702374485172447e+02
3.2986722862692830e-02 2.5822607290214755e+01 -3.3916976321774996e+02
3.4557519189487726e-02 2.5296009174743105e+01 -3.3131578158377494e+02
3.6128315516282622e-02 2.4781748064772810e+01 -3.2346179994980048e+02
3.7699111843077518e-02 2.4279823960303879e+01 -3.1560781831582653e+02
3.9269908169872414e-02 2.3790236861336307e+01 -3.0775383668185208e+02
4.0840704496667310e-02 2.3312986767870100e+01 -2.9989985504787700e+02
4.2411500823462213e-02 2.2848073679905252e+01 -2.9204587341390248e+02
4.3982297150257109e-02 2.2395497597441768e+01 -2.8419189177992803e+02
4.5553093477052005e-02 2.1955258520479646e+01 -2.7633791014595408e+02
4.7123889803846901e-02 2.1527356449018882e+01 -2.6848392851197963e+02
4.8694686130641797e-02 2.1111791383059483e+01 -2.6062994687800460e+02
5.0265482457436693e-02 2.0708563322601446e+01 -2.5277596524403009e+02
5.1836278784231589e-02 2.0317672267644770e+01 -2.4492198361005563e+02
5.3407075111026485e-02 1.9939118218189456e+01 -2.3706800197608172e+02
5.4977871437821381e-02 1.9572901174235501e+01 -2.2921402034210723e+02
5.6548667764616277e-02 1.9219021135782910e+01 -2.2136003870813218e+02
5.8119464091411173e-02 1.8877478102831681e+01 -2.1350605707415824e+02
5.9690260418206076e-02 1.8548272075381810e+01 -2.0565207544018372e+02
6.1261056745000972e-02 1.8231403053433304e+01 -1.9779809380620870e+02
6.2831853071795868e-02 1.7926871036986160e+01 -1.8994411217223421e+02
6.4402649398590764e-02 1.7634676026040378e+01 -1.8209013053825976e+02
6.5973445725385660e-02 1.7354818020595957e+01 -1.7423614890428584e+02
6.7544242052180556e-02 1.7087297020652898e+01 -1.6638216727031136e+02
6.9115038378975452e-02 1.6832113026211200e+01 -1.5852818563633630e+02
7.0685834705770348e-02 1.6589266037270864e+01 -1.5067420400236182e+02
7.2256631032565244e-02 1.6358756053831890e+01 -1.4282022236838790e+02
7.3827427359360140e-02 1.6140583075894277e+01 -1.3496624073441345e+02
7.5398223686155036e-02 1.5934747103458026e+01 -1.2711225910043838e+02
7.6969020012949932e-02 1.5741248136523138e+01 -1.1925827746646389e+02
7.8539816339744828e-02 1.5560086175089610e+01 -1.1140429583248941e+02
8.0110612666539724e-02 1.5391261219157446e+01 -1.0355031419851551e+02
8.1681408993334620e-02 1.5234773268726642e+01 -9.5696332564541024e+01
8.3252205320129516e-02 1.5090622323797199e+01 -8.7842350930565956e+01
8.4823001646924426e-02 1.4958808384369117e+01 -7.9988369296591983e+01
8.6393797973719322e-02 1.4839331450442399e+01 -7.2134387662617513e+01
8.7964594300514218e-02 1.4732191522017041e+01 -6.4280406028642460e+01
8.9535390627309114e-02 1.4637388599093047e+01 -5.6426424394668551e+01
9.1106186954104010e-02 1.4554922681670412e+01 -4.8572442760694074e+01
9.2676983280898906e-02 1.4484793769749141e+01 -4.0718461126719028e+01
9.4247779607693802e-02 1.4427001863329229e+01 -3.2864479492744550e+01
9.5818575934488698e-02 1.4381546962410681e+01 -2.5010497858770066e+01
9.7389372261283594e-02 1.4348429066993495e+01 -1.7156516224796153e+01
9.8960168588078490e-02 1.4327648177077670e+01 -9.3025345908216739e+00
1.0053096491487339e-01 1.4318499483311140e+01 -4.1033775312135301e+00
1.0210176124166828e-01 1.4312053912957657e+01 -4.1033775312135301e+00
1.0367255756846318e-01 1.4305608342604174e+01 -4.1033775312140950e+00
1.0524335389525807e-01 1.4299162772250691e+01 -4.1033775312140950e+00
1.0681415022205297e-01 1.4292717201897208e+01 -4.1033775312135301e+00
1.0838494654884787e-01 1.4286271631543725e+01 -4.1033775312135301e+00
1.0995574287564276e-01 1.4279826061190242e+01 -4.1033775312140950e+00
1.1152653920243766e-01 1.4273380490836757e+01 -4.1033775312140950e+00
1.1309733552923255e-01 1.4266934920483274e+01 -4.1033775312135301e+00
1.1466813185602745e-01 1.4260489350129792e+01 -4.1033775312140950e+00
1.1623892818282235e-01 1.4254043779776309e+01 -4.1033775312135115e+00
1.1780972450961726e-01 1.4247598209422826e+01 -4.1033775312135115e+00
1.1938052083641215e-01 1.4241152639069343e+01 -4.1033775312140950e+00
1.2095131716320705e-01 1.4234707068715860e+01 -4.1033775312135301e+00
1.2252211349000194e-01 1.4228261498362377e+01 -4.1033775312140950e+00
1.2409290981679684e-01 1.4221815928008894e+01 -4.1033775312135301e+00
1.2566370614359174e-01 1.4215370357655411e+01 -4.1033775312135479e+00
1.2723450247038662e-01 1.4208924787301928e+01 -4.1033775312140950e+00
1.2880529879718153e-01 1.4202479216948445e+01 -4.1033775312135301e+00
1.3037609512397641e-01 1.4196033646594962e+01 -4.1033775312140950e+00
1.3194689145077132e-01 1.4189588076241479e+01 -4.1033775312135301e+00
1.3351768777756620e-01 1.4183142505887997e+01 -4.1033775312135301e+00
1.3508848410436111e-01 1.4176696935534512e+01 -4.1033775312146243e+00
1.3665928043115602e-01 1.4170251365181027e+01 -4.1033775312140950e+00
1.3823007675795090e-01 1.4163805794827544e+01 -4.1033775312135301e+00
1.3980087308474581e-01 1.4157360224474061e+01 -4.1033775312140950e+00
