# x energy force
1.0000000000000000e-02 8.1189510426208884e+01 2.2717751510490251e+02
1.0996666666666667e-02 8.0963467815114143e+01 2.2641969779424790e+02
1.1993333333333333e-02 8.0738179052251667e+01 2.2566477617727389e+02
1.2990000000000002e-02 8.0513640451626742e+01 2.2491435551152628e+02
1.3986666666666668e-02 8.0289847540664283e+01 2.2416840896163703e+02
1.4983333333333335e-02 8.0066795873455348e+01 2.2342690985228660e+02
1.5980000000000001e-02 7.9844481030598160e+01 2.2268983166714952e+02
1.6976666666666668e-02 7.9622898619040114e+01 2.2195714804800363e+02
1.7973333333333334e-02 7.9402044271920616e+01 2.2122883279378757e+02
1.8970000000000001e-02 7.9181913648415005e+01 2.2050485985962567e+02
1.9966666666666667e-02 7.8962502433579232e+01 2.1978520335596417e+02
2.0963333333333334e-02 7.8743806338195625e+01 2.1906983754759526e+02
2.1960000000000000e-02 7.8525821098619460e+01 2.1835873685275126e+02
2.2956666666666667e-02 7.8308542476626485e+01 2.1765187584218506e+02
2.3953333333333333e-02 7.8091966259261412e+01 2.1694922923823623e+02
2.4950000000000000e-02 7.7876088258687233e+01 2.1625077191396852e+02
2.5946666666666666e-02 7.7660904312035441e+01 2.1555647889230724e+02
2.6943333333333333e-02 7.7446410281257158e+01 2.1486632534504056e+02
2.7940000000000000e-02 7.7232602052975210e+01 2.1418028659197213e+02
2.8936666666666666e-02 7.7019475538336991e+01 2.1349833810011481e+02
2.9933333333333333e-02 7.6807026672868233e+01 2.1282045548268553e+02
3.0929999999999999e-02 7.6595251416327699e+01 2.1214661449832863e+02
3.1926666666666666e-02 7.6384145752562659e+01 2.1147679105025264e+02
3.2923333333333332e-02 7.6173705689365278e+01 2.1081096118528185e+02
3.3920000000000006e-02 7.5963927258329889e+01 2.1014910109308187e+02
3.4916666666666672e-02 7.5754806514711049e+01 2.0949118710525067e+02
3.5913333333333339e-02 7.5546339537282492e+01 2.0883719569453467e+02
3.6910000000000005e-02 7.5338522428196853e+01 2.0818710347396183e+02
3.7906666666666672e-02 7.5131351312846348e+01 2.0754088719594847e+02
3.8903333333333338e-02 7.4924822339724173e+01 2.0689852375155112e+02
3.9900000000000005e-02 7.4718931680286801e+01 2.0625999016961077e+02
4.0896666666666671e-02 7.4513675528817018e+01 2.0562526361589767e+02
4.1893333333333338e-02 7.4309050102287912e+01 2.0499432139234139e+02
4.2890000000000005e-02 7.4105051640227515e+01 2.0436714093622496e+02
4.3886666666666671e-02 7.3901676404584350e+01 2.0374369981930110e+02
4.4883333333333338e-02 7.3698920679593769e+01 2.0312397574707228e+02
4.5880000000000004e-02 7.3496780771645078e+01 2.0250794655798461e+02
4.6876666666666671e-02 7.3295253009149434e+01 2.0189559022258007e+02
4.7873333333333337e-02 7.3094333742408551e+01 2.0128688484274758e+02
4.8870000000000004e-02 7.2894019343484189e+01 2.0068180865096045e+02
4.9866666666666670e-02 7.2694306206068418e+01 2.0008034000945617e+02
5.0863333333333337e-02 7.2495190745354648e+01 1.9948245740948116e+02
5.1860000000000003e-02 7.2296669397909454e+01 1.9888813947052026e+02
5.2856666666666670e-02 7.2098738621545110e+01 1.9829736493954172e+02
5.3853333333333336e-02 7.1901394895192951e+01 1.9771011269021949e+02
