# x energy force
1.0000000000000000e-02 5.2709645707129731e+01 2.4918905433968555e+02
1.0996666666666667e-02 5.2461971163519308e+01 2.4781671879160194e+02
1.1993333333333333e-02 5.2215661394903783e+01 2.4645037542015859e+02
1.2990000000000002e-02 5.1970709355583686e+01 2.4509217839943915e+02
1.3986666666666668e-02 5.1727106950566764e+01 2.4374207915960542e+02
1.4983333333333335e-02 5.1484846133124364e+01 2.4240002942046749e+02
1.5980000000000001e-02 5.1243918904503658e+01 2.4106598118964939e+02
1.6976666666666668e-02 5.1004317313641636e+01 2.3973988676089584e+02
1.7973333333333334e-02 5.0766033456880777e+01 2.3842169871239642e+02
1.8970000000000001e-02 5.0529059477686403e+01 2.3711136990507467e+02
1.9966666666666667e-02 5.0293387566365716e+01 2.3580885348091309e+02
2.0963333333333334e-02 5.0059009959788526e+01 2.3451410286127023e+02
2.1960000000000000e-02 4.9825918941109627e+01 2.3322707174520932e+02
2.2956666666666667e-02 4.9594106839492838e+01 2.3194771410787601e+02
2.3953333333333333e-02 4.9363566029836704e+01 2.3067598419874435e+02
2.4950000000000000e-02 4.9134288932501846e+01 2.2941183654010712e+02
2.5946666666666666e-02 4.8906268013039842e+01 2.2815522592545494e+02
2.6943333333333333e-02 4.8679495781923819e+01 2.2690610741773506e+02
2.7940000000000000e-02 4.8453964794280651e+01 2.2566443634782146e+02
2.8936666666666666e-02 4.8229667649624702e+01 2.2443016831294696e+02
2.9933333333333333e-02 4.8006596991593177e+01 2.2320325917505534e+02
3.0929999999999999e-02 4.7784745507683084e+01 2.2198366505924497e+02
3.1926666666666666e-02 4.7564105928989697e+01 2.2077134235222775e+02
3.2923333333333332e-02 4.7344671029946632e+01 2.1956624770073944e+02
3.3920000000000006e-02 4.7126433628067453e+01 2.1836833800998781e+02
3.4916666666666672e-02 4.6909386583688836e+01 2.1717757044208093e+02
3.5913333333333339e-02 4.6693522799715261e+01 2.1599390241459088e+02
3.6910000000000005e-02 4.6478835221365173e+01 2.1481729159896310e+02
3.7906666666666672e-02 4.6265316835918732e+01 2.1364769591897826e+02
3.8903333333333338e-02 4.6052960672467023e+01 2.1248507354933383e+02
3.9900000000000005e-02 4.5841759801662775e+01 2.1132938291404292e+02
4.0896666666666671e-02 4.5631707335472584e+01 2.1018058268499934e+02
4.1893333333333338e-02 4.5422796426930574e+01 2.0903863178056454e+02
4.2890000000000005e-02 4.5215020269893529e+01 2.0790348936401048e+02
4.3886666666666671e-02 4.5008372098797508e+01 2.0677511484205098e+02
4.4883333333333338e-02 4.4802845188415951e+01 2.0565346786341252e+02
4.5880000000000004e-02 4.4598432853619144e+01 2.0453850831746544e+02
4.6876666666666671e-02 4.4395128449135143e+01 2.0343019633270475e+02
4.7873333333333337e-02 4.4192925369312157e+01 2.0232849227529314e+02
4.8870000000000004e-02 4.3991817047882321e+01 2.0123335674778110e+02
4.9866666666666670e-02 4.3791796957726881e+01 2.0014475058755170e+02
5.0863333333333337e-02 4.3592858610642793e+01 1.9906263486546808e+02
5.1860000000000003e-02 4.3394995557110697e+01 1.9798697088455987e+02
5.2856666666666670e-02 4.3198201386064248e+01 1.9691772017854470e+02
5.3853333333333336e-02 4.3002469724660891e+01 1.9585484451046995e+02
5.4850000000000003e-02 4.2807794238053951e+01 1.9479830587135118e+02
5.5846666666666669e-02 4.2614168629166109e+01 1.9374806647883898e+02
5.6843333333333336e-02 4.2421586638464191e+01 1.9270408877584924e+02
5.7840000000000009e-02 4.2230042043735345e+01 1.9166633542919740e+02
5.8836666666666676e-02 4.2039528659864523e+01 1.9063476932830827e+02
5.9833333333333343e-02 4.1850040338613276e+01 1.8960935358389315e+02
6.0830000000000009e-02 4.1661570968399921e+01 1.8859005152651318e+02
6.1826666666666676e-02 4.1474114474081013e+01 1.8757682670540507e+02
6.2823333333333342e-02 4.1287664816734029e+01 1.8656964288719723e+02
6.3820000000000002e-02 4.1102215993441440e+01 1.8556846405445356e+02
6.4816666666666675e-02 4.0917762037076059e+01 1.8457325440449625e+02
6.5813333333333335e-02 4.0734297016087652e+01 1.8358397834816589e+02
6.6810000000000008e-02 4.0551815034290783e+01 1.8260060050843029e+02
6.7806666666666668e-02 4.0370310230654027e+01 1.8162308571917694e+02
6.8803333333333341e-02 4.0189776779090337e+01 1.8065139902401745e+02
6.9800000000000001e-02 4.0010208888248684e+01 1.7968550567495154e+02
7.0796666666666674e-02 3.9831600801306983e+01 1.7872537113113702e+02
7.1793333333333334e-02 3.9653946795766238e+01 1.7777096105764718e+02
7.2789999999999994e-02 3.9477241183245894e+01 1.7682224132431350e+02
7.3786666666666667e-02 3.9301478309280384e+01 1.7587917800447397e+02
7.4783333333333341e-02 3.9126652553116941e+01 1.7494173737367021e+02
7.5780000000000000e-02 3.8952758327514637e+01 1.7400988590855084e+02
7.6776666666666674e-02 3.8779790078544515e+01 1.7308359028566966e+02
7.7773333333333333e-02 3.8607742285391026e+01 1.7216281738020015e+02
7.8770000000000007e-02 3.8436609460154585e+01 1.7124753426483252e+02
7.9766666666666666e-02 3.8266386147655318e+01 1.7033770820861756e+02
8.0763333333333340e-02 3.8097066925237975e+01 1.6943330667568387e+02
8.1759999999999999e-02 3.7928646402578046e+01 1.6853429732417629e+02
8.2756666666666673e-02 3.7761119221488961e+01 1.6764064800508905e+02
8.3753333333333332e-02 3.7594480055730500e+01 1.6675232676105838e+02
8.4750000000000006e-02 3.7428723610818317e+01 1.6586930182526774e+02
8.5746666666666665e-02 3.7263844623834608e+01 1.6499154162030376e+02
8.6743333333333339e-02 3.7099837863239905e+01 1.6411901475702251e+02
8.7739999999999999e-02 3.6936698128686004e+01 1.6325169003341614e+02
8.8736666666666672e-02 3.6774420250829984e+01 1.6238953643351510e+02
8.9733333333333332e-02 3.6612999091149355e+01 1.6153252312627922e+02
9.0730000000000005e-02 3.6452429541758292e+01 1.6068061946447867e+02
9.1726666666666665e-02 3.6292706525225000e+01 1.5983379498360327e+02
9.2723333333333338e-02 3.6133824994390110e+01 1.5899201940078936e+02
9.3719999999999998e-02 3.5975779932186221e+01 1.5815526261371130e+02
9.4716666666666671e-02 3.5818566351458458e+01 1.5732349469953004e+02
9.5713333333333331e-02 3.5662179294786142e+01 1.5649668591380919e+02
9.6710000000000004e-02 3.5506613834305519e+01 1.5567480668944967e+02
9.7706666666666664e-02 3.5351865071533524e+01 1.5485782763563049e+02
9.8703333333333337e-02 3.5197928137192619e+01 1.5404571953675779e+02
9.9699999999999997e-02 3.5044798191036655e+01 1.5323845335146279e+02
1.0069666666666667e-01 3.4892470421677778e+01 1.5243600021149305e+02
1.0169333333333333e-01 3.4740940046414401e+01 1.5163833142070800e+02
1.0269000000000000e-01 3.4590202311060132e+01 1.5084541845407293e+02
1.0368666666666666e-01 3.4440252489773798e+01 1.5005723295663648e+02
1.0468333333333334e-01 3.4291085884890407e+01 1.4927374674247403e+02
1.0568000000000001e-01 3.4142697826753206e+01 1.4849493179371697e+02
1.0667666666666667e-01 3.3995083673546652e+01 1.4772076025957534e+02
1.0767333333333334e-01 3.3848238811130422e+01 1.4695120445526885e+02
1.0867000000000000e-01 3.3702158652874438e+01 1.4618623686109115e+02
1.0966666666666668e-01 3.3556838639494813e+01 1.4542583012142703e+02
1.1066333333333334e-01 3.3412274238890838e+01 1.4466995704374352e+02
1.1166000000000001e-01 3.3268460945982881e+01 1.4391859059763843e+02
1.1265666666666667e-01 3.3125394282551312e+01 1.4317170391387052e+02
1.1365333333333334e-01 3.2983069797076332e+01 1.4242927028340441e+02
1.1465000000000000e-01 3.2841483064578817e+01 1.4169126315642643e+02
1.1564666666666668e-01 3.2700629686462051e+01 1.4095765614143275e+02
1.1664333333333333e-01 3.2560505290354435e+01 1.4022842300428397e+02
1.1764000000000001e-01 3.2421105529953138e+01 1.3950353766721818e+02
1.1863666666666667e-01 3.2282426084868668e+01 1.3878297420797779e+02
1.1963333333333334e-01 3.2144462660470360e+01 1.3806670685885726e+02
1.2063000000000000e-01 3.2007210987732826e+01 1.3735471000576251e+02
1.2162666666666667e-01 3.1870666823083265e+01 1.3664695818733409e+02
1.2262333333333333e-01 3.1734825948249725e+01 1.3594342609401986e+02
1.2362000000000001e-01 3.1599684170110237e+01 1.3524408856715593e+02
1.2461666666666667e-01 3.1465237320542897e+01 1.3454892059807412e+02
1.2561333333333335e-01 3.1331481256276792e+01 1.3385789732721588e+02
1.2661000000000000e-01 3.1198411858743842e+01 1.3317099404325390e+02
1.2760666666666667e-01 3.1066025033931499e+01 1.3248818618217970e+02
1.2860333333333335e-01 3.0934316712236370e+01 1.3180944932643723e+02
1.2960000000000002e-01 3.0803282848318673e+01 1.3113475920405654e+02
1.3059666666666667e-01 3.0672919420957580e+01 1.3046409168777302e+02
1.3159333333333334e-01 3.0543222432907402e+01 1.2979742279418451e+02
1.3259000000000001e-01 3.0414187910754659e+01 1.2913472868289193e+02
1.3358666666666669e-01 3.0285811904775972e+01 1.2847598565560986e+02
1.3458333333333333e-01 3.0158090488796848e+01 1.2782117015534885e+02
1.3558000000000001e-01 3.0031019760051251e+01 1.2717025876558279e+02
1.3657666666666668e-01 2.9904595839042049e+01 1.2652322820940068e+02
1.3757333333333335e-01 2.9778814869402279e+01 1.2588005534866699e+02
1.3857000000000003e-01 2.9653673017757235e+01 1.2524071718318781e+02
1.3956666666666670e-01 2.9529166473587406e+01 1.2460519084991580e+02
1.4056333333333335e-01 2.9405291449092182e+01 1.2397345362210905e+02
1.4156000000000002e-01 2.9282044179054417e+01 1.2334548290852180e+02
1.4255666666666669e-01 2.9159420920705781e+01 1.2272125625262025e+02
1.4355333333333337e-01 2.9037417953592904e+01 1.2210075133174487e+02
1.4455000000000001e-01 2.8916031579444358e+01 1.2148394595631584e+02
1.4554666666666669e-01 2.8795258122038373e+01 1.2087081806906804e+02
1.4654333333333336e-01 2.8675093927071401e+01 1.2026134574425078e+02
1.4754000000000003e-01 2.8555535362027413e+01 1.1965550718682773e+02
1.4853666666666668e-01 2.8436578816048019e+01 1.1905328073169665e+02
1.4953333333333335e-01 2.8318220699803319e+01 1.1845464484294739e+02
1.5053000000000002e-01 2.8200457445363575e+01 1.1785957811305781e+02
1.5152666666666670e-01 2.8083285506071601e+01 1.1726805926214267e+02
1.5252333333333334e-01 2.7966701356415932e+01 1.1668006713719733e+02
1.5352000000000002e-01 2.7850701491904747e+01 1.1609558071133326e+02
1.5451666666666669e-01 2.7735282428940561e+01 1.1551457908301632e+02
1.5551333333333336e-01 2.7620440704695653e+01 1.1493704147532836e+02
1.5651000000000001e-01 2.7506172876988217e+01 1.1436294723525032e+02
1.5750666666666668e-01 2.7392475524159263e+01 1.1379227583288466e+02
1.5850333333333336e-01 2.7279345244950278e+01 1.1322500686073164e+02
1.5950000000000003e-01 2.7166778658381585e+01 1.1266112003296836e+02
1.6049666666666668e-01 2.7054772403631436e+01 1.1210059518472866e+02
1.6149333333333335e-01 2.6943323139915819e+01 1.1154341227135730e+02
1.6249000000000002e-01 2.6832427546369015e+01 1.1098955136770958e+02
1.6348666666666670e-01 2.6722082321924823e+01 1.1043899266745889e+02
1.6448333333333334e-01 2.6612284185198508e+01 1.0989171648234436e+02
1.6548000000000002e-01 2.6503029874369464e+01 1.0934770324148967e+02
1.6647666666666669e-01 2.6394316147064579e+01 1.0880693349071802e+02
1.6747333333333336e-01 2.6286139780242276e+01 1.0826938789182977e+02
1.6847000000000001e-01 2.6178497570077258e+01 1.0773504722192357e+02
1.6946666666666668e-01 2.6071386331845929e+01 1.0720389237271955e+02
1.7046333333333336e-01 2.5964802899812511e+01 1.0667590434985364e+02
1.7146000000000003e-01 2.5858744127115855e+01 1.0615106427219636e+02
1.7245666666666670e-01 2.5753206885656883e+01 1.0562935337122234e+02
1.7345333333333335e-01 2.5648188065986734e+01 1.0511075299028957e+02
1.7445000000000002e-01 2.5543684577195556e+01 1.0459524458398096e+02
1.7544666666666670e-01 2.5439693346802002e+01 1.0408280971746544e+02
1.7644333333333337e-01 2.5336211320643333e+01 1.0357343006581723e+02
1.7744000000000001e-01 2.5233235462766210e+01 1.0306708741336142e+02
1.7843666666666669e-01 2.5130762755318123e+01 1.0256376365302950e+02
1.7943333333333336e-01 2.5028790198439474e+01 1.0206344078572997e+02
1.8043000000000003e-01 2.4927314810156286e+01 1.0156610091965995e+02
1.8142666666666668e-01 2.4826333626273595e+01 1.0107172626969246e+02
1.8242333333333335e-01 2.4725843700269419e+01 1.0058029915674715e+02
1.8342000000000003e-01 2.4625842103189409e+01 1.0009180200715264e+02
1.8441666666666670e-01 2.4526325923542093e+01 9.9606217352007718e+01
