# x energy force
0.0000000000000000e+00 4.4023037093697866e+01 -5.0782742245223670e+02
1.5707963267948967e-03 4.3231512146614854e+01 -4.9997344081826225e+02
3.1415926535897933e-03 4.2452324205033207e+01 -4.9211945918428893e+02
4.7123889803846897e-03 4.1685473268952904e+01 -4.8426547755031555e+02
6.2831853071795866e-03 4.0930959338373981e+01 -4.7641149591633882e+02
7.8539816339744835e-03 4.0188782413296416e+01 -4.6855751428236431e+02
9.4247779607693795e-03 3.9458942493720208e+01 -4.6070353264839099e+02
1.0995574287564277e-02 3.8741439579645359e+01 -4.5284955101441540e+02
1.2566370614359173e-02 3.8036273671071882e+01 -4.4499556938044202e+02
1.4137166941154069e-02 3.7343444767999770e+01 -4.3714158774646643e+02
1.5707963267948967e-02 3.6662952870429010e+01 -4.2928760611249191e+02
1.7278759594743863e-02 3.5994797978359607e+01 -4.2143362447851968e+02
1.8849555921538759e-02 3.5338980091791576e+01 -4.1357964284454408e+02
2.0420352248333655e-02 3.4695499210724897e+01 -4.0572566121056843e+02
2.1991148575128554e-02 3.4064355335159590e+01 -3.9787167957659506e+02
2.3561944901923450e-02 3.3445548465095641e+01 -3.9001769794261946e+02
2.5132741228718346e-02 3.2839078600533050e+01 -3.8216371630864501e+02
2.6703537555513242e-02 3.2244945741471824e+01 -3.7430973467467277e+02
2.8274333882308138e-02 3.1663149887911963e+01 -3.6645575304069604e+02
2.9845130209103038e-02 3.1093691039853461e+01 -3.5860177140672153e+02
3.1415926535897934e-02 3.0536569197296320e+01 -3.5074778977274821e+02
3.2986722862692830e-02 2.9991784360240541e+01 -3.4289380813877256e+02
3.4557519189487726e-02 2.9459336528686123e+01 -3.3503982650479924e+02
3.6128315516282622e-02 2.8939225702633067e+01 -3.2718584487082478e+02
3.7699111843077518e-02 2.8431451882081376e+01 -3.1933186323684913e+02
3.9269908169872414e-02 2.7936015067031043e+01 -3.1147788160287581e+02
4.0840704496667310e-02 2.7452915257482072e+01 -3.0362389996890130e+02
4.2411500823462213e-02 2.6982152453434463e+01 -2.9576991833492565e+02
4.3982297150257109e-02 2.6523726654888215e+01 -2.8791593670095233e+02
4.5553093477052005e-02 2.6077637861843332e+01 -2.8006195506697668e+02
4.7123889803846901e-02 2.5643886074299807e+01 -2.7220797343300222e+02
4.8694686130641797e-02 2.5222471292257644e+01 -2.6435399179903004e+02
5.0265482457436693e-02 2.4813393515716843e+01 -2.5650001016505439e+02
5.1836278784231589e-02 2.4416652744677403e+01 -2.4864602853107880e+02
5.3407075111026485e-02 2.4032248979139329e+01 -2.4079204689710434e+02
5.4977871437821381e-02 2.3660182219102612e+01 -2.3293806526312983e+02
5.6548667764616277e-02 2.3300452464567257e+01 -2.2508408362915648e+02
5.8119464091411173e-02 2.2953059715533268e+01 -2.1723010199518200e+02
5.9690260418206076e-02 2.2618003972000636e+01 -2.0937612036120635e+02
6.1261056745000972e-02 2.2295285233969366e+01 -2.0152213872723300e+02
6.2831853071795868e-02 2.1984903501439458e+01 -1.9366815709325851e+02
6.4402649398590764e-02 2.1686858774410915e+01 -1.8581417545928292e+02
6.5973445725385660e-02 2.1401151052883730e+01 -1.7796019382530957e+02
6.7544242052180556e-02 2.1127780336857910e+01 -1.7010621219133395e+02
6.9115038378975452e-02 2.0866746626333448e+01 -1.6225223055735950e+02
7.0685834705770348e-02 2.0618049921310352e+01 -1.5439824892338726e+02
7.2256631032565244e-02 2.0381690221788610e+01 -1.4654426728941164e+02
7.3827427359360140e-02 2.0157667527768236e+01 -1.3869028565543607e+02
7.5398223686155036e-02 1.9945981839249225e+01 -1.3083630402146269e+02
7.6969020012949932e-02 1.9746633156231571e+01 -1.2298232238748709e+02
7.8539816339744828e-02 1.9559621478715282e+01 -1.1512834075351260e+02
8.0110612666539724e-02 1.9384946806700356e+01 -1.0727435911953927e+02
8.1681408993334620e-02 1.9222609140186787e+01 -9.9420377485563648e+01
8.3252205320129516e-02 1.9072608479174583e+01 -9.1566395851590258e+01
8.4823001646924426e-02 1.8934944823663738e+01 -8.3712414217615716e+01
8.6393797973719322e-02 1.8809618173654254e+01 -7.5858432583640138e+01
8.7964594300514218e-02 1.8696628529146135e+01 -6.8004450949666790e+01
8.9535390627309114e-02 1.8595975890139375e+01 -6.0150469315692305e+01
9.1106186954104010e-02 1.8507660256633979e+01 -5.2296487681716698e+01
9.2676983280898906e-02 1.8431681628629946e+01 -4.4442506047743343e+01
9.4247779607693802e-02 1.8368040006127274e+01 -3.6588524413768866e+01
9.5818575934488698e-02 1.8316735389125963e+01 -2.8734542779793255e+01
9.7389372261283594e-02 1.8277767777626011e+01 -2.0880561145819907e+01
9.8960168588078490e-02 1.8251137171627423e+01 -1.3026579511844297e+01
1.0053096491487339e-01 1.8236138761778133e+01 -7.8274224522367177e+00
1.0210176124166828e-01 1.8223843475341887e+01 -7.8274224522378484e+00
1.0367255756846318e-01 1.8211548188905638e+01 -7.8274224522378484e+00
1.0524335389525807e-01 1.8199252902469393e+01 -7.8274224522378484e+00
1.0681415022205297e-01 1.8186957616033148e+01 -7.8274224522367177e+00
1.0838494654884787e-01 1.8174662329596902e+01 -7.8274224522367177e+00
1.0995574287564276e-01 1.8162367043160657e+01 -7.8274224522378484e+00
1.1152653920243766e-01 1.8150071756724412e+01 -7.8274224522378484e+00
1.1309733552923255e-01 1.8137776470288166e+01 -7.8274224522367177e+00
1.1466813185602745e-01 1.8125481183851921e+01 -7.8274224522378484e+00
1.1623892818282235e-01 1.8113185897415676e+01 -7.8274224522378146e+00
1.1780972450961726e-01 1.8100890610979430e+01 -7.8274224522366822e+00
1.1938052083641215e-01 1.8088595324543185e+01 -7.8274224522378484e+00
1.2095131716320705e-01 1.8076300038106940e+01 -7.8274224522367177e+00
1.2252211349000194e-01 1.8064004751670694e+01 -7.8274224522367177e+00
1.2409290981679684e-01 1.8051709465234449e+01 -7.8274224522378484e+00
1.2566370614359174e-01 1.8039414178798200e+01 -7.8274224522378848e+00
1.2723450247038662e-01 1.8027118892361955e+01 -7.8274224522378484e+00
1.2880529879718153e-01 1.8014823605925709e+01 -7.8274224522367177e+00
1.3037609512397641e-01 1.8002528319489464e+01 -7.8274224522367177e+00
1.3194689145077132e-01 1.7990233033053219e+01 -7.8274224522378484e+00
1.3351768777756620e-01 1.7977937746616973e+01 -7.8274224522378484e+00
1.3508848410436111e-01 1.7965642460180728e+01 -7.8274224522366485e+00
1.3665928043115602e-01 1.7953347173744483e+01 -7.8274224522378484e+00
1.3823007675795090e-01 1.7941051887308237e+01 -7.8274224522378484e+00
1.3980087308474581e-01 1.7928756600871992e+01 -7.8274224522367177e+00
1.4137166941154070e-01 1.7916461314435747e+01 -7.8274224522378484e+00
1.4294246573833561e-01 1.7904166027999501e+01 -7.8274224522367177e+00
1.4451326206513049e-01 1.7891870741563256e+01 -7.8274224522367177e+00
1.4608405839192540e-01 1.7879575455127011e+01 -7.8274224522378484e+00
1.4765485471872028e-01 1.7867280168690765e+01 -7.8274224522378484e+00
1.4922565104551519e-01 1.7854984882254517e+01 -7.8274224522378484e+00
1.5079644737231007e-01 1.7842689595818271e+01 -7.8274224522378484e+00
1.5236724369910498e-01 1.7830394309382026e+01 -7.8274224522367177e+00
1.5393804002589986e-01 1.7818099022945781e+01 -7.8274224522367177e+00
1.5550883635269477e-01 1.7805803736509535e+01 -7.8274224522378484e+00
1.5707963267948966e-01 1.7793508450073290e+01 -7.8274224522367177e+00
1.5865042900628457e-01 1.7781213163637045e+01 -7.8274224522378484e+00
1.6022122533307945e-01 1.7768917877200799e+01 -7.8274224522378484e+00
1.6179202165987436e-01 1.7756622590764554e+01 -7.8274224522367177e+00
1.6336281798666924e-01 1.7744327304328309e+01 -7.8274224522378484e+00
1.6493361431346415e-01 1.7732032017892060e+01 -7.8274224522378484e+00
1.6650441064025903e-01 1.7719736731455814e+01 -7.8274224522367177e+00
1.6807520696705394e-01 1.7707441445019569e+01 -7.8274224522377809e+00
1.6964600329384885e-01 1.7695146158583320e+01 -7.8274224522378484e+00
1.7121679962064373e-01 1.7682850872147075e+01 -7.8274224522367177e+00
1.7278759594743864e-01 1.7670555585710829e+01 -7.8274224522378484e+00
1.7435839227423353e-01 1.7658260299274584e+01 -7.8274224522367177e+00
1.7592918860102844e-01 1.7645965012838339e+01 -7.8274224522367177e+00
1.7749998492782332e-01 1.7633669726402093e+01 -7.8274224522378484e+00
1.7907078125461823e-01 1.7621374439965848e+01 -7.8274224522367177e+00
1.8064157758141311e-01 1.7609079153529603e+01 -7.8274224522378484e+00
1.8221237390820802e-01 1.7596783867093354e+01 -7.8274224522389799e+00
1.8378317023500290e-01 1.7584488580657109e+01 -7.8274224522367177e+00
1.8535396656179781e-01 1.7572193294220863e+01 -7.8274224522367177e+00
1.8692476288859269e-01 1.7559898007784618e+01 -7.8274224522378484e+00
1.8849555921538760e-01 1.7547602721348373e+01 -7.8274224522367177e+00
1.9006635554218249e-01 1.7535307434912127e+01 -7.8274224522378484e+00
1.9163715186897740e-01 1.7523012148475878e+01 -7.8274224522378484e+00
