# x energy force
0.0000000000000000e+00 4.4285865116830507e+01 -5.0553713274243972e+02
1.5707963267948967e-03 4.3497937748410934e+01 -4.9768315110846527e+02
3.1415926535897933e-03 4.2722347385492732e+01 -4.8982916947449195e+02
4.7123889803846897e-03 4.1959094028075882e+01 -4.8197518784051857e+02
6.2831853071795866e-03 4.1208177676160396e+01 -4.7412120620654298e+02
7.8539816339744835e-03 4.0469598329746276e+01 -4.6626722457256733e+02
9.4247779607693795e-03 3.9743355988833514e+01 -4.5841324293859401e+02
1.0995574287564277e-02 3.9029450653422117e+01 -4.5055926130462069e+02
1.2566370614359173e-02 3.8327882323512085e+01 -4.4270527967064390e+02
1.4137166941154069e-02 3.7638650999103405e+01 -4.3485129803666945e+02
1.5707963267948967e-02 3.6961756680196096e+01 -4.2699731640269607e+02
1.7278759594743863e-02 3.6297199366790139e+01 -4.1914333476872156e+02
1.8849555921538759e-02 3.5644979058885554e+01 -4.1128935313474710e+02
2.0420352248333655e-02 3.5005095756482319e+01 -4.0343537150077259e+02
2.1991148575128554e-02 3.4377549459580457e+01 -3.9558138986679694e+02
2.3561944901923450e-02 3.3762340168179954e+01 -3.8772740823282248e+02
2.5132741228718346e-02 3.3159467882280808e+01 -3.7987342659885030e+02
2.6703537555513242e-02 3.2568932601883027e+01 -3.7201944496487465e+02
2.8274333882308138e-02 3.1990734326986605e+01 -3.6416546333089906e+02
2.9845130209103038e-02 3.1424873057591547e+01 -3.5631148169692568e+02
3.1415926535897934e-02 3.0871348793697852e+01 -3.4845750006295236e+02
3.2986722862692830e-02 3.0330161535305514e+01 -3.4060351842897671e+02
3.4557519189487726e-02 2.9801311282414545e+01 -3.3274953679500112e+02
3.6128315516282622e-02 2.9284798035024934e+01 -3.2489555516102780e+02
3.7699111843077518e-02 2.8780621793136682e+01 -3.1704157352705442e+02
3.9269908169872414e-02 2.8288782556749791e+01 -3.0918759189307769e+02
4.0840704496667310e-02 2.7809280325864265e+01 -3.0133361025910318e+02
4.2411500823462213e-02 2.7342115100480100e+01 -2.9347962862512981e+02
4.3982297150257109e-02 2.6887286880597301e+01 -2.8562564699115421e+02
4.5553093477052005e-02 2.6444795666215860e+01 -2.7777166535718084e+02
4.7123889803846901e-02 2.6014641457335777e+01 -2.6991768372320752e+02
4.8694686130641797e-02 2.5596824253957060e+01 -2.6206370208923192e+02
5.0265482457436693e-02 2.5191344056079704e+01 -2.5420972045525630e+02
5.1836278784231589e-02 2.4798200863703709e+01 -2.4635573882128298e+02
5.3407075111026485e-02 2.4417394676829076e+01 -2.3850175718730850e+02
5.4977871437821381e-02 2.4048925495455805e+01 -2.3064777555333288e+02
5.6548667764616277e-02 2.3692793319583899e+01 -2.2279379391935953e+02
5.8119464091411173e-02 2.3348998149213351e+01 -2.1493981228538502e+02
5.9690260418206076e-02 2.3017539984344161e+01 -2.0708583065141050e+02
6.1261056745000972e-02 2.2698418824976336e+01 -1.9923184901743605e+02
6.2831853071795868e-02 2.2391634671109873e+01 -1.9137786738346156e+02
6.4402649398590764e-02 2.2097187522744775e+01 -1.8352388574948597e+02
6.5973445725385660e-02 2.1815077379881036e+01 -1.7566990411551149e+02
6.7544242052180556e-02 2.1545304242518661e+01 -1.6781592248153925e+02
6.9115038378975452e-02 2.1287868110657641e+01 -1.5996194084756365e+02
7.0685834705770348e-02 2.1042768984297989e+01 -1.5210795921358803e+02
7.2256631032565244e-02 2.0810006863439696e+01 -1.4425397757961468e+02
7.3827427359360140e-02 2.0589581748082765e+01 -1.3639999594564134e+02
7.5398223686155036e-02 2.0381493638227195e+01 -1.2854601431166574e+02
7.6969020012949932e-02 2.0185742533872986e+01 -1.2069203267769012e+02
