# x energy force
0.0000000000000000e+00 3.5623015188584205e+01 -5.0454901146524355e+02
1.5707963267948967e-03 3.4836639957437285e+01 -4.9669502983127023e+02
3.1415926535897933e-03 3.4062601731791723e+01 -4.8884104819729578e+02
4.7123889803846897e-03 3.3300900511647519e+01 -4.8098706656332070e+02
6.2831853071795866e-03 3.2551536297004688e+01 -4.7313308492934624e+02
7.8539816339744835e-03 3.1814509087863215e+01 -4.6527910329537173e+02
9.4247779607693795e-03 3.1089818884223099e+01 -4.5742512166139727e+02
1.0995574287564277e-02 3.0377465686084349e+01 -4.4957114002742338e+02
1.2566370614359173e-02 2.9677449493446964e+01 -4.4171715839344830e+02
1.4137166941154069e-02 2.8989770306310938e+01 -4.3386317675947328e+02
1.5707963267948967e-02 2.8314428124676269e+01 -4.2600919512549990e+02
1.7278759594743863e-02 2.7651422948542958e+01 -4.1815521349152539e+02
1.8849555921538759e-02 2.7000754777911027e+01 -4.1030123185755093e+02
2.0420352248333655e-02 2.6362423612780439e+01 -4.0244725022357636e+02
2.1991148575128554e-02 2.5736429453151221e+01 -3.9459326858960134e+02
2.3561944901923450e-02 2.5122772299023360e+01 -3.8673928695562688e+02
2.5132741228718346e-02 2.4521452150396868e+01 -3.7888530532165242e+02
2.6703537555513242e-02 2.3932469007271735e+01 -3.7103132368767791e+02
2.8274333882308138e-02 2.3355822869647962e+01 -3.6317734205370346e+02
2.9845130209103038e-02 2.2791513737525552e+01 -3.5532336041972894e+02
3.1415926535897934e-02 2.2239541610904503e+01 -3.4746937878575449e+02
3.2986722862692830e-02 2.1699906489784816e+01 -3.3961539715178054e+02
3.4557519189487726e-02 2.1172608374166494e+01 -3.3176141551780609e+02
3.6128315516282622e-02 2.0657647264049530e+01 -3.2390743388383163e+02
3.7699111843077518e-02 2.0155023159433931e+01 -3.1605345224985712e+02
3.9269908169872414e-02 1.9664736060319690e+01 -3.0819947061588209e+02
4.0840704496667310e-02 1.9186785966706807e+01 -3.0034548898190752e+02
4.2411500823462213e-02 1.8721172878595290e+01 -2.9249150734793301e+02
4.3982297150257109e-02 1.8267896795985138e+01 -2.8463752571395861e+02
4.5553093477052005e-02 1.7826957718876344e+01 -2.7678354407998410e+02
4.7123889803846901e-02 1.7398355647268914e+01 -2.6892956244600964e+02
4.8694686130641797e-02 1.6982090581162844e+01 -2.6107558081203518e+02
5.0265482457436693e-02 1.6578162520558134e+01 -2.5322159917806121e+02
