# x energy force
1.0000000000000000e-02 5.3112600281530831e+01 2.4594803790460338e+02
1.0996666666666667e-02 5.2868110843276249e+01 2.4466621946244865e+02
1.1993333333333333e-02 5.2624896208944406e+01 2.4338990294258849e+02
1.2990000000000002e-02 5.2382949844628911e+01 2.4212119601826899e+02
1.3986666666666668e-02 5.2142264188708722e+01 2.4086005331989827e+02
1.4983333333333335e-02 5.1902831724646369e+01 2.3960642974836645e+02
1.5980000000000001e-02 5.1664644980719153e+01 2.3836028047346826e+02
1.6976666666666668e-02 5.1427696529751941e+01 2.3712156093230809e+02
1.7973333333333334e-02 5.1191978988851588e+01 2.3589022682760009e+02
1.8970000000000001e-02 5.0957485019142922e+01 2.3466623412623980e+02
1.9966666666666667e-02 5.0724207325506278e+01 2.3344953905765894e+02
2.0963333333333334e-02 5.0492138656316641e+01 2.3224009811218374e+02
2.1960000000000000e-02 5.0261271803184322e+01 2.3103786803962683e+02
2.2956666666666667e-02 5.0031599600697170e+01 2.2984280584762834e+02
2.3953333333333333e-02 4.9803114926164348e+01 2.2865486880017860e+02
2.4950000000000000e-02 4.9575810699361604e+01 2.2747401441602986e+02
2.5946666666666666e-02 4.9349679882278110e+01 2.2630020046722996e+02
2.6943333333333333e-02 4.9124715478864744e+01 2.2513338497764784e+02
2.7940000000000000e-02 4.8900910534783918e+01 2.2397352622132806e+02
2.8936666666666666e-02 4.8678258137160917e+01 2.2282058272114733e+02
2.9933333333333333e-02 4.8456751414336644e+01 2.2167451324729092e+02
3.0929999999999999e-02 4.8236383535621911e+01 2.2053527681571771e+02
3.1926666666666666e-02 4.8017147711053184e+01 2.1940283268675165e+02
3.2923333333333332e-02 4.7799037191149736e+01 2.1827714036365177e+02
3.3920000000000006e-02 4.7582045266672289e+01 2.1715815959108537e+02
3.4916666666666672e-02 4.7366165268383128e+01 2.1604585035372472e+02
3.5913333333333339e-02 4.7151390566807564e+01 2.1494017287483382e+02
3.6910000000000005e-02 4.6937714571996878e+01 2.1384108761484092e+02
3.7906666666666672e-02 4.6725130733292637e+01 2.1274855526991871e+02
