# x energy force
1.0000000000000000e-02 7.6414777780790658e+01 2.1136624732871772e+02
1.0996666666666667e-02 7.6204273954766705e+01 2.1104945706718371e+02
1.1993333333333333e-02 7.5994085332786725e+01 2.1073373085249685e+02
1.2990000000000002e-02 7.5784210446536051e+01 2.1041988704183839e+02
1.3986666666666668e-02 7.5574647425478176e+01 2.1010791441208613e+02
1.4983333333333335e-02 7.5365394410229015e+01 2.0979780180696022e+02
1.5980000000000001e-02 7.5156449552490400e+01 2.0948953813676027e+02
1.6976666666666668e-02 7.4947811014983927e+01 2.0918311237790775e+02
1.7973333333333334e-02 7.4739476971385315e+01 2.0887851357249056e+02
1.8970000000000001e-02 7.4531445606259084e+01 2.0857573082796338e+02
1.9966666666666667e-02 7.4323715114993632e+01 2.0827475331674117e+02
2.0963333333333334e-02 7.4116283703736698e+01 2.0797557027576454e+02
2.1960000000000000e-02 7.3909149589331207e+01 2.0767817100616440e+02
2.2956666666666667e-02 7.3702310999251509e+01 2.0738254487284166e+02
2.3953333333333333e-02 7.3495766171539984e+01 2.0708868130413208e+02
2.4950000000000000e-02 7.3289513354744059e+01 2.0679656979137806e+02
2.5946666666666666e-02 7.3083550807853555e+01 2.0650619988855871e+02
2.6943333333333333e-02 7.2877876800238440e+01 2.0621756121200420e+02
2.7940000000000000e-02 7.2672489611586926e+01 2.0593064343987527e+02
2.8936666666666666e-02 7.2467387531843954e+01 2.0564543631189977e+02
2.9933333333333333e-02 7.2262568861150058e+01 2.0536192962901600e+02
3.0929999999999999e-02 7.2058031909780567e+01 2.0508011325290218e+02
3.1926666666666666e-02 7.1853774998085171e+01 2.0479997710574128e+02
3.2923333333333332e-02 7.1649796456427865e+01 2.0452151116977828e+02
3.3920000000000006e-02 7.1446094625127245e+01 2.0424470548697366e+02
3.4916666666666672e-02 7.1242667854397155e+01 2.0396955015869335e+02
3.5913333333333339e-02 7.1039514504287681e+01 2.0369603534526647e+02
3.6910000000000005e-02 7.0836632944626530e+01 2.0342415126573997e+02
