# x energy force
0.0000000000000000e+00 2.7627744740836341e+01 -4.9805018123471848e+02
1.5707963267948967e-03 2.6851577848343997e+01 -4.9019619960074402e+02
3.1415926535897933e-03 2.6087747961353010e+01 -4.8234221796676985e+02
4.7123889803846897e-03 2.5336255079863385e+01 -4.7448823633279534e+02
6.2831853071795866e-03 2.4597099203875121e+01 -4.6663425469882060e+02
7.8539816339744835e-03 2.3870280333388227e+01 -4.5878027306484609e+02
9.4247779607693795e-03 2.3155798468402683e+01 -4.5092629143087163e+02
1.0995574287564277e-02 2.2453653608918504e+01 -4.4307230979689717e+02
1.2566370614359173e-02 2.1763845754935691e+01 -4.3521832816292294e+02
1.4137166941154069e-02 2.1086374906454235e+01 -4.2736434652894849e+02
1.5707963267948967e-02 2.0421241063474145e+01 -4.1951036489497369e+02
1.7278759594743863e-02 1.9768444225995406e+01 -4.1165638326099946e+02
1.8849555921538759e-02 1.9127984394018046e+01 -4.0380240162702472e+02
2.0420352248333655e-02 1.8499861567542030e+01 -3.9594841999305021e+02
2.1991148575128554e-02 1.7884075746567387e+01 -3.8809443835907598e+02
2.3561944901923450e-02 1.7280626931094101e+01 -3.8024045672510124e+02
2.5132741228718346e-02 1.6689515121122181e+01 -3.7238647509112707e+02
2.6703537555513242e-02 1.6110740316651619e+01 -3.6453249345715255e+02
2.8274333882308138e-02 1.5544302517682421e+01 -3.5667851182317781e+02
2.9845130209103038e-02 1.4990201724214582e+01 -3.4882453018920330e+02
3.1415926535897934e-02 1.4448437936248109e+01 -3.4097054855522885e+02
3.2986722862692830e-02 1.3919011153782996e+01 -3.3311656692125433e+02
3.4557519189487726e-02 1.3401921376819244e+01 -3.2526258528728016e+02
3.6128315516282622e-02 1.2897168605356853e+01 -3.1740860365330570e+02
3.7699111843077518e-02 1.2404752839395826e+01 -3.0955462201933091e+02
3.9269908169872414e-02 1.1924674078936158e+01 -3.0170064038535673e+02
4.0840704496667310e-02 1.1456932323977853e+01 -2.9384665875138222e+02
4.2411500823462213e-02 1.1001527574520907e+01 -2.8599267711740742e+02
4.3982297150257109e-02 1.0558459830565326e+01 -2.7813869548343297e+02
4.5553093477052005e-02 1.0127729092111107e+01 -2.7028471384945846e+02
4.7123889803846901e-02 9.7093353591582492e+00 -2.6243073221548400e+02
4.8694686130641797e-02 9.3032786317067515e+00 -2.5457675058150983e+02
5.0265482457436693e-02 8.9095589097566155e+00 -2.4672276894753531e+02
5.1836278784231589e-02 8.5281761933078428e+00 -2.3886878731356057e+02
5.3407075111026485e-02 8.1591304823604318e+00 -2.3101480567958609e+02
5.4977871437821381e-02 7.8024217769143824e+00 -2.2316082404561161e+02
5.6548667764616277e-02 7.4580500769696947e+00 -2.1530684241163740e+02
5.8119464091411173e-02 7.1260153825263677e+00 -2.0745286077766292e+02
5.9690260418206076e-02 6.8063176935844014e+00 -1.9959887914368812e+02
6.1261056745000972e-02 6.4989570101437977e+00 -1.9174489750971364e+02
6.2831853071795868e-02 6.2039333322045565e+00 -1.8389091587573944e+02
6.4402649398590764e-02 5.9212466597666769e+00 -1.7603693424176498e+02
6.5973445725385660e-02 5.6508969928301589e+00 -1.6818295260779021e+02
6.7544242052180556e-02 5.3928843313950026e+00 -1.6032897097381573e+02
6.9115038378975452e-02 5.1472086754612087e+00 -1.5247498933984124e+02
7.0685834705770348e-02 4.9138700250287757e+00 -1.4462100770586704e+02
7.2256631032565244e-02 4.6928683800977042e+00 -1.3676702607189256e+02
7.3827427359360140e-02 4.4842037406679944e+00 -1.2891304443791782e+02
7.5398223686155036e-02 4.2878761067396471e+00 -1.2105906280394333e+02
7.6969020012949932e-02 4.1038854783126606e+00 -1.1320508116996885e+02
7.8539816339744828e-02 3.9322318553870366e+00 -1.0535109953599465e+02
8.0110612666539724e-02 3.7729152379627733e+00 -9.7497117902020179e+01
8.1681408993334620e-02 3.6259356260398721e+00 -8.9643136268045410e+01
8.3252205320129516e-02 3.4912930196183325e+00 -8.1789154634070940e+01
8.4823001646924426e-02 3.3689874186981541e+00 -7.3935173000096682e+01
8.6393797973719322e-02 3.2590188232793378e+00 -6.6081191366122184e+01
8.7964594300514218e-02 3.1613872333618840e+00 -5.8227209732147415e+01
8.9535390627309114e-02 3.0760926489457914e+00 -5.0373228098172937e+01
9.1106186954104010e-02 3.0031350700310608e+00 -4.2519246464198460e+01
9.2676983280898906e-02 2.9425144966176915e+00 -3.4665264830224260e+01
9.4247779607693802e-02 2.8942309287056838e+00 -2.6811283196249782e+01
9.5818575934488698e-02 2.8582843662950381e+00 -1.8957301562275017e+01
9.7389372261283594e-02 2.8346748093857541e+00 -1.1103319928300539e+01
9.8960168588078490e-02 2.8234022579778322e+00 -3.2493382943260594e+00
1.0053096491487339e-01 2.8237619027192054e+00 1.9498187652815195e+00
1.0210176124166828e-01 2.8268246708736249e+00 1.9498187652812367e+00
1.0367255756846318e-01 2.8298874390280444e+00 1.9498187652812367e+00
1.0524335389525807e-01 2.8329502071824644e+00 1.9498187652815195e+00
1.0681415022205297e-01 2.8360129753368839e+00 1.9498187652812367e+00
1.0838494654884787e-01 2.8390757434913034e+00 1.9498187652812367e+00
1.0995574287564276e-01 2.8421385116457230e+00 1.9498187652815195e+00
1.1152653920243766e-01 2.8452012798001429e+00 1.9498187652815195e+00
1.1309733552923255e-01 2.8482640479545629e+00 1.9498187652815195e+00
1.1466813185602745e-01 2.8513268161089829e+00 1.9498187652815195e+00
1.1623892818282235e-01 2.8543895842634024e+00 1.9498187652812282e+00
1.1780972450961726e-01 2.8574523524178219e+00 1.9498187652812282e+00
1.1938052083641215e-01 2.8605151205722414e+00 1.9498187652815195e+00
1.2095131716320705e-01 2.8635778887266614e+00 1.9498187652815195e+00
1.2252211349000194e-01 2.8666406568810814e+00 1.9498187652815195e+00
1.2409290981679684e-01 2.8697034250355009e+00 1.9498187652812367e+00
1.2566370614359174e-01 2.8727661931899204e+00 1.9498187652812455e+00
1.2723450247038662e-01 2.8758289613443400e+00 1.9498187652815195e+00
1.2880529879718153e-01 2.8788917294987599e+00 1.9498187652812367e+00
1.3037609512397641e-01 2.8819544976531795e+00 1.9498187652812367e+00
