# x energy force
0.0000000000000000e+00 3.1397848378460527e+01 -5.0097482224571382e+02
1.5707963267948967e-03 3.0617087470610915e+01 -4.9312084061173880e+02
3.1415926535897933e-03 2.9848663568262666e+01 -4.8526685897776406e+02
4.7123889803846897e-03 2.9092576671415777e+01 -4.7741287734378983e+02
6.2831853071795866e-03 2.8348826780070251e+01 -4.6955889570981537e+02
7.8539816339744835e-03 2.7617413894226090e+01 -4.6170491407584086e+02
9.4247779607693795e-03 2.6898338013883283e+01 -4.5385093244186641e+02
1.0995574287564277e-02 2.6191599139041838e+01 -4.4599695080789195e+02
1.2566370614359173e-02 2.5497197269701761e+01 -4.3814296917391744e+02
1.4137166941154069e-02 2.4815132405863046e+01 -4.3028898753994270e+02
1.5707963267948967e-02 2.4145404547525690e+01 -4.2243500590596847e+02
1.7278759594743863e-02 2.3488013694689688e+01 -4.1458102427199395e+02
1.8849555921538759e-02 2.2842959847355061e+01 -4.0672704263801950e+02
2.0420352248333655e-02 2.2210243005521782e+01 -3.9887306100404498e+02
2.1991148575128554e-02 2.1589863169189876e+01 -3.9101907937007047e+02
2.3561944901923450e-02 2.0981820338359327e+01 -3.8316509773609602e+02
2.5132741228718346e-02 2.0386114513030140e+01 -3.7531111610212128e+02
2.6703537555513242e-02 1.9802745693202318e+01 -3.6745713446814705e+02
2.8274333882308138e-02 1.9231713878875855e+01 -3.5960315283417259e+02
2.9845130209103038e-02 1.8673019070050753e+01 -3.5174917120019808e+02
3.1415926535897934e-02 1.8126661266727012e+01 -3.4389518956622362e+02
3.2986722862692830e-02 1.7592640468904634e+01 -3.3604120793224911e+02
3.4557519189487726e-02 1.7070956676583620e+01 -3.2818722629827465e+02
3.6128315516282622e-02 1.6561609889763965e+01 -3.2033324466429991e+02
3.7699111843077518e-02 1.6064600108445674e+01 -3.1247926303032568e+02
3.9269908169872414e-02 1.5579927332628742e+01 -3.0462528139635123e+02
4.0840704496667310e-02 1.5107591562313171e+01 -2.9677129976237671e+02
4.2411500823462213e-02 1.4647592797498962e+01 -2.8891731812840220e+02
4.3982297150257109e-02 1.4199931038186119e+01 -2.8106333649442774e+02
4.5553093477052005e-02 1.3764606284374633e+01 -2.7320935486045323e+02
4.7123889803846901e-02 1.3341618536064512e+01 -2.6535537322647849e+02
