# x energy force
1.0000000000000000e-02 5.1468701666829460e+01 2.5000840340926200e+02
1.0996666666666667e-02 5.1220221909670983e+01 2.4861318286192994e+02
1.1993333333333333e-02 5.0973129673610295e+01 2.4722408013610965e+02
1.2990000000000002e-02 5.0727417782713538e+01 2.4584325945604286e+02
1.3986666666666668e-02 5.0483078007148926e+01 2.4447067144284625e+02
1.4983333333333335e-02 5.0240102166152198e+01 2.4310626701212166e+02
1.5980000000000001e-02 4.9998482127734071e+01 2.4174999737207963e+02
1.6976666666666668e-02 4.9758209808389445e+01 2.4040181402182412e+02
1.7973333333333334e-02 4.9519277172808344e+01 2.3906166874961227e+02
1.8970000000000001e-02 4.9281676233588577e+01 2.3772951363118798e+02
1.9966666666666667e-02 4.9045399050950074e+01 2.3640530102801142e+02
2.0963333333333334e-02 4.8810437732450978e+01 2.3508898358555410e+02
2.1960000000000000e-02 4.8576784432705402e+01 2.3378051423165729e+02
2.2956666666666667e-02 4.8344431353102841e+01 2.3247984617481862e+02
2.3953333333333333e-02 4.8113370741529337e+01 2.3118693290244067e+02
2.4950000000000000e-02 4.7883594892090279e+01 2.2990172817927905e+02
2.5946666666666666e-02 4.7655096144834772e+01 2.2862418604582479e+02
2.6943333333333333e-02 4.7427866885481713e+01 2.2735426081650260e+02
2.7940000000000000e-02 4.7201899545147562e+01 2.2609190707811985e+02
2.8936666666666666e-02 4.6977186600075633e+01 2.2483707968829108e+02
2.9933333333333333e-02 4.6753720571367055e+01 2.2358973377374420e+02
3.0929999999999999e-02 4.6531494024713311e+01 2.2234982472874594e+02
3.1926666666666666e-02 4.6310499570130403e+01 2.2111730821354351e+02
3.2923333333333332e-02 4.6090729861694548e+01 2.1989214015272412e+02
3.3920000000000006e-02 4.5872177597279503e+01 2.1867427673365344e+02
3.4916666666666672e-02 4.5654835518295457e+01 2.1746367440490332e+02
3.5913333333333339e-02 4.5438696409429440e+01 2.1626028987472972e+02
3.6910000000000005e-02 4.5223753098387299e+01 2.1506408010950085e+02
3.7906666666666672e-02 4.5009998455637209e+01 2.1387500233214371e+02
3.8903333333333338e-02 4.4797425394154736e+01 2.1269301402065122e+02
3.9900000000000005e-02 4.4586026869169366e+01 2.1151807290651362e+02
4.0896666666666671e-02 4.4375795877912637e+01 2.1035013697320755e+02
4.1893333333333338e-02 4.4166725459367683e+01 2.0918916445479516e+02
4.2890000000000005e-02 4.3958808694020270e+01 2.0803511383432249e+02
4.3886666666666671e-02 4.3752038703611397e+01 2.0688794384233847e+02
4.4883333333333338e-02 4.3546408650891337e+01 2.0574761345543882e+02
4.5880000000000004e-02 4.3341911739375114e+01 2.0461408189484555e+02
