# x energy force
0.0000000000000000e+00 4.2773396998897404e+01 -5.0711353055015354e+02
1.5707963267948967e-03 4.1982993430591911e+01 -4.9925954891618136e+02
3.1415926535897933e-03 4.1204926867787776e+01 -4.9140556728220804e+02
4.7123889803846897e-03 4.0439197310485000e+01 -4.8355158564823353e+02
6.2831853071795866e-03 3.9685804758683588e+01 -4.7569760401425793e+02
7.8539816339744835e-03 3.8944749212383542e+01 -4.6784362238028342e+02
9.4247779607693795e-03 3.8216030671584853e+01 -4.5998964074630896e+02
1.0995574287564277e-02 3.7499649136287523e+01 -4.5213565911233451e+02
1.2566370614359173e-02 3.6795604606491565e+01 -4.4428167747836113e+02
1.4137166941154069e-02 3.6103897082196958e+01 -4.3642769584438554e+02
1.5707963267948967e-02 3.5424526563403717e+01 -4.2857371421041103e+02
1.7278759594743863e-02 3.4757493050111833e+01 -4.2071973257643651e+02
1.8849555921538759e-02 3.4102796542321329e+01 -4.1286575094246206e+02
2.0420352248333655e-02 3.3460437040032161e+01 -4.0501176930848868e+02
2.1991148575128554e-02 3.2830414543244366e+01 -3.9715778767451417e+02
2.3561944901923450e-02 3.2212729051957936e+01 -3.8930380604053857e+02
2.5132741228718346e-02 3.1607380566172864e+01 -3.8144982440656298e+02
2.6703537555513242e-02 3.1014369085889157e+01 -3.7359584277258961e+02
2.8274333882308138e-02 3.0433694611106809e+01 -3.6574186113861629e+02
2.9845130209103038e-02 2.9865357141825825e+01 -3.5788787950464177e+02
3.1415926535897934e-02 2.9309356678046200e+01 -3.5003389787066618e+02
3.2986722862692830e-02 2.8765693219767940e+01 -3.4217991623669167e+02
3.4557519189487726e-02 2.8234366766991045e+01 -3.3432593460271721e+02
3.6128315516282622e-02 2.7715377319715508e+01 -3.2647195296874276e+02
3.7699111843077518e-02 2.7208724877941329e+01 -3.1861797133476938e+02
3.9269908169872414e-02 2.6714409441668511e+01 -3.1076398970079492e+02
4.0840704496667310e-02 2.6232431010897056e+01 -3.0291000806681927e+02
4.2411500823462213e-02 2.5762789585626965e+01 -2.9505602643284362e+02
4.3982297150257109e-02 2.5305485165858236e+01 -2.8720204479887030e+02
4.5553093477052005e-02 2.4860517751590869e+01 -2.7934806316489693e+02
4.7123889803846901e-02 2.4427887342824860e+01 -2.7149408153092247e+02
4.8694686130641797e-02 2.4007593939560216e+01 -2.6364009989694802e+02
5.0265482457436693e-02 2.3599637541796930e+01 -2.5578611826297239e+02
5.1836278784231589e-02 2.3204018149535010e+01 -2.4793213662899680e+02
5.3407075111026485e-02 2.2820735762774454e+01 -2.4007815499502345e+02
5.4977871437821381e-02 2.2449790381515253e+01 -2.3222417336105008e+02
5.6548667764616277e-02 2.2091182005757418e+01 -2.2437019172707559e+02
5.8119464091411173e-02 2.1744910635500940e+01 -2.1651621009309997e+02
5.9690260418206076e-02 2.1410976270745827e+01 -2.0866222845912432e+02
6.1261056745000972e-02 2.1089378911492076e+01 -2.0080824682515100e+02
6.2831853071795868e-02 2.0780118557739687e+01 -1.9295426519117763e+02
