# x energy force
0.0000000000000000e+00 3.1172543616778501e+01 -5.0070420699095979e+02
1.5707963267948967e-03 3.0392207790377032e+01 -4.9285022535698477e+02
3.1415926535897933e-03 2.9624208969476925e+01 -4.8499624372301031e+02
4.7123889803846897e-03 2.8868547154078176e+01 -4.7714226208903580e+02
6.2831853071795866e-03 2.8125222344180791e+01 -4.6928828045506106e+02
7.8539816339744835e-03 2.7394234539784776e+01 -4.6143429882108683e+02
9.4247779607693795e-03 2.6675583740890112e+01 -4.5358031718711237e+02
1.0995574287564277e-02 2.5969269947496809e+01 -4.4572633555313791e+02
1.2566370614359173e-02 2.5275293159604875e+01 -4.3787235391916340e+02
1.4137166941154069e-02 2.4593653377214302e+01 -4.3001837228518866e+02
1.5707963267948967e-02 2.3924350600325088e+01 -4.2216439065121443e+02
1.7278759594743863e-02 2.3267384828937228e+01 -4.1431040901723992e+02
1.8849555921538759e-02 2.2622756063050744e+01 -4.0645642738326546e+02
2.0420352248333655e-02 2.1990464302665607e+01 -3.9860244574929095e+02
2.1991148575128554e-02 2.1370509547781843e+01 -3.9074846411531615e+02
2.3561944901923450e-02 2.0762891798399437e+01 -3.8289448248134198e+02
2.5132741228718346e-02 2.0167611054518392e+01 -3.7504050084736753e+02
2.6703537555513242e-02 1.9584667316138709e+01 -3.6718651921339301e+02
2.8274333882308138e-02 1.9014060583260388e+01 -3.5933253757941856e+02
2.9845130209103038e-02 1.8455790855883432e+01 -3.5147855594544376e+02
3.1415926535897934e-02 1.7909858134007834e+01 -3.4362457431146959e+02
3.2986722862692830e-02 1.7376262417633598e+01 -3.3577059267749507e+02
3.4557519189487726e-02 1.6855003706760726e+01 -3.2791661104352033e+02
3.6128315516282622e-02 1.6346082001389213e+01 -3.2006262940954616e+02
3.7699111843077518e-02 1.5849497301519065e+01 -3.1220864777557165e+02
3.9269908169872414e-02 1.5365249607150275e+01 -3.0435466614159691e+02
4.0840704496667310e-02 1.4893338918282849e+01 -2.9650068450762268e+02
4.2411500823462213e-02 1.4433765234916782e+01 -2.8864670287364817e+02
4.3982297150257109e-02 1.3986528557052079e+01 -2.8079272123967371e+02
4.5553093477052005e-02 1.3551628884688737e+01 -2.7293873960569920e+02
4.7123889803846901e-02 1.3129066217826757e+01 -2.6508475797172474e+02
