# x energy force
0.0000000000000000e+00 4.2530137873019719e+01 -5.0477467128776817e+02
1.5707963267948967e-03 4.1743408176252473e+01 -4.9692068965379372e+02
3.1415926535897933e-03 4.0969015484986585e+01 -4.8906670801982040e+02
4.7123889803846897e-03 4.0206959799222062e+01 -4.8121272638584702e+02
6.2831853071795866e-03 3.9457241118958891e+01 -4.7335874475187256e+02
7.8539816339744835e-03 3.8719859444197098e+01 -4.6550476311789578e+02
9.4247779607693795e-03 3.7994814774936657e+01 -4.5765078148392132e+02
1.0995574287564277e-02 3.7282107111177567e+01 -4.4979679984994914e+02
1.2566370614359173e-02 3.6581736452919856e+01 -4.4194281821597463e+02
1.4137166941154069e-02 3.5893702800163503e+01 -4.3408883658199790e+02
1.5707963267948967e-02 3.5218006152908515e+01 -4.2623485494802338e+02
1.7278759594743863e-02 3.4554646511154871e+01 -4.1838087331405114e+02
1.8849555921538759e-02 3.3903623874902607e+01 -4.1052689168007669e+02
2.0420352248333655e-02 3.3264938244151693e+01 -4.0267291004609990e+02
2.1991148575128554e-02 3.2638589618902152e+01 -3.9481892841212539e+02
2.3561944901923450e-02 3.2024577999153969e+01 -3.8696494677815321e+02
2.5132741228718346e-02 3.1422903384907144e+01 -3.7911096514417875e+02
2.6703537555513242e-02 3.0833565776161684e+01 -3.7125698351020310e+02
2.8274333882308138e-02 3.0256565172917583e+01 -3.6340300187622751e+02
2.9845130209103038e-02 2.9691901575174846e+01 -3.5554902024225413e+02
3.1415926535897934e-02 2.9139574982933471e+01 -3.4769503860828081e+02
3.2986722862692830e-02 2.8599585396193454e+01 -3.3984105697430516e+02
3.4557519189487726e-02 2.8071932814954806e+01 -3.3198707534032957e+02
3.6128315516282622e-02 2.7556617239217516e+01 -3.2413309370635625e+02
3.7699111843077518e-02 2.7053638668981584e+01 -3.1627911207238287e+02
3.9269908169872414e-02 2.6562997104247014e+01 -3.0842513043840728e+02
4.0840704496667310e-02 2.6084692545013809e+01 -3.0057114880443163e+02
4.2411500823462213e-02 2.5618724991281965e+01 -2.9271716717045825e+02
4.3982297150257109e-02 2.5165094443051487e+01 -2.8486318553648380e+02
4.5553093477052005e-02 2.4723800900322367e+01 -2.7700920390250928e+02
4.7123889803846901e-02 2.4294844363094608e+01 -2.6915522226853483e+02
4.8694686130641797e-02 2.3878224831368215e+01 -2.6130124063456037e+02
5.0265482457436693e-02 2.3473942305143179e+01 -2.5344725900058589e+02
5.1836278784231589e-02 2.3081996784419506e+01 -2.4559327736661029e+02
5.3407075111026485e-02 2.2702388269197197e+01 -2.3773929573263695e+02
5.4977871437821381e-02 2.2335116759476243e+01 -2.2988531409866357e+02
5.6548667764616277e-02 2.1980182255256651e+01 -2.2203133246468798e+02
5.8119464091411173e-02 2.1637584756538427e+01 -2.1417735083071233e+02
5.9690260418206076e-02 2.1307324263321561e+01 -2.0632336919673895e+02
6.1261056745000972e-02 2.0989400775606054e+01 -1.9846938756276560e+02
6.2831853071795868e-02 2.0683814293391912e+01 -1.9061540592879001e+02
6.4402649398590764e-02 2.0390564816679131e+01 -1.8276142429481442e+02
6.5973445725385660e-02 2.0109652345467715e+01 -1.7490744266084107e+02
6.7544242052180556e-02 1.9841076879757658e+01 -1.6705346102686769e+02
6.9115038378975452e-02 1.9584838419548959e+01 -1.5919947939289210e+02
7.0685834705770348e-02 1.9340936964841628e+01 -1.5134549775891648e+02
7.2256631032565244e-02 1.9109372515635656e+01 -1.4349151612494313e+02
7.3827427359360140e-02 1.8890145071931045e+01 -1.3563753449096978e+02
7.5398223686155036e-02 1.8683254633727795e+01 -1.2778355285699418e+02
7.6969020012949932e-02 1.8488701201025908e+01 -1.1992957122301857e+02
7.8539816339744828e-02 1.8306484773825385e+01 -1.1207558958904521e+02
8.0110612666539724e-02 1.8136605352126221e+01 -1.0422160795507187e+02
8.1681408993334620e-02 1.7979062935928415e+01 -9.6367626321096253e+01
8.3252205320129516e-02 1.7833857525231977e+01 -8.8513644687120618e+01
8.4823001646924426e-02 1.7700989120036901e+01 -8.0659663053147213e+01
8.6393797973719322e-02 1.7580457720343180e+01 -7.2805681419173879e+01
8.7964594300514218e-02 1.7472263326150824e+01 -6.4951699785199395e+01
8.9535390627309114e-02 1.7376405937459833e+01 -5.7097718151222651e+01
9.1106186954104010e-02 1.7292885554270203e+01 -4.9243736517248173e+01
9.2676983280898906e-02 1.7221702176581935e+01 -4.1389754883275955e+01
9.4247779607693802e-02 1.7162855804395029e+01 -3.3535773249299211e+01
9.5818575934488698e-02 1.7116346437709485e+01 -2.5681791615324734e+01
9.7389372261283594e-02 1.7082174076525298e+01 -1.7827809981352516e+01
9.8960168588078490e-02 1.7060338720842473e+01 -9.9738283473780349e+00
1.0053096491487339e-01 1.7050135561308945e+01 -4.7746712877693254e+00
1.0210176124166828e-01 1.7042635525188466e+01 -4.7746712877681947e+00
1.0367255756846318e-01 1.7035135489067986e+01 -4.7746712877693254e+00
