# x energy force
1.0000000000000000e-02 5.2780759114956183e+01 2.4623547883132329e+02
1.0996666666666667e-02 5.2535987194224219e+01 2.4494563300540008e+02
1.1993333333333333e-02 5.2292498056593530e+01 2.4366133213978915e+02
1.2990000000000002e-02 5.2050285122987788e+01 2.4238468847373397e+02
1.3986666666666668e-02 5.1809340784482046e+01 2.4111565635383593e+02
1.4983333333333335e-02 5.1569657477516955e+01 2.3985419039884960e+02
1.5980000000000001e-02 5.1331227683628306e+01 2.3860024549809933e+02
1.6976666666666668e-02 5.1094043929178135e+01 2.3735377680994074e+02
1.7973333333333334e-02 5.0858098785087456e+01 2.3611473975997498e+02
1.8970000000000001e-02 5.0623384866570660e+01 2.3488309003961768e+02
1.9966666666666667e-02 5.0389894832871349e+01 2.3365878360448838e+02
2.0963333333333334e-02 5.0157621386999864e+01 2.3244177667273414e+02
2.1960000000000000e-02 4.9926557275472355e+01 2.3123202572359904e+02
2.2956666666666667e-02 4.9696695288051366e+01 2.3002948749577371e+02
2.3953333333333333e-02 4.9468028257488001e+01 2.2883411898589165e+02
2.4950000000000000e-02 4.9240549059265632e+01 2.2764587744696004e+02
2.5946666666666666e-02 4.9014250611345112e+01 2.2646472038685644e+02
2.6943333333333333e-02 4.8789125873911509e+01 2.2529060556685593e+02
2.7940000000000000e-02 4.8565167849122368e+01 2.2412349099998411e+02
2.8936666666666666e-02 4.8342369580857479e+01 2.2296333494962809e+02
2.9933333333333333e-02 4.8120724154470096e+01 2.2181009592805930e+02
3.0929999999999999e-02 4.7900224696539681e+01 2.2066373269485175e+02
3.1926666666666666e-02 4.7680864374626104e+01 2.1952420425546285e+02
3.2923333333333332e-02 4.7462636397025328e+01 2.1839146985981114e+02
3.3920000000000006e-02 4.7245534012526484e+01 2.1726548900074536e+02
3.4916666666666672e-02 4.7029550510170495e+01 2.1614622141260887e+02
3.5913333333333339e-02 4.6814679219010081e+01 2.1503362706982728e+02
3.6910000000000005e-02 4.6600913507871184e+01 2.1392766618548004e+02
3.7906666666666672e-02 4.6388246785115840e+01 2.1282829920985620e+02
3.8903333333333338e-02 4.6176672498406468e+01 2.1173548682902353e+02
3.9900000000000005e-02 4.5966184134471540e+01 2.1064918996347660e+02
4.0896666666666671e-02 4.5756775218872676e+01 2.0956936976668268e+02
4.1893333333333338e-02 4.5548439315773123e+01 2.0849598762372042e+02
4.2890000000000005e-02 4.5341170027707584e+01 2.0742900514993215e+02
4.3886666666666671e-02 4.5134960995353438e+01 2.0636838418949060e+02
4.4883333333333338e-02 4.4929805897303346e+01 2.0531408681403437e+02
4.5880000000000004e-02 4.4725698449839207e+01 2.0426607532135927e+02
4.6876666666666671e-02 4.4522632406707416e+01 2.0322431223406758e+02
4.7873333333333337e-02 4.4320601558895511e+01 2.0218876029818816e+02
4.8870000000000004e-02 4.4119599734410130e+01 2.0115938248184747e+02
4.9866666666666670e-02 4.3919620798056307e+01 2.0013614197398951e+02
5.0863333333333337e-02 4.3720658651218059e+01 1.9911900218303199e+02
5.1860000000000003e-02 4.3522707231640318e+01 1.9810792673551521e+02
5.2856666666666670e-02 4.3325760513212131e+01 1.9710287947489104e+02
5.3853333333333336e-02 4.3129812505751147e+01 1.9610382446018815e+02
5.4850000000000003e-02 4.2934857254789428e+01 1.9511072596466605e+02
5.5846666666666669e-02 4.2740888841360508e+01 1.9412354847463820e+02
5.6843333333333336e-02 4.2547901381787725e+01 1.9314225668814515e+02
5.7840000000000009e-02 4.2355889027473808e+01 1.9216681551368876e+02
5.8836666666666676e-02 4.2164845964691757e+01 1.9119719006902352e+02
5.9833333333333343e-02 4.1974766414376909e+01 1.9023334567984119e+02
6.0830000000000009e-02 4.1785644631920285e+01 1.8927524787859537e+02
6.1826666666666676e-02 4.1597474906963178e+01 1.8832286240322412e+02
6.2823333333333342e-02 4.1410251563192929e+01 1.8737615519593473e+02
6.3820000000000002e-02 4.1223968958139942e+01 1.8643509240203656e+02
6.4816666666666675e-02 4.1038621482975898e+01 1.8549964036862198e+02
6.5813333333333335e-02 4.0854203562313209e+01 1.8456976564347002e+02
6.6810000000000008e-02 4.0670709654005599e+01 1.8364543497380038e+02
6.7806666666666668e-02 4.0488134248949962e+01 1.8272661530507330e+02
6.8803333333333341e-02 4.0306471870889311e+01 1.8181327377984007e+02
6.9800000000000001e-02 4.0125717076216972e+01 1.8090537773656121e+02
7.0796666666666674e-02 3.9945864453781880e+01 1.8000289470843228e+02
7.1793333333333334e-02 3.9766908624695127e+01 1.7910579242217781e+02
7.2789999999999994e-02 3.9588844242137583e+01 1.7821403879698244e+02
7.3786666666666667e-02 3.9411665991168675e+01 1.7732760194330402e+02
7.4783333333333341e-02 3.9235368588536339e+01 1.7644645016171336e+02
7.5780000000000000e-02 3.9059946782488097e+01 1.7557055194177860e+02
7.6776666666666674e-02 3.8885395352583238e+01 1.7469987596094336e+02
7.7773333333333333e-02 3.8711709109506145e+01 1.7383439108339749e+02
7.8770000000000007e-02 3.8538882894880700e+01 1.7297406635896263e+02
7.9766666666666666e-02 3.8366911581085844e+01 1.7211887102202311e+02
8.0763333333333340e-02 3.8195790071072174e+01 1.7126877449035592e+02
8.1759999999999999e-02 3.8025513298179717e+01 1.7042374636407334e+02
8.2756666666666673e-02 3.7856076225956720e+01 1.6958375642455235e+02
8.3753333333333332e-02 3.7687473847979540e+01 1.6874877463334121e+02
8.4750000000000006e-02 3.7519701187673604e+01 1.6791877113107870e+02
8.5746666666666665e-02 3.7352753298135468e+01 1.6709371623641817e+02
8.6743333333333339e-02 3.7186625261955903e+01 1.6627358044497913e+02
8.7739999999999999e-02 3.7021312191044046e+01 1.6545833442831767e+02
8.8736666666666672e-02 3.6856809226452583e+01 1.6464794903281322e+02
8.9733333333333332e-02 3.6693111538204029e+01 1.6384239527867209e+02
9.0730000000000005e-02 3.6530214325117953e+01 1.6304164435893136e+02
9.1726666666666665e-02 3.6368112814639332e+01 1.6224566763830481e+02
9.2723333333333338e-02 3.6206802262667857e+01 1.6145443665227415e+02
9.3719999999999998e-02 3.6046277953388305e+01 1.6066792310602946e+02
9.4716666666666671e-02 3.5886535199101857e+01 1.5988609887345791e+02
9.5713333333333331e-02 3.5727569340058508e+01 1.5910893599614471e+02
9.6710000000000004e-02 3.5569375744290397e+01 1.5833640668233298e+02
9.7706666666666664e-02 3.5411949807446199e+01 1.5756848330602173e+02
9.8703333333333337e-02 3.5255286952626435e+01 1.5680513840587099e+02
9.9699999999999997e-02 3.5099382630219843e+01 1.5604634468427622e+02
1.0069666666666667e-01 3.4944232317740635e+01 1.5529207500643662e+02
1.0169333333333333e-01 3.4789831519666791e+01 1.5454230239927580e+02
1.0269000000000000e-01 3.4636175767279298e+01 1.5379700005053999e+02
1.0368666666666666e-01 3.4483260618502364e+01 1.5305614130785318e+02
1.0468333333333334e-01 3.4331081657744534e+01 1.5231969967775018e+02
1.0568000000000001e-01 3.4179634495740807e+01 1.5158764882470501e+02
1.0667666666666667e-01 3.4028914769395669e+01 1.5085996257021898e+02
1.0767333333333334e-01 3.3878918141627054e+01 1.5013661489187896e+02
1.0867000000000000e-01 3.3729640301211276e+01 1.4941757992239710e+02
1.0966666666666668e-01 3.3581076962628828e+01 1.4870283194873500e+02
1.1066333333333334e-01 3.3433223865911145e+01 1.4799234541116260e+02
1.1166000000000001e-01 3.3286076776488258e+01 1.4728609490232063e+02
1.1265666666666667e-01 3.3139631485037377e+01 1.4658405516633687e+02
1.1365333333333334e-01 3.2993883807332352e+01 1.4588620109793101e+02
1.1465000000000000e-01 3.2848829584094041e+01 1.4519250774149188e+02
1.1564666666666668e-01 3.2704464680841575e+01 1.4450295029020384e+02
1.1664333333333333e-01 3.2560784987744526e+01 1.4381750408515214e+02
1.1764000000000001e-01 3.2417786419475888e+01 1.4313614461444973e+02
1.1863666666666667e-01 3.2275464915066038e+01 1.4245884751233865e+02
1.1963333333333334e-01 3.2133816437757488e+01 1.4178558855833154e+02
1.2063000000000000e-01 3.1992836974860527e+01 1.4111634367637518e+02
1.2162666666666667e-01 3.1852522537609723e+01 1.4045108893393640e+02
1.2262333333333333e-01 3.1712869161021295e+01 1.3978980054116991e+02
1.2362000000000001e-01 3.1573872903751322e+01 1.3913245485007863e+02
1.2461666666666667e-01 3.1435529847954790e+01 1.3847902835366625e+02
1.2561333333333335e-01 3.1297836099145481e+01 1.3782949768507746e+02
1.2661000000000000e-01 3.1160787786056733e+01 1.3718383961676264e+02
1.2760666666666667e-01 3.1024381060502968e+01 1.3654203105969026e+02
1.2860333333333335e-01 3.0888612097242092e+01 1.3590404906246923e+02
1.2960000000000002e-01 3.0753477093838715e+01 1.3526987081052994e+02
1.3059666666666667e-01 3.0618972270528161e+01 1.3463947362536723e+02
1.3159333333333334e-01 3.0485093870081293e+01 1.3401283496366378e+02
1.3259000000000001e-01 3.0351838157670176e+01 1.3338993241650485e+02
1.3358666666666669e-01 3.0219201420734500e+01 1.3277074370859984e+02
1.3458333333333333e-01 3.0087179968848819e+01 1.3215524669745452e+02
1.3558000000000001e-01 2.9955770133590580e+01 1.3154341937258988e+02
1.3657666666666668e-01 2.9824968268408949e+01 1.3093523985476219e+02
1.3757333333333335e-01 2.9694770748494388e+01 1.3033068639518675e+02
1.3857000000000003e-01 2.9565173970649049e+01 1.2972973737472037e+02
1.3956666666666670e-01 2.9436174353157920e+01 1.2913237130313087e+02
1.4056333333333335e-01 2.9307768335660729e+01 1.2853856681832647e+02
1.4156000000000002e-01 2.9179952379024623e+01 1.2794830268556497e+02
1.4255666666666669e-01 2.9052722965217622e+01 1.2736155779671040e+02
1.4355333333333337e-01 2.8926076597182803e+01 1.2677831116947905e+02
