# x energy force
1.0000000000000000e-02 7.6249341472599482e+01 2.1151394758495999e+02
1.0996666666666667e-02 7.6038692490817652e+01 2.1119303926821880e+02
1.1993333333333333e-02 7.5828362809773239e+01 2.1087321031924242e+02
1.2990000000000002e-02 7.5618350941326881e+01 2.1055528823532850e+02
1.3986666666666668e-02 7.5408654990635256e+01 2.1023926164752933e+02
1.4983333333333335e-02 7.5199273074152345e+01 2.0992511925463739e+02
1.5980000000000001e-02 7.4990203319562085e+01 2.0961284982279480e+02
1.6976666666666668e-02 7.4781443865711438e+01 2.0930244218518519e+02
1.7973333333333334e-02 7.4572992862543799e+01 2.0899388524152116e+02
1.8970000000000001e-02 7.4364848471032857e+01 2.0868716795770203e+02
1.9966666666666667e-02 7.4157008863116829e+01 2.0838227936543564e+02
2.0963333333333334e-02 7.3949472221633073e+01 2.0807920856182540e+02
2.1960000000000000e-02 7.3742236740253134e+01 2.0777794470896328e+02
2.2956666666666667e-02 7.3535300623418124e+01 2.0747847703353122e+02
2.3953333333333333e-02 7.3328662086274534e+01 2.0718079482650862e+02
2.4950000000000000e-02 7.3122319354610383e+01 2.0688488744268724e+02
2.5946666666666666e-02 7.2916270664791796e+01 2.0659074430029375e+02
2.6943333333333333e-02 7.2710514263699920e+01 2.0629835488072587e+02
2.7940000000000000e-02 7.2505048408668216e+01 2.0600770872803170e+02
2.8936666666666666e-02 7.2299871367420195e+01 2.0571879544859652e+02
2.9933333333333333e-02 7.2094981418007421e+01 2.0543160471082140e+02
3.0929999999999999e-02 7.1890376848747934e+01 2.0514612624466025e+02
3.1926666666666666e-02 7.1686055958165085e+01 2.0486234984131318e+02
3.2923333333333332e-02 7.1482017054926644e+01 2.0458026535287632e+02
3.3920000000000006e-02 7.1278258457784332e+01 2.0429986269190258e+02
3.4916666666666672e-02 7.1074778495513698e+01 2.0402113183110632e+02
3.5913333333333339e-02 7.0871575506854370e+01 2.0374406280299189e+02
3.6910000000000005e-02 7.0668647840450646e+01 2.0346864569946584e+02
3.7906666666666672e-02 7.0465993854792416e+01 2.0319487067156257e+02
3.8903333333333338e-02 7.0263611918156471e+01 2.0292272792898902e+02
3.9900000000000005e-02 7.0061500408548184e+01 2.0265220773982531e+02
4.0896666666666671e-02 6.9859657713643443e+01 2.0238330043021099e+02
4.1893333333333338e-02 6.9658082230731068e+01 2.0211599638391723e+02
4.2890000000000005e-02 6.9456772366655443e+01 2.0185028604207605e+02
4.3886666666666671e-02 6.9255726537759585e+01 2.0158615990280234e+02
4.4883333333333338e-02 6.9054943169828462e+01 2.0132360852086603e+02
4.5880000000000004e-02 6.8854420698032726e+01 2.0106262250735691e+02
4.6876666666666671e-02 6.8654157566872783e+01 2.0080319252932830e+02
4.7873333333333337e-02 6.8454152230123114e+01 2.0054530930948329e+02
4.8870000000000004e-02 6.8254403150777009e+01 2.0028896362583978e+02
4.9866666666666670e-02 6.8054908800991626e+01 2.0003414631139515e+02
5.0863333333333337e-02 6.7855667662033298e+01 1.9978084825380571e+02
5.1860000000000003e-02 6.7656678224223270e+01 1.9952906039506587e+02
5.2856666666666670e-02 6.7457938986883704e+01 1.9927877373114441e+02
5.3853333333333336e-02 6.7259448458284012e+01 1.9902997931172087e+02
5.4850000000000003e-02 6.7061205155587487e+01 1.9878266823984316e+02
5.5846666666666669e-02 6.6863207604798291e+01 1.9853683167157837e+02
5.6843333333333336e-02 6.6665454340708777e+01 1.9829246081572691e+02
5.7840000000000009e-02 6.6467943906847069e+01 1.9804954693352590e+02
5.8836666666666676e-02 6.6270674855424943e+01 1.9780808133830328e+02
5.9833333333333343e-02 6.6073645747286108e+01 1.9756805539515020e+02
6.0830000000000009e-02 6.5876855151854713e+01 1.9732946052069616e+02
6.1826666666666676e-02 6.5680301647084192e+01 1.9709228818269972e+02
6.2823333333333342e-02 6.5483983819406419e+01 1.9685652989978658e+02
6.3820000000000002e-02 6.5287900263681166e+01 1.9662217724120330e+02
6.4816666666666675e-02 6.5092049583145808e+01 1.9638922182641076e+02
