# x energy force
1.0000000000000000e-02 4.0817055750445071e+01 2.5471803441306312e+02
1.0996666666666667e-02 4.0563947619933877e+01 2.5319125758263706e+02
1.1993333333333333e-02 4.0312357761958779e+01 2.5167133367173400e+02
1.2990000000000002e-02 4.0062278245573658e+01 2.5016047178335552e+02
1.3986666666666668e-02 3.9813700065887268e+01 2.4865861788833158e+02
1.4983333333333335e-02 3.9566614271696928e+01 2.4716571827958197e+02
1.5980000000000001e-02 3.9321011965168424e+01 2.4568171957025740e+02
1.6976666666666668e-02 3.9076884301517801e+01 2.4420656869185549e+02
1.7973333333333334e-02 3.8834222488695083e+01 2.4274021289218950e+02
1.8970000000000001e-02 3.8593017787069883e+01 2.4128259973363225e+02
1.9966666666666667e-02 3.8353261509118823e+01 2.3983367709123530e+02
2.0963333333333334e-02 3.8114945019114892e+01 2.3839339315076663e+02
2.1960000000000000e-02 3.7878059732818635e+01 2.3696169640693870e+02
2.2956666666666667e-02 3.7642597117171171e+01 2.3553853566154726e+02
2.3953333333333333e-02 3.7408548689989033e+01 2.3412386002167560e+02
2.4950000000000000e-02 3.7175906019660843e+01 2.3271761889777167e+02
2.5946666666666666e-02 3.6944660724845825e+01 2.3131976200193634e+02
2.6943333333333333e-02 3.6714804474174031e+01 2.2993023934615209e+02
2.7940000000000000e-02 3.6486328985948433e+01 2.2854900124033543e+02
2.8936666666666666e-02 3.6259226027848790e+01 2.2717599829071466e+02
2.9933333333333333e-02 3.6033487416637236e+01 2.2581118139802538e+02
3.0929999999999999e-02 3.5809105017865619e+01 2.2445450175571469e+02
3.1926666666666666e-02 3.5586070745584649e+01 2.2310591084823358e+02
3.2923333333333332e-02 3.5364376562054716e+01 2.2176536044929662e+02
3.3920000000000006e-02 3.5144014477458448e+01 2.2043280262013107e+02
3.4916666666666672e-02 3.4924976549615032e+01 2.1910818970779479e+02
3.5913333333333339e-02 3.4707254883696159e+01 2.1779147434346058e+02
3.6910000000000005e-02 3.4490841631943709e+01 2.1648260944072456e+02
3.7906666666666672e-02 3.4275728993389109e+01 2.1518154819391953e+02
3.8903333333333338e-02 3.4061909213574388e+01 2.1388824407641980e+02
3.9900000000000005e-02 3.3849374584274862e+01 2.1260265083902232e+02
4.0896666666666671e-02 3.3638117443223464e+01 2.1132472250826106e+02
4.1893333333333338e-02 3.3428130173836770e+01 2.1005441338477058e+02
4.2890000000000005e-02 3.3219405204942596e+01 2.0879167804166426e+02
4.3886666666666671e-02 3.3011935010509262e+01 2.0753647132288381e+02
4.4883333333333338e-02 3.2805712109376472e+01 2.0628874834158484e+02
4.5880000000000004e-02 3.2600729064987767e+01 2.0504846447856099e+02
4.6876666666666671e-02 3.2396978485124585e+01 2.0381557538066156e+02
4.7873333333333337e-02 3.2194453021641920e+01 2.0259003695913680e+02
4.8870000000000004e-02 3.1993145370205553e+01 2.0137180538808860e+02
4.9866666666666670e-02 3.1793048270030852e+01 2.0016083710295442e+02
5.0863333333333337e-02 3.1594154503623088e+01 1.9895708879891461e+02
5.1860000000000003e-02 3.1396456896519364e+01 1.9776051742929121e+02
5.2856666666666670e-02 3.1199948317032067e+01 1.9657108020408046e+02
5.3853333333333336e-02 3.1004621675993789e+01 1.9538873458845106e+02
5.4850000000000003e-02 3.0810469926503838e+01 1.9421343830107958e+02
5.5846666666666669e-02 3.0617486063676264e+01 1.9304514931278129e+02
5.6843333333333336e-02 3.0425663124389313e+01 1.9188382584497626e+02
5.7840000000000009e-02 3.0234994187036452e+01 1.9072942636812022e+02
5.8836666666666676e-02 3.0045472371278844e+01 1.8958190960032087e+02
5.9833333333333343e-02 2.9857090837799301e+01 1.8844123450578337e+02
6.0830000000000009e-02 2.9669842788057707e+01 1.8730736029340346e+02
6.1826666666666676e-02 2.9483721464047893e+01 1.8618024641525676e+02
6.2823333333333342e-02 2.9298720148055981e+01 1.8505985256517116e+02
6.3820000000000002e-02 2.9114832162420139e+01 1.8394613867732443e+02
6.4816666666666675e-02 2.8932050869291793e+01 1.8283906492470973e+02
6.5813333333333335e-02 2.8750369670398264e+01 1.8173859171782343e+02
6.6810000000000008e-02 2.8569782006806790e+01 1.8064467970319274e+02
6.7806666666666668e-02 2.8390281358689993e+01 1.7955728976195272e+02
6.8803333333333341e-02 2.8211861245092713e+01 1.7847638300850679e+02
6.9800000000000001e-02 2.8034515223700250e+01 1.7740192078908152e+02
7.0796666666666674e-02 2.7858236890607984e+01 1.7633386468034891e+02
7.1793333333333334e-02 2.7683019880092385e+01 1.7527217648808224e+02
7.2789999999999994e-02 2.7508857864383341e+01 1.7421681824578448e+02
7.3786666666666667e-02 2.7335744553437895e+01 1.7316775221330190e+02
7.4783333333333341e-02 2.7163673694715300e+01 1.7212494087551366e+02
7.5780000000000000e-02 2.6992639072953427e+01 1.7108834694095282e+02
7.6776666666666674e-02 2.6822634509946511e+01 1.7005793334048494e+02
7.7773333333333333e-02 2.6653653864324212e+01 1.6903366322600556e+02
7.8770000000000007e-02 2.6485691031331985e+01 1.6801549996909623e+02
7.9766666666666666e-02 2.6318739942612790e+01 1.6700340715972484e+02
8.0763333333333340e-02 2.6152794565990064e+01 1.6599734860493970e+02
8.1759999999999999e-02 2.5987848905252026e+01 1.6499728832757683e+02
8.2756666666666673e-02 2.5823896999937240e+01 1.6400319056497014e+02
8.3753333333333332e-02 2.5660932925121472e+01 1.6301501976767850e+02
8.4750000000000006e-02 2.5498950791205797e+01 1.6203274059822041e+02
8.5746666666666665e-02 2.5337944743706000e+01 1.6105631792980515e+02
8.6743333333333339e-02 2.5177908963043201e+01 1.6008571684503843e+02
8.7739999999999999e-02 2.5018837664335777e+01 1.5912090263474707e+02
8.8736666666666672e-02 2.4860725097192439e+01 1.5816184079669412e+02
8.9733333333333332e-02 2.4703565545506649e+01 1.5720849703432418e+02
9.0730000000000005e-02 2.4547353327252171e+01 1.5626083725559823e+02
9.1726666666666665e-02 2.4392082794279897e+01 1.5531882757170899e+02
9.2723333333333338e-02 2.4237748332115860e+01 1.5438243429592308e+02
9.3719999999999998e-02 2.4084344359760461e+01 1.5345162394233921e+02
9.4716666666666671e-02 2.3931865329488883e+01 1.5252636322470269e+02
9.5713333333333331e-02 2.3780305726652713e+01 1.5160661905523509e+02
9.6710000000000004e-02 2.3629660069482725e+01 1.5069235854340491e+02
9.7706666666666664e-02 2.3479922908892856e+01 1.4978354899479785e+02
9.8703333333333337e-02 2.3331088828285335e+01 1.4888015790992395e+02
9.9699999999999997e-02 2.3183152443356999e+01 1.4798215298306144e+02
1.0069666666666667e-01 2.3036108401906727e+01 1.4708950210109759e+02
1.0169333333333333e-01 2.2889951383644057e+01 1.4620217334238887e+02
1.0269000000000000e-01 2.2744676099998919e+01 1.4532013497560874e+02
1.0368666666666666e-01 2.2600277293932535e+01 1.4444335545861131e+02
1.0468333333333334e-01 2.2456749739749394e+01 1.4357180343732125e+02
1.0568000000000001e-01 2.2314088242910405e+01 1.4270544774459469e+02
1.0667666666666667e-01 2.2172287639847120e+01 1.4184425739912055e+02
1.0767333333333334e-01 2.2031342797777082e+01 1.4098820160429457e+02
1.0867000000000000e-01 2.1891248614520297e+01 1.4013724974711894e+02
1.0966666666666668e-01 2.1752000018316746e+01 1.3929137139712819e+02
1.1066333333333334e-01 2.1613591967645043e+01 1.3845053630528591e+02
1.1166000000000001e-01 2.1476019451042127e+01 1.3761471440290305e+02
1.1265666666666667e-01 2.1339277486924065e+01 1.3678387580056679e+02
1.1365333333333334e-01 2.1203361123407895e+01 1.3595799078706386e+02
1.1465000000000000e-01 2.1068265438134560e+01 1.3513702982832575e+02
1.1564666666666668e-01 2.0933985538092863e+01 1.3432096356638041e+02
1.1664333333333333e-01 2.0800516559444507e+01 1.3350976281828295e+02
1.1764000000000001e-01 2.0667853667350148e+01 1.3270339857508023e+02
1.1863666666666667e-01 2.0535992055796513e+01 1.3190184200077894e+02
1.1963333333333334e-01 2.0404926947424521e+01 1.3110506443130996e+02
1.2063000000000000e-01 2.0274653593358455e+01 1.3031303737350359e+02
1.2162666666666667e-01 2.0145167273036126e+01 1.2952573250407380e+02
1.2262333333333333e-01 2.0016463294040076e+01 1.2874312166860386e+02
1.2362000000000001e-01 1.9888536991929762e+01 1.2796517688052162e+02
1.2461666666666667e-01 1.9761383730074769e+01 1.2719187032013114e+02
1.2561333333333335e-01 1.9634998899488988e+01 1.2642317433360775e+02
1.2661000000000000e-01 1.9509377918665805e+01 1.2565906143198185e+02
1.2760666666666667e-01 1.9384516233414253e+01 1.2489950429019589e+02
1.2860333333333335e-01 1.9260409316696162e+01 1.2414447574610332e+02
1.2960000000000002e-01 1.9137052668464275e+01 1.2339394879948966e+02
1.3059666666666667e-01 1.9014441815501314e+01 1.2264789661113586e+02
1.3159333333333334e-01 1.8892572311260011e+01 1.2190629250184493e+02
1.3259000000000001e-01 1.8771439735704103e+01 1.2116910995147941e+02
1.3358666666666669e-01 1.8651039695150274e+01 1.2043632259800641e+02
1.3458333333333333e-01 1.8531367822111040e+01 1.1970790423658545e+02
1.3558000000000001e-01 1.8412419775138535e+01 1.1898382881860842e+02
1.3657666666666668e-01 1.8294191238669296e+01 1.1826407045076476e+02
1.3757333333333335e-01 1.8176677922869917e+01 1.1754860339413960e+02
1.3857000000000003e-01 1.8059875563483644e+01 1.1683740206326341e+02
1.3956666666666670e-01 1.7943779921677883e+01 1.1613044102521397e+02
1.4056333333333335e-01 1.7828386783892629e+01 1.1542769499871135e+02
1.4156000000000002e-01 1.7713691961689761e+01 1.1472913885319571e+02
1.4255666666666669e-01 1.7599691291603285e+01 1.1403474760795598e+02
1.4355333333333337e-01 1.7486380634990436e+01 1.1334449643120492e+02
1.4455000000000001e-01 1.7373755877883685e+01 1.1265836063920500e+02
1.4554666666666669e-01 1.7261812930843607e+01 1.1197631569539517e+02
1.4654333333333336e-01 1.7150547728812665e+01 1.1129833720950221e+02
1.4754000000000003e-01 1.7039956230969818e+01 1.1062440093668008e+02
1.4853666666666668e-01 1.6930034420586026e+01 1.0995448277661747e+02
1.4953333333333335e-01 1.6820778304880612e+01 1.0928855877270462e+02
1.5053000000000002e-01 1.6712183914878484e+01 1.0862660511116306e+02
1.5152666666666670e-01 1.6604247305268192e+01 1.0796859812018971e+02
1.5252333333333334e-01 1.6496964554260853e+01 1.0731451426912459e+02
1.5352000000000002e-01 1.6390331763449883e+01 1.0666433016759945e+02
1.5451666666666669e-01 1.6284345057671619e+01 1.0601802256470000e+02
1.5551333333333336e-01 1.6179000584866721e+01 1.0537556834813856e+02
1.5651000000000001e-01 1.6074294515942427e+01 1.0473694454342689e+02
1.5750666666666668e-01 1.5970223044635611e+01 1.0410212831305346e+02
1.5850333333333336e-01 1.5866782387376697e+01 1.0347109695566972e+02
1.5950000000000003e-01 1.5763968783154324e+01 1.0284382790527604e+02
1.6049666666666668e-01 1.5661778493380877e+01 1.0222029873040806e+02
1.6149333333333335e-01 1.5560207801758770e+01 1.0160048713335057e+02
1.6249000000000002e-01 1.5459253014147567e+01 1.0098437094933035e+02
1.6348666666666670e-01 1.5358910458431870e+01 1.0037192814571351e+02
1.6448333333333334e-01 1.5259176484390007e+01 9.9763136821239783e+01
1.6548000000000002e-01 1.5160047463563489e+01 9.9157975205217966e+01
1.6647666666666669e-01 1.5061519789127265e+01 9.8556421656767142e+01
1.6747333333333336e-01 1.4963589875760734e+01 9.7958454664031450e+01
1.6847000000000001e-01 1.4866254159519533e+01 9.7364052843397559e+01
1.6946666666666668e-01 1.4769509097708090e+01 9.6773194938760213e+01
1.7046333333333336e-01 1.4673351168752937e+01 9.6185859820741499e+01
1.7146000000000003e-01 1.4577776872076772e+01 9.5602026485944506e+01
1.7245666666666670e-01 1.4482782727973275e+01 9.5021674056189141e+01
1.7345333333333335e-01 1.4388365277482684e+01 9.4444781777775006e+01
1.7445000000000002e-01 1.4294521082268087e+01 9.3871329020748007e+01
1.7544666666666670e-01 1.4201246724492472e+01 9.3301295278143996e+01
1.7644333333333337e-01 1.4108538806696505e+01 9.2734660165269631e+01
1.7744000000000001e-01 1.4016393951677030e+01 9.2171403418964573e+01
1.7843666666666669e-01 1.3924808802366298e+01 9.1611504896883062e+01
1.7943333333333336e-01 1.3833780021711927e+01 9.1054944576769358e+01
1.8043000000000003e-01 1.3743304292557559e+01 9.0501702555742440e+01
1.8142666666666668e-01 1.3653378317524234e+01 8.9951759049592823e+01
1.8242333333333335e-01 1.3563998818892477e+01 8.9405094392059638e+01
1.8342000000000003e-01 1.3475162538485089e+01 8.8861689034137370e+01
1.8441666666666670e-01 1.3386866237550628e+01 8.8321523543374639e+01
1.8541333333333335e-01 1.3299106696647598e+01 8.7784578603177636e+01
1.8641000000000002e-01 1.3211880715529304e+01 8.7250835012128690e+01
1.8740666666666669e-01 1.3125185113029422e+01 8.6720273683285797e+01
1.8840333333333337e-01 1.3039016726948239e+01 8.6192875643503299e+01
1.8940000000000001e-01 1.2953372413939569e+01 8.5668622032761689e+01
1.9039666666666669e-01 1.2868249049398338e+01 8.5147494103486210e+01
1.9139333333333336e-01 1.2783643527348861e+01 8.4629473219879500e+01
1.9239000000000003e-01 1.2699552760333756e+01 8.4114540857252635e+01
1.9338666666666668e-01 1.2615973679303549e+01 8.3602678601360751e+01
1.9438333333333335e-01 1.2532903233506907e+01 8.3093868147751621e+01
1.9538000000000003e-01 1.2450338390381560e+01 8.2588091301104427e+01
1.9637666666666670e-01 1.2368276135445839e+01 8.2085329974587182e+01
1.9737333333333335e-01 1.2286713472190888e+01 8.1585566189197067e+01
1.9837000000000002e-01 1.2205647421973497e+01 8.1088782073125543e+01
1.9936666666666669e-01 1.2125075023909595e+01 8.0594959861125261e+01
2.0036333333333337e-01 1.2044993334768360e+01 8.0104081893861135e+01
2.0136000000000004e-01 1.1965399428866968e+01 7.9616130617291418e+01
2.0235666666666668e-01 1.1886290397965976e+01 7.9131088582028241e+01
2.0335333333333336e-01 1.1807663351165308e+01 7.8648938442721501e+01
2.0435000000000003e-01 1.1729515414800893e+01 7.8169662957442739e+01
2.0534666666666671e-01 1.1651843732341884e+01 7.7693244987054371e+01
2.0634333333333335e-01 1.1574645464288524e+01 7.7219667494608373e+01
2.0734000000000002e-01 1.1497917788070584e+01 7.6748913544734606e+01
2.0833666666666670e-01 1.1421657897946446e+01 7.6280966303033168e+01
2.0933333333333337e-01 1.1345863004902755e+01 7.5815809035475624e+01
2.1033000000000002e-01 1.1270530336554691e+01 7.5353425107799993e+01
2.1132666666666669e-01 1.1195657137046817e+01 7.4893797984922486e+01
2.1232333333333336e-01 1.1121240666954542e+01 7.4436911230343782e+01
2.1332000000000004e-01 1.1047278203186147e+01 7.3982748505564771e+01
2.1431666666666668e-01 1.0973767038885411e+01 7.3531293569495844e+01
2.1531333333333336e-01 1.0900704483334803e+01 7.3082530277878192e+01
2.1631000000000003e-01 1.0828087861859274e+01 7.2636442582712448e+01
2.1730666666666670e-01 1.0755914515730606e+01 7.2193014531671011e+01
