# x energy force
0.0000000000000000e+00 4.0672625608762587e+01 -5.0457218501055462e+02
1.5707963267948967e-03 3.9886213976695814e+01 -4.9671820337658130e+02
3.1415926535897933e-03 3.9112139350130398e+01 -4.8886422174260741e+02
4.7123889803846897e-03 3.8350401729066341e+01 -4.8101024010863233e+02
6.2831853071795866e-03 3.7601001113503649e+01 -4.7315625847465788e+02
7.8539816339744835e-03 3.6863937503442330e+01 -4.6530227684068336e+02
9.4247779607693795e-03 3.6139210898882354e+01 -4.5744829520670947e+02
1.0995574287564277e-02 3.5426821299823743e+01 -4.4959431357273502e+02
1.2566370614359173e-02 3.4726768706266512e+01 -4.4174033193875937e+02
1.4137166941154069e-02 3.4039053118210632e+01 -4.3388635030478548e+02
1.5707963267948967e-02 3.3363674535656109e+01 -4.2603236867081097e+02
1.7278759594743863e-02 3.2700632958602938e+01 -4.1817838703683702e+02
1.8849555921538759e-02 3.2049928387051153e+01 -4.1032440540286257e+02
2.0420352248333655e-02 3.1411560821000712e+01 -4.0247042376888692e+02
2.1991148575128554e-02 3.0785530260451640e+01 -3.9461644213491297e+02
2.3561944901923450e-02 3.0171836705403926e+01 -3.8676246050093908e+02
2.5132741228718346e-02 2.9570480155857577e+01 -3.7890847886696406e+02
2.6703537555513242e-02 2.8981460611812587e+01 -3.7105449723298955e+02
2.8274333882308138e-02 2.8404778073268965e+01 -3.6320051559901509e+02
2.9845130209103038e-02 2.7840432540226701e+01 -3.5534653396504001e+02
3.1415926535897934e-02 2.7288424012685798e+01 -3.4749255233106669e+02
3.2986722862692830e-02 2.6748752490646254e+01 -3.3963857069709218e+02
3.4557519189487726e-02 2.6221417974108078e+01 -3.3178458906311715e+02
3.6128315516282622e-02 2.5706420463071257e+01 -3.2393060742914270e+02
3.7699111843077518e-02 2.5203759957535802e+01 -3.1607662579516875e+02
3.9269908169872414e-02 2.4713436457501707e+01 -3.0822264416119430e+02
4.0840704496667310e-02 2.4235449962968971e+01 -3.0036866252721865e+02
4.2411500823462213e-02 2.3769800473937600e+01 -2.9251468089324470e+02
4.3982297150257109e-02 2.3316487990407595e+01 -2.8466069925927025e+02
4.5553093477052005e-02 2.2875512512378947e+01 -2.7680671762529573e+02
4.7123889803846901e-02 2.2446874039851657e+01 -2.6895273599132184e+02
4.8694686130641797e-02 2.2030572572825733e+01 -2.6109875435734682e+02
5.0265482457436693e-02 2.1626608111301174e+01 -2.5324477272337174e+02
5.1836278784231589e-02 2.1234980655277973e+01 -2.4539079108939785e+02
5.3407075111026485e-02 2.0855690204756133e+01 -2.3753680945542393e+02
5.4977871437821381e-02 2.0488736759735655e+01 -2.2968282782144945e+02
5.6548667764616277e-02 2.0134120320216539e+01 -2.2182884618747440e+02
5.8119464091411173e-02 1.9791840886198784e+01 -2.1397486455349988e+02
