# x energy force
1.0000000000000000e-02 8.1455122554202518e+01 2.2693685702617989e+02
1.0996666666666667e-02 8.1229316452476297e+01 2.2618575513346880e+02
1.1993333333333333e-02 8.1004257521188251e+01 2.2543751835426139e+02
1.2990000000000002e-02 8.0779942109444391e+01 2.2469374267020370e+02
1.3986666666666668e-02 8.0556365784274419e+01 2.2395440148357784e+02
1.4983333333333335e-02 8.0333524139138063e+01 2.2321946835525941e+02
1.5980000000000001e-02 8.0111412793767499e+01 2.2248891700372869e+02
1.6976666666666668e-02 7.9890027394010730e+01 2.2176272130417101e+02
1.7973333333333334e-02 7.9669363611675863e+01 2.2104085528753632e+02
1.8970000000000001e-02 7.9449417144376355e+01 2.2032329313958314e+02
1.9966666666666667e-02 7.9230183715377123e+01 2.1961000920000276e+02
2.0963333333333334e-02 7.9011659073441649e+01 2.1890097796148419e+02
2.1960000000000000e-02 7.8793838992679909e+01 2.1819617406875975e+02
2.2956666666666667e-02 7.8576719272397270e+01 2.1749557231780625e+02
2.3953333333333333e-02 7.8360295736944266e+01 2.1679914765476789e+02
2.4950000000000000e-02 7.8144564235567330e+01 2.1610687517520938e+02
2.5946666666666666e-02 7.7929520642260272e+01 2.1541873012324405e+02
2.6943333333333333e-02 7.7715160855616759e+01 2.1473468789048749e+02
2.7940000000000000e-02 7.7501480798683701e+01 2.1405472401532268e+02
2.8936666666666666e-02 7.7288476418815378e+01 2.1337881418199427e+02
2.9933333333333333e-02 7.7076143687528557e+01 2.1270693421966087e+02
3.0929999999999999e-02 7.6864478600358453e+01 2.1203906010161089e+02
3.1926666666666666e-02 7.6653477176715498e+01 2.1137516794444232e+02
3.2923333333333332e-02 7.6443135459742976e+01 2.1071523400710683e+02
3.3920000000000006e-02 7.6233449516175540e+01 2.1005923469008567e+02
3.4916666666666672e-02 7.6024415436198581e+01 2.0940714653457368e+02
3.5913333333333339e-02 7.5816029333308393e+01 2.0875894622165890e+02
3.6910000000000005e-02 7.5608287344173164e+01 2.0811461057143535e+02
3.7906666666666672e-02 7.5401185628494872e+01 2.0747411654219451e+02
3.8903333333333338e-02 7.5194720368871899e+01 2.0683744122964899e+02
3.9900000000000005e-02 7.4988887770662558e+01 2.0620456186601973e+02
4.0896666666666671e-02 7.4783684061849385e+01 2.0557545581927371e+02
4.1893333333333338e-02 7.4579105492904262e+01 2.0495010059234644e+02
4.2890000000000005e-02 7.4375148336654291e+01 2.0432847382231500e+02
4.3886666666666671e-02 7.4171808888148533e+01 2.0371055327953556e+02
4.4883333333333338e-02 7.3969083464525553e+01 2.0309631686692350e+02
4.5880000000000004e-02 7.3766968404881652e+01 2.0248574261916875e+02
4.6876666666666671e-02 7.3565460070139991e+01 2.0187880870188067e+02
4.7873333333333337e-02 7.3364554842920455e+01 2.0127549341088925e+02
4.8870000000000004e-02 7.3164249127410287e+01 2.0067577517137522e+02
4.9866666666666670e-02 7.2964539349235508e+01 2.0007963253720052e+02
5.0863333333333337e-02 7.2765421955333082e+01 1.9948704419008018e+02
5.1860000000000003e-02 7.2566893413823848e+01 1.9889798893881374e+02
5.2856666666666670e-02 7.2368950213886251e+01 1.9831244571857110e+02
5.3853333333333336e-02 7.2171588865630767e+01 1.9773039359008783e+02
5.4850000000000003e-02 7.1974805899975124e+01 1.9715181173897312e+02
5.5846666666666669e-02 7.1778597868520194e+01 1.9657667947491871e+02
5.6843333333333336e-02 7.1582961343426760e+01 1.9600497623095652e+02
5.7840000000000009e-02 7.1387892917292888e+01 1.9543668156276314e+02
5.8836666666666676e-02 7.1193389203032055e+01 1.9487177514792879e+02
5.9833333333333343e-02 7.0999446833752060e+01 1.9431023678517334e+02
6.0830000000000009e-02 7.0806062462634600e+01 1.9375204639367260e+02
6.1826666666666676e-02 7.0613232762815613e+01 1.9319718401232075e+02
6.2823333333333342e-02 7.0420954427266295e+01 1.9264562979903394e+02
6.3820000000000002e-02 7.0229224168674818e+01 1.9209736403003285e+02
6.4816666666666675e-02 7.0038038719328782e+01 1.9155236709912342e+02
6.5813333333333335e-02 6.9847394830998411e+01 1.9101061951701197e+02
6.6810000000000008e-02 6.9657289274820329e+01 1.9047210191058903e+02
