# x energy force
0.0000000000000000e+00 4.6004531275771640e+01 -5.0894869716931640e+02
1.5707963267948967e-03 4.5211245034481706e+01 -5.0109471553534416e+02
3.1415926535897933e-03 4.4430295798693137e+01 -4.9324073390136971e+02
4.7123889803846897e-03 4.3661683568405920e+01 -4.8538675226739520e+02
6.2831853071795866e-03 4.2905408343620074e+01 -4.7753277063342074e+02
7.8539816339744835e-03 4.2161470124335594e+01 -4.6967878899944623e+02
9.4247779607693795e-03 4.1429868910552457e+01 -4.6182480736547291e+02
1.0995574287564277e-02 4.0710604702270693e+01 -4.5397082573149731e+02
1.2566370614359173e-02 4.0003677499490294e+01 -4.4611684409752172e+02
1.4137166941154069e-02 3.9309087302211260e+01 -4.3826286246354834e+02
1.5707963267948967e-02 3.8626834110433578e+01 -4.3040888082957497e+02
1.7278759594743863e-02 3.7956917924157253e+01 -4.2255489919559932e+02
1.8849555921538759e-02 3.7299338743382307e+01 -4.1470091756162486e+02
2.0420352248333655e-02 3.6654096568108713e+01 -4.0684693592765149e+02
2.1991148575128554e-02 3.6021191398336477e+01 -3.9899295429367584e+02
2.3561944901923450e-02 3.5400623234065606e+01 -3.9113897265970030e+02
2.5132741228718346e-02 3.4792392075296107e+01 -3.8328499102572584e+02
2.6703537555513242e-02 3.4196497922027959e+01 -3.7543100939175355e+02
2.8274333882308138e-02 3.3612940774261176e+01 -3.6757702775777909e+02
2.9845130209103038e-02 3.3041720631995751e+01 -3.5972304612380344e+02
3.1415926535897934e-02 3.2482837495231692e+01 -3.5186906448982899e+02
3.2986722862692830e-02 3.1936291363968994e+01 -3.4401508285585447e+02
3.4557519189487726e-02 3.1402082238207662e+01 -3.3616110122188002e+02
3.6128315516282622e-02 3.0880210117947684e+01 -3.2830711958790556e+02
3.7699111843077518e-02 3.0370675003189071e+01 -3.2045313795393218e+02
3.9269908169872414e-02 2.9873476893931816e+01 -3.1259915631995659e+02
4.0840704496667310e-02 2.9388615790175926e+01 -3.0474517468598094e+02
4.2411500823462213e-02 2.8916091691921398e+01 -2.9689119305200757e+02
4.3982297150257109e-02 2.8455904599168228e+01 -2.8903721141803425e+02
4.5553093477052005e-02 2.8008054511916423e+01 -2.8118322978405860e+02
4.7123889803846901e-02 2.7572541430165980e+01 -2.7332924815008414e+02
4.8694686130641797e-02 2.7149365353916899e+01 -2.6547526651610968e+02
5.0265482457436693e-02 2.6738526283169183e+01 -2.5762128488213517e+02
5.1836278784231589e-02 2.6340024217922824e+01 -2.4976730324816074e+02
5.3407075111026485e-02 2.5953859158177831e+01 -2.4191332161418512e+02
5.4977871437821381e-02 2.5580031103934196e+01 -2.3405933998021291e+02
5.6548667764616277e-02 2.5218540055191923e+01 -2.2620535834623843e+02
5.8119464091411173e-02 2.4869386011951011e+01 -2.1835137671226164e+02
5.9690260418206076e-02 2.4532568974211461e+01 -2.1049739507828826e+02
6.1261056745000972e-02 2.4208088941973269e+01 -2.0264341344431494e+02
6.2831853071795868e-02 2.3895945915236442e+01 -1.9478943181033932e+02
6.4402649398590764e-02 2.3596139894000977e+01 -1.8693545017636373e+02
6.5973445725385660e-02 2.3308670878266877e+01 -1.7908146854239038e+02
6.7544242052180556e-02 2.3033538868034135e+01 -1.7122748690841703e+02
6.9115038378975452e-02 2.2770743863302751e+01 -1.6337350527444141e+02
7.0685834705770348e-02 2.2520285864072736e+01 -1.5551952364046579e+02
7.2256631032565244e-02 2.2282164870344079e+01 -1.4766554200649358e+02
7.3827427359360140e-02 2.2056380882116784e+01 -1.3981156037251912e+02
7.5398223686155036e-02 2.1842933899390854e+01 -1.3195757873854237e+02
7.6969020012949932e-02 2.1641823922166282e+01 -1.2410359710456902e+02
7.8539816339744828e-02 2.1453050950443071e+01 -1.1624961547059567e+02
8.0110612666539724e-02 2.1276614984221222e+01 -1.0839563383662006e+02
8.1681408993334620e-02 2.1112516023500735e+01 -1.0054165220264444e+02
8.3252205320129516e-02 2.0960754068281613e+01 -9.2687670568672189e+01
8.4823001646924426e-02 2.0821329118563849e+01 -8.4833688934697648e+01
8.6393797973719322e-02 2.0694241174347447e+01 -7.6979707300720932e+01
8.7964594300514218e-02 2.0579490235632409e+01 -6.9125725666747584e+01
8.9535390627309114e-02 2.0477076302418730e+01 -6.1271744032774237e+01
9.1106186954104010e-02 2.0386999374706413e+01 -5.3417762398798629e+01
9.2676983280898906e-02 2.0309259452495461e+01 -4.5563780764823008e+01
9.4247779607693802e-02 2.0243856535785870e+01 -3.7709799130849667e+01
9.5818575934488698e-02 2.0190790624577637e+01 -2.9855817496876320e+01
9.7389372261283594e-02 2.0150061718870763e+01 -2.2001835862900705e+01
9.8960168588078490e-02 2.0121669818665257e+01 -1.4147854228925095e+01
1.0053096491487339e-01 2.0104910114609048e+01 -8.9486971693197788e+00
1.0210176124166828e-01 2.0090853533965880e+01 -8.9486971693197788e+00
